@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute Si numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs numeric

@data
19,78,23,75,5,125,0.802623,5.258979,103,2068.296159,35.000557,62.681736,57.697487,25.000779,2068.151107,2068.061895,2068.13926,54.405882,57.271284,206.692861,164.757397,2068.510399,2074.552723,133.213866,2068.653668,133.64265,532648.0171,4276787,2867,0
4,6,15,4,2,82,0.943022,0.083533,5,2115.185571,133.000012,148.922799,117.889779,97.000017,2113.22739,2111.085503,2113.136531,69.641941,116.249731,189.686341,195.616973,2111.053926,2120.044103,83.391514,2112.062973,83.461365,352943.0099,4456492,4660,0
5,7,20,0,7,76,0.647949,0.010204,0,2121.493106,138.000449,152.970585,116.498927,96.000646,2119.175547,2117.046291,2119.313568,67.468511,118.983192,182.537207,193.27959,2117.071723,2125.804789,78.025174,2118.028564,78.089722,327580.0093,4481855,4522,0
2,4,2,3,2,2,1,0,1,2195.279026,137,153.394915,120.673112,99,2193.235509,2191.082381,2193.102141,71.568149,118.224363,184.012343,207.537948,2191.00229,2200.807352,3.756229,2192.086221,3.780408,8770.000831,4800665,4945,0
3,8,18,1,7,132,0.583212,0,0,2065.614921,138.000629,153.844077,116.828935,95.000914,2063.188309,2061.047549,2063.328621,69.42622,119.28118,213.595154,194.494216,2061.063759,2070.156757,133.044407,2062.12148,133.019158,561546.0157,4247889,4792,0
2,8,17,1,7,97,0.588746,0,0,2100.538026,138.000613,154.28869,117.413798,95.00089,2098.151806,2096.046755,2098.28978,70.405966,119.854078,194.8309,195.358644,2096.056187,2105.084559,98.259748,2097.135427,98.220062,416050.0116,4393385,4930,0
2,9,23,1,8,204,0.422306,0,0,1993.781583,138.001209,154.28869,116.606175,94.001775,1991.219978,1989.042483,1991.412815,70.213959,119.854078,260.982491,190.192008,1989.105785,1998.072571,205.086603,1990.196473,204.981635,853151.0246,3956284,4924,0
4,5,21,0,5,87,0.824016,0.020408,0,2110.516524,138.000112,153.404694,118.713942,98.000158,2108.278919,2106.060778,2108.325639,68.88396,119.540788,186.488529,192.421413,2106.079373,2114.772328,88.939561,2107.065495,88.982403,374034.0105,4435401,4654,0
8,6,35,0,6,265,0.939105,0.112457,2,1932.790728,136.000014,149.883288,115.663304,97.000019,1930.438551,1928.05835,1930.54008,64.761099,117.345643,304.735282,180.560239,1928.235661,1936.436418,266.751063,1929.02903,266.828377,1092100.032,3717335,4120,0
6,4,21,0,4,136,0.896497,0.030612,2,2061.490965,136.000039,150.734867,118.431415,99.000054,2059.380975,2057.070247,2059.380975,67.186308,118.431415,213.730908,192.421413,2057.081263,2065.980397,137.253658,2058.026725,137.344853,578021.0163,4231414,4390,0
18,8,49,0,8,579,0.461076,0.071429,6,1619.388774,132.0011,142.24275,108.78419,95.001529,1616.793431,1614.052354,1617.033395,54.571055,112.294256,594.208995,169.026625,1614.538066,1622.826546,580.546272,1614.869964,580.77656,2204302.076,2605133,2946,0
4,3,17,0,3,152,0.933696,0.010204,3,2045.45985,135.000016,150.711645,120.370262,100.000022,2043.448311,2041.079371,2043.399618,69.375788,119.540788,227.188291,195.862197,2041.053977,2050.376307,152.744147,2042.09941,152.772467,643585.0181,4165850,4658,0
7,7,22,0,7,147,0.842682,0.030612,2,2050.515057,136.000091,150.306354,115.377641,96.000129,2048.250961,2046.047898,2048.393761,65.513357,117.885538,220.131554,191.56461,2046.089536,2054.948418,148.293196,2047.000733,148.388055,623155.0176,4186280,4260,0
10,5,41,1,5,360,0.72234,0.061224,4,1837.891455,134.000288,147.231111,115.433964,98.000393,1835.61788,1833.06983,1835.61788,63.06346,115.433964,387.747824,175.011428,1833.347512,1841.335928,361.79582,1834.014722,361.898915,1449401.045,3360034,3866,0
6,7,26,1,6,185,0.889468,0.256719,1,2012.66813,137.000045,151.637726,115.935327,96.000064,2010.293511,2008.056025,2010.390012,66.70832,117.596769,244.473117,187.62729,2008.132621,2016.746885,186.478147,2009.051766,186.530493,777211.0223,4032224,4385,0
5,10,5,10,0,5,1,0,1,2192.284881,137,152.069063,114.039467,93,2189.975571,2188.100775,2189.809352,69.260378,110.801625,181.081255,201.697794,2188.018544,2197.276951,10.302655,2188.995203,10.378295,21910.00252,4787525,4537,0
3,2,6,0,2,29,0.979275,0.010204,2,2168.269356,136.000002,152.052623,121.757957,101.000002,2166.355696,2164.083409,2166.263373,70.604532,120.104122,182.316392,205.42882,2164.006434,2173.728824,29.49309,2165.068128,29.555836,126359.0034,4683076,4804,0
6,4,24,0,4,153,0.939182,0.046025,3,2044.462032,135.000014,149.833241,118.431415,99.000019,2042.400793,2040.070832,2042.400793,67.186308,118.431415,222.714678,189.855208,2040.106554,2048.815511,154.443668,2041.035277,154.526948,647673.0184,4161762,4387,0
4,4,32,0,4,215,0.911702,0,2,1982.669917,136.000029,151.608047,119.540788,99.000039,1980.475953,1978.073052,1980.475953,69.123079,119.540788,264.266518,183.076487,1978.19296,1986.454379,216.795319,1979.134407,216.782562,896797.0261,3912638,4643,0
6,4,25,0,4,157,0.897755,0.030612,3,2040.470779,135.000039,149.833241,118.431415,99.000053,2038.405504,2036.070971,2038.405504,67.186308,118.431415,224.757673,189.002645,2036.115673,2044.753775,158.522303,2037.037309,158.603685,663978.0189,4145457,4386,0
4,1,11,0,1,68,0.971704,0.020408,1,2129.411656,137.000003,152.505738,122.03688,102.000004,2127.446592,2125.094116,2127.304868,69.921384,119.540788,187.721324,201.062179,2125.021883,2134.490806,68.686803,2126.055973,68.772581,293635.008,4515800,4664,0
2,5,29,0,5,176,0.89681,0.102041,0,2021.715361,138.000039,154.28869,119.854078,98.000054,2019.37936,2017.06346,2019.428137,70.830784,120.673112,235.704298,185.607112,2017.156155,2025.521908,177.817343,2018.179873,177.750102,740989.0213,4068446,4918,0
12,3,21,1,2,147,0.825385,0.326531,1,2050.581625,137.000111,149.164339,116.107709,100.000152,2048.442335,2046.088219,2048.345674,61.983869,114.389685,220.909541,191.908832,2046.086345,2054.980535,148.209162,2046.850507,148.49306,623154.0176,4186281,3646,0
8,3,40,0,3,271,0.785999,0.102041,3,1926.735322,135.00017,148.976508,118.190524,100.000229,1924.599699,1922.084285,1924.547999,65.520989,117.345643,307.549388,176.400113,1922.306139,1930.077978,273.178886,1923.032241,273.278628,1115205.033,3694230,4115,0
7,8,15,7,1,92,0.871217,0.344075,9,2104.956532,129.000064,144.003472,114.546934,95.000087,2103.14669,2101.095191,2103.013314,67.052218,112.071406,194.28216,194.177754,2101.065011,2109.954028,93.478162,2101.974548,93.644637,395063.0111,4414372,4267,0
1,9,3,6,3,14,0.969074,0,13,2182.582415,125.000004,143.265488,117.200683,94.000005,2181.026593,2179.074345,2180.983723,72.277244,116.400172,183.553958,205.275425,2179.006767,2188.647756,15.040777,2180.124079,15.039619,61211.0019,4748224,5083,0
12,18,37,12,6,164,0.336586,0.020408,17,2032.604733,121.001819,134.617978,103.469802,85.002589,2030.779653,2029.055445,2030.864348,60.876925,105.11898,221.851773,172.539851,2029.358926,2036.322912,168.426382,2029.85763,168.666292,692445.0206,4116990,3630,0
5,4,18,0,4,107,0.88984,0,2,2090.428664,136.000045,151.16878,118.983192,99.000061,2088.347912,2086.06927,2088.347912,68.154237,118.983192,199.119369,195,2086.059126,2095.094509,108.177497,2087.043842,108.250635,457871.0127,4351564,4524,0
2,1,6,1,0,39,0.948351,0.102041,1,2158.352381,137.00001,153.394915,123.146254,102.000013,2156.413689,2154.102365,2156.228188,72.124892,119.854078,184.177665,204.948774,2154.007694,2163.728264,39.420847,2155.10487,39.466343,169539.0046,4639896,4941,0
8,8,25,1,7,157,0.871883,0.030612,3,2040.470779,135.000061,148.976508,113.991228,95.000086,2038.215151,2036.048133,2038.357182,64.536811,116.503219,224.791394,188.480768,2036.121303,2044.705602,158.617209,2036.974472,158.738159,663978.0189,4145457,4130,0
3,1,9,0,1,58,0.981932,0.010204,1,2139.391035,137.000001,152.947703,122.588743,102.000002,2137.435145,2135.093675,2137.294084,70.880181,120.104122,186.241705,202.805325,2135.014618,2144.610687,58.542437,2136.082629,58.601431,251033.0068,4558402,4801,0
3,5,17,1,5,91,0.98028,0,2,2106.395025,136.000001,152.052623,119.28118,98.000002,2104.283251,2102.060894,2104.283251,69.856997,119.28118,191.919105,195.358644,2102.056027,2111.058739,92.324201,2103.099617,92.333834,390862.0109,4418573,4793,0
9,7,33,0,7,163,0.69161,0,3,2034.483964,135.000352,148.556387,114.280357,96.000495,2032.268683,2030.048275,2032.412606,63.560994,116.811814,223.427023,182.236111,2030.199629,2038.163389,165.519107,2030.946577,165.667061,688382.0198,4121053,3997,0
9,8,15,5,3,98,0.892647,5.792865,6,2099.154354,132.000044,145.835524,113.441615,95.000061,2097.152832,2095.077326,2097.10777,64.56005,112.605506,197.153883,195.133288,2095.057877,2104.067965,99.252504,2095.917222,99.458523,420239.0117,4389196,4015,0
3,5,9,3,2,47,0.948673,0.520381,3,2150.242079,135.00001,151.158857,119.28118,98.000013,2148.236486,2146.084108,2148.146178,70.604532,117.643529,183.156254,201.35789,2146.02036,2155.425944,47.936746,2147.077083,47.9912,203942.0057,4605493,4801,0
16,24,56,16,8,353,0.269364,0.104751,13,1844.241036,125.002135,136.565003,96.260064,79.003379,1841.695143,1840.045923,1841.87106,56.515485,99.569072,376.516925,154.236831,1840.866308,1846.453086,357.542064,1840.821827,357.811235,1423705.045,3385730,3155,0
11,11,37,3,8,285,0.68651,0.061437,6,1912.560587,132.000372,144.996552,109.836242,92.000534,1910.216742,1908.044287,1910.413568,61.392182,113.207774,321.439541,177.248413,1908.293323,1916.21528,287.013027,1908.943163,287.161624,1168822.035,3640613,3749,0
5,16,12,14,2,55,0.929348,0.855084,6,2142.070961,132.000019,147.580487,109.201648,87.000029,2139.76938,2138.084423,2139.688996,68.680419,107.615055,182.650455,193.651749,2138.068017,2146.752198,57.598782,2139.018466,57.708109,238217.0071,4571218,4530,0
9,10,20,3,7,110,0.414278,0.112245,12,2086.80737,126.001361,140.427918,111.77209,93.001844,2085.075059,2083.047047,2085.21102,63.560994,114.280357,199.150546,191.760267,2083.086157,2091.80807,111.67234,2083.922503,111.842872,470380.0132,4339055,4010,0
6,3,11,2,1,68,0.881033,0.853299,20,2128.273714,118.00006,134.718224,119.268604,100.000071,2127.35164,2125.094116,2127.21273,68.007353,116.764721,187.754684,200.084982,2125.026542,2134.398979,68.830804,2125.993885,68.977749,293635.0081,4515800,4400,0
3,15,3,15,0,3,1,0,1,2194.280976,137,152.947703,111.21151,88,2191.767323,2190.100683,2191.610367,71.168813,108.074049,183.035862,201.35789,2190.019951,2199.237368,9.817612,2191.055453,9.846654,13152.00382,4796283,4807,0
4,2,7,1,1,20,0.969074,0.030612,0,2177.377551,138.000003,153.404694,121.20231,101.000005,2175.345949,2173.092037,2175.208726,69.921384,118.713942,180.116602,204.071066,2173.010129,2182.561339,21.0799,2174.032658,21.182315,87327.00255,4722108,4668,0
4,2,5,1,1,16,0.969074,0.030612,0,2181.369524,138.000003,153.404694,121.20231,101.000005,2179.341644,2177.091868,2179.204671,69.921384,118.713942,181.708345,205.827598,2177.005466,2186.708485,16.735475,2178.030762,16.840344,69925.00201,4739510,4670,0
4,4,5,3,1,24,0.969074,0.056224,3,2173.197184,135.000003,150.711645,119.540788,99.000005,2171.258161,2169.092206,2171.123442,69.921384,117.068356,182.598723,204.882893,2169.007817,2178.65509,24.70442,2170.034562,24.80758,104693.0029,4704742,4670,0
5,7,17,0,7,75,0.959964,0.030612,1,2122.426206,137.000006,152.069063,116.498927,96.000008,2120.174521,2118.04627,2120.312477,67.468511,118.983192,184.862532,195.862197,2118.052015,2127.036906,76.508048,2119.028079,76.573466,323342.009,4486093,4525,0
5,4,13,0,4,65,0.959964,0.030612,1,2132.405449,137.000006,152.069063,118.983192,99.000008,2130.301622,2128.067903,2130.301622,68.154237,118.983192,184.78405,199.323857,2128.03044,2137.31467,66.021184,2129.02325,66.112937,280878.0077,4528557,4529,0
4,5,4,4,1,4,1,0,1,2193.282927,137,152.505738,118.713942,98,2191.192598,2189.091364,2191.060474,69.921384,116.249731,182.047834,205.302216,2189.00667,2198.606377,6.728591,2190.025114,6.797584,17532.00133,4791903,4671,0
3,3,9,1,2,43,0.965509,0.020408,2,2154.297101,136.000004,152.052623,120.929732,100.000006,2152.324325,2150.083952,2152.232329,70.604532,119.28118,182.148561,202.319055,2150.016358,2159.498321,43.82656,2151.07508,43.882866,186758.0051,4622677,4801,0
3,9,25,7,2,277,0.739718,1.609015,9,1920.337731,129.000263,145.825238,116.01724,94.00036,1918.30446,1916.094204,1918.207497,70.604532,114.402797,320.412845,185.431928,1916.166688,1924.952207,278.156951,1917.206301,278.09361,1138218.034,3671217,4785,0
27,3,63,1,2,527,0.045708,1.716074,2,1671.541803,136.003348,142.940547,109.252002,100.004553,1668.998502,1666.10834,1668.879864,47.927028,107.424392,540.534108,157.267288,1666.85683,1673.406406,529.6947,1666.580931,530.267667,2033756.069,2775679,2059,0
5,1,9,1,0,81,0.921858,0.435997,2,2116.374258,136.000022,151.16878,121.49074,102.00003,2114.461634,2112.104401,2114.272452,69.260378,118.152444,194.637322,202.319055,2112.016652,2121.668447,81.429205,2113.030998,81.550453,348714.0095,4460721,4533,0
5,1,18,1,0,96,0.928696,0.936904,1,2101.470438,137.000019,152.069063,121.49074,102.000025,2099.479221,2097.105148,2099.288689,69.260378,118.152444,193.466797,194.494216,2097.062665,2106.000237,97.354696,2098.03837,97.468359,411858.0115,4397577,4524,0
21,2,35,2,0,617,0.723218,0.830831,3,1581.771475,135.000284,143.961801,112.698713,101.000379,1579.233042,1576.139905,1578.982267,54.230987,109.128365,634.481322,179.471446,1576.309486,1586.185992,617.75078,1576.792948,618.145724,2325508.082,2483927,2651,0
15,3,37,1,2,437,0.355482,0.020408,2,1761.258641,136.001527,147.078211,114.61239,100.002077,1758.845076,1756.102787,1758.732498,59.135438,112.871608,461.231071,178.339564,1756.298262,1765.032861,438.194732,1756.892712,438.452595,1725750.056,3083685,3285,0
8,1,14,1,0,274,0.717818,3.603442,2,1923.813141,136.000293,149.883288,119.887447,102.00039,1921.708875,1919.1149,1921.500716,66.407831,116.503219,323.285667,197.959592,1919.042331,1929.183506,274.281978,1920.033854,274.411377,1126702.033,3682733,4141,0
14,7,82,0,7,1253,0.923298,0.362749,1,949.93105,137.000022,148.384635,111.646764,96.000031,944.889412,940.10425,945.198921,58.694122,114.236597,1254.353372,143.586211,942.393262,950.903255,1254.792722,941.726606,1254.219681,3925731.2,883704,3353,1
13,7,35,0,7,273,0.727078,0.184816,3,1924.740242,135.000276,146.931957,112.160599,96.000388,1922.398502,1920.051041,1922.55065,59.665736,114.738834,311.700051,180.560239,1920.236643,1928.471415,274.708565,1920.875842,274.930907,1122884.034,3686551,3515,1
14,10,43,0,10,168,0.502548,0,5,2029.362954,133.00093,144.699689,109.077954,93.00133,2027.134431,2025.029876,2027.418556,58.051701,114.236597,220.478676,173.925271,2025.334002,2032.455412,172.048157,2025.802063,172.318085,708667.0208,4100768,3392,1
3,8,16,1,7,125,0.957539,0.010204,2,2072.467129,136.000007,152.052623,116.828935,95.000009,2070.18091,2068.047388,2070.320748,69.42622,119.28118,210.957789,196.224361,2068.050705,2077.288617,125.888874,2069.117686,125.867214,532641.0148,4276794,4794,1
2,9,19,1,8,120,0.504306,0,0,2077.588265,138.00089,154.28869,116.606175,94.001307,2075.130116,2073.040762,2075.315157,70.213959,119.854078,205.595239,193.631092,2073.07032,2082.023535,121.267896,2074.148018,121.209718,511939.0143,4297496,4928,1
12,12,37,0,12,310,0.639831,0.102041,2,1887.904923,136.000477,148.246417,108.452755,91.000713,1885.197602,1883.021508,1885.6007,59.682493,115.24756,343.61818,178.891028,1883.268751,1891.478522,311.706911,1883.924096,311.852055,1263597.038,3545838,3630,1
8,6,25,5,1,169,0.838936,0.286332,3,2028.497227,135.000096,148.976508,115.663304,97.000134,2026.323025,2024.098812,2026.181631,66.098411,113.15918,233.451334,186.432293,2024.145551,2032.56808,170.736043,2024.980247,170.901406,712698.0205,4096737,4130,1
14,6,33,0,6,404,0.619501,0.081633,2,1794.161921,136.000532,147.46186,112.507778,97.000746,1791.627752,1789.062883,1791.737146,58.940648,114.236597,431.530168,182.236111,1789.226518,1798.257768,405.03946,1789.907819,405.242514,1608761.051,3200674,3402,1
22,17,77,0,17,439,0.188753,0.149004,11,1758.591766,127.002591,136.124943,98.979796,86.003826,1756.107058,1754.004561,1756.791678,49.162994,110.462663,451.78779,147.24809,1755.147544,1760.169878,443.657733,1754.684302,444.022696,1732810.057,3076625,2510,1
9,9,29,0,9,168,0.696722,0.010204,2,2029.561775,136.000338,149.465715,112.605506,94.000489,2027.180554,2025.035555,2027.418556,63.150614,116.811814,229.806106,185.607112,2025.155538,2033.488382,169.928787,2025.948913,170.062441,708653.0203,4100782,4001,1
8,4,41,0,4,236,0.910896,0.081633,0,1961.859577,138.000029,151.700363,117.345643,99.00004,1959.502488,1957.073836,1959.502488,65.253352,117.345643,276.756386,175.573347,1957.31533,1964.860046,238.627131,1958.01379,238.734488,979441.029,3829994,4114,1
14,5,35,0,5,307,0.452365,0.25659,3,1890.825481,135.001111,146.540097,113.371072,98.00153,1888.544413,1886.067867,1888.596569,59.20304,114.236597,341.799928,180.560239,1886.240908,1894.623445,308.509043,1886.86115,308.763032,1252288.038,3557147,3400,1
9,12,36,0,12,375,0.395803,0.010204,3,1823.005485,135.001352,148.556387,110.113578,91.002006,1820.276078,1818.022277,1820.693549,62.64982,116.811814,403.460226,179.72479,1818.263961,1826.862064,376.355603,1819.056899,376.369427,1504161.047,3305274,3994,1
7,11,32,0,11,189,0.765261,0.041029,2,2008.609469,136.000203,150.306354,112.071406,92.000299,2006.110665,2004.02495,2006.443869,64.776539,117.885538,243.633976,183.076487,2004.190457,2012.345149,191.083668,2005.021696,191.134872,793265.0229,4016170,4250,1
3,1,3,1,0,3,1,0,1,2194.280976,137,152.947703,122.588743,102,2192.374056,2190.100683,2192.191597,71.168813,119.28118,183.02528,207.588535,2190.002219,2199.816583,4.326371,2191.055453,4.391876,13152.00072,4796283,4807,1
21,9,47,1,8,277,0.284057,0.440839,7,1920.473119,131.001956,140.217688,106.470653,94.002726,1918.30446,1916.044102,1918.504626,51.662365,110.01818,309.677017,170.073513,1916.430796,1923.533467,280.020121,1916.65229,280.455773,1138240.034,3671195,2639,1
5,12,11,11,1,59,0.974175,0.122449,10,2137.835354,128.000003,144.013888,112.414412,91.000004,2135.939372,2134.093719,2135.813662,68.963759,110,184.812645,195.880065,2134.051501,2142.971068,60.840879,2135.020375,60.959051,255304.0073,4554131,4531,1
6,10,33,3,8,198,0.382511,0.054847,3,1999.562452,135.001412,149.833241,113.463651,93.00205,1997.166493,1995.042355,1997.308439,66.287254,115.935327,250.166583,180.623919,1995.226786,2003.160004,200.329667,1996.058616,200.361533,829257.0242,3980178,4378,1
5,1,35,1,0,354,0.717645,0.44898,3,1843.948481,135.000295,150.269757,121.49074,102.000391,1841.826539,1839.119898,1841.609351,69.260378,118.152444,384.514005,180.013888,1839.2561,1847.78949,355.308741,1840.183958,355.293232,1427363.044,3382072,4507,1
5,3,15,2,1,137,0.938897,0.301024,3,2060.427383,135.000014,150.269757,119.816526,100.000019,2058.43047,2056.097274,2058.286909,68.963759,117.324337,219.078436,196.596033,2056.048416,2065.377932,137.727943,2057.059066,137.814188,582128.0163,4227307,4527,1
5,4,20,0,4,144,0.955452,0.010204,1,2053.574932,137.000007,152.069063,118.983192,99.00001,2051.39026,2049.070521,2051.39026,68.154237,118.983192,219.651701,193.27959,2049.074103,2058.095722,145.080412,2050.062682,145.136336,610868.0172,4198567,4522,1
0,1,0,1,0,24,1,0,0,2173.385608,138,155.193428,124.277914,102,2171.397016,2169.101657,2171.212795,74.040529,121.016528,187.544643,210.23796,2169.00005,2179.165207,24.00345,2170.161745,23.991858,104688.0028,4704747,5227,1
14,8,32,4,4,257,0.776191,0.336735,4,1940.631856,134.000187,145.619367,110.788086,95.000264,1938.329435,1936.074637,1938.329435,59.481089,110.788086,299.525766,180.944743,1936.228739,1944.437451,258.743207,1936.838919,259.025533,1061185.032,3748250,3403,2
14,24,63,20,20,822,0.753317,2.227393,4,1377.53294,134.000227,145.619367,97.416631,79.000385,1373.27419,1371.000365,1373.27419,57.008771,97.416631,831.111342,146.184814,1372.517387,1378.771555,824.62821,1372.18439,824.493093,2929671.116,1879764,3372,2
9,8,25,5,3,114,0.910063,0.194174,5,2083.249865,133.00003,146.741269,113.441615,95.000043,2081.169383,2079.077921,2081.123975,64.56005,112.605506,197.337218,186.432293,2079.1417,2087.342329,116.57774,2079.924277,116.775454,487033.014,4322402,4005,2
10,9,70,1,8,440,0.706882,0.297321,4,1758.114046,134.000321,147.231111,112.058021,94.000457,1755.518442,1753.048202,1755.737167,62.369865,115.433964,454.54703,151.855194,1753.987575,1759.565003,443.97013,1754.061002,444.005508,1736310.057,3073125,3837,2
17,12,64,1,11,642,0.623234,0.133211,4,1556.777762,134.00053,144.471451,105.815878,91.00078,1553.667275,1551.032237,1554.092983,54.918121,111.892806,652.644718,156.486421,1551.947408,1558.874273,644.353529,1551.939754,644.494005,2403712.086,2405723,3038,2
19,18,56,5,13,406,0.455947,0.11267,8,1791.722356,130.001138,140.014285,99.644368,85.001741,1789.020402,1787.017907,1789.470592,52.611786,107.424392,426.079236,160.424437,1787.707255,1794.186445,409.183748,1787.756415,409.491386,1615936.052,3193499,2834,2
3,3,14,0,3,84,0.961688,0.010204,2,2113.380467,136.000005,152.052623,120.929732,100.000007,2111.369461,2109.076812,2111.322334,70.342022,120.104122,191.376799,198.456544,2109.035573,2118.316785,84.911929,2110.095969,84.940958,361382.0099,4448053,4796,2
