Class Name,HastTest,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)"
org.apache.tools.tar.TarBuffer,0,0,0,0,0,0,0,0,0,21,2,35,2,0,617,0.854042049,3,3641.304299,384.0000277,392.0420896,253.6178227,241.0000442,3629.01116,3621.169148,3628.944888,86.40601831,252.667766,0,,651.3136504,320.224921,3621.085401,3635.132047,617.4603596,3621.861676,617.8187002,4849038.039,13111853
org.apache.tools.mail.SmtpResponseReader,0,0,0,0,0,0,0,0,0,5,1,19,1,0,108,0.959650107,1,4147.999036,386.0000021,397.518553,259.9788453,242.0000034,4137.083997,4130.148302,4137.025622,101.2422837,259.0482581,0,,252.1848691,331.7604558,4130.021524,4143.303634,108.8003074,4131.092471,108.9064927,903763.0065,17057128
org.apache.tools.mail.MailPrintStream,0,0,0,0,0,0,0,0,0,5,1,9,1,0,81,0.961085242,2,4174.790294,385.000002,396.5476012,259.9788453,242.0000031,4164.038064,4157.147339,4163.980067,101.2422837,259.0482581,0,,251.3449434,338.7107911,4157.004901,4170.776187,81.23233775,4158.085377,81.34511008,680004.0048,17280887
org.apache.tools.mail.MailMessage,1,0,0,0,0,0,0,0,0,31,5,68,2,3,624,0.20968207,3,3634.343407,384.0008133,390.1499712,247.8003228,238.0013122,3621.828268,3614.141669,3621.960243,76.05918748,249.7218453,0,554,648.0418033,299.4010688,3614.288846,3626.380703,625.6575743,3614.658628,626.1903483,4899716.04,13061175
org.apache.tools.mail.ErrorInQuitException,0,0,0,0,0,0,0,0,0,1,1,3,1,0,6,0.994897959,1,4249.567037,386,398.4934127,261.4670151,242.0000001,4238.91354,4232.144728,4238.856568,105.0047618,260.5417433,0,,244.0721373,342.9533496,4232.000541,4245.873408,6.355192026,4233.157805,6.391061632,50823.00039,17910068
org.apache.tools.bzip2.CRC,0,0,0,0,0,0,0,0,0,7,2,8,2,0,1082,0.964802363,3,3179.275389,384.0000016,395.1012528,258.3215051,241.0000026,3165.188304,3156.194069,3165.11232,99.3680029,257.3888109,0,,1105.814344,338.7048863,3156.006468,3174.123028,1081.953275,3157.36995,1081.828556,8000316.073,9960575
org.apache.tools.bzip2.CBZip2OutputStream,0,0,0,0,0,0,0,0,0,33,6,44,2,4,4238,0.2070315,3,384,384.0008187,389.8012314,246.2884488,237.0013266,237,31,240,73.8241153,249.1766442,0,,4009.931882,314.338989,30.75520105,314.338989,4207.240891,67,4172.292992,17960688.45,203
org.apache.tools.bzip2.CBZip2InputStream,0,0,0,0,0,0,0,0,0,32,4,40,2,2,2011,0.442999564,3,2259.863934,384.000404,389.9743581,248.485412,239.0006491,2239.787936,2227.244486,2239.894864,75.58438992,249.4473892,0,,2015.553121,316.9369022,2227.177998,2249.439486,2011.081118,2228.037926,2011.338812,13001155.15,4959736
org.apache.tools.bzip2.BZip2Constants,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2064,1,0,2208.17685,387,399.4621384,260.5417433,241,2187.317307,2174.28172,2187.207352,105.0047618,259.6170256,0,,2072.236293,343.6800838,2174.00046,2200.997955,2063.847242,2176.252972,2062.92715,13234369.16,4726522
org.apache.tools.ant.XmlLogger,0,2,1,0,1,0,1,0,0,16,13,74,0,13,635,0.731904742,1,3623.617667,386.0000931,395.0341757,244.8591432,230.0001563,3610.333641,3603.067166,3611.117971,86.83317338,256.16401,8,,656.8633933,297.4777303,3603.314631,3615.259603,636.8439356,3603.979051,636.9828196,4979109.041,12981782
org.apache.tools.ant.util.WeakishReference,0,0,0,0,0,0,0,0,0,5,3,13,1,2,91,0.990576132,1,4164.92557,386.0000001,397.518553,258.11819,240.0000002,4153.938974,4147.131298,4153.99687,100.5683847,259.0482581,0,,250.9968766,335.9121909,4147.010165,4160.582411,91.45925882,4148.087993,91.55324558,763048.0055,17197843
org.apache.tools.ant.util.Watchdog,0,0,0,0,0,0,0,0,0,7,3,22,3,1,112,0.954957441,3,4143.830595,384.0000026,395.1012528,257.3888109,240.0000042,4132.974232,4126.140085,4132.916283,99.02019996,256.456624,0,,251.278287,328.2468583,4126.034395,4139.036361,113.2485447,4127.047976,113.3902201,936790.0068,17024101
org.apache.tools.ant.util.UnPackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4235.625101,386,398.246155,261.0900228,242.0000001,4224.936449,4218.13703,4224.936449,103.7304198,261.0900228,0,15,241.8164018,341.5333073,4218.001503,4231.804461,20.30610539,4219.138301,20.35522226,169126.0012,17791765
org.apache.tools.ant.util.Tokenizer,0,0,0,0,0,0,0,0,0,2,5,2,5,0,2,1,0,4253.641381,387,399.2154807,257.3868684,238,4242.680756,4236.144591,4242.624777,104.0624812,256.4624729,0,,245.0095695,340.8724101,4236.002104,4249.69293,4.664679304,4237.133465,4.691508069,16950.00066,17943941
org.apache.tools.ant.util.TimeoutObserver,0,0,0,0,0,0,0,0,0,1,3,1,3,1,1,1,0,4254.637235,387,399.4621384,259.6170256,240,4243.791819,4237.136415,4243.735383,104.6756896,258.6928681,0,,246.0022615,342.9825068,4237.000526,4250.859443,2.33310859,4238.156439,2.346516927,8476.000329,17952415
org.apache.tools.ant.util.TeeOutputStream,0,0,0,0,0,0,0,0,0,6,1,12,1,0,62,0.969775571,3,4193.618008,384.0000012,395.3378302,259.6150997,242.0000019,4183.006096,4176.146669,4182.948362,100.3045363,258.6832039,0,,243.0008544,336.6095661,4176.008619,4189.544367,62.55983986,4177.057816,62.69856089,521680.0037,17439211
org.apache.tools.ant.util.TaskLogger,0,0,0,0,0,0,0,0,0,6,1,8,0,1,43,0.898150964,0,4212.813074,387.0000134,398.2524325,259.6150997,242.0000214,4201.974417,4195.137781,4201.974417,99.959992,259.6150997,0,,242.8048453,340.124977,4195.002943,4208.765852,43.27693569,4196.053026,43.41195316,362627.0026,17598264
org.apache.tools.ant.util.StringUtils,1,0,0,0,0,0,0,0,0,6,14,24,14,0,116,0.964751618,9,4139.295592,378.0000016,389.5125158,247.5419156,229.0000027,4128.35621,4122.14859,4128.300861,100.3045363,246.6171121,0,29,251.5924689,318.924756,4122.08307,4134.319412,118.8956423,4123.07167,119.0205835,969784.0073,16991107
org.apache.tools.ant.util.SourceFileScanner,0,0,0,0,0,0,0,0,0,4,13,18,6,7,137,0.718916206,7,4118.567834,380.000104,391.9387707,249.2308167,230.0001718,4107.444583,4101.095585,4107.784926,100,254.778335,0,,266.854736,328.8419073,4101.032204,4114.163098,137.9932987,4102.123474,138.0164068,1142461.008,16818430
org.apache.tools.ant.util.ScriptRunner,0,1,1,0,0,0,1,0,0,8,3,38,0,3,233,0.936385461,3,4023.366874,384.0000053,394.8670662,257.0291812,240.0000084,4012.184567,4005.127838,4012.304699,97.4063653,258.8976632,3,,312.6188041,319.7577208,4005.080141,4017.744392,234.3741348,4006.05654,234.495875,1920657.014,16040234
org.apache.tools.ant.util.ResourceUtils,1,0,0,0,0,0,0,0,0,2,7,22,2,5,222,0.877314915,2,4034.412101,385.0000195,397.2769815,255.5386468,236.0000319,4022.928287,4016.11205,4023.164923,102.4890238,259.237343,0,24,315.8207902,328.975683,4016.032346,4029.4517,222.6007652,4017.195539,222.5685203,1832410.013,16128481
org.apache.tools.ant.util.RegexpPatternMapper,0,0,0,0,0,0,0,0,0,5,4,20,0,4,145,0.936799027,1,4111.161028,386.0000052,397.518553,257.1886467,239.0000084,4099.971951,4093.117394,4100.147924,99.92997548,259.9788453,0,,269.1661073,331.8026522,4093.021581,4106.426914,145.6189536,4094.102344,145.6848867,1208015.009,16752876
org.apache.tools.ant.util.regexp.RegexpUtil,0,0,0,0,0,0,0,0,0,3,0,4,0,0,20,0.989821949,6,4235.17237,381.0000001,393.1539139,261.6447974,243.0000002,4224.993846,4218.145209,4224.936449,103.1212878,260.7163209,0,,243.8097048,342.9475179,4218.000546,4231.918832,20.09824072,4219.115192,20.17895427,169124.0012,17791767
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,0,0,0,0,0,0,0,0,0,5,6,12,3,3,86,0.918985912,5,4169.535706,382.0000086,393.6356183,255.3311575,237.0000138,4158.758589,4152.123312,4158.873044,100.2447006,257.1886467,0,,250.2134305,335.1805484,4152.011835,4165.507172,86.57464358,4153.086683,86.66185467,721552.0052,17239339
org.apache.tools.ant.util.regexp.RegexpMatcher,1,0,0,0,0,0,0,0,0,6,11,6,10,1,10,1,6,4245.131918,381,392.424515,250.3197955,232,4234.3604,4228.136705,4234.3604,99.959992,250.3197955,0,144,241.2255814,334.5220471,4228.013218,4241.213152,14.54667434,4229.044809,14.64530468,84666.0013,17876225
org.apache.tools.ant.util.regexp.RegexpFactory,0,0,0,0,0,0,0,0,0,4,6,13,1,5,83,0.918539569,2,4172.798821,385.0000086,396.7883567,255.704908,237.000014,4161.753717,4155.108302,4161.983421,100.5783277,259.4166533,0,,248.2195916,335.9121909,4155.010145,4168.556345,83.52639604,4156.108877,83.57667335,696632.005,17264259
org.apache.tools.ant.util.regexp.Regexp,1,0,0,0,0,0,0,0,0,1,8,1,6,2,3,1,3,4252.373572,384,396.5564273,255.0019608,235,4241.51506,4235.128569,4241.570582,104.3551628,255.9238168,0,32,246.0210683,340.898812,4235.002078,4248.698271,5.157581909,4236.156985,5.17084395,25420.00055,17935471
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4235.625101,386,398.246155,261.0900228,242.0000001,4224.936449,4218.13703,4224.936449,103.7304198,261.0900228,0,15,241.8164018,341.5333073,4218.001503,4231.804461,20.30610539,4219.138301,20.35522226,169126.0012,17791765
org.apache.tools.ant.util.MergingMapper,0,0,0,0,0,0,0,0,0,4,4,5,3,1,24,0.984771837,2,4231.550661,385.0000003,396.7883567,257.5597018,239.0000005,4220.772086,4214.13716,4220.772086,101.8430165,257.5597018,0,,243.1889609,340.124977,4214.00293,4227.703987,24.50053996,4215.093356,24.59353653,202853.0015,17758038
org.apache.tools.ant.util.LoaderUtils,1,0,0,0,0,0,0,0,0,8,6,21,3,3,70,0.957388663,7,4185.286609,380.0000024,390.9782603,254.2302106,237.0000038,4174.732686,4168.122839,4174.846704,97.4063653,256.0956852,0,13,236.5757707,328.9331239,4168.031331,4180.95934,71.84684845,4169.015231,72.00155521,588441.0044,17372450
org.apache.tools.ant.util.LineTokenizer,0,0,0,0,0,0,0,0,0,4,6,10,4,2,125,0.929479585,3,4130.886709,384.0000065,395.8181401,255.704908,237.0000105,4119.822569,4113.132383,4119.880217,101.5135459,256.6320323,0,,267.9020503,335.8764654,4113.010329,4126.691411,125.3355111,4114.120198,125.3986842,1043885.008,16917006
org.apache.tools.ant.util.LazyHashtable,0,0,0,0,0,0,0,0,0,9,0,16,0,0,60,0.91652393,1,4195.793131,386.000009,396.5816435,259.4802497,243.0000143,4185.060693,4178.146599,4185.002748,97.49871794,258.5440001,0,,238.6116964,334.5519392,4178.0133,4191.373164,60.90127221,4178.990907,61.10501091,504976.0036,17455915
org.apache.tools.ant.util.LazyFileOutputStream,1,0,0,0,0,0,0,0,0,10,1,22,1,0,117,0.909413056,2,4138.945035,385.0000107,395.3795645,258.1937257,242.000017,4128.099442,4121.148626,4128.04094,96.56603958,257.2566812,0,36,253.4864772,329.7059296,4121.028731,4134.168236,117.987645,4121.982654,118.2029252,978025.0071,16982866
org.apache.tools.ant.util.KeepAliveOutputStream,0,0,0,0,0,0,0,0,0,2,0,3,0,0,7,0.989821949,1,4248.571172,386.0000001,398.246155,262.017175,243.0000002,4237.972393,4231.144762,4237.915171,104.0624812,261.0900228,0,,244.0968379,343.6568055,4231.000244,4244.933568,7.130102729,4232.134804,7.189975911,59286.00042,17901605
org.apache.tools.ant.util.KeepAliveInputStream,0,0,0,0,0,0,0,0,0,2,1,3,1,0,7,0.989821949,2,4248.480434,385.0000001,397.2769815,261.0900228,242.0000002,4237.915171,4231.144762,4237.858185,104.0624812,260.1634102,0,,244.0984496,342.9533496,4231.000542,4244.876677,7.30448414,4232.134804,7.362939442,59286.00044,17901605
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,13,5,32,3,2,158,0.932991932,8,4097.565253,379.0000059,388.8573003,253.4028413,238.0000094,4086.935771,4080.133454,4086.994128,93.04837452,254.3422891,0,16,266.6919689,321.4747268,4080.068367,4092.645355,159.7507649,4080.927468,160.005088,1314276.01,16646615
org.apache.tools.ant.util.JavaEnvUtils,1,0,0,0,0,0,0,0,0,11,17,26,16,2,362,0.847675381,24,3892.960955,363.000032,373.7512542,242.8929805,226.0000513,3882.583161,3876.140477,3882.583161,94.9210198,242.8929805,0,89,424.305259,316.0965043,3876.108469,3888.86783,363.1475991,3877.021666,363.3170269,2937294.022,15023597
org.apache.tools.ant.util.IdentityMapper,0,0,0,0,0,0,0,0,0,4,6,5,5,1,16,0.984771837,0,4239.699636,387.0000003,398.7292314,255.704908,237.0000005,4228.64671,4222.1369,4228.64671,101.8430165,255.704908,0,,242.5378586,338.7226004,4222.004808,4235.565724,17.21417282,4223.091285,17.3041108,135365.0011,17825526
org.apache.tools.ant.util.GlobPatternMapper,1,0,0,0,0,0,0,0,0,5,5,15,4,1,137,0.883856507,2,4119.032168,385.0000175,396.5476012,256.259634,238.0000283,4107.900315,4101.140939,4107.900315,100.9009415,256.259634,0,59,269.3749165,332.3672667,4101.019748,4114.446378,137.5774713,4102.100194,137.6689816,1142458.008,16818433
org.apache.tools.ant.util.FlatFileNameMapper,0,0,0,0,0,0,0,0,0,4,2,7,1,1,20,0.984771837,0,4235.71635,387.0000003,398.7292314,259.4166533,241.0000005,4224.879288,4218.13703,4224.879288,101.8430165,259.4166533,0,,240.8245111,340.1190968,4218.002934,4231.690561,20.60120344,4219.092319,20.6942481,169127.0012,17791764
org.apache.tools.ant.util.FileUtils,1,1,1,0,0,1,0,0,0,37,51,146,46,8,2046,0.385821818,64,2215.669876,323.0005839,329.0866147,202.0717694,192.0009823,2200.392692,2192.16628,2200.745328,68.54195795,205.8761764,4,305,2046.538667,220.4926303,2195.538556,2203.061733,2049.752879,2192.905151,2050.06459,13155926.16,4804965
org.apache.tools.ant.util.FileNameMapper,0,0,0,0,0,0,0,0,0,3,23,3,23,0,3,1,7,4252.014229,380,392.1849054,240.4350224,220,4240.710436,4235.144626,4240.658675,103.1212878,239.520354,0,,244.0349763,327.8673512,4235.035037,4247.672539,17.48334503,4236.110716,17.4980643,25422.00617,17935469
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,1,0,0,0,0,0,0,0,0,3,6,6,5,1,25,0.987296893,4,4230.37327,383.0000002,395.0923943,256.0820181,237.0000003,4219.660887,4213.137192,4219.660887,102.7861858,256.0820181,0,29,242.3065895,338.0088756,4213.005958,4226.537472,25.97625977,4214.116515,26.04537978,211281.0016,17749610
org.apache.tools.ant.util.facade.FacadeTaskHelper,1,0,0,0,0,0,0,0,0,9,3,19,2,1,119,0.935518231,5,4136.675598,382.0000054,392.6894447,256.6729436,240.0000087,4125.986064,4119.140323,4125.986064,97.14422268,256.6729436,0,31,257.0961438,331.0347414,4119.023995,4132.280847,119.8158973,4120.005097,120.0009967,994502.0072,16966389
org.apache.tools.ant.util.DOMElementWriter,1,0,0,0,0,0,0,0,0,8,1,42,1,0,485,0.775526726,8,3772.088281,379.0000665,390.0064102,258.8976632,242.0001041,3760.794198,3753.163199,3760.729982,98.43271814,257.9631757,0,62,525.6798573,316.3953223,3753.109727,3766.313184,485.8136959,3754.127462,485.9004406,3875677.03,14085214
org.apache.tools.ant.util.DateUtils,1,0,0,0,0,0,0,0,0,11,3,36,3,0,314,0.931062098,7,3942.356656,380.0000063,390.2832305,255.9707014,240.0000099,3931.332598,3924.156088,3931.271677,95.63472173,255.0333312,0,53,377.9085548,318.8134251,3924.088006,3936.930022,315.0703744,3925.009172,315.2677594,2562904.019,15397987
org.apache.tools.ant.util.CollectionUtils,1,0,0,0,0,0,0,0,0,4,3,13,3,0,86,0.925275651,5,4169.535706,382.0000073,393.8781537,258.4879107,240.0000116,4158.930632,4152.147517,4158.873044,102.1812116,257.5597018,0,67,249.2744688,334.4801937,4152.013567,4165.450876,86.63361191,4153.109678,86.72193964,721553.0052,17239338
org.apache.tools.ant.util.ClasspathUtils,1,0,0,0,0,0,0,0,0,11,8,27,2,7,218,0.245803696,3,4038.298652,384.0007406,394.1788934,251.2886786,235.0012102,4026.862923,4020.097511,4027.157807,93.30058949,255.9707014,0,28,309.4573746,325.5764119,4020.047381,4033.162531,218.9028239,4020.985078,219.065765,1800271.013,16160620
org.apache.tools.ant.UnknownElement,0,4,1,0,0,1,2,1,0,28,26,89,17,14,817,1.22784E-05,42,3438.352222,345.0014492,352.4329724,228.6328935,217.0023041,3427.875435,3421.064454,3428.391168,75,236.2392855,12,,831.5475994,274.9345377,3421.71936,3432.030012,820.0707265,3421.757589,820.4274385,6257492.054,11703399
org.apache.tools.ant.types.ZipScanner,0,0,0,0,0,0,0,0,0,9,7,50,2,5,348,0.760729589,3,3908.907264,384.0000745,394.6352747,252.936751,236.0001213,3897.152294,3890.11568,3897.396567,95.81753493,256.6729436,0,,399.3636804,310.4979871,3890.15384,3902.372227,349.728188,3891.06425,349.8302733,2828594.022,15132297
org.apache.tools.ant.types.ZipFileSet,1,1,1,0,0,1,0,0,0,19,14,45,4,10,458,0.004526283,17,3798.065297,370.0013391,378.7624585,242.9032729,229.0021637,3786.930287,3780.082671,3787.485181,84.77027781,251.4060461,4,75,499.9318923,312.1666222,3780.143413,3792.868044,459.2278154,3780.867758,459.4932036,3672289.029,14288602
org.apache.tools.ant.types.XMLCatalog,1,1,1,0,0,0,1,0,0,30,15,109,4,13,929,0.000569154,7,3330.747814,380.0013143,386.3935817,238.5036687,228.0021905,3316.84564,3309.073133,3317.54804,73.37574531,248.0806321,3,291,937.4550961,275.1145216,3309.739892,3320.416992,931.6871733,3309.740322,932.0700591,7011272.062,10949619
org.apache.tools.ant.types.Substitution,0,0,0,0,0,0,0,0,0,4,6,17,2,4,70,0.917160985,4,4185.560058,383.000009,394.848072,255.704908,237.0000145,4174.732686,4168.115282,4174.904071,100.8811182,258.4879107,0,,240.3831809,332.4154028,4168.019284,4181.234746,71.15194582,4169.10542,71.21199108,588437.0043,17372454
org.apache.tools.ant.types.selectors.TypeSelector,1,0,0,0,0,0,0,0,0,6,9,22,4,5,105,0.870202463,9,4150.249752,378.0000223,389.5125158,252.1745427,234.000036,4139.618944,4133.108878,4139.846978,98.67117107,255.8906016,0,42,248.270183,327.5194651,4133.037366,4145.956826,106.4799858,4134.068819,106.5699543,878977.0064,17081914
org.apache.tools.ant.types.selectors.SizeSelector,1,0,0,0,0,0,0,0,0,8,11,28,5,6,366,0.840522221,9,3890.407177,378.0000336,389.0347028,249.5756398,232.0000548,3878.944186,3872.108599,3879.246447,96.46242792,254.2302106,0,141,426.1258601,322.6918034,3872.064807,3885.423272,366.7048122,3873.092821,366.7716241,2968288.023,14992603
org.apache.tools.ant.types.selectors.SelectSelector,0,0,0,0,0,0,0,0,0,13,11,34,5,7,199,0.076839286,8,4056.742782,379.0011243,388.8573003,247.7761086,232.0018367,4045.657549,4039.097053,4045.947355,91.39474821,252.4638588,0,,291.3888886,318.6502785,4039.086565,4051.550197,200.7804496,4039.936881,200.9899416,1647157.012,16313734
org.apache.tools.ant.types.selectors.SelectorUtils,0,0,0,0,0,0,0,0,0,17,6,42,5,1,936,0.352569453,6,3323.908091,381.0005501,389.9358922,251.1135201,237.0008843,3310.494374,3302.175041,3310.494374,89.69392399,251.1135201,0,,956.5216805,313.3592188,3302.152496,3316.83554,936.4912952,3303.042991,936.674399,7057482.062,10903409
org.apache.tools.ant.types.selectors.SelectorScanner,0,0,0,0,0,0,0,0,0,3,3,3,2,1,3,1,1,4252.554644,386,398.0012563,258.8609665,240,4241.795021,4235.13648,4241.795021,102.7861858,258.8609665,0,,244.0183829,342.2513696,4235.000954,4248.807009,4.12718861,4236.110716,4.18328897,25422.00034,17935469
org.apache.tools.ant.types.selectors.SelectorContainer,0,0,0,0,0,0,0,0,0,24,23,24,3,20,24,1,0,4231.733096,387,394.391937,232.7573844,220,4219.738854,4214.026697,4220.772086,77.46612163,250.7927431,0,,224.2897026,326.8791826,4214.039367,4226.658964,30.21063363,4214.685279,30.52474582,202872.0022,17758019
org.apache.tools.ant.types.selectors.PresentSelector,1,0,0,0,0,0,0,0,0,7,14,26,5,9,199,0.403994824,2,4057.307728,385.0004613,396.0732256,247.1639132,229.0007756,4045.486621,4039.083683,4045.947355,96.56603958,254.5937941,0,97,297.2868722,324.0524649,4039.05481,4051.978652,200.1539026,4040.070544,200.2178448,1647149.012,16313742
org.apache.tools.ant.types.selectors.OrSelector,0,0,0,0,0,0,0,0,0,3,6,14,5,2,52,0.553429955,5,4203.393867,382.000261,394.1230772,256.0820181,237.0004207,4192.703782,4186.130074,4192.703782,102.4597482,256.0820181,0,,238.7509098,332.3522228,4186.019393,4199.173014,53.53682613,4187.123714,53.59269416,438062.0033,17522829
org.apache.tools.ant.types.selectors.NotSelector,0,0,0,0,0,0,0,0,0,3,7,11,5,3,37,0.665108608,8,4218.061403,379.000148,391.2160528,255.1568145,236.0002376,4207.623676,4201.121874,4207.679883,102.1420579,256.0820181,0,,238.8999309,334.462255,4201.013454,4214.293061,38.50359489,4202.119703,38.5548542,312254.0024,17648637
