Class Name,HastTest,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.mail.MailMessage,1,0,0,0,0,0,0,0,0,31,5,68,2,3,624,0.20968207,3,3634.343,384.001,390.15,247.8,238.001,3621.828,3614.142,3621.96,76.059,249.722,0,554
org.apache.tools.mail.ErrorInQuitException,0,0,0,0,0,0,0,0,0,1,1,3,1,0,6,0.994897959,1,4249.567,386,398.493,261.467,242,4238.914,4232.145,4238.857,105.005,260.542,0,
org.apache.tools.bzip2.CRC,0,0,0,0,0,0,0,0,0,7,2,8,2,0,1082,0.964802363,3,3179.275,384,395.101,258.322,241,3165.188,3156.194,3165.112,99.368,257.389,0,
org.apache.tools.bzip2.CBZip2OutputStream,0,0,0,0,0,0,0,0,0,33,6,44,2,4,4238,0.2070315,3,384,384.001,389.801,246.288,237.001,237,31,240,73.824,249.177,0,
org.apache.tools.bzip2.CBZip2InputStream,0,0,0,0,0,0,0,0,0,32,4,40,2,2,2011,0.442999564,3,2259.864,384,389.974,248.485,239.001,2239.788,2227.244,2239.895,75.584,249.447,0,
org.apache.tools.bzip2.BZip2Constants,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2064,1,0,2208.177,387,399.462,260.542,241,2187.317,2174.282,2187.207,105.005,259.617,0,
org.apache.tools.ant.XmlLogger,0,2,1,0,1,0,1,0,0,16,13,74,0,13,635,0.731904742,1,3623.618,386,395.034,244.859,230,3610.334,3603.067,3611.118,86.833,256.164,8,
org.apache.tools.ant.util.WeakishReference,0,0,0,0,0,0,0,0,0,5,3,13,1,2,91,0.990576132,1,4164.926,386,397.519,258.118,240,4153.939,4147.131,4153.997,100.568,259.048,0,
org.apache.tools.ant.util.Watchdog,0,0,0,0,0,0,0,0,0,7,3,22,3,1,112,0.954957441,3,4143.831,384,395.101,257.389,240,4132.974,4126.14,4132.916,99.02,256.457,0,
org.apache.tools.ant.util.UnPackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4235.625,386,398.246,261.09,242,4224.936,4218.137,4224.936,103.73,261.09,0,15
org.apache.tools.ant.util.Tokenizer,0,0,0,0,0,0,0,0,0,2,5,2,5,0,2,1,0,4253.641,387,399.215,257.387,238,4242.681,4236.145,4242.625,104.062,256.462,0,
org.apache.tools.ant.util.TimeoutObserver,0,0,0,0,0,0,0,0,0,1,3,1,3,1,1,1,0,4254.637,387,399.462,259.617,240,4243.792,4237.136,4243.735,104.676,258.693,0,
org.apache.tools.ant.util.TeeOutputStream,0,0,0,0,0,0,0,0,0,6,1,12,1,0,62,0.969775571,3,4193.618,384,395.338,259.615,242,4183.006,4176.147,4182.948,100.305,258.683,0,
org.apache.tools.ant.util.TaskLogger,0,0,0,0,0,0,0,0,0,6,1,8,0,1,43,0.898150964,0,4212.813,387,398.252,259.615,242,4201.974,4195.138,4201.974,99.96,259.615,0,
org.apache.tools.ant.util.StringUtils,1,0,0,0,0,0,0,0,0,6,14,24,14,0,116,0.964751618,9,4139.296,378,389.513,247.542,229,4128.356,4122.149,4128.301,100.305,246.617,0,29
org.apache.tools.ant.util.SourceFileScanner,0,0,0,0,0,0,0,0,0,4,13,18,6,7,137,0.718916206,7,4118.568,380,391.939,249.231,230,4107.445,4101.096,4107.785,100,254.778,0,
org.apache.tools.ant.util.ScriptRunner,0,1,1,0,0,0,1,0,0,8,3,38,0,3,233,0.936385461,3,4023.367,384,394.867,257.029,240,4012.185,4005.128,4012.305,97.406,258.898,3,
org.apache.tools.ant.util.ResourceUtils,1,0,0,0,0,0,0,0,0,2,7,22,2,5,222,0.877314915,2,4034.412,385,397.277,255.539,236,4022.928,4016.112,4023.165,102.489,259.237,0,24
org.apache.tools.ant.util.RegexpPatternMapper,0,0,0,0,0,0,0,0,0,5,4,20,0,4,145,0.936799027,1,4111.161,386,397.519,257.189,239,4099.972,4093.117,4100.148,99.93,259.979,0,
org.apache.tools.ant.util.regexp.RegexpUtil,0,0,0,0,0,0,0,0,0,3,0,4,0,0,20,0.989821949,6,4235.172,381,393.154,261.645,243,4224.994,4218.145,4224.936,103.121,260.716,0,
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,0,0,0,0,0,0,0,0,0,5,6,12,3,3,86,0.918985912,5,4169.536,382,393.636,255.331,237,4158.759,4152.123,4158.873,100.245,257.189,0,
org.apache.tools.ant.util.regexp.RegexpMatcher,1,0,0,0,0,0,0,0,0,6,11,6,10,1,10,1,6,4245.132,381,392.425,250.32,232,4234.36,4228.137,4234.36,99.96,250.32,0,144
org.apache.tools.ant.util.regexp.RegexpFactory,0,0,0,0,0,0,0,0,0,4,6,13,1,5,83,0.918539569,2,4172.799,385,396.788,255.705,237,4161.754,4155.108,4161.983,100.578,259.417,0,
org.apache.tools.ant.util.regexp.Regexp,1,0,0,0,0,0,0,0,0,1,8,1,6,2,3,1,3,4252.374,384,396.556,255.002,235,4241.515,4235.129,4241.571,104.355,255.924,0,32
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4235.625,386,398.246,261.09,242,4224.936,4218.137,4224.936,103.73,261.09,0,15
org.apache.tools.ant.util.MergingMapper,0,0,0,0,0,0,0,0,0,4,4,5,3,1,24,0.984771837,2,4231.551,385,396.788,257.56,239,4220.772,4214.137,4220.772,101.843,257.56,0,
org.apache.tools.ant.util.LoaderUtils,1,0,0,0,0,0,0,0,0,8,6,21,3,3,70,0.957388663,7,4185.287,380,390.978,254.23,237,4174.733,4168.123,4174.847,97.406,256.096,0,13
org.apache.tools.ant.util.LineTokenizer,0,0,0,0,0,0,0,0,0,4,6,10,4,2,125,0.929479585,3,4130.887,384,395.818,255.705,237,4119.823,4113.132,4119.88,101.514,256.632,0,
org.apache.tools.ant.util.LazyHashtable,0,0,0,0,0,0,0,0,0,9,0,16,0,0,60,0.91652393,1,4195.793,386,396.582,259.48,243,4185.061,4178.147,4185.003,97.499,258.544,0,
org.apache.tools.ant.util.LazyFileOutputStream,1,0,0,0,0,0,0,0,0,10,1,22,1,0,117,0.909413056,2,4138.945,385,395.38,258.194,242,4128.099,4121.149,4128.041,96.566,257.257,0,36
org.apache.tools.ant.util.KeepAliveOutputStream,0,0,0,0,0,0,0,0,0,2,0,3,0,0,7,0.989821949,1,4248.571,386,398.246,262.017,243,4237.972,4231.145,4237.915,104.062,261.09,0,
org.apache.tools.ant.util.KeepAliveInputStream,0,0,0,0,0,0,0,0,0,2,1,3,1,0,7,0.989821949,2,4248.48,385,397.277,261.09,242,4237.915,4231.145,4237.858,104.062,260.163,0,
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,13,5,32,3,2,158,0.932991932,8,4097.565,379,388.857,253.403,238,4086.936,4080.133,4086.994,93.048,254.342,0,16
org.apache.tools.ant.util.JavaEnvUtils,1,0,0,0,0,0,0,0,0,11,17,26,16,2,362,0.847675381,24,3892.961,363,373.751,242.893,226,3882.583,3876.14,3882.583,94.921,242.893,0,89
org.apache.tools.ant.util.IdentityMapper,0,0,0,0,0,0,0,0,0,4,6,5,5,1,16,0.984771837,0,4239.7,387,398.729,255.705,237,4228.647,4222.137,4228.647,101.843,255.705,0,
org.apache.tools.ant.util.GlobPatternMapper,1,0,0,0,0,0,0,0,0,5,5,15,4,1,137,0.883856507,2,4119.032,385,396.548,256.26,238,4107.9,4101.141,4107.9,100.901,256.26,0,59
org.apache.tools.ant.util.FlatFileNameMapper,0,0,0,0,0,0,0,0,0,4,2,7,1,1,20,0.984771837,0,4235.716,387,398.729,259.417,241,4224.879,4218.137,4224.879,101.843,259.417,0,
org.apache.tools.ant.util.FileUtils,1,1,1,0,0,1,0,0,0,37,51,146,46,8,2046,0.385821818,64,2215.67,323.001,329.087,202.072,192.001,2200.393,2192.166,2200.745,68.542,205.876,4,305
org.apache.tools.ant.util.FileNameMapper,0,0,0,0,0,0,0,0,0,3,23,3,23,0,3,1,7,4252.014,380,392.185,240.435,220,4240.71,4235.145,4240.659,103.121,239.52,0,
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,1,0,0,0,0,0,0,0,0,3,6,6,5,1,25,0.987296893,4,4230.373,383,395.092,256.082,237,4219.661,4213.137,4219.661,102.786,256.082,0,29
org.apache.tools.ant.util.facade.FacadeTaskHelper,1,0,0,0,0,0,0,0,0,9,3,19,2,1,119,0.935518231,5,4136.676,382,392.689,256.673,240,4125.986,4119.14,4125.986,97.144,256.673,0,31
org.apache.tools.ant.util.DOMElementWriter,1,0,0,0,0,0,0,0,0,8,1,42,1,0,485,0.775526726,8,3772.088,379,390.006,258.898,242,3760.794,3753.163,3760.73,98.433,257.963,0,62
org.apache.tools.ant.util.DateUtils,1,0,0,0,0,0,0,0,0,11,3,36,3,0,314,0.931062098,7,3942.357,380,390.283,255.971,240,3931.333,3924.156,3931.272,95.635,255.033,0,53
org.apache.tools.ant.util.CollectionUtils,1,0,0,0,0,0,0,0,0,4,3,13,3,0,86,0.925275651,5,4169.536,382,393.878,258.488,240,4158.931,4152.148,4158.873,102.181,257.56,0,67
org.apache.tools.ant.util.ClasspathUtils,1,0,0,0,0,0,0,0,0,11,8,27,2,7,218,0.245803696,3,4038.299,384.001,394.179,251.289,235.001,4026.863,4020.098,4027.158,93.301,255.971,0,28
org.apache.tools.ant.UnknownElement,0,4,1,0,0,1,2,1,0,28,26,89,17,14,817,1.22784E-05,42,3438.352,345.001,352.433,228.633,217.002,3427.875,3421.064,3428.391,75,236.239,12,
org.apache.tools.ant.types.ZipScanner,0,0,0,0,0,0,0,0,0,9,7,50,2,5,348,0.760729589,3,3908.907,384,394.635,252.937,236,3897.152,3890.116,3897.397,95.818,256.673,0,
org.apache.tools.ant.types.ZipFileSet,1,1,1,0,0,1,0,0,0,19,14,45,4,10,458,0.004526283,17,3798.065,370.001,378.762,242.903,229.002,3786.93,3780.083,3787.485,84.77,251.406,4,75
org.apache.tools.ant.types.XMLCatalog,1,1,1,0,0,0,1,0,0,30,15,109,4,13,929,0.000569154,7,3330.748,380.001,386.394,238.504,228.002,3316.846,3309.073,3317.548,73.376,248.081,3,291
org.apache.tools.ant.types.Substitution,0,0,0,0,0,0,0,0,0,4,6,17,2,4,70,0.917160985,4,4185.56,383,394.848,255.705,237,4174.733,4168.115,4174.904,100.881,258.488,0,
org.apache.tools.ant.types.selectors.TypeSelector,1,0,0,0,0,0,0,0,0,6,9,22,4,5,105,0.870202463,9,4150.25,378,389.513,252.175,234,4139.619,4133.109,4139.847,98.671,255.891,0,42
org.apache.tools.ant.types.selectors.SizeSelector,1,0,0,0,0,0,0,0,0,8,11,28,5,6,366,0.840522221,9,3890.407,378,389.035,249.576,232,3878.944,3872.109,3879.246,96.462,254.23,0,141
org.apache.tools.ant.types.selectors.SelectSelector,0,0,0,0,0,0,0,0,0,13,11,34,5,7,199,0.076839286,8,4056.743,379.001,388.857,247.776,232.002,4045.658,4039.097,4045.947,91.395,252.464,0,
org.apache.tools.ant.types.selectors.SelectorUtils,0,0,0,0,0,0,0,0,0,17,6,42,5,1,936,0.352569453,6,3323.908,381.001,389.936,251.114,237.001,3310.494,3302.175,3310.494,89.694,251.114,0,
org.apache.tools.ant.types.selectors.SelectorScanner,0,0,0,0,0,0,0,0,0,3,3,3,2,1,3,1,1,4252.555,386,398.001,258.861,240,4241.795,4235.136,4241.795,102.786,258.861,0,
org.apache.tools.ant.types.selectors.SelectorContainer,0,0,0,0,0,0,0,0,0,24,23,24,3,20,24,1,0,4231.733,387,394.392,232.757,220,4219.739,4214.027,4220.772,77.466,250.793,0,
org.apache.tools.ant.types.selectors.PresentSelector,1,0,0,0,0,0,0,0,0,7,14,26,5,9,199,0.403994824,2,4057.308,385,396.073,247.164,229.001,4045.487,4039.084,4045.947,96.566,254.594,0,97
org.apache.tools.ant.types.selectors.OrSelector,0,0,0,0,0,0,0,0,0,3,6,14,5,2,52,0.553429955,5,4203.394,382,394.123,256.082,237,4192.704,4186.13,4192.704,102.46,256.082,0,
org.apache.tools.ant.types.selectors.NotSelector,0,0,0,0,0,0,0,0,0,3,7,11,5,3,37,0.665108608,8,4218.061,379,391.216,255.157,236,4207.624,4201.122,4207.68,102.142,256.082,0,
org.apache.tools.ant.types.selectors.NoneSelector,0,0,0,0,0,0,0,0,0,3,7,14,6,2,52,0.553429955,6,4203.303,381,393.154,255.157,236,4192.647,4186.13,4192.647,102.46,255.157,0,
org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache,0,1,1,0,0,1,0,0,0,12,2,42,1,1,236,0.890745154,2,4020.476,385,394.929,256.564,241,4009.25,4002.144,4009.25,94.34,256.564,4,
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,0,1,1,0,0,1,0,0,0,18,21,71,5,16,661,0.668157259,10,3596.812,377,385.815,236.66,222,3583.882,3577.05,3584.843,84.172,250.785,4,
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,0,1,1,0,0,1,0,0,0,4,1,13,0,1,45,0.974671613,0,4210.822,387,398.729,260.346,242,4199.978,4193.138,4199.978,101.843,260.346,4,
org.apache.tools.ant.types.selectors.modifiedselector.EqualComparator,0,1,1,0,0,1,0,0,0,3,1,5,1,0,24,0.974593919,0,4231.733,387,398.971,260.716,242,4220.943,4214.145,4220.886,103.121,259.788,4,
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,0,1,1,0,0,1,0,0,0,7,3,25,1,2,211,0.966046146,1,4045.457,386,397.045,257.389,240,4034.145,4027.135,4034.205,98.681,258.322,4,
org.apache.tools.ant.types.selectors.modifiedselector.Cache,0,1,1,0,0,1,0,0,0,7,2,7,2,0,7,1,1,4248.571,386,397.045,258.322,241,4237.858,4231.145,4237.801,99.368,257.389,4,
org.apache.tools.ant.types.selectors.modifiedselector.Algorithm,0,1,1,0,0,1,0,0,0,2,3,2,3,0,2,1,1,4253.551,386,398.246,259.237,240,4242.793,4236.145,4242.737,104.062,258.312,4,
org.apache.tools.ant.types.selectors.MappingSelector,0,0,0,0,0,0,0,0,0,7,10,23,2,8,139,0.410340292,3,4116.948,384,395.101,250.874,233.001,4105.617,4099.089,4106.02,96.84,257.389,0,
org.apache.tools.ant.types.selectors.MajoritySelector,0,0,0,0,0,0,0,0,0,4,6,15,5,2,83,0.550606333,5,4172.523,382,393.878,255.705,237,4161.754,4155.131,4161.754,101.514,255.705,0,
org.apache.tools.ant.types.selectors.FileSelector,0,0,0,0,0,0,0,0,0,1,16,1,15,1,1,1,3,4254.365,384,396.556,247.649,227,4243.076,4237.136,4243.076,104.676,247.649,0,
org.apache.tools.ant.types.selectors.FilenameSelector,1,0,0,0,0,0,0,0,0,8,10,23,5,5,198,0.772037285,9,4057.645,378,389.035,250.505,233,4046.713,4040.111,4046.946,96.768,254.23,0,65
org.apache.tools.ant.types.selectors.ExtendSelector,0,0,0,0,0,0,0,0,0,10,17,36,5,12,253,0.106276291,3,4003.459,384.001,394.406,243.261,226.002,3991.403,3985.066,3992.041,92.892,253.513,0,
org.apache.tools.ant.types.selectors.ExtendFileSelector,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,1,0,4255.633,387,399.711,259.077,239,4244.734,4238.128,4244.79,105.304,260,0,
org.apache.tools.ant.types.selectors.DifferentSelector,0,0,0,0,0,0,0,0,0,3,7,14,4,3,92,0.987543086,0,4164.023,387,398.971,255.157,236,4152.711,4146.123,4152.826,102.142,257.008,0,
org.apache.tools.ant.types.selectors.DepthSelector,1,0,0,0,0,0,0,0,0,7,9,26,5,4,263,0.859148188,9,3992.932,378,389.272,251.803,234,3981.882,3975.121,3982.059,98.031,254.594,0,101
org.apache.tools.ant.types.selectors.DependSelector,1,0,0,0,0,0,0,0,0,3,9,11,5,4,76,0.954704247,0,4179.954,387,398.971,253.308,234,4168.573,4162.115,4168.742,101.833,256.082,0,112
org.apache.tools.ant.types.selectors.DateSelector,1,0,0,0,0,0,0,0,0,11,12,38,5,7,394,0.794676134,9,3862.541,378,388.336,247.552,231,3850.935,3844.102,3851.299,93.301,253.16,0,171
org.apache.tools.ant.types.selectors.ContainsSelector,1,0,0,0,0,0,0,0,0,8,11,30,5,6,299,0.842091441,9,3957.096,378,389.035,249.576,232,3945.826,3939.107,3946.123,96.462,254.23,0,68
org.apache.tools.ant.types.selectors.ContainsRegexpSelector,0,0,0,0,0,0,0,0,0,6,14,29,5,9,224,0.830050406,9,4031.759,378,389.513,247.542,229,4020.527,4014.084,4020.991,97.529,254.961,0,
org.apache.tools.ant.types.selectors.BaseSelectorContainer,0,0,0,0,0,0,0,0,0,28,23,45,6,23,204,0.550007495,18,4050.842,369,375.959,231.482,220,4039.995,4034.018,4040.897,72.993,246.739,0,
org.apache.tools.ant.types.selectors.BaseSelector,1,0,0,0,0,0,0,0,0,6,18,8,15,3,39,0.942478172,15,4215.446,372,383.693,243.846,225,4205.024,4199.122,4205.131,99.298,245.693,0,145
org.apache.tools.ant.types.selectors.BaseExtendSelector,0,0,0,0,0,0,0,0,0,4,12,5,8,4,18,0.984771837,7,4237.074,380,391.939,250.154,231,4226.318,4220.114,4226.483,100.881,252.927,0,
org.apache.tools.ant.types.selectors.AndSelector,0,0,0,0,0,0,0,0,0,3,6,14,5,2,52,0.553429955,5,4203.394,382,394.123,256.082,237,4192.704,4186.13,4192.704,102.46,256.082,0,
org.apache.tools.ant.types.ResourceLocation,0,0,0,0,0,0,0,0,0,7,5,8,5,0,47,0.969775571,4,4208.464,383,394.129,255.525,238,4197.752,4191.146,4197.696,99.368,254.594,0,
org.apache.tools.ant.types.ResourceFactory,0,0,0,0,0,0,0,0,0,1,5,1,4,1,1,1,0,4254.637,387,399.462,257.769,238,4243.679,4237.136,4243.679,104.676,257.769,0,
org.apache.tools.ant.types.Resource,0,0,0,0,0,0,0,0,0,14,8,19,8,0,138,0.823241575,7,4117.572,380,389.61,250.242,235,4106.729,4100.149,4106.672,92.849,249.303,0,
org.apache.tools.ant.types.resolver.ApacheCatalogResolver,0,1,1,0,0,0,0,1,0,7,7,32,1,7,128,0.864397831,0,4128.18,387,398.018,253.663,236,4116.77,4110.095,4117.06,97.124,258.322,2,
org.apache.tools.ant.types.resolver.ApacheCatalog,0,0,0,0,0,0,0,0,0,4,6,14,1,6,96,0.994897959,1,4159.947,386,397.759,255.705,237,4148.775,4142.102,4149.005,100.285,259.417,0,
org.apache.tools.ant.types.RegularExpression,0,1,1,0,0,0,1,0,0,6,11,23,4,7,95,0.824746021,5,4160.574,382,393.395,250.32,232,4149.491,4143.095,4149.83,98.082,255.891,3,
org.apache.tools.ant.types.Reference,0,1,1,0,0,1,0,0,0,5,35,11,33,2,54,0.942894609,21,4199.978,366,378.128,228.668,208,4189.167,4184.13,4189.217,100.568,229.578,4,
org.apache.tools.ant.types.PropertySet,1,0,0,0,0,0,0,0,0,17,19,67,6,13,468,0.057480846,2,3789.607,385.001,393.845,238.883,224.002,3776.649,3770.064,3777.38,85.866,250.17,0,17
org.apache.tools.ant.types.Permissions,1,0,0,0,0,0,0,0,0,12,6,34,3,4,367,0.949882739,5,3889.803,382,392.005,252.81,237,3878.248,3871.124,3878.371,93.301,254.686,0,100
org.apache.tools.ant.types.PatternSet,1,0,0,0,0,0,0,0,0,22,12,68,7,6,677,0.386693148,5,3581.431,382,389.882,243.813,231.001,3568.485,3561.118,3568.746,83.217,247.607,0,152
org.apache.tools.ant.types.Path,1,0,0,0,0,0,0,0,0,30,51,102,40,13,1238,0.009717341,91,3014.567,296.002,304.164,204.362,192.003,3006.138,3000.081,3006.793,73.376,213.785,0,467
org.apache.tools.ant.types.Parameterizable,0,0,0,0,0,0,0,0,0,1,5,1,4,1,1,1,1,4254.546,386,398.493,257.769,238,4243.679,4237.136,4243.679,104.676,257.769,0,
org.apache.tools.ant.types.Parameter,0,0,0,0,0,0,0,0,0,7,24,8,24,0,43,0.969775571,1,4212.721,386,397.045,237.929,219,4200.713,4195.146,4200.661,99.368,237.008,0,
org.apache.tools.ant.types.Mapper,1,0,0,0,0,0,0,0,0,11,16,42,7,9,291,0.045007762,14,3964.585,373.001,383.471,243.824,227.002,3953.522,3947.086,3953.99,92.72,251.289,0,172
org.apache.tools.ant.types.FlexInteger,1,0,0,0,0,0,0,0,0,3,0,7,0,0,19,0.984771837,0,4236.712,387,398.971,261.645,243,4225.992,4219.145,4225.935,103.121,260.716,0,34
org.apache.tools.ant.types.FilterSetCollection,0,0,0,0,0,0,0,0,0,5,6,13,5,1,69,0.959803913,3,4186.647,384,395.577,255.331,237,4175.731,4169.139,4175.731,100.901,255.331,0,
org.apache.tools.ant.types.FilterSet,1,0,0,0,0,0,0,0,0,20,11,71,7,6,698,0.604606359,5,3560.551,382,390.287,245.406,232,3547.594,3540.119,3547.792,85.094,248.244,0,118
org.apache.tools.ant.types.FilterChain,0,0,0,0,0,0,0,0,0,25,32,38,5,27,189,0.862162259,1,4067.357,386,393.219,223.933,211,4054.494,4049.008,4055.93,75.425,248.584,0,
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,3,32,9,28,4,23,0.204194771,13,4231.56,374.001,386.374,232.228,211.002,4220.278,4215.114,4220.429,101.833,234.957,0,8
org.apache.tools.ant.types.FileList,1,0,0,0,0,0,0,0,0,8,11,33,6,5,181,0.414587503,2,4075.227,385,395.84,249.576,232.001,4063.628,4057.111,4063.858,96.768,253.298,0,99
org.apache.tools.ant.types.Environment,0,0,0,0,0,0,0,0,0,3,7,9,5,2,47,0.974671613,6,4208.283,381,393.154,255.157,236,4197.639,4191.13,4197.696,102.46,256.082,0,
org.apache.tools.ant.types.EnumeratedAttribute,1,0,0,0,0,0,0,0,0,8,59,14,58,1,87,0.977248135,61,4163.782,326,338.733,205.718,184,4155.076,4151.139,4155.076,98.082,205.718,0,51
org.apache.tools.ant.types.DTDLocation,0,0,0,0,0,0,0,0,0,1,1,2,0,1,4,1,0,4251.65,387,399.462,261.467,242,4240.91,4234.137,4240.91,104.676,261.467,0,
org.apache.tools.ant.types.DirSet,1,0,0,0,0,0,0,0,0,3,9,9,5,4,23,0.206803373,3,4232.456,384.001,396.062,253.308,234.001,4221.49,4215.114,4221.658,101.833,256.082,0,32
org.apache.tools.ant.types.Description,1,0,0,0,0,0,0,0,0,5,9,24,1,9,137,0.974998221,2,4119.032,385,396.548,252.549,234,4107.671,4101.082,4108.075,98.494,259.048,0,25
org.apache.tools.ant.types.DataType,0,0,0,0,0,0,0,0,0,15,24,29,20,4,169,0.892928994,23,4085.249,364,373.793,234.917,219,4074.889,4069.118,4075.052,90.477,237.716,0,
org.apache.tools.ant.types.CommandlineJava,1,0,0,0,0,0,0,0,0,35,12,79,2,11,487,0.003751239,16,3769.303,371.001,376.651,239.971,231.002,3758.106,3751.077,3758.67,69.289,248.646,0,120
org.apache.tools.ant.types.Commandline,1,0,0,0,0,0,0,0,0,30,31,65,29,4,634,0.612501566,75,3617.48,312,319.756,223.258,212,3610.23,3604.133,3610.289,76.557,224.207,0,91
org.apache.tools.ant.types.Assertions,1,0,0,0,0,0,0,0,0,12,11,38,2,10,224,0.839529485,14,4031.293,373,383.24,248.129,232,4020.699,4014.078,4021.168,91.482,255.625,0,51
org.apache.tools.ant.types.AntFilterReader,0,0,0,0,0,0,0,0,0,10,9,31,2,7,166,0.116941733,1,4090.254,386.001,396.353,250.711,234.002,4078.718,4072.096,4079.067,94.255,256.32,0,
