@relation 'Ant17ALLModels-weka.filters.unsupervised.attribute.Remove-R1-31,33-46'

@attribute 'd(RFC, Ca)' numeric
@attribute #Risk numeric

@data
506.663596,0
541.793319,0
507.938973,5
494.446155,6
538.769895,6
548.547172,0
536.39258,0
553.653321,0
527.274122,0
550.578786,0
544.860533,0
553.22509,3
559.946426,0
535.210239,3
490.743314,6
557.253982,0
436.400046,0
553.203398,0
545.649155,0
553.685831,3
551.913943,3
553.685831,0
555.886679,0
562.353092,0
511.566222,0
560.86362,0
563.298322,0
560.94563,0
564.588346,0
566.166937,0
560.86362,0
554.993694,0
566.00795,0
567.439865,0
558.600036,0
566.562441,0
568.401267,0
567.439865,0
559.489946,7
567.919889,3
572.30062,0
569.85349,0
571.808534,0
545.404437,6
547.04753,3
527.154626,0
513.448147,0
474.368001,0
516.562678,3
503.170945,0
519.570014,6
514.285913,0
387.005168,0
541.181116,0
531.864644,0
472.239346,0
523.55038,10
507.1972,0
520.178815,0
521.889835,0
516.65172,0
520.557394,0
525.693827,0
550.145435,0
546.191358,0
547.711603,0
528.015151,3
532.43779,0
532.245244,0
549.634424,0
539.964814,0
535.182212,4
524.649407,0
526.901319,0
533.975655,0
535.555786,0
544.77243,0
539.43767,0
544.26556,0
535.09345,7
549.651708,0
553.209725,0
544.985321,0
532.760734,0
553.203398,0
532.391773,0
546.059521,3
529.0293,3
554.098367,0
549.283169,0
540.712493,0
535.471755,0
521.785397,9
550.090902,0
537.033519,0
549.178477,0
546.144669,6
531.309702,3
546.670833,3
539.545179,0
545.162361,0
542.470276,0
550.989111,0
543.438129,0
537.033519,0
558.581239,0
554.106488,0
555.445767,0
258,0
543.82442,0
544.235243,0
550.967331,0
547.008227,0
551.479827,0
542.825939,0
538.769895,7
553.696668,0
534.629778,0
558.664479,0
555.445767,0
528.519631,0
552.757632,0
553.650612,0
553.20611,0
548.745843,0
552.123175,4
529.872626,0
555.965826,0
562.714848,0
559.057242,0
548.745843,0
540.719891,0
550.186332,0
553.203398,0
555.442166,1
555.442166,0
561.413395,0
556.345217,0
562.714848,0
557.358951,0
539.692505,0
542.175248,0
546.802524,0
551.518812,0
551.420892,0
538.384621,0
549.758129,3
551.949273,0
557.253982,0
554.109195,0
538.543406,0
549.331412,0
561.88255,0
553.22509,0
553.249492,0
549.811786,0
551.089829,0
553.685831,0
556.529424,0
555.003604,0
554.123632,0
554.123632,0
558.664479,0
531.723612,0
550.090902,0
552.767582,0
555.445767,0
554.616985,0
558.294725,0
561.538066,0
560.479259,0
542.033209,4
559.37912,0
560.014286,0
556.334432,0
552.782055,0
556.780926,0
560.589868,0
551.719131,0
551.089829,0
556.335331,0
556.780926,0
555.003604,0
554.106488,0
558.294725,0
562.417994,0
559.236086,0
557.228858,0
550.662328,0
560.404318,0
554.549367,0
547.296081,0
554.833308,0
556.785416,0
557.678223,0
560.061604,0
560.94563,0
560.014286,0
560.479259,0
558.129017,0
556.345217,0
562.714848,0
562.093409,0
557.228858,0
554.813482,0
548.967212,0
563.298322,0
557.948026,0
561.135456,0
558.581239,0
515.26498,0
558.627783,0
559.489946,0
560.86362,0
563.298322,0
563.298322,0
563.298322,0
556.785416,0
561.88255,0
561.324327,0
560.014286,0
556.334432,0
559.975892,0
559.057242,0
563.235297,0
563.370216,0
548.482452,0
564.588346,0
561.830045,0
563.648827,0
556.780926,0
541.639179,0
557.228858,0
562.665975,0
561.943947,3
563.706484,0
566.961198,0
545.649155,0
561.894118,0
563.298322,0
563.181143,0
550.578786,0
561.943947,0
563.056836,0
559.034883,0
561.786436,0
554.063173,0
563.540593,0
565.533377,0
564.652991,0
565.291076,0
559.177968,0
565.128304,0
554.993694,0
558.144247,0
565.604986,0
547.153543,3
559.034883,0
549.331412,3
561.830045,0
566.166937,0
557.678223,0
550.145435,0
556.780926,0
563.151845,0
562.249944,0
562.249944,0
564.327919,0
553.22509,0
562.714848,0
562.297075,0
567.439865,0
567.439865,0
558.168433,0
559.057242,0
565.60145,0
566.562441,0
559.975892,0
568.008803,0
565.872777,0
566.00795,0
566.562441,0
562.665975,0
567.52533,0
569.084352,0
559.489946,0
563.773004,3
562.297075,0
563.706484,0
563.639069,0
566.095398,0
561.364409,0
562.714848,3
566.562441,0
566.562441,0
543.111407,4
567.134023,0
561.894118,0
566.85095,0
561.830045,0
562.297075,0
563.181143,0
564.238425,0
562.765493,0
561.364409,0
559.034883,0
566.649804,0
559.489946,0
567.919889,0
561.830045,0
561.830045,0
562.297075,0
568.979789,0
561.324327,0
563.648827,4
562.765493,0
565.108839,0
568.493624,0
565.872777,0
563.235297,0
558.144247,0
564.025709,0
562.297075,0
565.604986,0
565.604986,0
569.57528,0
567.439865,0
561.405379,0
566.471535,0
563.151845,0
563.151845,0
561.388457,0
565.604986,0
565.604986,0
566.083033,0
565.108839,0
560.589868,0
566.961198,0
558.129017,0
567.52533,0
567.52533,0
567.439865,0
567.585236,0
558.157684,0
569.956139,0
568.493624,0
565.128304,0
569.197681,0
567.52533,0
568.493624,0
566.083033,0
566.219922,0
565.852454,0
570.06754,0
568.594759,0
564.726482,0
565.604986,0
568.493624,0
570.06754,0
563.706484,6
566.083033,0
561.471282,0
564.652991,0
557.046677,0
556.335331,0
568.008803,0
566.961198,5
555.427763,0
568.008803,0
550.523387,0
569.197681,0
569.57528,0
560.900169,0
568.594759,0
568.401267,0
567.52533,0
562.765493,0
570.06754,0
569.197681,0
563.235297,0
564.117896,0
568.008803,0
568.883995,0
562.825017,0
565.060174,0
570.187688,0
566.00795,0
565.128304,0
568.084501,0
515.039804,0
568.084501,0
570.937825,0
558.144247,0
541.133071,0
567.919889,0
569.57528,0
570.446316,0
571.430661,0
571.430661,0
546.056774,0
566.718625,0
571.808534,0
569.197681,0
568.493624,0
571.92482,0
569.85349,0
568.979789,0
568.979789,0
568.979789,0
568.979789,0
564.17905,6
564.652991,0
570.340249,0
570.340249,0
570.340249,0
570.340249,0
571.92482,0
572.4203,0
568.950789,0
570.684677,0
570.684677,0
571.552272,0
569.817515,0
572.794029,0
571.92482,0
571.056039,0
571.552272,0
570.828345,0
570.828345,0
570.446316,0
571.317775,0
571.182983,0
558.745022,0
572.049823,0
572.049823,0
572.049823,0
572.4203,0
572.049823,0
572.049823,0
572.917097,0
554.123632,0
569.086988,0
570.816958,0
571.682604,0
553.685831,0
554.123632,0
554.993694,0
556.334432,0
555.889378,0
568.008803,0
557.228858,0
560.117845,0
557.228858,0
559.489946,5
561.786436,0
553.665061,0
565.060174,0
559.515862,0
557.624426,0
560.404318,0
563.181143,0
565.604986,0
569.086988,0
565.533377,0
567.919889,0
565.060174,0
568.493624,0
566.483892,0
566.483892,0
562.714848,0
572.917097,0
567.043208,0
566.961198,0
566.562441,0
563.056836,0
568.883995,0
553.209725,4
562.014235,0
566.00795,0
557.236933,0
566.483892,0
569.85349,0
568.979789,0
568.979789,0
566.083033,0
559.946426,0
573.415207,0
560.404318,0
570.340249,0
569.57528,0
567.043208,0
571.317775,0
568.401267,0
568.401267,0
558.793343,0
570.828345,0
568.008803,0
568.008803,0
544.736634,0
556.68483,0
569.368071,0
565.533377,0
569.85349,0
566.00795,0
569.467295,0
569.692022,0
567.919889,0
571.317775,0
553.26124,0
571.31865,0
560.86362,0
561.830045,0
570.937825,0
571.808534,0
563.706484,0
568.979789,0
563.773004,0
569.956139,0
569.956139,0
570.828345,0
566.718625,0
566.483892,0
566.083033,0
567.919889,0
567.919889,0
570.937825,0
570.937825,0
567.86354,0
571.31865,0
571.31865,0
572.183537,0
572.183537,0
572.183537,0
572.183537,0
572.183537,0
572.183537,0
573.048864,0
573.048864,0
573.048864,0
573.048864,0
573.048864,0
573.048864,0
571.430661,0
571.430661,0
568.008803,0
568.008803,0
568.979789,0
571.92482,0
571.92482,0
572.794029,0
570.446316,0
572.4203,0
570.937825,0
570.937825,0
570.316579,0
572.794029,0
572.794029,0
572.794029,0
572.4203,0
573.288758,0
573.288758,0
573.288758,0
569.817515,0
572.049823,0
573.784803,0
569.086988,0
570.816958,0
571.317775,0
573.288758,0
573.784803,0
573.784803,0
574.282161,0
574.282161,0
574.282161,0
572.548688,0
574.282161,0
574.282161,0
574.282161,0
574.282161,0
554.972071,0
567.86354,0
571.31865,0
572.183537,0
573.048864,0
573.048864,0
573.914628,0
574.780828,0
573.550347,0
574.415355,0
573.550347,0
574.415355,0
574.415355,0
573.550347,0
574.415355,0
574.415355,0
