@relation 'Ant14BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.SMOTE-C0-K5-P269.0-S1-weka.filters.unsupervised.attribute.Remove-R2,4-5,7,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.963576,0.980418,0.964757,0.964508,0.891595,0
0.964647,0.990095,0.965788,0.96555,0.929797,0
0.97536,0.990095,0.976093,0.975968,0.929797,0
0.896101,0.985228,0.89984,0.898879,0.914608,0
0.942153,0.980418,0.944079,0.943743,0.875779,0
0.715929,0.923219,0.726472,0.723998,0.760584,0
0.854014,0.932562,0.859515,0.85833,0.821794,0
0.573684,0.8924,0.588877,0.58556,0.546344,0
-0.340511,0.95816,-0.294173,-0.30816,0.845677,0
0.251805,0.823956,0.279513,0.272568,0.482406,0
0.836773,0.929395,0.843173,0.841666,0.883545,0
0.837844,0.915052,0.843848,0.842707,0.777091,0
0.842236,0.927861,0.847969,0.846873,0.777091,0
0.614068,0.888376,0.628711,0.625024,0.721396,0
0.814619,0.95816,0.82125,0.81972,0.81442,0
0.994439,0.950094,0.994184,0.994125,0.885759,0
0.81868,0.923219,0.825443,0.823592,0.808664,0
0.948268,0.942139,0.950194,0.949994,0.868299,0
0.678365,0.919775,0.690271,0.687561,0.79411,0
0.897817,0.919775,0.901691,0.901034,0.81442,0
0.56727,0.896622,0.583326,0.579317,0.62103,0
0.577835,0.910389,0.593622,0.589723,0.760584,0
0.769438,0.942139,0.778126,0.776059,0.868299,0
0.837844,0.919775,0.844204,0.842707,0.837426,0
0.43146,0.883667,0.452172,0.447014,0.599382,0
0.447685,0.639803,0.469102,0.464879,0.264157,0
0.927053,0.96765,0.929861,0.929159,0.899924,0
0.811519,0.990095,0.818303,0.816671,0.914919,0
0.842454,0.931096,0.848325,0.846799,0.70889,0
0.715813,0.910389,0.726854,0.723998,0.799912,0
0.900512,0.851129,0.904714,0.903736,0.831417,0
0.96463,0.71232,0.967384,0.967293,0.922218,0
0.575947,0.931496,0.591726,0.587556,0.760246,0
0.994439,0.969623,0.994576,0.994518,0.977077,0
0.811739,0.703046,0.81934,0.817821,0.62103,0
0.9096,0.934293,0.913235,0.912492,0.906655,0
0.842454,0.962876,0.84847,0.846873,0.877049,0
0.840094,0.947014,0.84612,0.844716,0.891595,0
0.819751,0.918637,0.826261,0.825002,0.723472,0
0.587457,0.883667,0.602809,0.599004,0.613477,0
0.311803,0.823713,0.336921,0.330558,0.320184,0
0.784312,0.910389,0.792259,0.790637,0.746994,0
0.615503,0.897162,0.62982,0.626065,0.577437,0
0.891497,0.937321,0.895648,0.894785,0.852605,0
0.275702,0.859146,0.302424,0.295221,0.482808,0
0.225317,0.757347,0.252954,0.245973,-0.124969,0
0.325668,0.85812,0.350027,0.343877,0.515794,0
0.897171,0.985228,0.900592,0.899921,0.884494,0
0.995612,0.96765,0.995474,0.995628,0.875779,0
0.879823,0.959744,0.884104,0.883254,0.884494,0
0.837211,0.985228,0.842817,0.841592,0.877684,0
0.898242,0.975666,0.901623,0.900962,0.837751,0
0.747306,0.961755,0.756494,0.754192,0.775413,0
0.965409,0.947014,0.966818,0.966662,0.906655,0
0.492338,0.867072,0.511181,0.506486,0.5207,0
0.854978,0.901241,0.86076,0.859371,0.754312,0
0.958116,0.977371,0.959743,0.959299,0.95419,0
0.937764,0.972482,0.940165,0.939576,0.922837,0
0.684667,0.897566,0.696302,0.693568,0.753633,0
0.995715,0.995019,0.995809,0.995833,0.968772,0
0.902207,0.947014,0.905813,0.905129,0.884494,0
0.704159,0.937321,0.714993,0.712546,0.817701,0
0.768255,0.901241,0.776453,0.77494,0.675971,0
0.824995,0.905785,0.831483,0.83021,0.730201,0
0.995612,0.972482,0.995741,0.995695,0.93134,0
0.21178,0.855278,0.24015,0.232989,0.415161,0
0.842771,0.849825,0.848592,0.8472,0.737246,0
0.970004,0.990095,0.970941,0.970829,0.929797,0
0.934796,0.721526,0.937834,0.937219,0.877049,0
0.949236,0.934293,0.951157,0.950757,0.914608,0
0.810337,0.948903,0.817273,0.815555,0.783283,0
0.57437,0.724119,0.589803,0.585843,0.5207,0
0.500756,0.854044,0.51925,0.514285,0.545766,0
0.925876,0.950094,0.928553,0.927836,0.877049,0
0.692041,0.870991,0.703513,0.700856,0.68342,0
0.40384,0.872217,0.425585,0.419696,0.491422,0
0.925148,0.716367,0.929721,0.929018,0.854213,0
0.598149,0.924556,0.613675,0.609412,0.885759,0
0.996582,0.959744,0.995812,0.995774,0.93134,0
0.978574,0.980418,0.979253,0.979094,0.899924,0
0.982859,0.980418,0.983375,0.983261,0.899924,0
0.97398,0.942139,0.974995,0.974789,0.899924,0
0.919555,0.962876,0.922234,0.921867,0.830766,0
0.930266,0.962876,0.932743,0.932284,0.852605,0
0.99551,0.95489,0.99554,0.99556,0.899924,0
0.446814,0.935458,0.466667,0.461759,0.66366,0
0.436002,0.859796,0.457076,0.451266,0.375663,0
0.913023,0.950094,0.916467,0.915546,0.885759,0
0.897064,0.962876,0.901012,0.899921,0.885759,0
0.339822,0.868367,0.364602,0.357586,0.528321,0
0.974289,1,0.9752,0.974927,1,0
0.201132,0.820106,0.230572,0.222284,0.289821,0
0.353832,0.901241,0.377874,0.371198,0.618639,0
0.532129,0.905381,0.549689,0.544892,0.641122,0
0.706416,0.936057,0.717664,0.714549,0.817701,0
0.597451,0.898376,0.612398,0.608455,0.509689,0
0.596382,0.948903,0.611369,0.60733,0.791451,0
0.992501,1,0.992718,0.992638,1,0
0.918379,0.926993,0.921478,0.920754,0.754312,0
0.505288,0.860856,0.523787,0.518793,0.452562,0
0.993367,0.945357,0.993479,0.993476,0.854213,0
0.842236,0.927861,0.848397,0.846726,0.840343,0
-0.2349,0.897162,-0.191962,-0.204697,0.586664,0
0.904244,0.915052,0.907874,0.906861,0.840343,0
-0.466178,0.649719,-0.415499,-0.430236,0.071828,1
-0.165829,0.847731,-0.127507,-0.138883,0.318378,1
-0.908361,-0.754437,-0.838387,-0.858171,-0.608674,1
0.399553,0.771879,0.421339,0.41553,0.497602,1
0.839771,0.875518,0.845839,0.844354,0.745629,1
0.653785,0.737726,0.666536,0.663144,0.459927,1
0.837629,0.89905,0.843918,0.842414,0.852605,1
0.461903,0.836301,0.482191,0.477269,0.629645,1
0.574628,0.867072,0.590294,0.586516,0.51304,1
0.704541,0.81037,0.715731,0.713587,0.533381,1
0.051228,0.819551,0.085057,0.076475,0.646921,1
0.229578,0.833021,0.257346,0.250648,0.427111,1
0.607773,0.883667,0.62214,0.618613,0.613477,1
0.472174,0.932562,0.491624,0.486721,0.800574,1
0.448823,0.769085,0.469181,0.464516,0.361731,1
0.291699,0.555894,0.31916,0.313057,0.393094,1
0.21939,0.8924,0.246874,0.240154,0.54152,1
-0.354868,0.871128,-0.308783,-0.321712,0.529101,1
0.308315,0.731021,0.332789,0.326577,-0.257592,1
-1,0.745628,-1,-1,-1,1
0.485256,0.962876,0.503808,0.499204,0.811626,1
0.880261,0.836301,0.885066,0.883941,0.68625,1
-0.232429,0.823713,-0.190053,-0.201134,0.284729,1
0.349422,0.923219,0.372841,0.367137,0.723645,1
0.988215,0.990095,0.988393,0.988471,0.929797,1
0.988215,0.990095,0.98846,0.98854,0.929797,1
-0.511374,0.79037,-0.463343,-0.475884,0.220755,1
0.514443,0.207467,0.53628,0.531249,0.541714,1
0.531121,0.757916,0.549188,0.544892,0.337226,1
0.221358,-0.168429,0.256898,0.249296,0.337226,1
0.940257,0.873579,0.942079,0.941573,0.868618,1
0.882862,0.777704,0.887955,0.887206,0.737246,1
0.737302,0.668221,0.748772,0.746672,0.740673,1
0.202794,0.836301,0.232524,0.224257,0.609224,1
0.853052,0.950094,0.858699,0.857215,0.877049,1
0.948165,0.934293,0.95033,0.949923,0.914608,1
0.845666,0.962876,0.851343,0.849998,0.852605,1
0.702401,0.870821,0.713962,0.710961,0.914608,1
-0.472495,0.762975,-0.451094,-0.452226,0.152927,1
-0.324373,0.64994,-0.17147,-0.364258,0.190456,1
-0.418091,0.846753,-0.345581,-0.359427,0.521932,1
-0.291226,0.831054,-0.341391,-0.253772,0.292431,1
-0.258364,0.657161,-0.285601,-0.310145,0.123803,1
-0.069773,0.842817,0.029569,-0.044681,0.423769,1
-0.753931,0.378367,-0.136676,-0.347063,0.155199,1
-0.627386,-0.65642,-0.641192,-0.750798,-0.075863,1
0.051494,-0.403634,-0.023222,-0.441976,-0.352058,1
0.441121,0.770933,0.448028,0.444759,0.366082,1
0.303127,0.827352,0.305419,0.315391,0.475368,1
0.370986,0.74357,0.362338,0.341214,0.430329,1
0.844337,0.952445,0.846922,0.845244,0.750141,1
0.876063,0.84424,0.879594,0.863053,0.741901,1
0.872682,0.825367,0.847178,0.873987,0.739601,1
0.618278,0.878675,0.633282,0.634203,0.486163,1
0.666489,0.790302,0.67518,0.704996,0.50414,1
0.858423,0.858391,0.861866,0.84859,0.846655,1
0.837889,0.903796,0.844138,0.844521,0.852605,1
0.83928,0.920619,0.848988,0.84296,0.852605,1
0.503583,0.857423,0.558686,0.549251,0.592807,1
0.529962,0.878518,0.558433,0.601567,0.623725,1
0.462773,0.881539,0.485492,0.477375,0.765367,1
0.586567,0.87083,0.597877,0.601722,0.604163,1
0.577739,0.88066,0.598438,0.609513,0.593569,1
0.472796,0.849624,0.529392,0.510091,0.529525,1
0.67562,0.826983,0.627698,0.669451,0.532572,1
0.678343,0.863008,0.622708,0.627774,0.593105,1
0.723663,0.832784,0.737739,0.787174,0.553234,1
0.110081,0.682651,0.111969,0.265458,0.499163,1
0.079949,0.831026,0.089823,0.126999,0.628978,1
0.223134,0.834024,0.256498,0.241579,0.431872,1
0.384762,0.775884,0.408598,0.372084,0.484844,1
0.228372,0.8349,0.24657,0.235636,0.606199,1
0.499691,0.858419,0.525043,0.54524,0.626594,1
0.538797,0.785536,0.599753,0.578377,0.527722,1
0.533435,0.786988,0.558201,0.581716,0.523374,1
0.518772,0.912651,0.514811,0.52002,0.614309,1
0.471209,0.841396,0.4871,0.481809,0.677398,1
0.454103,0.780822,0.477364,0.466144,0.494902,1
0.423398,0.770325,0.466087,0.420448,0.44554,1
0.252795,0.79544,0.370473,0.441813,0.387318,1
0.237659,0.879738,0.309827,0.299911,0.442591,1
0.228822,0.716661,0.267093,0.264812,0.484937,1
0.245516,0.686337,0.313483,0.271644,0.514494,1
0.226742,0.885233,0.252366,0.247747,0.5261,1
0.359289,0.814091,0.274334,0.35926,0.531596,1
-0.323883,0.857949,-0.204839,-0.314871,0.340563,1
-0.114291,0.841576,-0.187491,0.038855,0.560747,1
-0.251165,0.865334,-0.301641,-0.315499,0.349496,1
0.407806,0.766755,0.357729,0.463936,0.125946,1
0.344077,0.764279,0.3475,0.413319,0.366562,1
-0.816358,0.739976,-0.512712,-0.815423,-0.855063,1
-0.954555,0.692334,-0.476876,-0.695216,-0.301053,1
0.468017,0.936298,0.43798,0.436129,0.725092,1
0.481505,0.94089,0.499998,0.48984,0.806086,1
0.37053,0.935294,0.479516,0.48919,0.785504,1
0.939539,0.852656,0.896695,0.888521,0.744997,1
0.890018,0.86859,0.937513,0.941271,0.730036,1
0.846746,0.853463,0.86285,0.855836,0.710292,1
-0.267334,0.678631,-0.259105,-0.259182,0.208516,1
-0.318212,0.793892,-0.219447,-0.205326,0.265494,1
0.285933,0.860708,0.236895,0.36194,0.722032,1
0.286737,0.901106,0.257756,0.2515,0.579532,1
0.453778,0.92921,0.459692,0.444228,0.74952,1
0.955554,0.951416,0.986904,0.961733,0.927275,1
0.844889,0.926912,0.854552,0.865051,0.919823,1
0.870211,0.983497,0.879219,0.971413,0.925859,1
0.954628,0.952748,0.941978,0.979819,0.92907,1
0.988215,0.990095,0.988407,0.988501,0.929797,1
-0.11388,0.80692,-0.392548,-0.28613,0.520571,1
-0.491016,0.725674,-0.436452,-0.465322,0.160247,1
-0.480935,0.660749,-0.462978,-0.469029,0.097149,1
0.459705,-0.065127,0.529929,0.355867,0.416269,1
0.380521,0.057137,0.348705,0.483416,0.338314,1
0.328507,0.020661,0.364444,0.47736,0.364998,1
0.495318,0.799879,0.490057,0.540817,0.348951,1
0.668711,0.759795,0.602815,0.706313,0.497955,1
0.241429,0.095405,0.287273,0.493511,0.466589,1
0.302586,0.022677,0.315246,0.270825,-0.209674,1
0.229799,0.683738,0.321135,0.278968,0.259819,1
0.903855,0.873511,0.889449,0.906845,0.831848,1
0.861108,0.873842,0.927661,0.848809,0.832111,1
0.75265,0.752337,0.878813,0.862676,0.737854,1
0.764467,0.675114,0.847242,0.857612,0.740539,1
0.840116,0.836965,0.858702,0.850357,0.748384,1
0.734369,0.727424,0.721064,0.720593,0.563649,1
0.79329,0.74288,0.783344,0.850374,0.7406,1
0.759833,0.672983,0.760675,0.830031,0.741005,1
0.234825,0.912935,0.321724,0.343004,0.713369,1
0.216843,0.83355,0.245013,0.232572,0.476869,1
0.39761,0.836301,0.393442,0.302237,0.625355,1
0.850921,0.950139,0.853728,0.853241,0.876742,1
0.915075,0.947575,0.894929,0.902642,0.903245,1
0.876947,0.949897,0.860288,0.854328,0.854997,1
0.955466,0.972007,0.988189,0.967151,0.915981,1
0.951531,0.942129,0.958299,0.988062,0.926332,1
0.987707,0.966185,0.947748,0.903337,0.90488,1
0.849902,0.962694,0.858634,0.851124,0.862026,1
0.799745,0.873705,0.767721,0.714109,0.76521,1
0.741948,0.932677,0.846957,0.772255,0.910615,1
0.726475,0.949755,0.80929,0.786813,0.906679,1
