"Class Name","Tested","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.ProjectHelper","0","3","0","1","0","2","0","0","19","24","81","17","8","560","0.284519387388405","11","1491.39398","184.00139","192.92486","126.12692","112.00229","1484.23179","1480.13513","1484.6966","61.35145","131.48384","11",""
"org.apache.tools.ant.RuntimeConfigurable","0","2","0","1","0","1","0","0","10","9","30","6","3","149","0.900582954002325","6","1900.42153","189.00003","200.52431","143.58969","127.00004","1895.25988","1891.16525","1895.39495","71.51224000000001","145.36162","8",""
"org.apache.tools.ant.Target","0","1","0","0","0","1","0","0","21","24","48","20","7","322","0.752754920467379","13","1727.61338","182.00017","190.42059","125.21981","112.00027","1721.64689","1718.12834","1721.84465","59.80803","127.91012","3",""
"org.apache.tools.ant.Task","0","0","0","0","0","0","0","0","20","100","28","96","6","164","0.738698970189318","143","1876.72054","52.00066","77.15569000000001","67.41661999999999","36.00095","1876.34538","1876.12899","1876.40534","61.09828","69.06519","0",""
"org.apache.tools.ant.TaskAdapter","0","1","0","0","0","1","0","0","5","7","19","4","4","151","0.908110451181619","6","1898.43146","189.00002","202.24985","147.73287","129.00003","1893.39959","1889.15246","1893.5369","75.89466","149.48244","3",""
"org.apache.tools.ant.TaskContainer","0","0","0","0","0","0","0","0","1","9","1","8","1","1","1","1","2048.20824","194","208.35547","148.00338","127","2042.9513","2039.17876","2042.9513","80.65358000000001","148.00338","0",""
"org.apache.tools.ant.taskdefs.Ant","1","1","0","0","0","1","0","0","13","10","78","1","9","502","0.6684357055542191","8","1549.32663","187.00029","197.64868","141.32233","126.00044","1543.15262","1538.11736","1543.82642","66.76076999999999","148.49916","3","26"
"org.apache.tools.ant.taskdefs.AntStructure","1","0","0","0","0","0","0","0","10","7","60","0","7","748","0.875815983790398","4","1306.04173","191.00004","202.41047","145.36162","129.00006","1298.42404","1292.17065","1299.03387","70.21396","150.71165","0","11"
"org.apache.tools.ant.taskdefs.Available","1","1","0","0","0","1","0","0","18","10","49","1","9","397","0.490029235961312","4","1654.06469","191.00068","199.90498","139.12944","126.00103","1647.82432","1643.10986","1648.45534","61.98387","146.4138","3","78"
"org.apache.tools.ant.taskdefs.CallTarget","0","0","0","0","0","0","0","0","8","8","28","0","8","128","0.561364578455083","5","1921.41719","190.00051","202.14104","145.4132","128.00075","1916.27973","1912.1046","1916.76003","71.84010000000001","151.61135","0",""
"org.apache.tools.ant.taskdefs.Chmod","0","1","0","0","0","1","0","0","16","13","55","0","13","275","0.378396984476374","9","1774.77351","186.00104","195.74729","137.2953","123.00157","1769.28064","1765.06374","1770.15536","62.8172","148.14182","3",""
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapter","0","0","0","0","0","0","0","0","2","4","2","3","2","2","1","1","2047.21274","194","207.99279","151.81897","132","2042.27031","2038.16584","2042.27031","79.37884","151.81897","0",""
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory","0","0","0","0","0","0","0","0","3","12","20","1","11","165","0.9575386188378719","2","1884.90689","193","206.70027","144.40222","124.00001","1879.09579","1875.07707","1879.78217","75.9276","153.07514","0",""
"org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter","0","1","0","0","1","0","0","0","11","22","86","8","14","887","0.110552750918711","10","1167.7474","185.00214","196.42047","131.72699","114.00347","1158.62203","1153.08499","1159.97328","67.46850999999999","143.12582","4",""
"org.apache.tools.ant.taskdefs.compilers.Gcj","0","0","0","0","0","0","0","0","3","9","22","1","8","128","0.376001280375511","1","1921.81685","194.001","207.63429","146.98639","127.00153","1916.21319","1912.1046","1916.68985","76.65506999999999","153.07514","0",""
"org.apache.tools.ant.taskdefs.compilers.Javac12","0","0","0","0","0","0","0","0","3","8","20","1","7","150","0.528654982119713","0","1900.03289","195.00057","208.56893","147.85128","128.00087","1894.32943","1890.11666","1894.74431","76.92204","153.07514","0",""
"org.apache.tools.ant.taskdefs.compilers.Javac13","0","0","0","0","0","0","0","0","2","7","13","1","6","66","0.520059654084518","0","1983.60808","195.00059","208.92582","149.21796","129.00089","1978.21056","1974.12259","1978.5429","78.16009","153.56106","0",""
"org.apache.tools.ant.taskdefs.compilers.JavacExternal","0","0","0","0","0","0","0","0","2","6","11","1","5","37","0.451558347009991","0","2012.46963","195.00077","208.92582","150.08331","130.00116","2007.21424","2003.13205","2007.47727","78.44743","153.56106","0",""
"org.apache.tools.ant.taskdefs.compilers.Jikes","0","0","0","0","0","0","0","0","2","9","24","1","8","222","0.403864177219086","0","1828.42801","195.00091","208.92582","147.49237","127.0014","1822.43052","1818.11001","1822.9317","77.62087","153.56106","0",""
"org.apache.tools.ant.taskdefs.compilers.Jvc","0","0","0","0","0","0","0","0","2","9","19","1","8","120","0.502459381033154","0","1929.87694","195.00063","208.92582","147.49237","127.00097","1924.19568","1920.10416","1924.67036","77.62087","153.56106","0",""
"org.apache.tools.ant.taskdefs.compilers.Kjc","0","0","0","0","0","0","0","0","4","10","25","1","9","183","0.405977213544923","1","1867.10605","194.00091","207.28","145.61937","126.0014","1861.26973","1857.0972","1861.8284","75.43209","152.59423","0",""
"org.apache.tools.ant.taskdefs.compilers.Sj","0","0","0","0","0","0","0","0","2","6","9","1","5","33","0.451558347009991","0","2016.45084","195.00077","208.92582","150.08331","130.00116","2011.20586","2007.13178","2011.46837","78.44743","153.56106","0",""
"org.apache.tools.ant.taskdefs.CompileTask","0","0","0","0","0","0","0","0","4","6","21","0","6","87","0.811340117479912","0","1962.71088","195.00009","208.21623","149.09393","130.00014","1957.32189","1953.12391","1957.66034","76.24303","153.47312","0",""
"org.apache.tools.ant.taskdefs.condition.And","0","0","0","0","0","0","0","0","2","3","7","1","3","23","0.989583333333333","0","2026.4042","195","208.92582","152.68923","133","2021.38022","2017.15493","2021.44626","79.05694","153.56106","0",""
"org.apache.tools.ant.taskdefs.condition.Condition","0","0","0","0","0","0","0","0","1","9","1","8","1","1","1","2","2048.11377","193","207.42469","148.00338","127","2042.9513","2039.17876","2042.9513","80.65358000000001","148.00338","0",""
"org.apache.tools.ant.taskdefs.condition.ConditionBase","0","0","0","0","0","0","0","0","13","11","18","5","10","78","0.891201881564801","3","1971.37211","192.00003","202.38577","140.43148","125.00005","1965.97787","1962.08257","1966.30211","66.48308","144.89997","0",""
"org.apache.tools.ant.taskdefs.condition.Equals","0","0","0","0","0","0","0","0","4","3","7","1","2","34","0.974174782081886","0","2015.45553","195","208.21623","151.71684","133","2010.40419","2006.16849","2010.47059","77.49194","152.59423","0",""
"org.apache.tools.ant.taskdefs.condition.Not","0","0","0","0","0","0","0","0","2","3","8","1","3","33","0.959006153476336","0","2016.45084","195","208.92582","152.68923","133.00001","2011.402","2007.1557","2011.46837","79.05694","153.56106","0",""
"org.apache.tools.ant.taskdefs.condition.Or","0","0","0","0","0","0","0","0","2","3","7","1","3","23","0.989583333333333","0","2026.4042","195","208.92582","152.68923","133","2021.38022","2017.15493","2021.44626","79.05694","153.56106","0",""
"org.apache.tools.ant.taskdefs.condition.Os","0","0","0","0","0","0","0","0","3","3","14","1","2","97","0.984429253472222","0","1952.76061","195","208.56893","152.20053","133","1947.54666","1943.17395","1947.61521","78.43469","153.07514","0",""
"org.apache.tools.ant.taskdefs.ConditionTask","0","0","0","0","0","0","0","0","4","4","12","0","4","54","0.919893966946818","0","1995.5503","195.00002","208.21623","150.84098","132.00002","1990.38187","1986.14501","1990.58308","76.84399999999999","153.47312","0",""
"org.apache.tools.ant.taskdefs.Copy","1","2","0","0","0","1","1","0","20","16","74","1","15","720","0.5856706671641591","6","1333.46204","189.00045","197.40821","132.84954","120.00072","1325.44332","1320.06401","1326.78408","58.46366","145.61937","5","25"
"org.apache.tools.ant.taskdefs.Copydir","1","0","0","0","0","0","0","0","8","7","35","0","7","265","0.939105174425013","3","1785.35403","192.00001","204.02206","146.29422","129.00001","1779.68143","1775.12422","1780.1264","72.12488999999999","151.61135","0","30"
"org.apache.tools.ant.taskdefs.Copyfile","1","0","0","0","0","0","0","0","6","5","21","0","5","136","0.896497177071801","3","1913.65619","192.00003","204.70711","149.00336","131.00004","1908.50124","1904.13891","1908.77998","74.63243","152.53196","0","35"
"org.apache.tools.ant.taskdefs.Cvs","0","0","0","0","0","0","0","0","15","15","54","0","15","398","0.5643374529519209","3","1653.18722","192.00049","201.76224","135.95955","121.00078","1646.45225","1642.05146","1647.54029","63.34824","148.55639","0",""
"org.apache.tools.ant.taskdefs.CVSPass","1","0","0","0","0","0","0","0","6","2","29","0","2","1260","0.855545247764229","1","803.76365","194.00005","206.58412","151.64762","134.00008","791.42656","780.43321","791.59649","75.61085","152.53196","0","75"
"org.apache.tools.ant.taskdefs.Definer","0","1","0","0","0","1","0","0","14","11","41","3","8","366","0.779596252730934","4","1684.86112","191.00013","201.12185","139.97857","125.00019","1678.66048","1674.11947","1679.19624","66.09841","146.26346","3",""
"org.apache.tools.ant.taskdefs.Delete","1","0","0","0","0","0","0","0","19","10","52","0","10","699","0.572954926626794","7","1354.1141","188.00049","196.74349","138.70833","126.00072","1346.90646","1341.1208","1347.77817","60.72891","146.93196","0","17"
"org.apache.tools.ant.taskdefs.Deltree","1","0","0","0","0","0","0","0","4","3","17","0","3","152","0.933695905715232","4","1897.63669","191.00001","204.47494","151.71684","133.00002","1892.67879","1888.16551","1892.82038","77.16217","153.47312","0","14"
"org.apache.tools.ant.taskdefs.DependSet","1","2","0","2","0","0","0","0","6","8","34","0","8","493","0.924609319453333","3","1558.86914","192.00001","204.70711","146.37281","128.00002","1552.28638","1547.12928","1552.87926","73.76313","152.53196","10","30"
"org.apache.tools.ant.taskdefs.Ear","0","0","0","0","0","0","0","0","7","8","31","0","8","151","0.748368177986009","4","1898.63161","191.00017","203.4232","145.89037","128.00025","1893.33172","1889.10587","1893.81784","72.80110000000001","152.06906","0",""
"org.apache.tools.ant.taskdefs.Echo","1","0","0","0","0","0","0","0","7","8","22","0","8","147","0.862053710572765","3","1902.71201","192.00005","204.36242","145.89037","128.00007","1897.32259","1893.10565","1897.80768","72.80110000000001","152.06906","0","23"
"org.apache.tools.ant.taskdefs.Exec","0","0","0","0","0","0","0","0","10","6","41","1","6","360","0.778452896377811","5","1690.70991","190.00013","201.46712","146.24979","130.00019","1685.02226","1680.14404","1685.33557","70.51949999999999","149.81655","0",""
"org.apache.tools.ant.taskdefs.ExecTask","0","1","0","0","0","1","0","0","23","18","69","4","14","514","0.332111126959148","10","1537.17305","185.00121","192.72","129.76903","118.00189","1530.55545","1526.06422","1531.61255","55.7853","141.69333","3",""
"org.apache.tools.ant.taskdefs.Execute","0","1","0","1","0","0","0","0","21","27","78","11","17","659","0.572214136932562","27","1391.18115","168.00054","177.08755","122.54387","109.00084","1385.29491","1381.04381","1386.5558","57.07013","136.05881","5",""
"org.apache.tools.ant.taskdefs.ExecuteJava","0","0","0","0","0","0","0","0","6","7","28","1","6","173","0.889467839723559","1","1877.05221","194.00003","206.58412","147.24809","129.00005","1871.45131","1867.12962","1871.80261","74.33034000000001","151.64762","0",""
"org.apache.tools.ant.taskdefs.ExecuteOn","0","1","0","0","0","1","0","0","15","18","55","2","16","730","0.589604552608418","3","1323.99547","192.00044","201.76224","133.29666","118.00071","1315.30377","1310.05496","1316.73422","63.15061","146.74127","3",""
"org.apache.tools.ant.taskdefs.ExecuteStreamHandler","0","0","0","0","0","0","0","0","5","10","5","10","0","5","1","2","2044.1316","193","205.99272","145.12064","126","2038.89701","2035.19262","2038.83545","77.25283","144.25325","0",""
"org.apache.tools.ant.taskdefs.ExecuteWatchdog","1","0","0","0","0","0","0","0","8","6","25","5","1","169","0.838935818801002","3","1880.82562","192.00007","204.02206","147.17676","130.0001","1875.51086","1871.19481","1875.51086","74.09453000000001","147.17676","0","104"
"org.apache.tools.ant.taskdefs.Exit","0","0","0","0","0","0","0","0","4","5","12","0","5","48","0.89841271624153","3","2001.23162","192.00003","205.40935","149.96666","131.00004","1996.30283","1992.13278","1996.56931","76.53757","153.47312","0",""
"org.apache.tools.ant.taskdefs.Expand","0","0","0","0","0","0","0","0","6","9","48","0","9","300","0.591616747819498","4","1750.45166","191.00044","203.76948","145.49914","127.00066","1744.62861","1740.10373","1745.22921","73.4983","152.53196","0",""
"org.apache.tools.ant.taskdefs.Filter","1","0","0","0","0","0","0","0","6","6","16","0","6","95","0.8754842305249551","4","1954.35565","191.00004","203.76948","148.12495","130.00006","1949.33963","1945.12442","1949.67946","74.33034000000001","152.53196","0","62"
"org.apache.tools.ant.taskdefs.FixCRLF","1","1","0","0","0","1","0","0","17","10","83","1","10","1273","0.265454417474675","4","790.42394","191.00141","200.2024","139.55644","126.00214","777.28052","767.21118","778.61736","62.64184","146.81962","3","97"
"org.apache.tools.ant.taskdefs.GenerateKey","0","0","0","0","0","0","0","0","14","7","33","0","7","404","0.58875476061065","3","1647.22797","192.00044","202.07177","143.56183","129.00066","1641.078","1636.13477","1641.56054","66.40783","148.97651","0",""
"org.apache.tools.ant.taskdefs.Get","1","0","0","0","0","0","0","0","8","7","46","0","7","394","0.828701992993191","4","1657.04466","191.00008","203.08126","146.29422","129.00011","1651.04724","1646.13396","1651.52687","72.12488999999999","151.61135","0","32"
"org.apache.tools.ant.taskdefs.GUnzip","1","0","0","0","0","0","0","0","4","5","32","0","5","215","0.954739148584966","3","1835.07193","192.00001","205.40935","149.96666","131.00001","1829.6956","1825.14493","1829.98634","76.53757","153.47312","0","25"
"org.apache.tools.ant.taskdefs.GZip","1","0","0","0","0","0","0","0","6","3","24","0","3","151","0.930302108554358","4","1898.63161","191.00001","203.76948","150.76472","133.00002","1893.67632","1889.16542","1893.81784","75.27284","152.53196","0","27"
"org.apache.tools.ant.taskdefs.Jar","1","0","0","0","0","0","0","0","14","12","64","2","10","531","0.607529824837158","4","1521.03978","191.0004","201.12185","139.0863","124.00062","1514.08619","1509.10735","1514.84983","65.52099","147.16657","0","30"
"org.apache.tools.ant.taskdefs.Java","1","0","0","0","0","0","0","0","26","19","87","0","19","514","0.145324301146879","19","1536.11588","176.00208","183.24028","127.63228","117.00312","1530.47868","1526.02654","1531.95986","51.78803","144.31216","0","46"
"org.apache.tools.ant.taskdefs.Javac","0","1","0","0","1","0","0","0","50","24","82","11","14","646","0.373587486487039","7","1406.62006","188.00104","189.92893","115.20851","112.00175","1398.49205","1394.0703","1399.5042","30.41381","126.90548","4",""
"org.apache.tools.ant.taskdefs.JavacOutputStream","0","0","0","0","0","0","0","0","4","1","11","0","1","68","0.9717040032209679","1","1981.51962","194","207.28","153.47312","135","1976.61554","1972.18483","1976.61554","77.83315","153.47312","0",""
"org.apache.tools.ant.taskdefs.Javadoc","0","1","0","1","0","0","0","0","77","28","196","6","28","2040","0.25819123784321","4","191","191.00144","191","108","108.00255","108","0","129","0","129","5",""
"org.apache.tools.ant.taskdefs.Jikes","0","0","0","0","0","0","0","0","2","5","29","0","5","176","0.896809895833333","0","1874.17208","195.00003","208.92582","150.95032","131.00004","1868.5976","1864.14189","1868.88229","78.44743","154.43445","0",""
"org.apache.tools.ant.taskdefs.JikesOutputParser","0","0","0","0","0","0","0","0","12","3","21","1","2","147","0.8253854072094839","1","1902.91487","194.00008","204.59961","148.03378","133.00011","1897.66646","1893.17854","1897.73681","70.00714000000001","148.93287","0",""
"org.apache.tools.ant.taskdefs.KeySubst","0","0","0","0","0","0","0","0","8","2","39","0","2","265","0.814494974115974","4","1785.24676","191.00009","203.08126","150.7216","134.00013","1780.05084","1775.19041","1780.1264","73.73602","151.61135","0",""
"org.apache.tools.ant.taskdefs.LogOutputStream","0","0","0","0","0","0","0","0","7","7","15","6","1","92","0.871216600817695","9","1956.85973","186.00004","198.73601","146.76853","129.00006","1952.26663","1948.18711","1952.26663","75.02666000000001","146.76853","0",""
"org.apache.tools.ant.taskdefs.LogStreamHandler","0","0","0","0","0","0","0","0","2","10","9","6","4","31","0.901490997231263","22","2016.43497","173.00003","188.55768","146.63219","126.00004","2012.94734","2009.14335","2013.13735","78.74643","149.21796","0",""
"org.apache.tools.ant.taskdefs.Manifest","0","0","0","0","0","0","0","0","9","5","53","1","4","396","0.6636953956837121","2","1655.29","193.00029","204.62893","147.59743","131.00043","1649.21102","1644.17517","1649.45203","72.11103","150.26643","0",""
"org.apache.tools.ant.taskdefs.ManifestException","0","0","0","0","0","0","0","0","1","4","2","4","0","5","0.989583333333333","2","2044.1316","193","207.42469","152.31546","132","2039.27659","2035.19262","2039.2121","80.99383","151.44966","0",""
"org.apache.tools.ant.taskdefs.MatchingTask","0","0","0","0","0","0","0","0","14","20","41","13","7","174","0.209921936650162","18","1874.3759","177.00176","187.87762","132.00379","116.00269","1869.6021","1866.11816","1869.98396","66.40783","137.30623","0",""
"org.apache.tools.ant.taskdefs.Mkdir","1","0","0","0","0","0","0","0","3","3","14","0","3","84","0.961687864759516","4","1965.30328","191","204.83408","152.20053","133.00001","1960.51651","1956.15976","1960.65321","78.10890000000001","153.95129","0","23"
"org.apache.tools.ant.taskdefs.Move","0","1","0","0","0","1","0","0","5","10","42","0","10","481","0.882281771196829","1","1571.02419","194.00004","206.92994","145.12064","126.00005","1564.08344","1559.10391","1564.83418","74.2159","153","3",""
"org.apache.tools.ant.taskdefs.optional.TraXLiaison","1","0","0","0","0","0","0","0","5","1","24","0","1","147","0.889054250447348","1","1902.91487","194.00003","206.92994","153","135.00005","1897.80768","1893.19254","1897.80768","76.89603","153","0","20"
"org.apache.tools.ant.taskdefs.Parallel","0","0","0","0","0","0","0","0","3","5","22","1","5","149","0.984429253472222","3","1900.72223","192","205.76686","150.45597","131","1895.53212","1891.13987","1895.74181","77.49194","153.07514","0",""
"org.apache.tools.ant.taskdefs.Patch","0","0","0","0","0","0","0","0","9","9","29","0","9","168","0.696721981126058","3","1881.8204","192.00024","203.68603","144.05902","127.00036","1876.30301","1872.09642","1876.86148","70.60453","151.15886","0",""
"org.apache.tools.ant.taskdefs.PathConvert","0","0","0","0","0","0","0","0","14","8","41","1","8","385","0.767175648728442","4","1665.98499","191.00014","201.12185","142.66394","128.00021","1659.94247","1655.12084","1660.41591","66.09841","148.07093","0",""
"org.apache.tools.ant.taskdefs.Property","1","0","0","0","0","0","0","0","26","12","74","2","10","643","0.408195257833583","5","1409.86134","190.00092","196.7257","134.07834","124.00141","1402.49242","1397.11596","1403.31679","54.08327","142.44297","0","28"
"org.apache.tools.ant.taskdefs.PumpStreamHandler","0","1","0","0","0","1","0","0","13","8","20","6","2","111","0.83598527193226","8","1938.04283","187.00007","197.64868","143.10835","128.00011","1933.2421","1929.17521","1933.30856","69.07966","144.00347","3",""
"org.apache.tools.ant.taskdefs.Recorder","0","0","0","0","0","0","0","0","8","9","32","0","9","201","0.850771161066297","4","1848.8921","191.00006","203.08126","144.53373","127.00009","1843.38005","1839.09815","1843.94848","71.56815","151.61135","0",""
"org.apache.tools.ant.taskdefs.RecorderEntry","0","0","0","0","0","0","0","0","17","5","39","1","4","359","0.548811340013637","2","1692.04314","193.00053","202.11136","144.08678","131.00078","1686.09668","1681.17132","1686.33241","64.62197999999999","146.81962","0",""
"org.apache.tools.ant.taskdefs.Rename","1","0","0","0","0","0","0","0","5","4","17","0","4","101","0.922100375186644","3","1948.48274","192.00002","205.05609","150.35957","132.00002","1943.48784","1939.14852","1943.69391","75.89466","153","0","20"
"org.apache.tools.ant.taskdefs.Replace","1","0","0","0","0","0","0","0","20","7","71","2","7","677","0.497681564229005","4","1376.31755","191.00066","199.32386","141.03191","129.00098","1369.09094","1363.16177","1369.47362","60.74537","144.69969","0","32"
"org.apache.tools.ant.taskdefs.Rmic","0","0","0","0","0","0","0","0","44","19","91","6","14","724","0.285714589530909","6","1329.50254","189.00135","191.85932","121.5648","117.00218","1321.19075","1316.07447","1322.30745","35.8469","133.15405","0",""
"org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter","0","0","0","0","0","0","0","0","17","15","66","4","12","630","0.136030323013678","5","1422.74383","190.00196","199.24859","135.05925","121.00308","1415.18232","1410.09078","1416.07239","62.0967","144.08678","0",""
"org.apache.tools.ant.taskdefs.rmic.KaffeRmic","0","0","0","0","0","0","0","0","3","7","19","1","6","96","0.470710904605037","0","1953.75561","195.00072","208.56893","148.71785","129.00109","1948.27539","1944.12448","1948.61284","77.20104000000001","153.07514","0",""
"org.apache.tools.ant.taskdefs.rmic.RmicAdapter","0","0","0","0","0","0","0","0","4","6","4","3","4","4","1","1","2045.22175","194","207.28","149.09393","130","2040.14607","2036.14145","2040.27449","76.84399999999999","150.84098","0",""
"org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory","0","0","0","0","0","0","0","0","3","7","15","1","6","112","0.966970781845175","2","1937.63593","193","206.70027","148.71785","129","1932.31079","1928.12551","1932.65103","77.20104000000001","153.07514","0",""
"org.apache.tools.ant.taskdefs.rmic.SunRmic","0","0","0","0","0","0","0","0","3","8","22","1","7","152","0.460955502827741","0","1898.04347","195.00075","208.56893","147.85128","128.00114","1892.33401","1888.11679","1892.74932","76.92204","153.07514","0",""
"org.apache.tools.ant.taskdefs.rmic.WLRmic","0","0","0","0","0","0","0","0","5","7","18","1","6","95","0.460955502827741","0","1954.75062","195.00075","207.86775","147.73287","129.00113","1949.2732","1945.12442","1949.61047","75.28612","152.11837","0",""
"org.apache.tools.ant.taskdefs.SendEmail","0","0","0","0","0","0","0","0","8","5","41","0","5","236","0.910895844893551","0","1814.50847","195.00002","206.84777","148.0608","131.00003","1808.75012","1804.14661","1809.04422","72.73239","151.61135","0",""
"org.apache.tools.ant.taskdefs.Sequential","0","0","0","0","0","0","0","0","3","3","10","0","3","32","0.968967013888888","3","2017.1584","192","205.76686","152.20053","133","2012.39981","2008.15562","2012.53298","78.10890000000001","153.95129","0",""
"org.apache.tools.ant.taskdefs.SignJar","0","0","0","0","0","0","0","0","18","8","55","0","8","474","0.595850397441131","4","1577.60483","191.00043","199.90498","140.94325","128.00064","1571.22245","1566.12771","1571.80819","62.29767","147.32956","0",""
"org.apache.tools.ant.taskdefs.Sleep","1","0","0","0","0","0","0","0","10","2","21","0","2","135","0.879081499780589","4","1914.55112","191.00004","202.41047","149.81655","134.00005","1909.70705","1905.17742","1909.77747","71.86793","150.71165","0","65"
