Class Name,Tested,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.ProjectHelper,0,3,1,0,1,0,2,0,0,19,24,81,17,8,560,0.284519387,11,1491.394,184.001,192.925,126.127,112.002,1484.232,1480.135,1484.697,61.351,131.484,11,
org.apache.tools.ant.RuntimeConfigurable,0,2,1,0,1,0,1,0,0,10,9,30,6,3,149,0.900582954,6,1900.422,189,200.524,143.59,127,1895.26,1891.165,1895.395,71.512,145.362,8,
org.apache.tools.ant.Target,0,1,1,0,0,0,1,0,0,21,24,48,20,7,322,0.75275492,13,1727.613,182,190.421,125.22,112,1721.647,1718.128,1721.845,59.808,127.91,3,
org.apache.tools.ant.Task,0,0,0,0,0,0,0,0,0,20,100,28,96,6,164,0.73869897,143,1876.721,52.001,77.156,67.417,36.001,1876.345,1876.129,1876.405,61.098,69.065,0,
org.apache.tools.ant.TaskAdapter,0,1,1,0,0,0,1,0,0,5,7,19,4,4,151,0.908110451,6,1898.431,189,202.25,147.733,129,1893.4,1889.152,1893.537,75.895,149.482,3,
org.apache.tools.ant.TaskContainer,0,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,1,2048.208,194,208.355,148.003,127,2042.951,2039.179,2042.951,80.654,148.003,0,
org.apache.tools.ant.taskdefs.Ant,1,1,1,0,0,0,1,0,0,13,10,78,1,9,502,0.668435706,8,1549.327,187,197.649,141.322,126,1543.153,1538.117,1543.826,66.761,148.499,3,26
org.apache.tools.ant.taskdefs.AntStructure,1,0,0,0,0,0,0,0,0,10,7,60,0,7,748,0.875815984,4,1306.042,191,202.41,145.362,129,1298.424,1292.171,1299.034,70.214,150.712,0,11
org.apache.tools.ant.taskdefs.Available,1,1,1,0,0,0,1,0,0,18,10,49,1,9,397,0.490029236,4,1654.065,191.001,199.905,139.129,126.001,1647.824,1643.11,1648.455,61.984,146.414,3,78
org.apache.tools.ant.taskdefs.CallTarget,0,0,0,0,0,0,0,0,0,8,8,28,0,8,128,0.561364578,5,1921.417,190.001,202.141,145.413,128.001,1916.28,1912.105,1916.76,71.84,151.611,0,
org.apache.tools.ant.taskdefs.Chmod,0,1,1,0,0,0,1,0,0,16,13,55,0,13,275,0.378396984,9,1774.774,186.001,195.747,137.295,123.002,1769.281,1765.064,1770.155,62.817,148.142,3,
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,0,0,0,0,0,0,0,0,0,2,4,2,3,2,2,1,1,2047.213,194,207.993,151.819,132,2042.27,2038.166,2042.27,79.379,151.819,0,
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0,0,0,0,0,0,0,0,0,3,12,20,1,11,165,0.957538619,2,1884.907,193,206.7,144.402,124,1879.096,1875.077,1879.782,75.928,153.075,0,
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,0,1,1,0,0,1,0,0,0,11,22,86,8,14,887,0.110552751,10,1167.747,185.002,196.42,131.727,114.003,1158.622,1153.085,1159.973,67.469,143.126,4,
org.apache.tools.ant.taskdefs.compilers.Gcj,0,0,0,0,0,0,0,0,0,3,9,22,1,8,128,0.37600128,1,1921.817,194.001,207.634,146.986,127.002,1916.213,1912.105,1916.69,76.655,153.075,0,
org.apache.tools.ant.taskdefs.compilers.Javac12,0,0,0,0,0,0,0,0,0,3,8,20,1,7,150,0.528654982,0,1900.033,195.001,208.569,147.851,128.001,1894.329,1890.117,1894.744,76.922,153.075,0,
org.apache.tools.ant.taskdefs.compilers.Javac13,0,0,0,0,0,0,0,0,0,2,7,13,1,6,66,0.520059654,0,1983.608,195.001,208.926,149.218,129.001,1978.211,1974.123,1978.543,78.16,153.561,0,
org.apache.tools.ant.taskdefs.compilers.JavacExternal,0,0,0,0,0,0,0,0,0,2,6,11,1,5,37,0.451558347,0,2012.47,195.001,208.926,150.083,130.001,2007.214,2003.132,2007.477,78.447,153.561,0,
org.apache.tools.ant.taskdefs.compilers.Jikes,0,0,0,0,0,0,0,0,0,2,9,24,1,8,222,0.403864177,0,1828.428,195.001,208.926,147.492,127.001,1822.431,1818.11,1822.932,77.621,153.561,0,
org.apache.tools.ant.taskdefs.compilers.Jvc,0,0,0,0,0,0,0,0,0,2,9,19,1,8,120,0.502459381,0,1929.877,195.001,208.926,147.492,127.001,1924.196,1920.104,1924.67,77.621,153.561,0,
org.apache.tools.ant.taskdefs.compilers.Kjc,0,0,0,0,0,0,0,0,0,4,10,25,1,9,183,0.405977214,1,1867.106,194.001,207.28,145.619,126.001,1861.27,1857.097,1861.828,75.432,152.594,0,
org.apache.tools.ant.taskdefs.compilers.Sj,0,0,0,0,0,0,0,0,0,2,6,9,1,5,33,0.451558347,0,2016.451,195.001,208.926,150.083,130.001,2011.206,2007.132,2011.468,78.447,153.561,0,
org.apache.tools.ant.taskdefs.CompileTask,0,0,0,0,0,0,0,0,0,4,6,21,0,6,87,0.811340117,0,1962.711,195,208.216,149.094,130,1957.322,1953.124,1957.66,76.243,153.473,0,
org.apache.tools.ant.taskdefs.condition.And,0,0,0,0,0,0,0,0,0,2,3,7,1,3,23,0.989583333,0,2026.404,195,208.926,152.689,133,2021.38,2017.155,2021.446,79.057,153.561,0,
org.apache.tools.ant.taskdefs.condition.Condition,0,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,2,2048.114,193,207.425,148.003,127,2042.951,2039.179,2042.951,80.654,148.003,0,
org.apache.tools.ant.taskdefs.condition.ConditionBase,0,0,0,0,0,0,0,0,0,13,11,18,5,10,78,0.891201882,3,1971.372,192,202.386,140.431,125,1965.978,1962.083,1966.302,66.483,144.9,0,
org.apache.tools.ant.taskdefs.condition.Equals,0,0,0,0,0,0,0,0,0,4,3,7,1,2,34,0.974174782,0,2015.456,195,208.216,151.717,133,2010.404,2006.168,2010.471,77.492,152.594,0,
org.apache.tools.ant.taskdefs.condition.Not,0,0,0,0,0,0,0,0,0,2,3,8,1,3,33,0.959006153,0,2016.451,195,208.926,152.689,133,2011.402,2007.156,2011.468,79.057,153.561,0,
org.apache.tools.ant.taskdefs.condition.Or,0,0,0,0,0,0,0,0,0,2,3,7,1,3,23,0.989583333,0,2026.404,195,208.926,152.689,133,2021.38,2017.155,2021.446,79.057,153.561,0,
org.apache.tools.ant.taskdefs.condition.Os,0,0,0,0,0,0,0,0,0,3,3,14,1,2,97,0.984429253,0,1952.761,195,208.569,152.201,133,1947.547,1943.174,1947.615,78.435,153.075,0,
org.apache.tools.ant.taskdefs.ConditionTask,0,0,0,0,0,0,0,0,0,4,4,12,0,4,54,0.919893967,0,1995.55,195,208.216,150.841,132,1990.382,1986.145,1990.583,76.844,153.473,0,
org.apache.tools.ant.taskdefs.Copy,1,2,1,0,0,0,1,1,0,20,16,74,1,15,720,0.585670667,6,1333.462,189,197.408,132.85,120.001,1325.443,1320.064,1326.784,58.464,145.619,5,25
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,8,7,35,0,7,265,0.939105174,3,1785.354,192,204.022,146.294,129,1779.681,1775.124,1780.126,72.125,151.611,0,30
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,6,5,21,0,5,136,0.896497177,3,1913.656,192,204.707,149.003,131,1908.501,1904.139,1908.78,74.632,152.532,0,35
org.apache.tools.ant.taskdefs.Cvs,0,0,0,0,0,0,0,0,0,15,15,54,0,15,398,0.564337453,3,1653.187,192,201.762,135.96,121.001,1646.452,1642.051,1647.54,63.348,148.556,0,
org.apache.tools.ant.taskdefs.CVSPass,1,0,0,0,0,0,0,0,0,6,2,29,0,2,1260,0.855545248,1,803.764,194,206.584,151.648,134,791.427,780.433,791.596,75.611,152.532,0,75
org.apache.tools.ant.taskdefs.Definer,0,1,1,0,0,0,1,0,0,14,11,41,3,8,366,0.779596253,4,1684.861,191,201.122,139.979,125,1678.66,1674.119,1679.196,66.098,146.263,3,
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,19,10,52,0,10,699,0.572954927,7,1354.114,188,196.743,138.708,126.001,1346.906,1341.121,1347.778,60.729,146.932,0,17
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,4,3,17,0,3,152,0.933695906,4,1897.637,191,204.475,151.717,133,1892.679,1888.166,1892.82,77.162,153.473,0,14
org.apache.tools.ant.taskdefs.DependSet,1,2,1,0,2,0,0,0,0,6,8,34,0,8,493,0.924609319,3,1558.869,192,204.707,146.373,128,1552.286,1547.129,1552.879,73.763,152.532,10,30
org.apache.tools.ant.taskdefs.Ear,0,0,0,0,0,0,0,0,0,7,8,31,0,8,151,0.748368178,4,1898.632,191,203.423,145.89,128,1893.332,1889.106,1893.818,72.801,152.069,0,
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,7,8,22,0,8,147,0.862053711,3,1902.712,192,204.362,145.89,128,1897.323,1893.106,1897.808,72.801,152.069,0,23
org.apache.tools.ant.taskdefs.Exec,0,0,0,0,0,0,0,0,0,10,6,41,1,6,360,0.778452896,5,1690.71,190,201.467,146.25,130,1685.022,1680.144,1685.336,70.52,149.817,0,
org.apache.tools.ant.taskdefs.ExecTask,0,1,1,0,0,0,1,0,0,23,18,69,4,14,514,0.332111127,10,1537.173,185.001,192.72,129.769,118.002,1530.555,1526.064,1531.613,55.785,141.693,3,
org.apache.tools.ant.taskdefs.Execute,0,1,1,0,1,0,0,0,0,21,27,78,11,17,659,0.572214137,27,1391.181,168.001,177.088,122.544,109.001,1385.295,1381.044,1386.556,57.07,136.059,5,
org.apache.tools.ant.taskdefs.ExecuteJava,0,0,0,0,0,0,0,0,0,6,7,28,1,6,173,0.88946784,1,1877.052,194,206.584,147.248,129,1871.451,1867.13,1871.803,74.33,151.648,0,
org.apache.tools.ant.taskdefs.ExecuteOn,0,1,1,0,0,0,1,0,0,15,18,55,2,16,730,0.589604553,3,1323.995,192,201.762,133.297,118.001,1315.304,1310.055,1316.734,63.151,146.741,3,
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0,0,0,0,0,0,0,0,5,10,5,10,0,5,1,2,2044.132,193,205.993,145.121,126,2038.897,2035.193,2038.835,77.253,144.253,0,
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1,0,0,0,0,0,0,0,0,8,6,25,5,1,169,0.838935819,3,1880.826,192,204.022,147.177,130,1875.511,1871.195,1875.511,74.095,147.177,0,104
org.apache.tools.ant.taskdefs.Exit,0,0,0,0,0,0,0,0,0,4,5,12,0,5,48,0.898412716,3,2001.232,192,205.409,149.967,131,1996.303,1992.133,1996.569,76.538,153.473,0,
org.apache.tools.ant.taskdefs.Expand,0,0,0,0,0,0,0,0,0,6,9,48,0,9,300,0.591616748,4,1750.452,191,203.769,145.499,127.001,1744.629,1740.104,1745.229,73.498,152.532,0,
org.apache.tools.ant.taskdefs.Filter,1,0,0,0,0,0,0,0,0,6,6,16,0,6,95,0.875484231,4,1954.356,191,203.769,148.125,130,1949.34,1945.124,1949.679,74.33,152.532,0,62
org.apache.tools.ant.taskdefs.FixCRLF,1,1,1,0,0,0,1,0,0,17,10,83,1,10,1273,0.265454417,4,790.424,191.001,200.202,139.556,126.002,777.281,767.211,778.617,62.642,146.82,3,97
org.apache.tools.ant.taskdefs.GenerateKey,0,0,0,0,0,0,0,0,0,14,7,33,0,7,404,0.588754761,3,1647.228,192,202.072,143.562,129.001,1641.078,1636.135,1641.561,66.408,148.977,0,
org.apache.tools.ant.taskdefs.Get,1,0,0,0,0,0,0,0,0,8,7,46,0,7,394,0.828701993,4,1657.045,191,203.081,146.294,129,1651.047,1646.134,1651.527,72.125,151.611,0,32
org.apache.tools.ant.taskdefs.GUnzip,1,0,0,0,0,0,0,0,0,4,5,32,0,5,215,0.954739149,3,1835.072,192,205.409,149.967,131,1829.696,1825.145,1829.986,76.538,153.473,0,25
org.apache.tools.ant.taskdefs.GZip,1,0,0,0,0,0,0,0,0,6,3,24,0,3,151,0.930302109,4,1898.632,191,203.769,150.765,133,1893.676,1889.165,1893.818,75.273,152.532,0,27
org.apache.tools.ant.taskdefs.Jar,1,0,0,0,0,0,0,0,0,14,12,64,2,10,531,0.607529825,4,1521.04,191,201.122,139.086,124.001,1514.086,1509.107,1514.85,65.521,147.167,0,30
org.apache.tools.ant.taskdefs.Java,1,0,0,0,0,0,0,0,0,26,19,87,0,19,514,0.145324301,19,1536.116,176.002,183.24,127.632,117.003,1530.479,1526.027,1531.96,51.788,144.312,0,46
org.apache.tools.ant.taskdefs.Javac,0,1,1,0,0,1,0,0,0,50,24,82,11,14,646,0.373587486,7,1406.62,188.001,189.929,115.209,112.002,1398.492,1394.07,1399.504,30.414,126.905,4,
org.apache.tools.ant.taskdefs.JavacOutputStream,0,0,0,0,0,0,0,0,0,4,1,11,0,1,68,0.971704003,1,1981.52,194,207.28,153.473,135,1976.616,1972.185,1976.616,77.833,153.473,0,
org.apache.tools.ant.taskdefs.Javadoc,0,1,1,0,1,0,0,0,0,77,28,196,6,28,2040,0.258191238,4,191,191.001,191,108,108.003,108,0,129,0,129,5,
org.apache.tools.ant.taskdefs.Jikes,0,0,0,0,0,0,0,0,0,2,5,29,0,5,176,0.896809896,0,1874.172,195,208.926,150.95,131,1868.598,1864.142,1868.882,78.447,154.434,0,
org.apache.tools.ant.taskdefs.JikesOutputParser,0,0,0,0,0,0,0,0,0,12,3,21,1,2,147,0.825385407,1,1902.915,194,204.6,148.034,133,1897.666,1893.179,1897.737,70.007,148.933,0,
org.apache.tools.ant.taskdefs.KeySubst,0,0,0,0,0,0,0,0,0,8,2,39,0,2,265,0.814494974,4,1785.247,191,203.081,150.722,134,1780.051,1775.19,1780.126,73.736,151.611,0,
org.apache.tools.ant.taskdefs.LogOutputStream,0,0,0,0,0,0,0,0,0,7,7,15,6,1,92,0.871216601,9,1956.86,186,198.736,146.769,129,1952.267,1948.187,1952.267,75.027,146.769,0,
org.apache.tools.ant.taskdefs.LogStreamHandler,0,0,0,0,0,0,0,0,0,2,10,9,6,4,31,0.901490997,22,2016.435,173,188.558,146.632,126,2012.947,2009.143,2013.137,78.746,149.218,0,
org.apache.tools.ant.taskdefs.Manifest,0,0,0,0,0,0,0,0,0,9,5,53,1,4,396,0.663695396,2,1655.29,193,204.629,147.597,131,1649.211,1644.175,1649.452,72.111,150.266,0,
org.apache.tools.ant.taskdefs.ManifestException,0,0,0,0,0,0,0,0,0,1,4,2,4,0,5,0.989583333,2,2044.132,193,207.425,152.315,132,2039.277,2035.193,2039.212,80.994,151.45,0,
org.apache.tools.ant.taskdefs.MatchingTask,0,0,0,0,0,0,0,0,0,14,20,41,13,7,174,0.209921937,18,1874.376,177.002,187.878,132.004,116.003,1869.602,1866.118,1869.984,66.408,137.306,0,
org.apache.tools.ant.taskdefs.Mkdir,1,0,0,0,0,0,0,0,0,3,3,14,0,3,84,0.961687865,4,1965.303,191,204.834,152.201,133,1960.517,1956.16,1960.653,78.109,153.951,0,23
org.apache.tools.ant.taskdefs.Move,0,1,1,0,0,0,1,0,0,5,10,42,0,10,481,0.882281771,1,1571.024,194,206.93,145.121,126,1564.083,1559.104,1564.834,74.216,153,3,
org.apache.tools.ant.taskdefs.optional.TraXLiaison,1,0,0,0,0,0,0,0,0,5,1,24,0,1,147,0.88905425,1,1902.915,194,206.93,153,135,1897.808,1893.193,1897.808,76.896,153,0,20
org.apache.tools.ant.taskdefs.Parallel,0,0,0,0,0,0,0,0,0,3,5,22,1,5,149,0.984429253,3,1900.722,192,205.767,150.456,131,1895.532,1891.14,1895.742,77.492,153.075,0,
org.apache.tools.ant.taskdefs.Patch,0,0,0,0,0,0,0,0,0,9,9,29,0,9,168,0.696721981,3,1881.82,192,203.686,144.059,127,1876.303,1872.096,1876.861,70.605,151.159,0,
org.apache.tools.ant.taskdefs.PathConvert,0,0,0,0,0,0,0,0,0,14,8,41,1,8,385,0.767175649,4,1665.985,191,201.122,142.664,128,1659.942,1655.121,1660.416,66.098,148.071,0,
org.apache.tools.ant.taskdefs.Property,1,0,0,0,0,0,0,0,0,26,12,74,2,10,643,0.408195258,5,1409.861,190.001,196.726,134.078,124.001,1402.492,1397.116,1403.317,54.083,142.443,0,28
org.apache.tools.ant.taskdefs.PumpStreamHandler,0,1,1,0,0,0,1,0,0,13,8,20,6,2,111,0.835985272,8,1938.043,187,197.649,143.108,128,1933.242,1929.175,1933.309,69.08,144.003,3,
org.apache.tools.ant.taskdefs.Recorder,0,0,0,0,0,0,0,0,0,8,9,32,0,9,201,0.850771161,4,1848.892,191,203.081,144.534,127,1843.38,1839.098,1843.948,71.568,151.611,0,
org.apache.tools.ant.taskdefs.RecorderEntry,0,0,0,0,0,0,0,0,0,17,5,39,1,4,359,0.54881134,2,1692.043,193.001,202.111,144.087,131.001,1686.097,1681.171,1686.332,64.622,146.82,0,
org.apache.tools.ant.taskdefs.Rename,1,0,0,0,0,0,0,0,0,5,4,17,0,4,101,0.922100375,3,1948.483,192,205.056,150.36,132,1943.488,1939.149,1943.694,75.895,153,0,20
org.apache.tools.ant.taskdefs.Replace,1,0,0,0,0,0,0,0,0,20,7,71,2,7,677,0.497681564,4,1376.318,191.001,199.324,141.032,129.001,1369.091,1363.162,1369.474,60.745,144.7,0,32
org.apache.tools.ant.taskdefs.Rmic,0,0,0,0,0,0,0,0,0,44,19,91,6,14,724,0.28571459,6,1329.503,189.001,191.859,121.565,117.002,1321.191,1316.074,1322.307,35.847,133.154,0,
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,0,0,0,0,0,0,0,0,0,17,15,66,4,12,630,0.136030323,5,1422.744,190.002,199.249,135.059,121.003,1415.182,1410.091,1416.072,62.097,144.087,0,
org.apache.tools.ant.taskdefs.rmic.KaffeRmic,0,0,0,0,0,0,0,0,0,3,7,19,1,6,96,0.470710905,0,1953.756,195.001,208.569,148.718,129.001,1948.275,1944.124,1948.613,77.201,153.075,0,
org.apache.tools.ant.taskdefs.rmic.RmicAdapter,0,0,0,0,0,0,0,0,0,4,6,4,3,4,4,1,1,2045.222,194,207.28,149.094,130,2040.146,2036.141,2040.274,76.844,150.841,0,
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,0,0,0,0,0,0,0,0,0,3,7,15,1,6,112,0.966970782,2,1937.636,193,206.7,148.718,129,1932.311,1928.126,1932.651,77.201,153.075,0,
org.apache.tools.ant.taskdefs.rmic.SunRmic,0,0,0,0,0,0,0,0,0,3,8,22,1,7,152,0.460955503,0,1898.043,195.001,208.569,147.851,128.001,1892.334,1888.117,1892.749,76.922,153.075,0,
org.apache.tools.ant.taskdefs.rmic.WLRmic,0,0,0,0,0,0,0,0,0,5,7,18,1,6,95,0.460955503,0,1954.751,195.001,207.868,147.733,129.001,1949.273,1945.124,1949.61,75.286,152.118,0,
org.apache.tools.ant.taskdefs.SendEmail,0,0,0,0,0,0,0,0,0,8,5,41,0,5,236,0.910895845,0,1814.508,195,206.848,148.061,131,1808.75,1804.147,1809.044,72.732,151.611,0,
org.apache.tools.ant.taskdefs.Sequential,0,0,0,0,0,0,0,0,0,3,3,10,0,3,32,0.968967014,3,2017.158,192,205.767,152.201,133,2012.4,2008.156,2012.533,78.109,153.951,0,
org.apache.tools.ant.taskdefs.SignJar,0,0,0,0,0,0,0,0,0,18,8,55,0,8,474,0.595850397,4,1577.605,191,199.905,140.943,128.001,1571.222,1566.128,1571.808,62.298,147.33,0,
org.apache.tools.ant.taskdefs.Sleep,1,0,0,0,0,0,0,0,0,10,2,21,0,2,135,0.8790815,4,1914.551,191,202.41,149.817,134,1909.707,1905.177,1909.777,71.868,150.712,0,65
org.apache.tools.ant.taskdefs.SQLExec,0,1,1,0,1,0,0,0,0,26,15,108,1,15,1156,0.532862444,5,904.188,190.001,196.726,131.309,121.001,892.243,884.096,894.098,52.631,143.377,5,
org.apache.tools.ant.taskdefs.StreamPumper,0,0,0,0,0,0,0,0,0,2,1,6,1,0,39,0.948350694,1,2010.382,194,207.993,154.434,135,2005.549,2001.196,2005.482,80.056,153.561,0,
org.apache.tools.ant.taskdefs.Tar,1,1,1,0,0,0,1,0,0,8,13,65,0,13,608,0.632543248,3,1444.814,192,204.022,141.032,123.001,1437.273,1432.079,1438.349,70.612,151.611,3,31
org.apache.tools.ant.taskdefs.Taskdef,1,1,1,0,0,0,1,0,0,2,4,4,1,3,11,0.979275174,0,2038.349,195,208.926,151.819,132,2033.289,2029.154,2033.42,79.057,153.561,3,23
org.apache.tools.ant.taskdefs.TaskOutputStream,0,0,0,0,0,0,0,0,0,3,1,9,0,1,58,0.981932466,1,1991.472,194,207.634,153.951,135,1986.592,1982.184,1986.592,78.772,153.951,0,
org.apache.tools.ant.taskdefs.Touch,0,0,0,0,0,0,0,0,0,8,11,39,3,8,294,0.794635512,5,1756.307,190,202.141,142.78,125,1750.469,1746.115,1750.983,71.84,148.946,0,
org.apache.tools.ant.taskdefs.Transform,0,0,0,0,0,0,0,0,0,1,1,2,0,1,4,1,0,2045.317,195,209.287,154.923,135,2040.471,2036.179,2040.471,80.654,154.923,0,
org.apache.tools.ant.taskdefs.Tstamp,0,0,0,0,0,0,0,0,0,3,6,17,1,6,91,0.980280219,3,1958.434,192,205.767,149.586,130,1953.331,1949.124,1953.601,77.201,153.075,0,
org.apache.tools.ant.taskdefs.Typedef,0,1,1,0,0,0,1,0,0,2,3,4,0,3,11,0.979275174,0,2038.349,195,208.926,152.689,133,2033.354,2029.154,2033.486,79.057,154.434,3,
org.apache.tools.ant.taskdefs.Untar,0,0,0,0,0,0,0,0,0,5,9,43,0,9,276,0.905598897,3,1774.418,192,205.056,145.99,127,1768.566,1764.102,1769.158,74.465,153,0,
org.apache.tools.ant.taskdefs.UpToDate,0,0,0,0,0,0,0,0,0,10,14,35,1,13,216,0.710606235,4,1833.973,191,202.41,139.187,122,1828.075,1824.062,1828.916,68.659,149.817,0,
org.apache.tools.ant.taskdefs.War,0,0,0,0,0,0,0,0,0,9,8,33,0,8,163,0.740572676,4,1886.693,191,202.744,144.941,128,1881.359,1877.107,1881.849,70.88,151.159,0,
org.apache.tools.ant.taskdefs.XSLTLiaison,0,0,0,0,0,0,0,0,0,3,2,3,2,0,4,1,1,2045.222,194,207.634,153.075,134,2040.405,2036.193,2040.339,79.12,152.201,0,
org.apache.tools.ant.taskdefs.XSLTProcess,0,0,0,0,0,0,0,0,0,21,13,73,1,13,737,0.226565902,4,1316.924,191.002,199.04,135.148,123.002,1308.793,1303.086,1309.872,57.974,145.231,0,
org.apache.tools.ant.taskdefs.Zip,1,1,1,0,0,0,1,0,0,28,21,123,3,18,1423,0.148471988,7,645.006,188.002,194.281,125.004,115.003,627.626,617.081,630.962,50.01,140.801,3,32
org.apache.tools.ant.types.Commandline,1,1,1,0,0,0,1,0,0,19,30,46,29,3,448,0.62286593,55,1598.144,140.001,151.539,120.83,106.001,1595.525,1592.196,1595.525,63.159,120.83,3,59
