"Class Name","Tested","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.Project","1","2","0","0","0","2","0","0","76","120","177","114","12","1776","0.182132774627126","114","276.1467001432391","81.00412894907481","81.00617260431454","16.0312195418814","16.02088970058589","264.4844040770647","264.4844040770647","264.8339102154405","16.0312195418814","21.02379604162864","6","62"
"org.apache.tools.ant.ProjectComponent","0","0","0","0","0","0","0","0","5","59","7","59","1","33","0.94912084014444","36","2013.288354905973","159.000008140531","174.5422584934663","105.4182147448912","77.00001680966641","2008.476537079784","2007.181606133336","2008.438448148213","76.89603370785778","104.6900186264192","0",""
"org.apache.tools.ant.ProjectHelper","0","3","0","1","0","2","0","0","19","24","81","17","8","560","0.284519387388405","11","1491.3939787997","184.0013910613369","192.9248558377069","126.1269202034205","112.0022853003769","1484.231787828303","1480.135128966271","1484.696602003251","61.35144660071187","131.4838393111488","11",""
"org.apache.tools.ant.RuntimeConfigurable","0","2","0","1","0","1","0","0","10","9","30","6","3","149","0.900582954002325","6","1900.421532187004","189.0000261474824","200.5243127403757","143.5896932234344","127.0000389123918","1895.259876639613","1891.165249257716","1895.39494565117","71.5122367151245","145.3616180427282","8",""
"org.apache.tools.ant.Target","0","1","0","0","0","1","0","0","21","24","48","20","7","322","0.752754920467379","13","1727.61338267565","182.0001679398383","190.4205871222962","125.2198067399882","112.0002729020307","1721.646885978655","1718.128342121158","1721.844650367738","59.80802621722272","127.9101246969918","3",""
"org.apache.tools.ant.Task","0","0","0","0","0","0","0","0","20","100","28","96","6","164","0.738698970189318","143","1876.720543927625","52.00065651728043","77.15568676384133","67.4166151627327","36.00094829623492","1876.345383984516","1876.128993433021","1876.405340005192","61.09828148156051","69.06518659932803","0",""
"org.apache.tools.ant.TaskAdapter","0","1","0","0","0","1","0","0","5","7","19","4","4","151","0.908110451181619","6","1898.431457809315","189.0000223378007","202.2498454881981","147.7328670269416","129.0000327274733","1893.39958804263","1889.152455467795","1893.536902201803","75.8946638440411","149.4824404403407","3",""
"org.apache.tools.ant.TaskContainer","0","0","0","0","0","0","0","0","1","9","1","8","1","1","1","1","2048.208241366097","194","208.3554654910689","148.0033783398203","127","2042.951296531564","2039.178756264394","2042.951296531564","80.65358020571685","148.0033783398203","0",""
"org.apache.tools.ant.taskdefs.Ant","1","1","0","0","0","1","0","0","13","10","78","1","9","502","0.6684357055542191","8","1549.326627925823","187.000293943302","197.6486782146544","141.3223266154361","126.000436248774","1543.152617209328","1538.1173557307","1543.826415112787","66.76076692189807","148.4991582467726","3","26"
"org.apache.tools.ant.taskdefs.AntStructure","1","0","0","0","0","0","0","0","10","7","60","0","7","748","0.875815983790398","4","1306.041729808049","191.0000403708593","202.4104740372889","145.3616180427282","129.0000597739004","1298.424044755795","1292.170654364198","1299.033871767784","70.21395872616783","150.7116452036803","0","11"
"org.apache.tools.ant.taskdefs.Available","1","1","0","0","0","1","0","0","18","10","49","1","9","397","0.490029235961312","4","1654.064690391521","191.0006808107766","199.9049774267764","139.1294361377203","126.0010320202981","1647.824323160694","1643.109856339496","1648.455337581216","61.98386886924694","146.4137971640651","3","78"
"org.apache.tools.ant.taskdefs.CallTarget","0","0","0","0","0","0","0","0","8","8","28","0","8","128","0.561364578455083","5","1921.417185308802","190.0005063178334","202.1410398706804","145.4132043522871","128.0007515643289","1916.279729058365","1912.104599649297","1916.760026711743","71.84010022264724","151.6113452219193","0",""
"org.apache.tools.ant.taskdefs.Chmod","0","1","0","0","0","1","0","0","16","13","55","0","13","275","0.378396984476374","9","1774.773506676275","186.0010386807259","195.7472860603692","137.2953021774598","123.001570682284","1769.280644781941","1765.063738225903","1770.155360413317","62.81719509815764","148.1418239390889","3",""
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapter","0","0","0","0","0","0","0","0","2","4","2","3","2","2","1","1","2047.212739311672","194","207.992788336519","151.8189711465599","132","2042.270305321996","2038.165842123746","2042.270305321996","79.37883848986453","151.8189711465599","0",""
"org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory","0","0","0","0","0","0","0","0","3","12","20","1","11","165","0.9575386188378719","2","1884.906894252339","193.0000046709038","206.7002660859439","144.4022160494776","124.0000072700356","1879.095793194163","1875.077065082926","1879.782168231202","75.92759709091287","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter","0","1","0","0","1","0","0","0","11","22","86","8","14","887","0.110552750918711","10","1167.747404193218","185.0021381401007","196.4204673652927","131.7269904006009","114.0034697560074","1158.622026374434","1153.084992530906","1159.973275554226","67.468511173732","143.1258187749506","4",""
"org.apache.tools.ant.taskdefs.compilers.Gcj","0","0","0","0","0","0","0","0","3","9","22","1","8","128","0.376001280375511","1","1921.816848713737","194.0010035396778","207.6342938919291","146.9863939281456","127.0015329608351","1916.213192731957","1912.104599649297","1916.689854932195","76.6550715869472","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.compilers.Javac12","0","0","0","0","0","0","0","0","3","8","20","1","7","150","0.528654982119713","0","1900.032894452093","195.000569655901","208.568933448872","147.8512766262098","128.0008678334873","1894.329432807293","1890.116663066066","1894.744309926804","76.92203845452875","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.compilers.Javac13","0","0","0","0","0","0","0","0","2","7","13","1","6","66","0.520059654084518","0","1983.608076208604","195.0005906215046","208.9258241577618","149.2179613853507","129.0008927982114","1978.210555021886","1974.122589911781","1978.542898195538","78.16009211867653","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.compilers.JavacExternal","0","0","0","0","0","0","0","0","2","6","11","1","5","37","0.451558347009991","0","2012.469627099997","195.0007712503895","208.9258241577618","150.0833101980363","130.0011568727246","2007.214238690031","2003.132047569506","2007.477272598622","78.44743462982075","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.compilers.Jikes","0","0","0","0","0","0","0","0","2","9","24","1","8","222","0.403864177219086","0","1828.428013349172","195.0009112233048","208.9258241577618","147.4923726841493","127.0013991179593","1822.430519937591","1818.110007672803","1822.931704699877","77.62087348130012","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.compilers.Jvc","0","0","0","0","0","0","0","0","2","9","19","1","8","120","0.502459381033154","0","1929.876939081868","195.0006347340119","208.9258241577618","147.4923726841493","127.0009745894397","1924.195676120285","1920.104163841118","1924.670361386593","77.62087348130012","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.compilers.Kjc","0","0","0","0","0","0","0","0","4","10","25","1","9","183","0.405977213544923","1","1867.106049478711","194.0009094387725","207.2800038595137","145.6193668438371","126.0014002425006","1861.269727900822","1857.097197240898","1861.828402404475","75.43208866258443","152.5942331806808","0",""
"org.apache.tools.ant.taskdefs.compilers.Sj","0","0","0","0","0","0","0","0","2","6","9","1","5","33","0.451558347009991","0","2016.450842445707","195.0007712503895","208.9258241577618","150.0833101980363","130.0011568727246","2011.205857191153","2007.131784412773","2011.468369127389","78.44743462982075","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.CompileTask","0","0","0","0","0","0","0","0","4","6","21","0","6","87","0.811340117479912","0","1962.710880389672","195.0000912629306","208.2162337571209","149.093930124603","130.0001368943559","1957.321894834879","1953.123907999695","1957.660338260956","76.24303246854758","153.4731246831184","0",""
"org.apache.tools.ant.taskdefs.condition.And","0","0","0","0","0","0","0","0","2","3","7","1","3","23","0.989583333333333","0","2026.40420449623","195.0000002782229","208.9258241577618","152.6892268629323","133.0000004079209","2021.380221531813","2017.154927118886","2021.446264435441","79.05694150420949","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.condition.Condition","0","0","0","0","0","0","0","0","1","9","1","8","1","1","1","2","2048.11376637139","193","207.4246851269154","148.0033783398203","127","2042.951296531564","2039.178756264394","2042.951296531564","80.65358020571685","148.0033783398203","0",""
"org.apache.tools.ant.taskdefs.condition.ConditionBase","0","0","0","0","0","0","0","0","13","11","18","5","10","78","0.891201881564801","3","1971.372110992747","192.000030825598","202.3857702507763","140.4314779527724","125.0000473481133","1965.977873731035","1962.08256707","1966.302113104698","66.48308055437865","144.8999654934397","0",""
"org.apache.tools.ant.taskdefs.condition.Equals","0","0","0","0","0","0","0","0","4","3","7","1","2","34","0.974174782081886","0","2015.455531635466","195.0000017101074","208.2162337571209","151.7168415173477","133.0000025073003","2010.404188216887","2006.168487440674","2010.470591677481","77.4919350642375","152.5942331806808","0",""
"org.apache.tools.ant.taskdefs.condition.Not","0","0","0","0","0","0","0","0","2","3","8","1","3","33","0.959006153476336","0","2016.450842445707","195.0000043089626","208.9258241577618","152.6892268629323","133.0000063176519","2011.401998606942","2007.15569899298","2011.468369127389","79.05694150420949","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.condition.Or","0","0","0","0","0","0","0","0","2","3","7","1","3","23","0.989583333333333","0","2026.40420449623","195.0000002782229","208.9258241577618","152.6892268629323","133.0000004079209","2021.380221531813","2017.154927118886","2021.446264435441","79.05694150420949","153.5610627730871","0",""
"org.apache.tools.ant.taskdefs.condition.Os","0","0","0","0","0","0","0","0","3","3","14","1","2","97","0.984429253472222","0","1952.760610008303","195.0000006216619","208.568933448872","152.2005256232711","133.0000009114592","1947.546661828671","1943.173950010652","1947.615208402317","78.43468620451031","153.0751449452196","0",""
"org.apache.tools.ant.taskdefs.ConditionTask","0","0","0","0","0","0","0","0","4","4","12","0","4","54","0.919893966946818","0","1995.550300042572","195.0000164537853","208.2162337571209","150.8409758653132","132.0000243067271","1990.38187290781","1986.145009811721","1990.583080406342","76.84399781375251","153.4731246831184","0",""
"org.apache.tools.ant.taskdefs.Copy","1","2","0","0","0","1","1","0","20","16","74","1","15","720","0.5856706671641591","6","1333.462035455078","189.0004541497085","197.4082065163452","132.8495389529072","120.0007152845184","1325.443322062471","1320.064013599341","1326.784081906321","58.46366392897387","145.6193668438371","5","25"
"org.apache.tools.ant.taskdefs.Copydir","1","0","0","0","0","0","0","0","8","7","35","0","7","265","0.939105174425013","3","1785.35402651687","192.0000096567179","204.0220576310317","146.2942240828393","129.0000143727891","1779.681432167004","1775.124221005392","1780.126400006471","72.12489168102785","151.6113452219193","0","30"
"org.apache.tools.ant.taskdefs.Copyfile","1","0","0","0","0","0","0","0","6","5","21","0","5","136","0.896497177071801","3","1913.656186466106","192.0000278980041","204.707107839469","149.0033556669111","131.0000408886744","1908.501244432395","1904.138912999784","1908.779976843848","74.63243262818116","152.5319638633162","0","35"
"org.apache.tools.ant.taskdefs.Cvs","0","0","0","0","0","0","0","0","15","15","54","0","15","398","0.5643374529519209","3","1653.18722472683","192.0004942750276","201.762236307987","135.9595528089145","121.0007843026437","1646.452246498513","1642.051460825756","1647.540287823032","63.34824385884742","148.5563866011825","0",""
"org.apache.tools.ant.taskdefs.CVSPass","1","0","0","0","0","0","0","0","6","2","29","0","2","1260","0.855545247764229","1","803.7636468514858","194.0000537813725","206.5841233008965","151.647617851386","134.0000778625723","791.426560079961","780.433213029789","791.5964881175257","75.61084578286372","152.5319638633162","0","75"
"org.apache.tools.ant.taskdefs.Definer","0","1","0","0","0","1","0","0","14","11","41","3","8","366","0.779596252730934","4","1684.861121873254","191.0001271670043","201.1218536111877","139.9785697883787","125.0001943110962","1678.660477881099","1674.119470049853","1679.196236298784","66.09841147864296","146.2634609189869","3",""
"org.apache.tools.ant.taskdefs.Delete","1","0","0","0","0","0","0","0","19","10","52","0","10","699","0.572954926626794","7","1354.114101543884","188.000485019307","196.7434878210712","138.7083270751976","126.0007236784563","1346.90645554916","1341.120799928179","1347.778171658823","60.7289058027559","146.9319570413462","0","17"
"org.apache.tools.ant.taskdefs.Deltree","1","0","0","0","0","0","0","0","4","3","17","0","3","152","0.933695905715232","4","1897.636688093904","191.0000115084628","204.4749373395184","151.7168415173477","133.0000165271904","1892.67878944104","1888.165511812987","1892.820382392371","77.1621668954417","153.4731246831184","0","14"
"org.apache.tools.ant.taskdefs.DependSet","1","2","0","2","0","0","0","0","6","8","34","0","8","493","0.924609319453333","3","1558.869141397058","192.000014801444","204.707107839469","146.3728116830445","128.0000222021649","1552.286378217628","1547.129277080619","1552.879261243449","73.76313442364011","152.5319638633162","10","30"
"org.apache.tools.ant.taskdefs.Ear","0","0","0","0","0","0","0","0","7","8","31","0","8","151","0.748368177986009","4","1898.631612504121","191.000165755357","203.423204182807","145.8903697986951","128.0002473379402","1893.33171948288","1889.105873157987","1893.817837068814","72.80109889280519","152.0690632574555","0",""
"org.apache.tools.ant.taskdefs.Echo","1","0","0","0","0","0","0","0","7","8","22","0","8","147","0.862053710572765","3","1902.712011839942","192.0000495551466","204.3624231604235","145.8903697986951","128.000074332708","1897.322587226537","1893.105649455413","1897.807682564279","72.80109889280519","152.0690632574555","0","23"
"org.apache.tools.ant.taskdefs.Exec","0","0","0","0","0","0","0","0","10","6","41","1","6","360","0.778452896377811","5","1690.709910067366","190.0001291660591","201.4671189052943","146.2497863246302","130.0001887810903","1685.022255045909","1680.144041444066","1685.335574893024","70.51950084905593","149.8165544924859","0",""
"org.apache.tools.ant.taskdefs.ExecTask","0","1","0","0","0","1","0","0","23","18","69","4","14","514","0.332111126959148","10","1537.173054668862","185.0012056056574","192.7200041511","129.7690255800667","118.0018901354836","1530.555454728773","1526.064218832222","1531.61254891699","55.78530272392541","141.6933308240017","3",""
"org.apache.tools.ant.taskdefs.Execute","0","1","0","1","0","0","0","0","21","27","78","11","17","659","0.572214136932562","27","1391.181152833807","168.0005446441905","177.0875489694292","122.5438696957135","109.0008394497246","1385.294914449627","1381.043808139336","1386.555804863259","57.0701322935211","136.0588108135596","5",""
"org.apache.tools.ant.taskdefs.ExecuteJava","0","0","0","0","0","0","0","0","6","7","28","1","6","173","0.889467839723559","1","1877.052210248825","194.0000314880347","206.5841233008965","147.2480899706343","129.0000473540939","1871.451308476926","1867.129615211542","1871.802607114329","74.33034373659252","151.647617851386","0",""
"org.apache.tools.ant.taskdefs.ExecuteOn","0","1","0","0","0","1","0","0","15","18","55","2","16","730","0.589604552608418","3","1323.99546827019","192.0004386047679","201.762236307987","133.2966616236131","118.0007136606522","1315.303767196004","1310.054960679131","1316.734217676445","63.15061361538778","146.7412689055127","3",""
"org.apache.tools.ant.taskdefs.ExecuteStreamHandler","0","0","0","0","0","0","0","0","5","10","5","10","0","5","1","2","2044.131600460205","193","205.9927183179056","145.1206394693739","126","2038.89700573619","2035.192619876556","2038.83545191857","77.25283166331187","144.2532495301232","0",""
"org.apache.tools.ant.taskdefs.ExecuteWatchdog","1","0","0","0","0","0","0","0","8","6","25","5","1","169","0.838935818801002","3","1880.825616584377","192.0000675564216","204.0220576310317","147.1767644704829","130.0000997756173","1875.510863738197","1871.194805465214","1875.510863738197","74.09453421137081","147.1767644704829","0","104"
"org.apache.tools.ant.taskdefs.Exit","0","0","0","0","0","0","0","0","4","5","12","0","5","48","0.89841271624153","3","2001.231620777565","192.0000268749362","205.4093474017188","149.9666629621397","131.0000393892163","1996.30283273856","1992.132776699385","1996.569307587393","76.53757247260981","153.4731246831184","0",""
"org.apache.tools.ant.taskdefs.Expand","0","0","0","0","0","0","0","0","6","9","48","0","9","300","0.591616747819498","4","1750.451656001959","191.0004365881938","203.7694775966214","145.4991408909345","127.000656600195","1744.62861377429","1740.103732540103","1745.229211307214","73.49829930005184","152.5319638633162","0",""
"org.apache.tools.ant.taskdefs.Filter","1","0","0","0","0","0","0","0","6","6","16","0","6","95","0.8754842305249551","4","1954.355648289226","191.0000405868461","203.7694775966214","148.1249472573746","130.0000596314357","1949.33963177277","1945.124417614462","1949.679460834524","74.33034373659252","152.5319638633162","0","62"
"org.apache.tools.ant.taskdefs.FixCRLF","1","1","0","0","0","1","0","0","17","10","83","1","10","1273","0.265454417474675","4","790.423936884505","191.0014124482141","200.2023975880409","139.5564401953561","126.0021410818594","777.280515644127","767.2111834429944","778.6173643067563","62.6418390534633","146.8196172178636","3","97"
"org.apache.tools.ant.taskdefs.GenerateKey","0","0","0","0","0","0","0","0","14","7","33","0","7","404","0.58875476061065","3","1647.227974507475","192.0004404230546","202.0717694285869","143.5618333680648","129.0006555124698","1641.077999365051","1636.134774399713","1641.560538024718","66.40783086353596","148.9765082152216","0",""
"org.apache.tools.ant.taskdefs.Get","1","0","0","0","0","0","0","0","8","7","46","0","7","394","0.828701992993191","4","1657.044658420527","191.0000768141395","203.0812645223581","146.2942240828393","129.0001137325359","1651.047243418552","1646.133955667035","1651.526869293988","72.12489168102785","151.6113452219193","0","32"
"org.apache.tools.ant.taskdefs.GUnzip","1","0","0","0","0","0","0","0","4","5","32","0","5","215","0.954739148584966","3","1835.071933194991","192.0000053347517","205.4093474017188","149.9666629621397","131.0000078188725","1829.695603099051","1825.144925752473","1829.986338746822","76.53757247260981","153.4731246831184","0","25"
"org.apache.tools.ant.taskdefs.GZip","1","0","0","0","0","0","0","0","6","3","24","0","3","151","0.930302108554358","4","1898.631612504121","191.0000127167432","203.7694775966214","150.7647173578752","133.00001826239","1893.676318698631","1889.165424201915","1893.817837068814","75.27283706623525","152.5319638633162","0","27"
"org.apache.tools.ant.taskdefs.Jar","1","0","0","0","0","0","0","0","14","12","64","2","10","531","0.607529824837158","4","1521.039775942759","191.0004032269","201.1218536111877","139.086304142428","124.0006210985993","1514.086193055072","1509.107352046235","1514.849827540671","65.52098900352466","147.1665722914005","0","30"
"org.apache.tools.ant.taskdefs.Java","1","0","0","0","0","0","0","0","26","19","87","0","19","514","0.145324301146879","19","1536.115881045437","176.0020751881926","183.2402794147619","127.6322843170959","117.0031216273746","1530.478683288336","1526.026539743002","1531.959855870904","51.78802950489621","144.3121616496683","0","46"
"org.apache.tools.ant.taskdefs.Javac","0","1","0","0","1","0","0","0","50","24","82","11","14","646","0.373587486487039","7","1406.620062419131","188.0010435945426","189.9289340779861","115.20850663037","112.0017517391451","1398.492045025641","1394.070299518643","1399.504197921535","30.4138126514911","126.9054766351713","4",""
"org.apache.tools.ant.taskdefs.JavacOutputStream","0","0","0","0","0","0","0","0","4","1","11","0","1","68","0.9717040032209679","1","1981.5196188784","194.0000020635655","207.2800038595137","153.4731246831184","135.0000029654201","1976.615541778421","1972.184829066485","1976.615541778421","77.83315488916018","153.4731246831184","0",""
"org.apache.tools.ant.taskdefs.Javadoc","0","1","0","1","0","0","0","0","77","28","196","6","28","2040","0.25819123784321","4","191","191.0014405187553","191","108","108.0025475636552","108","0","129","0","129","5",""
"org.apache.tools.ant.taskdefs.Jikes","0","0","0","0","0","0","0","0","2","5","29","0","5","176","0.896809895833333","0","1874.172083881307","195.0000273030689","208.9258241577618","150.9503229542753","131.0000406419693","1868.597602481604","1864.141893740924","1868.882286287716","78.44743462982075","154.434452114805","0",""
"org.apache.tools.ant.taskdefs.JikesOutputParser","0","0","0","0","0","0","0","0","12","3","21","1","2","147","0.8253854072094839","1","1902.914869351753","194.0000785831182","204.5996089927837","148.0337799287717","133.0001146249732","1897.666461736625","1893.1785441421","1897.736809992366","70.00714249274856","148.9328707841221","0",""
"org.apache.tools.ant.taskdefs.KeySubst","0","0","0","0","0","0","0","0","8","2","39","0","2","265","0.814494974115974","4","1785.246761655094","191.0000900840485","203.0812645223581","150.7215976560758","134.0001284033513","1780.050841970532","1775.190412322013","1780.126400006471","73.7360156233031","151.6113452219193","0",""
"org.apache.tools.ant.taskdefs.LogOutputStream","0","0","0","0","0","0","0","0","7","7","15","6","1","92","0.871216600817695","9","1956.859729260123","186.0000445837686","198.7360057966347","146.7685252361691","129.000064283565","1952.266631380048","1948.187106003938","1952.266631380048","75.02666192761077","146.7685252361691","0",""
"org.apache.tools.ant.taskdefs.LogStreamHandler","0","0","0","0","0","0","0","0","2","10","9","6","4","31","0.901490997231263","22","2016.43497291631","173.0000280463088","188.5576834817399","146.6321929181993","126.0000385080244","2012.947341586461","2009.143349788661","2013.137352492373","78.74642849044012","149.2179613853507","0",""
"org.apache.tools.ant.taskdefs.Manifest","0","0","0","0","0","0","0","0","9","5","53","1","4","396","0.6636953956837121","2","1655.290004802784","193.0002930069975","204.628932460686","147.5974254518011","131.0004316816814","1649.211023489717","1644.175173149139","1649.452030220946","72.11102550927978","150.2664300500947","0",""
"org.apache.tools.ant.taskdefs.ManifestException","0","0","0","0","0","0","0","0","1","4","2","4","0","5","0.989583333333333","2","2044.131600460205","193.0000002811061","207.4246851269154","152.3154621172782","132.0000004110111","2039.276587420157","2035.192619876556","2039.212102749491","80.99382692526635","151.4496616041119","0",""
"org.apache.tools.ant.taskdefs.MatchingTask","0","0","0","0","0","0","0","0","14","20","41","13","7","174","0.209921936650162","18","1874.37589613183","177.0017633340024","187.8776197422141","132.0037878244408","116.0026905866678","1869.602096704002","1866.118163461253","1869.983957150435","66.40783086353596","137.3062270984095","0",""
"org.apache.tools.ant.taskdefs.Mkdir","1","0","0","0","0","0","0","0","3","3","14","0","3","84","0.961687864759516","4","1965.303284483085","191.0000038424599","204.8340791958213","152.2005256232711","133.0000055181191","1960.51651357493","1956.159758301965","1960.653207479589","78.10889834071403","153.9512909981595","0","23"
"org.apache.tools.ant.taskdefs.Move","0","1","0","0","0","1","0","0","5","10","42","0","10","481","0.882281771196829","1","1571.024188228813","194.0000357154127","206.929939834718","145.1206394693739","126.0000549903904","1564.083437672045","1559.10390930175","1564.834176518394","74.21590126111789","153","3",""
"org.apache.tools.ant.taskdefs.optional.TraXLiaison","1","0","0","0","0","0","0","0","5","1","24","0","1","147","0.889054250447348","1","1902.914869351753","194.0000317241194","206.929939834718","153","135.0000455887306","1897.807682564279","1893.1925417136","1897.807682564279","76.89603370785778","153","0","20"
"org.apache.tools.ant.taskdefs.Parallel","0","0","0","0","0","0","0","0","3","5","22","1","5","149","0.984429253472222","3","1900.7222311532","192.0000006313754","205.7668583615933","150.4559736268388","131.0000009253746","1895.532115264735","1891.139867910356","1895.741807314488","77.4919350642375","153.0751449452196","0",""
