Class Name,Tested,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)","d(WMC, RFC)",#Hbugs,#Mbugs,#Lbugs,#Nbugs,#Severity,#Score,#Risk
org.apache.tools.ant.ExitException,0,0,0,0,0,0,0,0,0,2,1,7,1,0,20,0.979275174,1,2029.294459,194.0000011,207.9927883,154.4344521,135.0000016,2024.506113,2020.19405,2024.439676,80.05623024,153.5610628,0,,190.057609,231.682973,2020.009858,2033.242976,20.97019682,2021.391847,21.03002175,81207.00271,4080589,5814,0,0,0,0,0,0,0
org.apache.tools.ant.FileScanner,0,0,0,0,0,0,0,0,0,13,5,13,5,0,13,1,2,2036.167478,193,203.3346994,145.7978052,131,2031.228692,2027.19338,2031.164444,69.85699679,144.8999655,0,,183.4824946,224.4749429,2027.04508,2039.391576,18.75432448,2028.010108,19.06460485,52884.0034,4108912,4279,0,0,0,0,0,0,0
org.apache.tools.ant.IntrospectionHelper,1,3,1,0,1,0,2,0,0,23,31,82,22,27,1093,0.609966975,4,966.0693557,191.0003982,198.4867754,118.0720119,105.0007244,952.8032326,947.000528,953.7179877,54.00925847,125.23977,11,335,1096.685265,160.5147968,950.1641858,960.5071577,1095.933802,948.5383493,1095.657196,3264873.183,896923,3030,1,2,0,2,2,7,11
org.apache.tools.ant.Launcher,0,0,0,0,0,0,0,0,0,7,2,52,0,2,412,0.874711414,1,1639.518222,194.0000405,206.2425756,151.1820095,134.0000586,1633.505433,1628.207603,1633.587769,74.67261881,152.0690633,0,,435.3776059,197.3854098,1628.506381,1639.922254,413.9810356,1629.504219,413.9451153,1511268.056,2650528,5044,0,0,0,0,0,0,0
org.apache.tools.ant.listener.Log4jListener,0,0,0,0,0,0,0,0,0,9,7,34,0,7,298,0.874354287,0,1752.880201,195.0000405,206.5163432,145.8252379,129.0000612,1746.769876,1742.126574,1747.223226,71.16881339,151.1588568,0,,338.5186967,210.8767412,1742.211046,1754.717356,299.2965345,1743.326705,299.3566766,1127070.04,3034726,4786,0,0,0,0,0,0,0
org.apache.tools.ant.Location,0,0,0,0,0,0,0,0,0,5,58,10,58,0,69,0.948672824,5,1980.136611,190.0000069,203.1846451,106.1508361,78.00001689,1972.542775,1971.198874,1972.503485,77.25283166,105.4182147,0,,199.4342809,201.3082214,1971.341377,1981.253644,78.14023299,1972.31463,78.26808152,276769.0118,3885027,5370,0,0,0,0,0,0,0
org.apache.tools.ant.Main,0,0,0,0,0,0,0,0,0,18,8,91,0,8,1400,0.871213427,1,668.757056,194.0000427,202.7732724,140.943251,128.0000648,652.6744977,640.3124237,654.083328,62.29767251,147.3295625,0,,1394.337814,171.0263138,643.4940796,662.4575458,1401.4806,642.7137777,1400.341072,3752091.258,409705,3586,0,0,0,0,0,0,0
org.apache.tools.ant.NoBannerLogger,0,0,0,0,0,0,0,0,0,4,3,16,0,3,59,0.874457156,1,1990.476576,194.0000406,207.2800039,151.7168415,133.0000593,1985.459645,1981.157742,1985.594621,77.1621669,153.4731247,0,,189.3815515,225,1981.042613,1993.736693,60.44747474,1982.344571,60.51944624,237255.0077,3924541,5509,0,0,0,0,0,0,0
org.apache.tools.ant.PathTokenizer,0,0,0,0,0,0,0,0,0,3,2,15,2,0,100,0.888219763,3,1949.477879,192.0000325,205.7668584,153.0751449,134.0000466,1944.622328,1940.202051,1944.553676,79.12016178,152.2005256,0,,206.7430278,224.6107745,1940.04616,1952.959293,100.8817229,1941.410827,100.9330112,398015.0128,3763781,5657,0,0,0,0,0,0,0
org.apache.tools.ant.Project,1,2,1,0,0,0,2,0,0,76,120,177,114,12,1776,0.182132775,114,276.1467001,81.00412895,81.0061726,16.03121954,16.0208897,264.4844041,264.4844041,264.8339102,16.03121954,21.02379604,6,62,1779.729545,28.31960452,337.1338387,265.5145947,1788.043964,264.0018939,1789.774981,4092081.392,69715,20,0,2,0,2,1,2,6
org.apache.tools.ant.ProjectComponent,0,0,0,0,0,0,0,0,0,5,59,7,59,1,33,0.94912084,36,2013.288355,159.0000081,174.5422585,105.4182147,77.00001681,2008.476537,2007.181606,2008.438448,76.89603371,104.6900186,0,,192.4024391,203.7081245,2007.292829,2017.311577,47.59407913,2008.291065,47.69897818,133558.0093,4028238,5373,0,0,0,0,0,0,0
org.apache.tools.ant.ProjectHelper,0,3,1,0,1,0,2,0,0,19,24,81,17,8,560,0.284519387,11,1491.393979,184.0013911,192.9248558,126.1269202,112.0022853,1484.231788,1480.135129,1484.696602,61.3514466,131.4838393,11,,571.4563295,164.769536,1481.810304,1489.143714,564.8235496,1481.13605,565.0809596,1971281.081,2190515,3479,1,2,0,2,2,7,11
org.apache.tools.ant.RuntimeConfigurable,0,2,1,0,1,0,1,0,0,10,9,30,6,3,149,0.900582954,6,1900.421532,189.0000261,200.5243127,143.5896932,127.0000389,1895.259877,1891.165249,1895.394946,71.51223672,145.361618,8,,223.1075889,210.2308255,1891.20379,1902.650257,151.5908755,1892.186566,151.8260407,585749.0196,3576047,4655,1,1,0,1,2,6,8
org.apache.tools.ant.Target,0,1,1,0,0,0,1,0,0,21,24,48,20,7,322,0.75275492,13,1727.613383,182.0001679,190.4205871,125.2198067,112.0002729,1721.646886,1718.128342,1721.84465,59.80802622,127.9101247,3,,354.9450308,187.4273192,1718.744006,1728.193566,326.0092844,1718.912447,326.4799435,1210124.044,2951672,3284,0,1,0,1,1,1,3
org.apache.tools.ant.Task,0,0,0,0,0,0,0,0,0,20,100,28,96,6,164,0.73869897,143,1876.720544,52.00065652,77.15568676,67.41661516,36.0009483,1876.345384,1876.128993,1876.40534,61.09828148,69.0651866,0,,237.6279691,172.4673882,1877.144027,1883.911091,176.6646988,1876.865738,177.1512205,642252.0253,3519544,3417,0,0,0,0,0,0,0
org.apache.tools.ant.TaskAdapter,0,1,1,0,0,0,1,0,0,5,7,19,4,4,151,0.908110451,6,1898.431458,189.0000223,202.2498455,147.732867,129.0000327,1893.399588,1889.152455,1893.536902,75.89466384,149.4824404,3,,232.6099628,220.2044505,1889.083761,1901.791524,152.0836808,1890.371657,152.1247174,593298.0195,3568498,5361,0,1,0,1,1,1,3
org.apache.tools.ant.TaskContainer,0,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,1,2048.208241,194,208.3554655,148.0033783,127,2042.951297,2039.178756,2042.951297,80.65358021,148.0033783,0,,195.005852,232.7101201,2039.006846,2052.236585,5.379883958,2040.415889,5.384338576,4080.003701,4157716,5971,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Ant,1,1,1,0,0,0,1,0,0,13,10,78,1,9,502,0.668435706,8,1549.326628,187.0002939,197.6486782,141.3223266,126.0004362,1543.152617,1538.117356,1543.826415,66.76076692,148.4991582,3,26,514.353984,178.549713,1539.148332,1548.329422,505.5815306,1539.331024,505.6280591,1796234.071,2365562,4214,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.AntStructure,1,0,0,0,0,0,0,0,0,10,7,60,0,7,748,0.875815984,4,1306.04173,191.0000404,202.410474,145.361618,129.0000598,1298.424045,1292.170654,1299.033872,70.21395873,150.7116452,0,11,757.7328962,191.6272423,1292.831717,1306.133607,749.4571387,1293.736063,749.1528359,2492396.112,1669400,4625,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Available,1,1,1,0,0,0,1,0,0,18,10,49,1,9,397,0.490029236,4,1654.06469,191.0006808,199.9049774,139.1294361,126.001032,1647.824323,1643.109856,1648.455338,61.98386887,146.4137972,3,78,422.4101111,198.9095272,1643.464807,1654.996677,399.0011511,1644.059001,399.311031,1462200.054,2699596,3628,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.CallTarget,0,0,0,0,0,0,0,0,0,8,8,28,0,8,128,0.561364578,5,1921.417185,190.0005063,202.1410399,145.4132044,128.0007516,1916.279729,1912.1046,1916.760027,71.84010022,151.6113452,0,,211.0255959,215.5203007,1912.13207,1924.108365,130.0441216,1913.244626,130.162805,505884.0166,3655912,4929,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Chmod,0,1,1,0,0,0,1,0,0,16,13,55,0,13,275,0.378396984,9,1774.773507,186.0010387,195.7472861,137.2953022,123.0015707,1769.280645,1765.063738,1770.15536,62.8171951,148.1418239,3,,308.4236535,195.2075818,1765.518522,1775.76209,278.4354386,1766.053793,278.7026957,1046430.037,3115366,3862,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,0,0,0,0,0,0,0,0,0,2,4,2,3,2,2,1,1,2047.212739,194,207.9927883,151.8189711,132,2042.270305,2038.165842,2042.270305,79.37883849,151.8189711,0,,194.0123802,234.6486736,2038.002745,2051.463868,3.910894943,2039.379563,3.935346903,8158.00098,4153638,5819,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0,0,0,0,0,0,0,0,0,3,12,20,1,11,165,0.957538619,2,1884.906894,193.0000047,206.7002661,144.402216,124.0000073,1879.095793,1875.077065,1879.782168,75.92759709,153.0751449,0,,241.029993,221.2057865,1875.075154,1888.003443,165.9663354,1876.459698,165.8448501,645995.0212,3515801,5652,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,0,1,1,0,0,1,0,0,0,11,22,86,8,14,887,0.110552751,10,1167.747404,185.0021381,196.4204674,131.7269904,114.0034698,1158.622026,1153.084993,1159.973276,67.46851117,143.1258188,4,,891.3026199,168.0148803,1155.121654,1165.17724,889.8629893,1154.88744,889.322742,2832277.139,1329519,4466,1,0,0,0,2,5,4
org.apache.tools.ant.taskdefs.compilers.Gcj,0,0,0,0,0,0,0,0,0,3,9,22,1,8,128,0.37600128,1,1921.816849,194.0010035,207.6342939,146.9863939,127.001533,1916.213193,1912.1046,1916.689855,76.65507159,153.0751449,0,,215.8743366,219.6178499,1912.088301,1924.571641,129.3989635,1913.431473,129.3332847,505878.0165,3655918,5650,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Javac12,0,0,0,0,0,0,0,0,0,3,8,20,1,7,150,0.528654982,0,1900.032894,195.0005697,208.5689334,147.8512766,128.0008678,1894.329433,1890.116663,1894.74431,76.92203845,153.0751449,0,,231.0657835,221.2057865,1890.074558,1902.900943,151.0115395,1891.448122,150.9410413,589520.0193,3572276,5652,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Javac13,0,0,0,0,0,0,0,0,0,2,7,13,1,6,66,0.520059654,0,1983.608076,195.0005906,208.9258242,149.2179614,129.0008928,1978.210555,1974.12259,1978.542898,78.16009212,153.5610628,0,,194.5104938,226.8149025,1974.031653,1986.987921,67.00859599,1975.424258,66.96802589,264937.0084,3896859,5808,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.JavacExternal,0,0,0,0,0,0,0,0,0,2,6,11,1,5,37,0.451558347,0,2012.469627,195.0007713,208.9258242,150.0833102,130.0011569,2007.214239,2003.132048,2007.477273,78.44743463,153.5610628,0,,188.6607337,228.431609,2003.022824,2015.983631,38.27381042,2004.403652,38.26307883,149602.0049,4012194,5810,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Jikes,0,0,0,0,0,0,0,0,0,2,9,24,1,8,222,0.403864177,0,1828.428013,195.0009112,208.9258242,147.4923727,127.0013991,1822.43052,1818.110008,1822.931705,77.62087348,153.5610628,0,,280.4633414,218.0366942,1818.109535,1831.028126,222.9770368,1819.546372,222.8019,856500.0289,3305296,5797,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Jvc,0,0,0,0,0,0,0,0,0,2,9,19,1,8,120,0.502459381,0,1929.876939,195.0006347,208.9258242,147.4923727,127.0009746,1924.195676,1920.104164,1924.670361,77.62087348,153.5610628,0,,213.7265644,222.0022522,1920.066594,1932.792022,121.1480508,1921.464285,121.0493227,475219.0154,3686577,5802,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Kjc,0,0,0,0,0,0,0,0,0,4,10,25,1,9,183,0.405977214,1,1867.106049,194.0009094,207.2800039,145.6193668,126.0014002,1861.269728,1857.097197,1861.828402,75.43208866,152.5942332,0,,250.1920115,217.2487054,1857.11587,1869.664676,184.2664256,1858.434287,184.1903439,713176.0237,3448620,5500,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Sj,0,0,0,0,0,0,0,0,0,2,6,9,1,5,33,0.451558347,0,2016.450842,195.0007713,208.9258242,150.0833102,130.0011569,2011.205857,2007.131784,2011.468369,78.44743463,153.5610628,0,,189.8883403,230.0543414,2007.015703,2020.142074,34.00030885,2008.400856,33.99199455,133560.0043,4028236,5812,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.CompileTask,0,0,0,0,0,0,0,0,0,4,6,21,0,6,87,0.811340117,0,1962.71088,195.0000913,208.2162338,149.0939301,130.0001369,1957.321895,1953.123908,1957.660338,76.24303247,153.4731247,0,,195.3446545,221.0203611,1953.073755,1965.466611,88.7072293,1954.363835,88.72744302,347412.0113,3814384,5504,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.And,0,0,0,0,0,0,0,0,0,2,3,7,1,3,23,0.989583333,0,2026.404204,195.0000003,208.9258242,152.6892269,133.0000004,2021.380222,2017.154927,2021.446264,79.0569415,153.5610628,0,,190.396233,231.682973,2017.009872,2030.262545,23.88595359,2018.393916,23.90672157,93318.00305,4068478,5814,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Condition,0,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,2,2048.113766,193,207.4246851,148.0033783,127,2042.951297,2039.178756,2042.951297,80.65358021,148.0033783,0,,195.005852,232.7101201,2039.006846,2052.236585,5.379883958,2040.415889,5.384338576,4080.003701,4157716,5971,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.ConditionBase,0,0,0,0,0,0,0,0,0,13,11,18,5,10,78,0.891201882,3,1971.372111,192.0000308,202.3857703,140.431478,125.0000473,1965.977874,1962.082567,1966.302113,66.48308055,144.8999655,0,,194.4041484,220.4177851,1962.078722,1974.342422,80.06259611,1963.043555,80.35484934,312174.0103,3849622,4274,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Equals,0,0,0,0,0,0,0,0,0,4,3,7,1,2,34,0.974174782,0,2015.455532,195.0000017,208.2162338,151.7168415,133.0000025,2010.404188,2006.168487,2010.470592,77.49193506,152.5942332,0,,192.0323358,231.682973,2006.009927,2019.334791,34.60396953,2007.327826,34.70346053,137571.0043,4024225,5518,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Not,0,0,0,0,0,0,0,0,0,2,3,8,1,3,33,0.959006153,0,2016.450842,195.0000043,208.9258242,152.6892269,133.0000063,2011.401999,2007.155699,2011.468369,79.0569415,153.5610628,0,,190.8732087,230.8679276,2007.01265,2020.234887,33.79620608,2008.400856,33.81122469,133559.0043,4028237,5813,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Or,0,0,0,0,0,0,0,0,0,2,3,7,1,3,23,0.989583333,0,2026.404204,195.0000003,208.9258242,152.6892269,133.0000004,2021.380222,2017.154927,2021.446264,79.0569415,153.5610628,0,,190.396233,231.682973,2017.009872,2030.262545,23.88595359,2018.393916,23.90672157,93318.00305,4068478,5814,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Os,0,0,0,0,0,0,0,0,0,3,3,14,1,2,97,0.984429253,0,1952.76061,195.0000006,208.5689334,152.2005256,133.0000009,1947.546662,1943.17395,1947.615208,78.4346862,153.0751449,0,,206.1633023,226.0088494,1943.036962,1956.100458,97.75565092,1944.40865,97.78127697,386365.0123,3775431,5658,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ConditionTask,0,0,0,0,0,0,0,0,0,4,4,12,0,4,54,0.919893967,0,1995.5503,195.0000165,208.2162338,150.8409759,132.0000243,1990.381873,1986.14501,1990.58308,76.84399781,153.4731247,0,,191.7262147,228.2126202,1986.024086,1999.069033,54.92506348,1987.341189,54.98837865,217416.0069,3944380,5513,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Copy,1,2,1,0,0,0,1,1,0,20,16,74,1,15,720,0.585670667,6,1333.462035,189.0004541,197.4082065,132.849539,120.0007153,1325.443322,1320.064014,1326.784082,58.46366393,145.6193668,5,25,727.9736533,181.2181006,1321.220447,1332.381327,722.3627884,1321.230109,722.4569225,2419274.107,1742522,3371,0,1,1,2,1,2,5
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,8,7,35,0,7,265,0.939105174,3,1785.354027,192.0000097,204.0220576,146.2942241,129.0000144,1779.681432,1775.124221,1780.1264,72.12489168,151.6113452,0,30,309.5065852,210.1094953,1775.219009,1787.392235,266.5305509,1776.34062,266.5744306,1011010.035,3150786,4922,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,6,5,21,0,5,136,0.896497177,3,1913.656186,192.0000279,204.7071078,149.0033557,131.0000409,1908.501244,1904.138913,1908.779977,74.63243263,152.5319639,0,35,221.4376212,221.0203611,1904.075653,1916.78533,137.1079022,1905.323332,137.1834192,536405.0174,3625391,5216,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Cvs,0,0,0,0,0,0,0,0,0,15,15,54,0,15,398,0.564337453,3,1653.187225,192.0004943,201.7622363,135.9595528,121.0007843,1646.452246,1642.051461,1647.540288,63.34824386,148.5563866,0,,421.5576721,195.9311103,1642.538664,1653.648391,400.356426,1643.170107,400.4975163,1465490.054,2696306,3986,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.CVSPass,1,0,0,0,0,0,0,0,0,6,2,29,0,2,1260,0.855545248,1,803.7636469,194.0000538,206.5841233,151.6476179,134.0000779,791.4265601,780.433213,791.5964881,75.61084578,152.5319639,0,75,1263.946625,214.7417053,780.3464968,809.0203953,1259.973503,783.2247442,1258.442754,3553229.221,608567,5208,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Definer,0,1,1,0,0,0,1,0,0,14,11,41,3,8,366,0.779596253,4,1684.861122,191.0001272,201.1218536,139.9785698,125.0001943,1678.660478,1674.11947,1679.196236,66.09841148,146.2634609,3,,396.7922649,203.5902748,1674.353486,1686.334783,367.6857366,1675.185064,367.8798088,1359365.05,2802431,4124,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,19,10,52,0,10,699,0.572954927,7,1354.114102,188.000485,196.7434878,138.7083271,126.0007237,1346.906456,1341.1208,1347.778172,60.7289058,146.931957,0,17,711.4101497,197.3854098,1341.614711,1355.449003,700.2498,1342.253702,700.3772047,2363371.103,1798425,3508,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,4,3,17,0,3,152,0.933695906,4,1897.636688,191.0000115,204.4749373,151.7168415,133.0000165,1892.678789,1888.165512,1892.820382,77.1621669,153.4731247,0,14,234.5979324,224.2008029,1888.050382,1901.265368,152.6510465,1889.410755,152.6662623,597073.0194,3564723,5508,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.DependSet,1,2,1,0,2,0,0,0,0,6,8,34,0,8,493,0.924609319,3,1558.869141,192.0000148,204.7071078,146.3728117,128.0000222,1552.286378,1547.129277,1552.879261,73.76313442,152.5319639,10,30,517.5882731,210.8767412,1547.237645,1561.306504,493.8079827,1548.628425,493.5697159,1768425.069,2393371,5203,2,0,0,0,2,10,10
org.apache.tools.ant.taskdefs.Ear,0,0,0,0,0,0,0,0,0,7,8,31,0,8,151,0.748368178,4,1898.631613,191.0001658,203.4232042,145.8903698,128.0002473,1893.331719,1889.105873,1893.817837,72.80109889,152.0690633,0,,223.424872,213.1900561,1889.162836,1900.992109,153.1087294,1890.296538,153.1776639,593310.0196,3568486,5065,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,7,8,22,0,8,147,0.862053711,3,1902.712012,192.0000496,204.3624232,145.8903698,128.0000743,1897.322587,1893.105649,1897.807683,72.80109889,152.0690633,0,23,227.5598782,220.2294258,1893.08335,1905.767562,148.1553487,1894.2938,148.2271977,578173.0189,3583623,5074,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Exec,0,0,0,0,0,0,0,0,0,10,6,41,1,6,360,0.778452896,5,1690.70991,190.0001292,201.4671189,146.2497863,130.0001888,1685.022255,1680.144041,1685.335575,70.51950085,149.8165545,0,,391.1480693,204.8926548,1680.326063,1692.448227,361.5664779,1681.335481,361.6352694,1339241.049,2822555,4644,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ExecTask,0,1,1,0,0,0,1,0,0,23,18,69,4,14,514,0.332111127,10,1537.173055,185.0012056,192.7200042,129.7690256,118.0018901,1530.555455,1526.064219,1531.612549,55.78530272,141.6933308,3,,528.3404132,182.455474,1527.010312,1536.868895,517.1189627,1526.95514,517.4864264,1832993.073,2328803,3043,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.Execute,0,1,1,0,1,0,0,0,0,21,27,78,11,17,659,0.572214137,27,1391.181153,168.0005446,177.087549,122.5438697,109.0008394,1385.294914,1381.043808,1386.555805,57.07013229,136.0588108,5,,668.4045209,171.1724277,1382.615667,1391.567821,662.5266906,1382.134943,662.6952137,2254517.097,1907279,3254,1,0,0,0,2,5,5
org.apache.tools.ant.taskdefs.ExecuteJava,0,0,0,0,0,0,0,0,0,6,7,28,1,6,173,0.88946784,1,1877.05221,194.0000315,206.5841233,147.24809,129.0000474,1871.451308,1867.129615,1871.802607,74.33034374,151.6476179,0,,240.9051203,214.8953234,1867.14288,1879.326741,174.5971795,1868.349539,174.6374201,675939.0224,3485857,5209,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ExecuteOn,0,1,1,0,0,0,1,0,0,15,18,55,2,16,730,0.589604553,3,1323.995468,192.0004386,201.7622363,133.2966616,118.0007137,1315.303767,1310.054961,1316.734218,63.15061362,146.7412689,3,,741.2616081,193.8298223,1310.744234,1324.262059,731.4716398,1311.466355,731.3210422,2445555.109,1716241,3985,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0,0,0,0,0,0,0,0,5,10,5,10,0,5,1,2,2044.1316,193,205.9927183,145.1206395,126,2038.897006,2035.19262,2038.835452,77.25283166,144.2532495,0,,191.0828574,228.2673871,2035.023243,2047.762437,10.93601354,2036.273312,11.01938542,20380.0031,4141416,5375,0,0,0,0,0,0,0
