@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-8,38-39,42-43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs numeric

@data
3,8,20,1,7,150,0.528655,0,1900.032894,195.00057,208.568933,147.851277,128.000868,1894.329433,1890.116663,1894.74431,76.922038,153.075145,231.065784,221.205786,1890.074558,1902.900943,151.011539,1891.448122,150.941041,589520.0193,3572276,5652,0
2,7,13,1,6,66,0.52006,0,1983.608076,195.000591,208.925824,149.217961,129.000893,1978.210555,1974.12259,1978.542898,78.160092,153.561063,194.510494,226.814902,1974.031653,1986.987921,67.008596,1975.424258,66.968026,264937.0084,3896859,5808,0
2,6,11,1,5,37,0.451558,0,2012.469627,195.000771,208.925824,150.08331,130.001157,2007.214239,2003.132048,2007.477273,78.447435,153.561063,188.660734,228.431609,2003.022824,2015.983631,38.27381,2004.403652,38.263079,149602.0049,4012194,5810,0
2,9,24,1,8,222,0.403864,0,1828.428013,195.000911,208.925824,147.492373,127.001399,1822.43052,1818.110008,1822.931705,77.620873,153.561063,280.463341,218.036694,1818.109535,1831.028126,222.977037,1819.546372,222.8019,856500.0289,3305296,5797,0
2,9,19,1,8,120,0.502459,0,1929.876939,195.000635,208.925824,147.492373,127.000975,1924.195676,1920.104164,1924.670361,77.620873,153.561063,213.726564,222.002252,1920.066594,1932.792022,121.148051,1921.464285,121.049323,475219.0154,3686577,5802,0
4,10,25,1,9,183,0.405977,1,1867.106049,194.000909,207.280004,145.619367,126.0014,1861.269728,1857.097197,1861.828402,75.432089,152.594233,250.192012,217.248705,1857.11587,1869.664676,184.266426,1858.434287,184.190344,713176.0237,3448620,5500,0
2,6,9,1,5,33,0.451558,0,2016.450842,195.000771,208.925824,150.08331,130.001157,2011.205857,2007.131784,2011.468369,78.447435,153.561063,189.88834,230.054341,2007.015703,2020.142074,34.000309,2008.400856,33.991995,133560.0043,4028236,5812,0
4,6,21,0,6,87,0.81134,0,1962.71088,195.000091,208.216234,149.09393,130.000137,1957.321895,1953.123908,1957.660338,76.243032,153.473125,195.344654,221.020361,1953.073755,1965.466611,88.707229,1954.363835,88.727443,347412.0113,3814384,5504,0
2,3,7,1,3,23,0.989583,0,2026.404204,195,208.925824,152.689227,133,2021.380222,2017.154927,2021.446264,79.056941,153.561063,190.396233,231.682973,2017.009872,2030.262545,23.885954,2018.393916,23.906722,93318.00305,4068478,5814,0
1,9,1,8,1,1,1,2,2048.113766,193,207.424685,148.003378,127,2042.951297,2039.178756,2042.951297,80.65358,148.003378,195.005852,232.71012,2039.006846,2052.236585,5.379884,2040.415889,5.384339,4080.003701,4157716,5971,0
13,11,18,5,10,78,0.891202,3,1971.372111,192.000031,202.38577,140.431478,125.000047,1965.977874,1962.082567,1966.302113,66.483081,144.899966,194.404148,220.417785,1962.078722,1974.342422,80.062596,1963.043555,80.354849,312174.0103,3849622,4274,0
4,3,7,1,2,34,0.974175,0,2015.455532,195.000002,208.216234,151.716841,133.000002,2010.404188,2006.168487,2010.470592,77.491935,152.594233,192.032336,231.682973,2006.009927,2019.334791,34.60397,2007.327826,34.703461,137571.0043,4024225,5518,0
2,3,8,1,3,33,0.959006,0,2016.450842,195.000004,208.925824,152.689227,133.000006,2011.401999,2007.155699,2011.468369,79.056941,153.561063,190.873209,230.867928,2007.01265,2020.234887,33.796206,2008.400856,33.811225,133559.0043,4028237,5813,0
2,3,7,1,3,23,0.989583,0,2026.404204,195,208.925824,152.689227,133,2021.380222,2017.154927,2021.446264,79.056941,153.561063,190.396233,231.682973,2017.009872,2030.262545,23.885954,2018.393916,23.906722,93318.00305,4068478,5814,0
3,3,14,1,2,97,0.984429,0,1952.76061,195.000001,208.568933,152.200526,133.000001,1947.546662,1943.17395,1947.615208,78.434686,153.075145,206.163302,226.008849,1943.036962,1956.100458,97.755651,1944.40865,97.781277,386365.0123,3775431,5658,0
4,4,12,0,4,54,0.919894,0,1995.5503,195.000016,208.216234,150.840976,132.000024,1990.381873,1986.14501,1990.58308,76.843998,153.473125,191.726215,228.21262,1986.024086,1999.069033,54.925063,1987.341189,54.988379,217416.0069,3944380,5513,0
20,16,74,1,15,720,0.585671,6,1333.462035,189.000454,197.408207,132.849539,120.000715,1325.443322,1320.064014,1326.784082,58.463664,145.619367,727.973653,181.218101,1321.220447,1332.381327,722.362788,1321.230109,722.456923,2419274.107,1742522,3371,0
8,7,35,0,7,265,0.939105,3,1785.354027,192.00001,204.022058,146.294224,129.000014,1779.681432,1775.124221,1780.1264,72.124892,151.611345,309.506585,210.109495,1775.219009,1787.392235,266.530551,1776.34062,266.574431,1011010.035,3150786,4922,0
6,5,21,0,5,136,0.896497,3,1913.656186,192.000028,204.707108,149.003356,131.000041,1908.501244,1904.138913,1908.779977,74.632433,152.531964,221.437621,221.020361,1904.075653,1916.78533,137.107902,1905.323332,137.183419,536405.0174,3625391,5216,0
15,15,54,0,15,398,0.564337,3,1653.187225,192.000494,201.762236,135.959553,121.000784,1646.452246,1642.051461,1647.540288,63.348244,148.556387,421.557672,195.93111,1642.538664,1653.648391,400.356426,1643.170107,400.497516,1465490.054,2696306,3986,0
6,2,29,0,2,1260,0.855545,1,803.763647,194.000054,206.584123,151.647618,134.000078,791.42656,780.433213,791.596488,75.610846,152.531964,1263.946625,214.741705,780.346497,809.020395,1259.973503,783.224744,1258.442754,3553229.221,608567,5208,0
14,11,41,3,8,366,0.779596,4,1684.861122,191.000127,201.121854,139.97857,125.000194,1678.660478,1674.11947,1679.196236,66.098411,146.263461,396.792265,203.590275,1674.353486,1686.334783,367.685737,1675.185064,367.879809,1359365.05,2802431,4124,0
19,10,52,0,10,699,0.572955,7,1354.114102,188.000485,196.743488,138.708327,126.000724,1346.906456,1341.1208,1347.778172,60.728906,146.931957,711.41015,197.38541,1341.614711,1355.449003,700.2498,1342.253702,700.377205,2363371.103,1798425,3508,0
4,3,17,0,3,152,0.933696,4,1897.636688,191.000011,204.474937,151.716841,133.000016,1892.678789,1888.165512,1892.820382,77.162167,153.473125,234.597932,224.200803,1888.050382,1901.265368,152.651047,1889.410755,152.666262,597073.0194,3564723,5508,0
6,8,34,0,8,493,0.924609,3,1558.869141,192.000015,204.707108,146.372812,128.000022,1552.286378,1547.129277,1552.879261,73.763134,152.531964,517.588273,210.876741,1547.237645,1561.306504,493.807983,1548.628425,493.569716,1768425.069,2393371,5203,2
7,8,31,0,8,151,0.748368,4,1898.631613,191.000166,203.423204,145.89037,128.000247,1893.331719,1889.105873,1893.817837,72.801099,152.069063,223.424872,213.190056,1889.162836,1900.992109,153.108729,1890.296538,153.177664,593310.0196,3568486,5065,0
7,8,22,0,8,147,0.862054,3,1902.712012,192.00005,204.362423,145.89037,128.000074,1897.322587,1893.105649,1897.807683,72.801099,152.069063,227.559878,220.229426,1893.08335,1905.767562,148.155349,1894.2938,148.227198,578173.0189,3583623,5074,0
10,6,41,1,6,360,0.778453,5,1690.70991,190.000129,201.467119,146.249786,130.000189,1685.022255,1680.144041,1685.335575,70.519501,149.816554,391.148069,204.892655,1680.326063,1692.448227,361.566478,1681.335481,361.635269,1339241.049,2822555,4644,0
23,18,69,4,14,514,0.332111,10,1537.173055,185.001206,192.720004,129.769026,118.00189,1530.555455,1526.064219,1531.612549,55.785303,141.693331,528.340413,182.455474,1527.010312,1536.868895,517.118963,1526.95514,517.486426,1832993.073,2328803,3043,0
21,27,78,11,17,659,0.572214,27,1391.181153,168.000545,177.087549,122.54387,109.000839,1385.294914,1381.043808,1386.555805,57.070132,136.058811,668.404521,171.172428,1382.615667,1391.567821,662.526691,1382.134943,662.695214,2254517.097,1907279,3254,1
6,7,28,1,6,173,0.889468,1,1877.05221,194.000032,206.584123,147.24809,129.000047,1871.451308,1867.129615,1871.802607,74.330344,151.647618,240.90512,214.895323,1867.14288,1879.326741,174.59718,1868.349539,174.63742,675939.0224,3485857,5209,0
15,18,55,2,16,730,0.589605,3,1323.995468,192.000439,201.762236,133.296662,118.000714,1315.303767,1310.054961,1316.734218,63.150614,146.741269,741.261608,193.829822,1310.744234,1324.262059,731.47164,1311.466355,731.321042,2445555.109,1716241,3985,0
5,10,5,10,0,5,1,2,2044.1316,193,205.992718,145.12064,126,2038.897006,2035.19262,2038.835452,77.252832,144.25325,191.082857,228.267387,2035.023243,2047.762437,10.936014,2036.273312,11.019385,20380.0031,4141416,5375,0
8,6,25,5,1,169,0.838936,3,1880.825617,192.000068,204.022058,147.176764,130.0001,1875.510864,1871.194805,1875.510864,74.094534,147.176764,240.386142,214.804562,1871.143697,1883.290206,170.580883,1872.271882,170.762627,660984.022,3500812,4932,0
4,5,12,0,5,48,0.898413,3,2001.231621,192.000027,205.409347,149.966663,131.000039,1996.302833,1992.132777,1996.569308,76.537572,153.473125,190.130779,228.21262,1992.024013,2005.029925,49.044598,1993.337152,49.099618,193548.0062,3968248,5513,0
6,9,48,0,9,300,0.591617,4,1750.451656,191.000437,203.769478,145.499141,127.000657,1744.628614,1740.103733,1745.229211,73.498299,152.531964,333.832714,200.32224,1740.407751,1751.493363,302.443707,1741.447961,302.360652,1134048.04,3027748,5189,0
6,6,16,0,6,95,0.875484,4,1954.355648,191.000041,203.769478,148.124947,130.00006,1949.339632,1945.124418,1949.679461,74.330344,152.531964,203.429928,225,1945.043402,1957.970888,95.9516,1946.295455,96.04026,378591.0121,3783205,5221,0
17,10,83,1,10,1273,0.265454,4,790.423937,191.001412,200.202398,139.55644,126.002141,777.280516,767.211183,778.617364,62.641839,146.819617,1270.878327,175.285481,769.559173,786.774428,1274.524561,769.343226,1273.654095,3573394.225,588402,3713,0
14,7,33,0,7,404,0.588755,3,1647.227975,192.00044,202.071769,143.561833,129.000655,1641.077999,1636.134774,1641.560538,66.407831,148.976508,434.624682,211.645931,1636.212152,1649.633293,404.915504,1637.21257,405.097843,1485137.055,2676659,4132,0
8,7,46,0,7,394,0.828702,4,1657.044658,191.000077,203.081265,146.294224,129.000114,1651.047243,1646.133956,1651.526869,72.124892,151.611345,420.592489,201.804361,1646.397785,1658.324757,395.716473,1647.445598,395.665566,1452330.054,2709466,4911,0
4,5,32,0,5,215,0.954739,3,1835.071933,192.000005,205.409347,149.966663,131.000008,1829.695603,1825.144926,1829.986339,76.537572,153.473125,269.992265,212.417043,1825.179215,1837.320331,216.562861,1826.459416,216.50927,831007.0281,3330789,5493,0
6,3,24,0,3,151,0.930302,4,1898.631613,191.000013,203.769478,150.764717,133.000018,1893.676319,1889.165424,1893.817837,75.272837,152.531964,228.643114,218.652693,1889.099011,1901.612474,152.260125,1890.333833,152.351492,593303.0194,3568493,5213,0
14,12,64,2,10,531,0.60753,4,1521.039776,191.000403,201.121854,139.086304,124.000621,1514.086193,1509.107352,1514.849828,65.520989,147.166572,545.814151,187.384631,1509.848429,1520.590017,533.49071,1510.314537,533.543806,1884583.075,2277213,4101,0
26,19,87,0,19,514,0.145324,19,1536.115881,176.002075,183.240279,127.632284,117.003122,1530.478683,1526.02654,1531.959856,51.78803,144.312162,523.965152,173.510807,1527.361792,1535.832673,518.193319,1526.85199,518.625011,1833011.073,2328785,2710,0
50,24,82,11,14,646,0.373587,7,1406.620062,188.001044,189.928934,115.208507,112.001752,1398.492045,1394.0703,1399.504198,30.413813,126.905477,654.955424,168.4399,1395.734119,1404.139594,649.854733,1394.261453,650.917968,2218446.095,1943350,843,1
4,1,11,0,1,68,0.971704,1,1981.519619,194.000002,207.280004,153.473125,135.000003,1976.615542,1972.184829,1976.615542,77.833155,153.473125,197.048588,229.01965,1972.020419,1985.25414,68.596858,1973.350704,68.690692,272827.0086,3888969,5514,0
77,28,196,6,28,2040,0.258191,4,191,191.001441,191,108,108.002548,108,0,129,0,129,1915.462032,129,108.993697,129,2043.101472,0,2044.3602,4161796.442,0,0,1
2,5,29,0,5,176,0.89681,0,1874.172084,195.000027,208.925824,150.950323,131.000041,1868.597602,1864.141894,1868.882286,78.447435,154.434452,242.316419,214.741705,1864.14502,1876.328862,177.579129,1865.508242,177.474214,687133.0228,3474663,5792,0
12,3,21,1,2,147,0.825385,1,1902.914869,194.000079,204.599609,148.03378,133.000115,1897.666462,1893.178544,1897.73681,70.007142,148.932871,228.37095,220.41098,1893.081655,1905.788551,148.06131,1894.115625,148.382467,578172.0189,3583624,4400,0
8,2,39,0,2,265,0.814495,4,1785.246762,191.00009,203.081265,150.721598,134.000128,1780.050842,1775.190412,1780.1264,73.736016,151.611345,307.444835,207.060378,1775.26952,1787.036373,266.801031,1776.34062,266.9106,1011014.035,3150782,4918,0
7,7,15,6,1,92,0.871217,9,1956.859729,186.000045,198.736006,146.768525,129.000064,1952.266631,1948.187106,1952.266631,75.026662,146.768525,203.128018,222.265607,1948.063493,1960.639181,93.339705,1949.257294,93.527322,366911.0119,3794885,5081,0
2,10,9,6,4,31,0.901491,22,2016.434973,173.000028,188.557683,146.632193,126.000039,2012.947342,2009.14335,2013.137352,78.746428,149.217961,189.605473,227.178344,2009.029112,2021.803898,32.87856,2010.399463,32.882723,125528.0044,4036268,5812,0
9,5,53,1,4,396,0.663695,2,1655.290005,193.000293,204.628932,147.597426,131.000432,1649.211023,1644.175173,1649.45203,72.111026,150.26643,420.09749,195.971937,1644.536965,1655.639152,398.24022,1645.405725,398.270022,1458917.054,2702879,4767,0
1,4,2,4,0,5,0.989583,2,2044.1316,193,207.424685,152.315462,132,2039.276587,2035.19262,2039.212103,80.993827,151.449662,194.071022,234.08759,2035.003749,2048.419391,6.344521,2036.41867,6.37172,20377.00105,4141419,5970,0
14,20,41,13,7,174,0.209922,18,1874.375896,177.001763,187.87762,132.003788,116.002691,1869.602097,1866.118163,1869.983957,66.407831,137.306227,233.382944,197.253644,1866.444682,1876.396813,178.777806,1867.063202,179.085003,679685.0236,3482111,4124,0
3,3,14,0,3,84,0.961688,4,1965.303284,191.000004,204.834079,152.200526,133.000005,1960.516514,1956.159758,1960.653207,78.108898,153.951291,200.369456,226.603177,1956.033165,1969.082274,84.800863,1957.399295,84.821658,335678.0107,3826118,5658,0
5,10,42,0,10,481,0.882282,1,1571.024188,194.000036,206.92994,145.12064,126.000055,1564.083438,1559.103909,1564.834177,74.215901,153,503.744856,204.795019,1559.35344,1572.393717,482.232356,1560.661719,481.935774,1731161.067,2430635,5338,0
5,1,24,0,1,147,0.889054,1,1902.914869,194.000032,206.92994,153,135.000046,1897.807683,1893.192542,1897.807683,76.896034,153,226.034285,218.652693,1893.098802,1905.585999,148.266512,1894.36876,148.350095,578175.0189,3583621,5356,0
3,5,22,1,5,149,0.984429,3,1900.722231,192.000001,205.766858,150.455974,131.000001,1895.532115,1891.139868,1895.741807,77.491935,153.075145,228.896713,219.61785,1891.089282,1903.710325,150.180737,1892.447357,150.134122,585741.0192,3576055,5650,0
9,9,29,0,9,168,0.696722,3,1881.820395,192.000239,203.686033,144.059016,127.000362,1876.303014,1872.096418,1876.861476,70.604532,151.158857,236.598703,214.741705,1872.1444,1884.276519,169.696286,1873.234636,169.817437,657245.0218,3504551,4791,0
14,8,41,1,8,385,0.767176,4,1665.984994,191.000142,201.121854,142.663941,128.000212,1659.942469,1655.120842,1660.415912,66.098411,148.070929,414.145412,204.892655,1655.330988,1667.634852,386.491384,1656.19866,386.673416,1422616.052,2739180,4124,0
26,12,74,2,10,643,0.408195,5,1409.861341,190.000922,196.725697,134.078335,124.001412,1402.492424,1397.115958,1403.316785,54.083269,142.442971,652.649391,180.479916,1398.183405,1408.609953,645.642952,1397.930613,646.087046,2210065.094,1951731,2723,0
13,8,20,6,2,111,0.835985,8,1938.042827,187.000072,197.648678,143.108351,128.000105,1933.242096,1929.175212,1933.308563,69.079664,144.003472,208.16122,218.213199,1929.101415,1941.303171,112.765367,1930.061398,113.133918,440579.0145,3721217,4272,0
