Class Name,HasTC,#Bugs,#BugsBinary,#Blocker,#Critical,Critique,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,Si,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)","d(WMC, RFC)",#Hbugs,#Mbugs,#Lbugs,#Nbugs,#Severity,#Score,#Risk
org.apache.tools.ant.IntrospectionHelper,1,2,1,0,0,2,1,1,0,0,14,24,63,20,20,822,0.753316678,2.227392636,4,1377.53294,134.0002271,145.6193668,97.41663102,79.00038514,1373.27419,1371.000365,1373.27419,57.00877125,97.41663102,7,330,831.1113422,146.1848145,1372.517387,1378.771555,824.6282096,1372.18439,824.4930928,2929671.116,1879764,3372,2,1,1,2,2,12,13
org.apache.tools.ant.Location,0,0,0,0,0,0,0,0,0,0,5,51,10,51,0,69,0.948672824,0.190306122,5,2128.160003,133.0000099,148.4755872,84.02380615,52.00002533,2124.636439,2124.103811,2124.542304,69.26037828,81.60882305,0,,189.6661314,182.428068,2124.188231,2131.81988,74.56666982,2125.025176,74.68431687,297883.0097,4511552,4532,0,0,0,0,0,0,0
org.apache.tools.ant.Main,0,1,1,0,0,1,0,1,0,0,14,7,82,0,7,1253,0.923298003,0.362749236,1,949.9310501,137.0000215,148.3846353,111.6467644,96.00003064,944.8894115,940.1042495,945.1989209,58.69412236,114.2365966,3,,1254.353372,143.586211,942.393262,950.9032548,1254.792722,941.7266058,1254.219681,3925731.2,883704,3353,1,1,1,2,2,7,6
org.apache.tools.ant.NoBannerLogger,0,0,0,0,0,0,0,0,0,0,4,3,16,0,3,59,0.873710659,0.010204082,1,2138.393088,137.0000582,152.5057376,120.3702621,100.0000797,2136.341733,2134.075912,2136.295158,69.37578828,119.540788,0,,179.9269991,196.7256974,2134.045793,2143.04853,60.65768604,2135.051522,60.72860985,255309.0072,4554126,4659,0,0,0,0,0,0,0
org.apache.tools.ant.PathTokenizer,0,0,0,0,0,0,0,0,0,0,3,2,15,2,0,100,0.888219763,0.75748055,2,2097.413884,136.0000459,152.0526225,121.7579566,101.0000619,2095.435516,2093.105349,2095.246525,71.16881339,118.460964,0,,198.0868238,196.5960325,2093.04756,2102.212882,100.9857873,2094.104343,101.0348003,428615.0119,4380820,4795,0,0,0,0,0,0,0
org.apache.tools.ant.Project,1,3,1,0,0,3,1,2,0,0,71,103,186,99,7,2193,0.248779012,4.02243774,90,48,48.00587811,48,0,0.751220988,0,14,0,14,0,10,20,2195.233473,0,210.7059563,0,2189.263845,0,2204.242954,4809435.506,0,0,3,2,2,4,2,19,19
org.apache.tools.ant.ProjectHelper,0,5,1,0,1,6,1,2,1,0,17,19,73,13,7,502,0.490038769,0.224489796,8,1695.989682,130.0010002,140.7693148,99.85990186,84.00154796,1693.085054,1691.057953,1693.185459,55.78530272,101.5480182,17,,514.6078193,142.0035211,1692.395056,1696.951973,506.7216088,1691.861992,506.9638064,1949841.066,2859594,3029,7,2,3,5,2,40,37
org.apache.tools.ant.RuntimeConfigurable,0,2,1,0,0,2,1,1,0,0,9,8,25,5,3,114,0.910062775,0.194173929,5,2083.249865,133.0000304,146.7412689,113.4416149,95.00004257,2081.169383,2079.077921,2081.123975,64.56004957,112.6055061,7,,197.3372176,186.4322933,2079.1417,2087.342329,116.5777404,2079.924277,116.7754537,487033.014,4322402,4005,2,1,1,2,2,12,13
org.apache.tools.ant.Target,0,0,0,0,0,0,0,0,0,0,19,18,47,16,5,273,0.819221889,0.537850638,10,1924.261936,128.0001277,138.1593283,99.64436763,85.00019224,1921.880589,1920.066666,1921.793173,54.40588203,97.94386147,0,,306.741907,161.8950277,1920.620344,1926.813432,277.3625895,1920.704038,277.7673035,1122896.034,3686539,2843,0,0,0,0,0,0,0
org.apache.tools.ant.Task,0,0,0,0,0,0,0,0,0,0,19,78,23,75,5,125,0.802623224,5.258979476,103,2068.296159,35.00055653,62.68173578,57.69748695,25.00077914,2068.151107,2068.061895,2068.13926,54.40588203,57.27128425,0,,206.6928611,164.7573974,2068.510399,2074.552723,133.2138661,2068.653668,133.6426496,532648.0171,4276787,2867,0,0,0,0,0,0,0
org.apache.tools.ant.TaskAdapter,0,0,0,0,0,0,0,0,0,0,4,6,15,4,2,82,0.943021749,0.083532917,5,2115.185571,133.0000122,148.9227988,117.889779,97.00001673,2113.22739,2111.085503,2113.136531,69.64194139,116.2497312,0,,189.6863406,195.6169727,2111.053926,2120.044103,83.39151371,2112.062973,83.4613655,352943.0099,4456492,4660,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Ant,1,2,1,0,0,2,0,2,0,0,10,9,70,1,8,440,0.706882086,0.297321014,4,1758.114046,134.0003206,147.2311108,112.0580207,94.00045701,1755.518442,1753.048202,1755.737167,62.36986452,115.4339638,6,26,454.5470302,151.8551942,1753.987575,1759.565003,443.97013,1754.061002,444.005508,1736310.057,3073125,3837,2,2,2,4,2,14,12
org.apache.tools.ant.taskdefs.AntStructure,1,2,1,0,1,3,0,1,0,0,8,6,55,0,6,643,0.979275174,0.081845153,2,1555.955012,136.0000016,149.8832879,115.6633045,97.00000221,1553.032195,1550.072579,1553.158395,64.76109943,117.3456433,8,11,655.3025297,164.2010962,1550.697489,1558.673154,644.7074274,1551.279794,644.5491186,2406804.086,2402631,4100,4,1,1,2,2,22,19
org.apache.tools.ant.taskdefs.Available,1,1,1,0,0,1,0,1,0,0,13,7,35,0,7,273,0.727078196,0.184815605,3,1924.740242,135.0002759,146.931957,112.1605991,96.00038795,1922.398502,1920.051041,1922.55065,59.66573556,114.7388339,3,62,311.7000515,180.5602393,1920.236643,1928.471415,274.7085653,1920.875842,274.9309074,1122884.034,3686551,3515,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.CallTarget,0,0,0,0,0,0,0,0,0,0,5,7,20,0,7,76,0.6479492,0.010204082,0,2121.493106,138.0004491,152.9705854,116.498927,96.00064552,2119.175547,2117.046291,2119.313568,67.46851117,118.9831921,0,,182.537207,193.2795902,2117.071723,2125.804789,78.02517353,2118.028564,78.08972203,327580.0093,4481855,4522,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Chmod,0,1,1,0,0,1,0,1,0,0,14,10,43,0,10,168,0.502548377,0,5,2029.362954,133.0009303,144.699689,109.0779538,93.00133041,2027.134431,2025.029876,2027.418556,58.05170109,114.2365966,3,,220.4786756,173.9252713,2025.334002,2032.455412,172.0481573,2025.802063,172.3180855,708667.0208,4100768,3392,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter,0,0,0,0,0,0,0,0,0,0,2,4,2,3,2,2,1,0,1,2195.279026,137,153.3949152,120.6731122,99,2193.235509,2191.082381,2193.102141,71.56814934,118.224363,0,,184.0123435,207.5379483,2191.00229,2200.807352,3.756229484,2192.086221,3.780408378,8770.000831,4800665,4945,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0,1,1,0,0,1,0,1,0,0,3,8,16,1,7,125,0.957538619,0.010204082,2,2072.467129,136.0000066,152.0526225,116.8289348,95.00000949,2070.18091,2068.047388,2070.320748,69.42621983,119.2811804,3,,210.9577891,196.2243614,2068.050705,2077.288617,125.8888739,2069.117686,125.8672135,532641.0148,4276794,4794,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,0,3,1,0,0,3,0,3,0,0,10,17,81,4,13,743,0.350155474,0.255102041,5,1456.086879,133.0015876,146.3215637,105.4371851,86.00245519,1452.548106,1450.022069,1453.108736,61.52235366,112.8981842,9,,749.5159266,141.5980226,1451.64593,1456.897388,746.285152,1451.282536,746.0740886,2706830.103,2102605,3826,3,3,3,6,2,21,18
org.apache.tools.ant.taskdefs.compilers.Javac12,0,0,0,0,0,0,0,0,0,0,3,8,18,1,7,132,0.583212214,0,0,2065.614921,138.0006294,153.8440769,116.8289348,95.00091427,2063.188309,2061.047549,2063.328621,69.42621983,119.2811804,0,,213.595154,194.4942159,2061.063759,2070.156757,133.0444069,2062.12148,133.0191581,561546.0157,4247889,4792,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Javac13,0,0,0,0,0,0,0,0,0,0,2,8,17,1,7,97,0.588745661,0,0,2100.538026,138.0006128,154.2886904,117.4137982,95.00089015,2098.151806,2096.046755,2098.28978,70.40596566,119.8540779,0,,194.8309,195.3586445,2096.056187,2105.084559,98.25974796,2097.135427,98.22006218,416050.0116,4393385,4930,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Jikes,0,0,0,0,0,0,0,0,0,0,2,9,23,1,8,204,0.422305765,0,0,1993.781583,138.0012092,154.2886904,116.6061748,94.00177515,1991.219978,1989.042483,1991.412815,70.21395873,119.8540779,0,,260.9824908,190.1920082,1989.105785,1998.072571,205.0866027,1990.196473,204.9816354,853151.0246,3956284,4924,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.compilers.Jvc,0,1,1,0,0,1,0,1,0,0,2,9,19,1,8,120,0.504306281,0,0,2077.588265,138.0008903,154.2886904,116.6061748,94.00130697,2075.130116,2073.040762,2075.315157,70.21395873,119.8540779,3,,205.5952395,193.6310925,2073.07032,2082.023535,121.2678956,2074.148018,121.2097181,511939.0143,4297496,4928,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.CompileTask,0,0,0,0,0,0,0,0,0,0,4,5,21,0,5,87,0.824015927,0.020408163,0,2110.516524,138.0001122,153.4046935,118.7139419,98.00015801,2108.278919,2106.060778,2108.325639,68.8839604,119.540788,0,,186.4885293,192.4214125,2106.079373,2114.772328,88.93956142,2107.065495,88.9824026,374034.0105,4435401,4654,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Copy,0,2,1,0,0,2,0,2,0,0,17,12,64,1,11,642,0.623233566,0.13321091,4,1556.777762,134.0005297,144.4714505,105.8158778,91.00077996,1553.667275,1551.032237,1554.092983,54.91812087,111.8928058,6,,652.6447177,156.4864211,1551.947408,1558.874273,644.3535288,1551.939754,644.4940048,2403712.086,2405723,3038,2,2,2,4,2,14,12
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,0,8,6,35,0,6,265,0.939105174,0.112457398,2,1932.790728,136.0000136,149.8832879,115.6633045,97.00001911,1930.438551,1928.05835,1930.54008,64.76109943,117.3456433,0,30,304.7352822,180.5602393,1928.235661,1936.436418,266.7510627,1929.02903,266.8283766,1092100.032,3717335,4120,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,0,6,4,21,0,4,136,0.896497177,0.030612245,2,2061.490965,136.0000394,150.7348666,118.4314148,99.00005411,2059.380975,2057.070247,2059.380975,67.18630813,118.4314148,0,29,213.7309083,192.4214125,2057.081263,2065.980397,137.2536577,2058.026725,137.3448529,578021.0163,4231414,4390,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Cvs,0,1,1,0,0,1,0,1,0,0,12,12,37,0,12,310,0.639831097,0.102040816,2,1887.904923,136.0004769,148.2464165,108.4527547,91.00071275,1885.197602,1883.021508,1885.6007,59.68249325,115.2475596,3,,343.6181805,178.8910283,1883.268751,1891.478522,311.7069115,1883.924096,311.8520548,1263597.038,3545838,3630,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,0,18,8,49,0,8,579,0.46107646,0.071428571,6,1619.388774,132.0011001,142.2427503,108.78419,95.00152861,1616.793431,1614.052354,1617.033395,54.5710546,112.2942563,0,17,594.2089953,169.0266251,1614.538066,1622.826546,580.5462725,1614.869964,580.7765596,2204302.076,2605133,2946,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,0,4,3,17,0,3,152,0.933695906,0.010204082,3,2045.45985,135.0000163,150.7116452,120.3702621,100.000022,2043.448311,2041.079371,2043.399618,69.37578828,119.540788,0,14,227.1882906,195.8621965,2041.053977,2050.376307,152.7441469,2042.09941,152.7724666,643585.0181,4165850,4658,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,0,7,7,22,0,7,147,0.842681717,0.030612245,2,2050.515057,136.000091,150.3063538,115.3776408,96.0001289,2048.250961,2046.047898,2048.393761,65.51335742,117.8855377,0,23,220.1315538,191.5646105,2046.089536,2054.948418,148.2931965,2047.000733,148.3880547,623155.0176,4186280,4260,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Exec,0,0,0,0,0,0,0,0,0,0,10,5,41,1,5,360,0.722340281,0.06122449,4,1837.891455,134.0002877,147.2311108,115.4339638,98.00039334,1835.61788,1833.06983,1835.61788,63.0634601,115.4339638,0,,387.7478238,175.0114282,1833.347512,1841.335928,361.7958199,1834.014722,361.8989152,1449401.045,3360034,3866,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ExecTask,0,2,1,0,0,2,0,2,0,0,19,18,56,5,13,406,0.455946544,0.112669896,8,1791.722356,130.0011384,140.014285,99.64436763,85.00174112,1789.020402,1787.017907,1789.470592,52.61178575,107.424392,6,,426.079236,160.424437,1787.707255,1794.186445,409.1837484,1787.756415,409.4913856,1615936.052,3193499,2834,2,2,2,4,2,14,12
org.apache.tools.ant.taskdefs.Execute,0,3,1,0,0,3,1,1,1,0,21,25,77,10,16,566,0.628597225,1.155974108,18,1631.419321,120.0005747,130,92.64987858,78.00088423,1628.868626,1627.007683,1629.432417,50.24937811,102.0832993,9,,576.2046817,140.7195793,1628.504557,1633.074095,570.4026836,1627.768104,570.6885799,2162197.075,2647238,2609,3,1,2,3,2,18,18
org.apache.tools.ant.taskdefs.ExecuteJava,0,0,0,0,0,0,0,0,0,0,6,7,26,1,6,185,0.88946784,0.256718809,1,2012.66813,137.0000446,151.6377262,115.9353268,96.00006363,2010.293511,2008.056025,2010.390012,66.70832032,117.5967687,0,,244.4731172,187.6272901,2008.132621,2016.746885,186.4781465,2009.051766,186.5304927,777211.0223,4032224,4385,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ExecuteOn,0,4,1,0,0,4,0,4,0,0,11,14,42,2,12,395,0.778837814,0.056095373,4,1802.986411,134.0001825,146.8196172,107.3359213,89.00027479,1800.201378,1798.022525,1800.614617,60.67124525,114.0570033,12,,420.0714714,173.6231551,1798.382366,1806.363474,396.8145361,1799.000834,396.884413,1576487.05,3232948,3744,4,4,4,8,2,28,24
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,0,0,0,0,0,0,0,0,0,0,5,10,5,10,0,5,1,0,1,2192.284881,137,152.0690633,114.0394669,93,2189.975571,2188.100775,2189.809352,69.26037828,110.8016245,0,,181.0812555,201.6977937,2188.018544,2197.276951,10.30265472,2188.995203,10.37829475,21910.00252,4787525,4537,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1,1,1,0,0,1,0,1,0,0,8,6,25,5,1,169,0.838935819,0.286332015,3,2028.497227,135.0000961,148.9765082,115.6633045,97.00013372,2026.323025,2024.098812,2026.181631,66.09841148,113.1591799,3,98,233.451334,186.4322933,2024.145551,2032.56808,170.7360433,2024.980247,170.9014059,712698.0205,4096737,4130,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.Exit,0,0,0,0,0,0,0,0,0,0,3,2,6,0,2,29,0.979275174,0.010204082,2,2168.269356,136.0000016,152.0526225,121.7579566,101.0000021,2166.355696,2164.083409,2166.263373,70.60453243,120.1041215,0,,182.3163917,205.4288198,2164.006434,2173.728824,29.49309003,2165.068128,29.55583645,126359.0034,4683076,4804,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Expand,0,3,1,1,0,4,0,2,0,0,5,8,45,0,8,261,0.654055607,0.020408163,3,1936.710872,135.0004432,150.2697574,115.6762724,95.00062988,1934.334252,1932.043737,1934.534828,67.26812024,118.9831921,12,,296.3862066,172.2846482,1932.382001,1939.666466,263.8690093,1933.127,263.8346089,1076670.032,3732765,4497,5,2,2,4,2,29,26
org.apache.tools.ant.taskdefs.Filter,1,0,0,0,0,0,0,0,0,0,6,4,24,0,4,153,0.939182405,0.046024617,3,2044.462032,135.0000137,149.8332406,118.4314148,99.00001868,2042.400793,2040.070832,2042.400793,67.18630813,118.4314148,0,63,222.7146783,189.855208,2040.106554,2048.815511,154.4436684,2041.035277,154.5269478,647673.0184,4161762,4387,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.FixCRLF,0,3,1,0,0,3,0,3,0,0,8,7,34,0,7,626,0.410417283,0.040816327,2,1572.890651,136.001278,149.8832879,114.8259553,96.00181044,1569.937897,1567.062539,1570.124199,64.5368112,117.3456433,9,,643.323872,181.3973539,1567.274065,1577.464421,626.7236867,1568.265921,626.5689664,2353794.083,2455641,4121,3,3,3,6,2,21,18
org.apache.tools.ant.taskdefs.GenerateKey,0,1,1,0,0,1,0,1,0,0,14,6,33,0,6,404,0.619500941,0.081632653,2,1794.161921,136.0005323,147.4618595,112.5077775,97.00074628,1791.627752,1789.062883,1791.737146,58.94064811,114.2365966,3,,431.5301679,182.2361106,1789.226518,1798.257768,405.03946,1789.907819,405.242514,1608761.051,3200674,3402,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.Get,1,3,1,0,0,3,0,3,0,0,8,6,46,0,6,394,0.829848992,0.040816327,3,1804.058203,135.0001072,148.9765082,115.6633045,97.00014923,1801.613166,1799.062534,1801.721954,64.76109943,117.3456433,9,32,417.6736948,171.467198,1799.427876,1807.15301,395.986912,1800.102775,395.9951231,1572894.05,3236541,4109,3,3,3,6,2,21,18
org.apache.tools.ant.taskdefs.GUnzip,1,0,0,0,0,0,0,0,0,0,4,4,32,0,4,215,0.911702441,0,2,1982.669917,136.0000287,151.6080473,119.540788,99.00003938,1980.475953,1978.073052,1980.475953,69.12307864,119.540788,0,25,264.2665176,183.0764867,1978.19296,1986.454379,216.7953186,1979.134407,216.7825619,896797.0261,3912638,4643,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.GZip,1,0,0,0,0,0,0,0,0,0,6,4,25,0,4,157,0.897755027,0.030612245,3,2040.470779,135.0000387,149.8332406,118.4314148,99.0000528,2038.405504,2036.070971,2038.405504,67.18630813,118.4314148,0,27,224.7576733,189.0026455,2036.115673,2044.753775,158.5223035,2037.037309,158.603685,663978.0189,4145457,4386,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Jar,1,4,1,0,0,4,1,3,0,0,6,6,33,1,5,164,0.748721318,0.020408163,3,2033.486169,135.0002339,149.8332406,116.7647207,97.00032547,2031.317307,2029.063084,2031.365304,66.94027188,117.5967687,13,30,224.1913839,181.694799,2029.207394,2037.119044,166.5831196,2030.040886,166.6527306,692441.02,4116994,4378,4,3,3,6,2,26,25
org.apache.tools.ant.taskdefs.Java,0,1,1,0,0,1,0,1,0,0,22,17,77,0,17,439,0.188753098,0.14900396,11,1758.591766,127.002591,136.1249426,98.97979592,86.0038262,1756.107058,1754.004561,1756.791678,49.16299421,110.4626634,3,,451.7877902,147.24809,1755.147544,1760.169878,443.6577328,1754.684302,444.0226962,1732810.057,3076625,2510,1,1,1,2,2,7,6
org.apache.tools.ant.taskdefs.Javac,0,1,1,0,1,2,0,0,0,0,42,19,74,7,13,550,0.435520772,0.466897003,5,1648.374351,133.0011979,136.1249426,88.86506625,84.00189663,1645.14589,1643.019476,1645.57376,30.08321791,96.46242792,5,,560.9543651,144.9413675,1644.315657,1649.380793,553.9983421,1643.255914,554.8046635,2109874.073,2699561,953,3,0,0,0,2,15,13
org.apache.tools.ant.taskdefs.JavacOutputStream,0,0,0,0,0,0,0,0,0,0,4,1,11,0,1,68,0.971704003,0.020408163,1,2129.411656,137.0000029,152.5057376,122.0368797,102.0000039,2127.446592,2125.094116,2127.304868,69.92138443,119.540788,0,,187.7213238,201.0621794,2125.021883,2134.490806,68.68680267,2126.055973,68.77258111,293635.008,4515800,4664,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Javadoc,0,5,1,0,0,5,0,5,0,0,65,21,155,6,21,1504,0.219372587,0.102040816,3,702.1011323,135.0022569,135.1332676,82.21921916,82.00371564,693.8623783,689,695.2481571,6,93.1933474,15,,1500.305618,98.03060747,698.1523718,695.9389341,1508.315015,689.0261243,1509.334528,4334683.261,474752,67,5,5,5,10,2,35,30
org.apache.tools.ant.taskdefs.Jikes,0,0,0,0,0,0,0,0,0,0,2,5,29,0,5,176,0.896809896,0.102040816,0,2021.715361,138.0000386,154.2886904,119.8540779,98.00005433,2019.37936,2017.06346,2019.428137,70.83078427,120.6731122,0,,235.7042981,185.6071119,2017.156155,2025.521908,177.8173428,2018.179873,177.7501025,740989.0213,4068446,4918,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.JikesOutputParser,0,0,0,0,0,0,0,0,0,0,12,3,21,1,2,147,0.825385407,0.326530612,1,2050.581625,137.0001113,149.1643389,116.1077086,100.0001525,2048.442335,2046.088219,2048.345674,61.98386887,114.3896848,0,,220.9095413,191.9088325,2046.086345,2054.980535,148.2091624,2046.850507,148.4930601,623154.0176,4186281,3646,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.KeySubst,0,0,0,0,0,0,0,0,0,0,8,3,40,0,3,271,0.785999463,0.102040816,3,1926.735322,135.0001696,148.9765082,118.1905242,100.000229,1924.599699,1922.084285,1924.547999,65.520989,117.3456433,0,,307.5493875,176.4001134,1922.306139,1930.077978,273.1788861,1923.032241,273.2786277,1115205.033,3694230,4115,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.LogOutputStream,0,0,0,0,0,0,0,0,0,0,7,8,15,7,1,92,0.871216601,0.344074574,9,2104.956532,129.0000643,144.0034722,114.5469336,95.00008729,2103.14669,2101.095191,2103.013314,67.05221846,112.0714058,0,,194.2821598,194.1777536,2101.065011,2109.954028,93.47816161,2101.974548,93.64463716,395063.0111,4414372,4267,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.LogStreamHandler,0,0,0,0,0,0,0,0,0,0,1,9,3,6,3,14,0.969074391,0,13,2182.582415,125.0000038,143.2654878,117.2006826,94.00000509,2181.026593,2179.074345,2180.983723,72.277244,116.4001718,0,,183.5539576,205.2754247,2179.006767,2188.647756,15.04077666,2180.124079,15.03961902,61211.0019,4748224,5083,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.MatchingTask,0,0,0,0,0,0,0,0,0,0,12,18,37,12,6,164,0.336585502,0.020408163,17,2032.604733,121.0018187,134.617978,103.4698024,85.00258889,2030.779653,2029.055445,2030.864348,60.87692502,105.1189802,0,,221.851773,172.5398505,2029.358926,2036.322912,168.4263825,2029.85763,168.6662923,692445.0206,4116990,3630,0,0,0,0,0,0,0
