Class Name,HasTC,#Bugs,#BugsBinary,#Blocker,#Critical,Critique,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,Si,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.taskdefs.Tar,1,2,1,0,0,2,0,2,0,0,8,12,65,0,12,583,0.67134428,0.102040816,2,1615.734,136,149.883,110.68,91.001,1612.57,1610.025,1613.041,63.64,117.346,6,23
org.apache.tools.ant.taskdefs.Taskdef,1,0,0,0,0,0,0,0,0,0,8,8,25,1,7,157,0.871882808,0.030612245,3,2040.471,135,148.977,113.991,95,2038.215,2036.048,2038.357,64.537,116.503,0,23
org.apache.tools.ant.taskdefs.TaskOutputStream,0,0,0,0,0,0,0,0,0,0,3,1,9,0,1,58,0.981932466,0.010204082,1,2139.391,137,152.948,122.589,102,2137.435,2135.094,2137.294,70.88,120.104,0,
org.apache.tools.ant.taskdefs.Touch,0,3,1,0,0,3,0,2,1,0,8,7,32,3,4,300,0.82522551,0.040803311,4,1897.737,134,148.071,114.826,96,1895.433,1893.076,1895.433,65.253,114.826,8,
org.apache.tools.ant.taskdefs.Transform,0,1,1,0,0,1,0,1,0,0,9,12,36,0,12,375,0.395803447,0.010204082,3,1823.005,135.001,148.556,110.114,91.002,1820.276,1818.022,1820.694,62.65,116.812,3,
org.apache.tools.ant.taskdefs.Tstamp,0,0,0,0,0,0,0,0,0,0,3,5,17,1,5,91,0.980280219,0,2,2106.395,136,152.053,119.281,98,2104.283,2102.061,2104.283,69.857,119.281,0,
org.apache.tools.ant.taskdefs.Untar,0,3,1,0,0,3,0,3,0,0,4,8,42,0,8,242,0.886505904,0.020408163,2,1955.734,136,151.608,116.25,95,1953.312,1951.043,1953.51,68.25,119.541,9,
org.apache.tools.ant.taskdefs.UpToDate,0,1,1,0,0,1,0,1,0,0,7,11,32,0,11,189,0.765261427,0.041028827,2,2008.609,136,150.306,112.071,92,2006.111,2004.025,2006.444,64.777,117.886,3,
org.apache.tools.ant.taskdefs.War,0,0,0,0,0,0,0,0,0,0,9,7,33,0,7,163,0.691610197,0,3,2034.484,135,148.556,114.28,96,2032.269,2030.048,2032.413,63.561,116.812,0,
org.apache.tools.ant.taskdefs.XSLTLiaison,0,1,1,0,0,1,1,0,0,0,3,1,3,1,0,3,1,0,1,2194.281,137,152.948,122.589,102,2192.374,2190.101,2192.192,71.169,119.281,4,
org.apache.tools.ant.taskdefs.XSLTProcess,0,6,1,0,0,6,1,5,0,0,13,7,55,1,7,590,0.358785208,0.12244898,3,1608.675,135.002,146.932,112.161,96.002,1605.872,1603.061,1605.993,59.666,113.877,19,
org.apache.tools.ant.taskdefs.Zip,1,7,1,0,0,7,1,5,1,0,22,15,104,2,13,1180,0.37310558,0.895765891,5,1021.694,133.001,141.739,100.722,88.002,1016.815,1013.032,1017.634,49.649,108.674,21,23
org.apache.tools.ant.types.Commandline,1,3,1,0,0,3,0,3,0,0,19,23,46,22,3,448,0.62286593,12.78655705,35,1748.037,103.001,115.382,95.415,80.001,1746.833,1745.093,1746.698,55.027,92.914,9,59
org.apache.tools.ant.types.CommandlineJava,1,1,1,0,0,1,0,1,0,0,21,9,47,1,8,277,0.284056646,0.440839076,7,1920.473,131.002,140.218,106.471,94.003,1918.304,1916.044,1918.505,51.662,110.018,3,42
org.apache.tools.ant.types.DataType,0,0,0,0,0,0,0,0,0,0,9,8,15,5,3,98,0.892646795,5.792864731,6,2099.154,132,145.836,113.442,95,2097.153,2095.077,2097.108,64.56,112.606,0,
org.apache.tools.ant.types.EnumeratedAttribute,1,1,1,0,0,1,0,1,0,0,5,12,11,11,1,59,0.974174782,0.12244898,10,2137.835,128,144.014,112.414,91,2135.939,2134.094,2135.814,68.964,110,3,51
org.apache.tools.ant.types.Environment,0,0,0,0,0,0,0,0,0,0,3,5,9,3,2,47,0.948672824,0.520381086,3,2150.242,135,151.159,119.281,98,2148.236,2146.084,2148.146,70.605,117.644,0,
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,0,16,24,56,16,8,353,0.26936373,0.104751212,13,1844.241,125.002,136.565,96.26,79.003,1841.695,1840.046,1841.871,56.515,99.569,0,150
org.apache.tools.ant.types.Mapper,1,0,0,0,0,0,0,0,0,0,11,11,37,3,8,285,0.686510381,0.06143699,6,1912.561,132,144.997,109.836,92.001,1910.217,1908.044,1910.414,61.392,113.208,0,110
org.apache.tools.ant.types.Path,1,2,1,0,0,2,1,1,0,0,24,27,80,20,8,693,0.605948041,2.804661524,40,1503.198,98.001,108.688,89.359,76.001,1501.924,1500.056,1502.079,48.765,91.924,7,224
org.apache.tools.ant.types.PatternSet,1,2,1,0,0,2,0,2,0,0,17,10,55,5,6,461,0.507831562,5.607636492,3,1737.253,135.001,145.399,107.541,93.001,1734.495,1732.065,1734.549,56.045,108.407,6,127
org.apache.tools.ant.types.Reference,0,0,0,0,0,0,0,0,0,0,5,16,12,14,2,55,0.929348304,0.855083997,6,2142.071,132,147.58,109.202,87,2139.769,2138.084,2139.689,68.68,107.615,0,
org.apache.tools.ant.types.ZipFileSet,0,0,0,0,0,0,0,0,0,0,9,10,20,3,7,110,0.41427837,0.112244898,12,2086.807,126.001,140.428,111.772,93.002,2085.075,2083.047,2085.211,63.561,114.28,0,
org.apache.tools.ant.types.ZipScanner,0,0,0,0,0,0,0,0,0,0,6,3,11,2,1,68,0.881033178,0.853299052,20,2128.274,118,134.718,119.269,100,2127.352,2125.094,2127.213,68.007,116.765,0,
org.apache.tools.ant.UnknownElement,0,1,1,0,0,1,0,1,0,0,6,10,33,3,8,198,0.382510947,0.054846939,3,1999.562,135.001,149.833,113.464,93.002,1997.166,1995.042,1997.308,66.287,115.935,3,
org.apache.tools.ant.util.DOMElementWriter,1,1,1,0,0,1,0,1,0,0,5,1,35,1,0,354,0.717644586,0.448979592,3,1843.948,135,150.27,121.491,102,1841.827,1839.12,1841.609,69.26,118.152,3,35
org.apache.tools.ant.util.FileNameMapper,0,0,0,0,0,0,0,0,0,0,3,15,3,15,0,3,1,0,1,2194.281,137,152.948,111.212,88,2191.767,2190.101,2191.61,71.169,108.074,0,
org.apache.tools.ant.util.FlatFileNameMapper,0,0,0,0,0,0,0,0,0,0,4,2,7,1,1,20,0.969074391,0.030612245,0,2177.378,138,153.405,121.202,101,2175.346,2173.092,2175.209,69.921,118.714,0,
org.apache.tools.ant.util.GlobPatternMapper,1,1,1,0,0,1,1,0,0,0,5,3,15,2,1,137,0.938897074,0.301023664,3,2060.427,135,150.27,119.817,100,2058.43,2056.097,2058.287,68.964,117.324,4,59
org.apache.tools.ant.util.IdentityMapper,0,0,0,0,0,0,0,0,0,0,4,2,5,1,1,16,0.969074391,0.030612245,0,2181.37,138,153.405,121.202,101,2179.342,2177.092,2179.205,69.921,118.714,0,
org.apache.tools.ant.util.MergingMapper,0,0,0,0,0,0,0,0,0,0,4,4,5,3,1,24,0.969074391,0.056223927,3,2173.197,135,150.712,119.541,99,2171.258,2169.092,2171.123,69.921,117.068,0,
org.apache.tools.ant.util.regexp.JakartaOroMatcher,1,0,0,0,0,0,0,0,0,0,5,7,17,0,7,75,0.959964082,0.030612245,1,2122.426,137,152.069,116.499,96,2120.175,2118.046,2120.312,67.469,118.983,0,8
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,1,0,0,0,0,0,0,0,0,0,5,4,13,0,4,65,0.959964082,0.030612245,1,2132.405,137,152.069,118.983,99,2130.302,2128.068,2130.302,68.154,118.983,0,8
org.apache.tools.ant.util.regexp.RegexpMatcher,1,0,0,0,0,0,0,0,0,0,4,5,4,4,1,4,1,0,1,2193.283,137,152.506,118.714,98,2191.193,2189.091,2191.06,69.921,116.25,0,53
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,0,0,0,0,0,0,0,0,0,0,3,3,9,1,2,43,0.965509138,0.020408163,2,2154.297,136,152.053,120.93,100,2152.324,2150.084,2152.232,70.605,119.281,0,
org.apache.tools.ant.util.RegexpPatternMapper,0,1,1,0,0,1,1,0,0,0,5,4,20,0,4,144,0.955451751,0.010204082,1,2053.575,137,152.069,118.983,99,2051.39,2049.071,2051.39,68.154,118.983,4,
org.apache.tools.ant.util.SourceFileScanner,0,0,0,0,0,0,0,0,0,0,3,9,25,7,2,277,0.739717837,1.609015373,9,1920.338,129,145.825,116.017,94,1918.304,1916.094,1918.207,70.605,114.403,0,
org.apache.tools.ant.XmlLogger,0,3,1,0,0,3,1,1,1,0,10,9,49,0,9,382,0.73227789,0.040816327,0,1816.25,138,150.881,112.058,94,1813.438,1811.04,1813.704,62.169,116.284,9,
org.apache.tools.mail.MailMessage,0,0,0,0,0,0,0,0,0,0,27,3,63,1,2,527,0.04570795,1.716073532,2,1671.542,136.003,142.941,109.252,100.005,1668.999,1666.108,1668.88,47.927,107.424,0,
org.apache.tools.mail.MailPrintStream,0,0,0,0,0,0,0,0,0,0,5,1,9,1,0,81,0.92185817,0.43599672,2,2116.374,136,151.169,121.491,102,2114.462,2112.104,2114.272,69.26,118.152,0,
org.apache.tools.mail.SmtpResponseReader,0,0,0,0,0,0,0,0,0,0,5,1,18,1,0,96,0.928696291,0.936903947,1,2101.47,137,152.069,121.491,102,2099.479,2097.105,2099.289,69.26,118.152,0,
org.apache.tools.tar.TarBuffer,0,0,0,0,0,0,0,0,0,0,21,2,35,2,0,617,0.723217959,0.830830947,3,1581.771,135,143.962,112.699,101,1579.233,1576.14,1578.982,54.231,109.128,0,
org.apache.tools.tar.TarConstants,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,24,1,0,0,2173.386,138,155.193,124.278,102,2171.397,2169.102,2171.213,74.041,121.017,3,
