@relation 'Ant13-Arrondi5-weka.filters.unsupervised.attribute.Remove-R1-6,8-18,30'

@attribute #Normal numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric

@data
2,135.00044,135.60227,165.07574,170.01765,141.57674,141.00042,1932.00003,13.0046,1934.33425,95.88535,12
0,135.00001,135.59986,167.40968,189.85521,162.50022,162.00001,2040,17.00011,2042.40079,100.44899,0
3,136.00128,136.59595,166.46922,179.77764,152.53345,152.00114,1567.00011,14.01241,1569.9379,97.01546,9
1,136.00053,136.59215,167.0479,181.15739,153.52659,153.00047,1789.00004,15.00483,1791.62775,98.15294,3
3,135.00011,135.60035,166.23477,170.32029,140.579,140.0001,1799.00001,15.00097,1801.61317,98.15294,9
0,136.00003,136.59977,168.21712,183.07649,154.52992,154.00003,1978,17.00023,1980.47595,100.44899,0
0,135.00004,135.60131,167.40968,189.00265,161.50453,161.00003,2036,17.00031,2038.4055,100.44899,0
3,135.00023,135.60227,166.23477,181.15739,153.53167,153.00021,2029.00002,16.00197,2031.31731,98.31073,13
1,127.00259,127.62722,153.37862,138.84164,109.73016,109.00302,1754.00019,4.08144,1756.10706,86.09297,3
0,133.0012,133.56936,157.30544,140,112.67553,112.00142,1643.0001,8.01989,1645.14589,84.38009,5
0,137,137.59351,170.80105,202.55617,175.46502,175,2125,20.00002,2127.44659,103.94229,0
5,135.00226,135.59461,157.95252,87.66413,33.49473,31.00983,689.00044,0.78063,693.86238,82,15
0,138.00004,138.58173,169.2572,185.07566,157.51158,157.00003,2017,16.00033,2019.37936,99.29753,0
0,137.00011,137.56545,169.61427,192.93781,165.46979,165.00009,2046.00001,19.0008,2048.44234,101.789,0
0,135.00017,135.59461,168.00298,176.96327,146.54998,146.00016,1922.00001,18.00127,1924.5997,101.60709,0
0,129.00006,129.59867,160.20612,195.61697,171.45208,171.00005,2101,20.00041,2103.14669,97.08244,0
0,125,125.65228,156.40013,205.73041,183.44617,183,2179,18.00003,2181.02659,95.70789,0
0,121.00182,121.67158,147.87157,171.54008,149.54589,149.00148,2029.00011,15.01466,2030.77965,86.31338,0
2,136.00001,136.59881,168.80758,198.95728,172.47387,172,2109,18.00004,2111.36946,101.60709,6
2,137.00005,137.58973,167.86304,182.00275,154.52487,154.00004,1868,15.00045,1870.51677,98.15294,6
1,136.00034,136.59881,165.32392,182.98907,157.519,157.00029,2025.00002,12.00383,2027.18055,94.76286,3
0,134.00065,134.56677,162.5423,138.10503,103.73628,103.00085,1535.00006,12.00726,1537.75453,92.77931,4
1,131.00006,131.59935,161.82089,193.87109,169.46501,169.00005,2100,19.00043,2102.14771,96.88137,9
0,136.00004,136.59977,168.21712,195,168.48589,168.00004,2086,17.00036,2088.34791,100.44899,0
1,135.00075,135.58506,165.07574,150.71165,117.67459,117.00086,1561.00006,13.00777,1563.8881,95.88535,9
4,135.00215,135.59365,160.60511,143.40502,114.70239,114.00254,1518.00019,5.05765,1520.49104,87.14356,16
1,138.00003,138.5836,169.83816,175.57335,145.55554,145.00003,1957,17.00023,1959.50249,100.44899,3
0,135.00111,135.58023,166.82026,180.01389,151.51898,151.00099,1886.00008,16.00937,1888.54441,99.29753,4
4,134.00065,134.58045,163.11039,129.41793,90.86196,90.00097,1159.00008,11.0079,1162.72525,93.64828,16
0,137.00001,137.58596,170.80105,206.89128,180.44638,180.00001,2154,21.00006,2156.41369,104.13933,0
2,136.0004,136.59025,163.63679,151.40013,121.66305,121.00045,1610.00003,9.006,1612.56969,91.44397,6
0,135.00006,135.60131,165.07574,186.93849,161.50453,161.00005,2036,14.00059,2038.21515,96.02604,0
0,137,137.59446,170.80105,204.28656,177.46052,177,2135,20.00001,2137.43515,103.94229,0
2,134.00011,134.60481,164.83932,181.47176,154.52655,154.0001,1893.00001,17.0009,1895.43267,97.49359,8
1,135.00135,135.60323,162.80663,175.44515,150.54313,150.00122,1818.0001,9.02026,1820.27608,91.44397,3
0,136,136.59977,167.63055,195.35864,169.48303,169,2102,16.00001,2104.28325,99.29753,0
3,136.00005,136.59786,165.89454,172.51377,144.56478,144.00004,1951,13.0005,1953.31155,95.88535,9
1,136.0002,136.59593,164.19501,179.38785,154.52653,154.00018,2004.00001,10.00275,2006.11066,92.54188,3
0,135.00035,135.60419,165.65325,180.62392,153.53337,153.00031,2030.00002,14.0034,2032.26868,97.01546,0
0,137,137.59541,170.80105,209.50656,183.44617,183,2190,21,2192.37406,104.13933,4
5,135.00152,135.5927,165.65325,162.40998,131.61071,131.00157,1603.00013,14.01468,1605.87204,97.01546,19
5,133.00148,133.53049,159.47727,120.283,82.85765,82.0024,1013.00019,8.02452,1016.81513,88.36289,21
3,103.00069,103,130.41856,161.24515,140,140.00051,1745.00004,18.00395,1746.83285,82,9
1,131.00196,131.58046,161.23585,167.80048,139.54718,139.00184,1916.00013,13.0197,1918.30446,94.89468,3
0,132.00004,132.18514,162.63149,195.61697,171.14296,171.00003,2095,18.00032,2097.15283,96.69023,0
1,128,128.62496,157.05095,197.24604,175.45763,175,2134,20.00002,2135.93937,93.17188,3
0,135.00001,135.55611,166.82026,202.31905,177.42452,177.00001,2146,19.00007,2148.23649,99.82485,0
0,125.00214,125.64167,147.87157,152.12166,130.61711,130.00205,1840.00015,13.02052,1841.69514,80.06248,0
0,132.00037,132.61195,160.89748,175.11425,149.5424,149.00033,1908.00003,13.00378,1910.21674,92.91394,0
1,98.00079,98.50705,124.01613,130.43006,106.46895,106.00073,1500.00005,13.00597,1501.9241,77.10383,7
2,135.0009,135.19074,163.93291,160.65491,131.19656,131.00092,1732.00007,15.00807,1734.49503,94.20191,6
0,132.00002,132.53815,158.09175,194.53791,174.4086,174.00001,2138,19.00013,2139.76938,89.05055,0
0,126.00136,126.63585,156.6046,190.27612,166.48315,166.00103,2083.00008,14.01225,2085.07506,94.04786,0
0,118.00006,118.60187,154.67385,201.55644,175.40639,175.00004,2125,20.00035,2127.35164,101.98039,0
1,135.00141,135.59903,163.93291,179.04748,153.52881,153.00125,1995.0001,13.01466,1997.16649,93.90421,3
1,135.0003,135.56259,169.20106,182.22239,151.50319,151.00026,1839.00002,21.0019,1841.82654,104.13933,3
0,137,137.59541,162.82813,203.0591,183.44617,183,2190,21,2191.76732,90.47099,0
0,138,138.58829,171.0117,205.52859,179.45393,179,2173,20.00002,2175.34595,102.96116,0
0,135.00001,135.57614,168.00298,198.09341,171.45521,171.00001,2056,20.00009,2058.43047,101.98039,4
0,138,138.58829,171.0117,207.27277,181.44893,181,2177,20.00002,2179.34164,102.96116,0
0,135,135.5989,167.40968,206.3056,181.44713,181,2169,20.00002,2171.25816,101,0
0,137.00001,137.59257,167.28718,194.36306,169.48072,169,2118,14.00006,2120.17452,97.01546,0
0,137.00001,137.59257,169.02663,199.32386,173.46963,173,2128,17.00005,2130.30162,100.44899,0
0,137,137.59541,168.44287,206.70752,182.44861,182,2189,20,2191.1926,100.02,0
0,136,136.59786,168.80758,203.29535,177.45978,177,2150,19.00003,2152.32433,101.789,0
0,137.00001,137.59446,169.02663,193.27959,166.49095,166.00001,2049,17.00006,2051.39026,100.44899,4
0,129.00026,129.48335,159.61516,186.43229,161.38754,161.00021,1916.00002,19.00178,1918.30446,95.90099,0
1,138.00026,138.58735,166.97305,166.14752,137.59162,137.00026,1811.00002,12.00299,1813.4379,94.76286,9
0,136.00335,136.44983,168.80758,158.52129,123.49719,123.0037,1666.00027,19.02395,1668.9985,101.789,0
0,136.00002,136.55964,170,204.28656,177.43037,177.00002,2112,21.00015,2114.46163,104.13933,0
0,137.00002,137.51151,170.80105,196.54007,168.41738,168.00002,2097,21.00012,2099.47922,104.13933,0
0,135.00028,135.52837,168.60012,181.66453,151.47257,151.00025,1576.00002,21.00182,1579.23304,103.16007,0
1,138,138.59111,171.6042,212.13203,186.43899,186,2169,21,2171.39702,104.13933,3
2,134.0032,134.55793,165.4237,155.08062,121.61759,121.00354,1446.0003,19.02254,1449.24981,98.84331,6
2,136.00186,136.55414,168.80758,176.96327,146.51633,146.00174,1589.00016,19.01333,1592.14352,101.789,6
0,136.00153,136.59786,168.80758,179.44637,149.54589,149.00139,1756.00012,19.01093,1758.84508,101.789,0
0,136.00029,136.30968,170,199.97,172.24497,172.00023,1919.00002,21.0019,1921.70887,104.13933,0
