Class Name;HasTC;#Bugs;#Blocker;#Critical;Critique;#Major;#Normal;#Minor;#Trivial;WMC;CBO;RFC;Ca;Ce;LOC;Qi;Si;FANIN;d(LOC,FANIN);d(Qi,FANIN);d(WMC,FANIN);d( WMC,CBO);d(Qi,CBO);d(LOC, CBO);d(LOC, Ce);d(LOC, Ca);d(WMC, Ce);d(WMC, Ca);Risk1;TLOC
org.apache.tools.ant.RuntimeConfigurable;0;2;0;0;2;1;1;0;0;9;8;25;5;3;114;0,910062775;0,194173929;5;133,0000304;133,5947907;163,4441801;186,9384926;161,4916967;161,0000251;2079,000002;18,00022468;2081,169383;96,69022701;7;
org.apache.tools.ant.Target;0;0;0;0;0;0;0;0;0;19;18;47;16;5;273;0,819221889;0,537850638;10;128,0001277;128,5847223;153,6522047;162,9294326;139,5386355;139,0001176;1920,000009;16,00102124;1921,880589;86,49277426;0;
org.apache.tools.ant.Task;0;0;0;0;0;0;0;0;0;19;78;23;75;5;125;0,802623224;5,258979476;103;35,00055653;35,80034112;43,01162634;164,9060338;163,1737247;163,0001195;2068,000009;16,00121738;2068,151107;29,68164416;0;
org.apache.tools.ant.TaskAdapter;0;0;0;0;0;0;0;0;0;4;6;15;4;2;82;0,943021749;0,083532917;5;133,0000122;133,6052649;164,6147017;196,5960325;171,4711836;171,0000095;2111,000001;19,00008543;2113,22739;98,84331035;0;
org.apache.tools.ant.taskdefs.Ant;1;2;0;0;2;0;2;0;0;10;9;70;1;8;440;0,706882086;0,297321014;4;134,0003206;134,5807602;163,6826197;149,3050568;116,6703948;116,0003703;1753,000025;13,00330412;1755,518442;94,89467846;6;26
org.apache.tools.ant.taskdefs.AntStructure;1;2;0;1;3;0;1;0;0;8;6;55;0;6;643;0,979275174;0,081845153;2;136,0000016;136,592129;167,0478973;163,0030675;131,6146257;131,0000016;1550;15,00001432;1553,032195;98,15294188;8;11
org.apache.tools.ant.taskdefs.Available;1;1;0;0;1;0;1;0;0;13;7;35;0;7;273;0,727078196;0,184815605;3;135,0002759;135,5868869;165,6532523;178,9329483;151,5249283;151,0002466;1920,000019;14,00265997;1922,398502;97,01546269;3;62
org.apache.tools.ant.taskdefs.CallTarget;0;0;0;0;0;0;0;0;0;5;7;20;0;7;76;0,6479492;0,010204082;0;138,0004491;138,5901699;168,1071087;191,760267;166,4909463;166,0003733;2117,000029;14,00442572;2119,175547;97,01546269;0;
org.apache.tools.ant.taskdefs.Chmod;0;1;0;0;1;0;1;0;0;14;10;43;0;10;168;0,502548377;0;5;133,0009303;133,613233;162,2898641;170,5813589;143,5705264;143,0008652;2025,000061;11,01124235;2027,134431;93,64827815;3;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapter;0;0;0;0;0;0;0;0;0;2;4;2;3;2;2;1;0;1;137;137,595407;169,0266251;208,9425758;184,4437476;184;2191;19;2193,235509;100,8067458;0;
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory;0;1;0;0;1;0;1;0;0;3;8;16;1;7;125;0,957538619;0,010204082;2;136,0000066;136,5988111;165,8945448;194,7434209;170,4794275;170,0000053;2068;14,00006439;2070,18091;96,02603814;3;
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;0;3;0;0;3;0;3;0;0;10;17;81;4;13;743;0,350155474;0,255102041;5;133,0015876;133,5890615;158,3824485;135,7239846;105,7451529;105,0020109;1450,000146;8,026350223;1452,548106;86,37129153;9;
org.apache.tools.ant.taskdefs.compilers.Javac12;0;0;0;0;0;0;0;0;0;3;8;18;1;7;132;0,583212214;0;0;138,0006294;138,591111;167,5380554;193;168,4858927;168,000517;2061,000042;14,00620263;2063,188309;96,02603814;0;
org.apache.tools.ant.taskdefs.compilers.Javac13;0;0;0;0;0;0;0;0;0;2;8;17;1;7;97;0,588745661;0;0;138,0006128;138,591111;167,5380554;193,8710912;169,4830258;169,0005004;2096,00004;14,00603906;2098,151806;96,02603814;0;
org.apache.tools.ant.taskdefs.compilers.Jikes;0;0;0;0;0;0;0;0;0;2;9;23;1;8;204;0,422305765;0;0;138,0012092;138,591111;166,9730517;188,1621641;163,5007524;163,0010237;1989,000084;13,01282946;1991,219978;94,89467846;0;
org.apache.tools.ant.taskdefs.compilers.Jvc;0;1;0;0;1;0;1;0;0;2;9;19;1;8;120;0,504306281;0;0;138,0008903;138,591111;166,9730517;191,637679;167,4887938;167,0007357;2073,000059;13,00944704;2075,130116;94,89467846;3;
org.apache.tools.ant.taskdefs.CompileTask;0;0;0;0;0;0;0;0;0;4;5;21;0;5;87;0,824015927;0,020408163;0;138,0001122;138,5892296;169,2572007;191,9088325;165,4931254;165,0000938;2106,000007;16,0009678;2108,278919;99,2975327;0;
org.apache.tools.ant.taskdefs.Copy;0;2;0;0;2;0;2;0;0;17;12;64;1;11;642;0,623233566;0,13321091;4;134,0005297;134,596089;161,9783936;152,2005256;122,6544217;122,0005818;1551,000046;10,00709513;1553,667275;91,54780172;6;
org.apache.tools.ant.taskdefs.Copydir;1;0;0;0;0;0;0;0;0;8;6;35;0;6;265;0,939105174;0,112457398;2;136,0000136;136,5892851;167,0478973;179,4714462;151,5309632;151,0000123;1928,000001;15,00012361;1930,438551;98,15294188;0;30
org.apache.tools.ant.taskdefs.Copyfile;1;0;0;0;0;0;0;0;0;6;4;21;0;4;136;0,896497177;0,030612245;2;136,0000394;136,5969038;168,2171216;192,4214125;165,4923386;165,0000325;2057,000003;17,00031508;2059,380975;100,448992;0;29
org.apache.tools.ant.taskdefs.Cvs;0;1;0;0;1;0;1;0;0;12;12;37;0;12;310;0,639831097;0,102040816;2;136,0004769;136,590252;163,6367929;174,5909505;149,5389479;149,0004353;1883,000034;9,007203875;1885,197602;91,44397192;3;
org.apache.tools.ant.taskdefs.Delete;1;0;0;0;0;0;0;0;0;18;8;49;0;8;579;0,46107646;0,071428571;6;132,0011001;132,6109893;162,6314853;166,7153262;137,5887877;137,00106;1614,00009;13,01116592;1616,793431;95,8853482;0;17
org.apache.tools.ant.taskdefs.Deltree;1;0;0;0;0;0;0;0;0;4;3;17;0;3;152;0,933695906;0,010204082;3;135,0000163;135,6032271;168,0029762;196,3695496;169,4822563;169,000013;2041,000001;18,00012212;2043,448311;101,6070864;0;14
org.apache.tools.ant.taskdefs.Echo;1;0;0;0;0;0;0;0;0;7;7;22;0;7;147;0,842681717;0,030612245;2;136,000091;136,5969038;166,4692164;190,0315763;164,4953316;164,0000755;2046,000006;14,00088387;2048,250961;97,01546269;0;23
org.apache.tools.ant.taskdefs.Exec;0;0;0;0;0;0;0;0;0;10;5;41;1;5;360;0,722340281;0,06122449;4;134,0002877;134,6028755;166,0120478;175,0114282;145,5573223;145,0002658;1833,000021;16,00240903;1835,61788;99,2975327;0;
org.apache.tools.ant.taskdefs.ExecTask;0;2;0;0;2;0;2;0;0;19;18;56;5;13;406;0,455946544;0,112669896;8;130,0011384;130,6163367;155,3222457;155,3222457;130,6163367;130,0011384;1787,000083;8,018478295;1789,020402;85,37564055;6;
org.apache.tools.ant.taskdefs.Execute;0;3;0;0;3;1;1;1;0;21;25;77;10;16;566;0,628597225;1,155974108;18;120,0005747;120,5623094;143,1223253;134,0335779;109,6187505;109,0006328;1627,000042;5,013775027;1628,868626;78,16009212;9;
org.apache.tools.ant.taskdefs.ExecuteJava;0;0;0;0;0;0;0;0;0;6;7;26;1;6;185;0,88946784;0,256718809;1;137,0000446;137,571788;167,2871782;186,5904606;160,4898652;160,0000382;2008,000003;15,00040724;2010,293511;97,16480844;0;
org.apache.tools.ant.taskdefs.ExecuteOn;0;4;0;0;4;0;4;0;0;11;14;42;2;12;395;0,778837814;0,056095373;4;134,0001825;134,6033605;160,863296;169,2837854;144,5616293;144,0001698;1798,000014;9,002716963;1800,201378;89,45389874;12;
org.apache.tools.ant.taskdefs.ExecuteStreamHandler;0;0;0;0;0;0;0;0;0;5;10;5;10;0;5;1;0;1;137;137,595407;165,5838156;203,4944717;181,4510844;181;2188;21;2189,975571;95,34149149;0;
org.apache.tools.ant.taskdefs.ExecuteWatchdog;1;1;0;0;1;0;1;0;0;8;6;25;5;1;169;0,838935819;0,286332015;3;135,0000961;135,5774894;166,2347737;187,9627623;161,4845368;161,0000806;2024,000006;20,00064853;2026,323025;99,0403958;3;98
org.apache.tools.ant.taskdefs.Exit;0;0;0;0;0;0;0;0;0;3;2;6;0;2;29;0,979275174;0,010204082;2;136,0000016;136,5988111;169,401889;206,4000969;180,4528614;180,0000012;2164;19,0000113;2166,355696;102,7715914;0;
org.apache.tools.ant.taskdefs.Expand;0;3;1;0;4;0;2;0;0;5;8;45;0;8;261;0,654055607;0,020408163;3;135,0004432;135,602266;165,0757402;170,0176461;141,5767444;141,0004244;1932,000031;13,00460217;1934,334252;95,8853482;12;
org.apache.tools.ant.taskdefs.Filter;1;0;0;0;0;0;0;0;0;6;4;24;0;4;153;0,939182405;0,046024617;3;135,0000137;135,5998568;167,4096771;189,855208;162,500219;162,0000114;2040,000001;17,00010879;2042,400793;100,448992;0;63
org.apache.tools.ant.taskdefs.FixCRLF;0;3;0;0;3;0;3;0;0;8;7;34;0;7;626;0,410417283;0,040816327;2;136,001278;136,5959513;166,4692164;179,7776404;152,5334518;152,0011434;1567,000111;14,01240906;1569,937897;97,01546269;9;
org.apache.tools.ant.taskdefs.GenerateKey;0;1;0;0;1;0;1;0;0;14;6;33;0;6;404;0,619500941;0,081632653;2;136,0005323;136,5921488;167,0478973;181,1573901;153,5265941;153,0004731;1789,00004;15,00482521;1791,627752;98,15294188;3;
org.apache.tools.ant.taskdefs.Get;1;3;0;0;3;0;3;0;0;8;6;46;0;6;394;0,829848992;0,040816327;3;135,0001072;135,6003463;166,2347737;170,3202865;140,5789953;140,0001034;1799,000008;15,00096501;1801,613166;98,15294188;9;32
org.apache.tools.ant.taskdefs.GUnzip;1;0;0;0;0;0;0;0;0;4;4;32;0;4;215;0,911702441;0;2;136,0000287;136,5997659;168,2171216;183,0764867;154,5299196;154,0000253;1978,000002;17,00022931;1980,475953;100,448992;0;25
org.apache.tools.ant.taskdefs.GZip;1;0;0;0;0;0;0;0;0;6;4;25;0;4;157;0,897755027;0,030612245;3;135,0000387;135,6013058;167,4096771;189,0026455;161,5045328;161,0000325;2036,000003;17,00030747;2038,405504;100,448992;0;27
org.apache.tools.ant.taskdefs.Jar;1;4;0;0;4;1;3;0;0;6;6;33;1;5;164;0,748721318;0,020408163;3;135,0002339;135,602266;166,2347737;181,1573901;153,5316728;153,0002063;2029,000016;16,00197303;2031,317307;98,31073187;13;30
org.apache.tools.ant.taskdefs.Java;0;1;0;0;1;0;1;0;0;22;17;77;0;17;439;0,188753098;0,14900396;11;127,002591;127,6272218;153,3786165;138,8416364;109,7301588;109,0030189;1754,000188;4,08143621;1756,107058;86,092973;3;
org.apache.tools.ant.taskdefs.Javac;0;1;0;1;2;0;0;0;0;42;19;74;7;13;550;0,435520772;0,466897003;5;133,0011979;133,5693603;157,3054354;140;112,6755254;112,0014225;1643,000097;8,019890074;1645,14589;84,38009244;5;
org.apache.tools.ant.taskdefs.JavacOutputStream;0;0;0;0;0;0;0;0;0;4;1;11;0;1;68;0,971704003;0,020408163;1;137,0000029;137,593512;170,8010539;202,5561651;175,4650237;175,0000023;2125;20,00002002;2127,446592;103,9422917;0;
org.apache.tools.ant.taskdefs.Javadoc;0;5;0;0;5;0;5;0;0;65;21;155;6;21;1504;0,219372587;0,102040816;3;135,0022569;135,5946052;157,9525245;87,66413178;33,49473021;31,00982714;689,0004422;0,780627413;693,8623783;82;15;
org.apache.tools.ant.taskdefs.Jikes;0;0;0;0;0;0;0;0;0;2;5;29;0;5;176;0,896809896;0,102040816;0;138,0000386;138,5817338;169,2572007;185,0756602;157,5115772;157,0000339;2017,000003;16,00033275;2019,37936;99,2975327;0;
org.apache.tools.ant.taskdefs.JikesOutputParser;0;0;0;0;0;0;0;0;0;12;3;21;1;2;147;0,825385407;0,326530612;1;137,0001113;137,5654472;169,6142683;192,9378138;165,4697926;165,0000924;2046,000007;19,00080236;2048,442335;101,7889974;0;
org.apache.tools.ant.taskdefs.KeySubst;0;0;0;0;0;0;0;0;0;8;3;40;0;3;271;0,785999463;0,102040816;3;135,0001696;135,5946052;168,0029762;176,963273;146,5499811;146,0001568;1922,000012;18,00127207;1924,599699;101,6070864;0;
org.apache.tools.ant.taskdefs.LogOutputStream;0;0;0;0;0;0;0;0;0;7;8;15;7;1;92;0,871216601;0,344074574;9;129,0000643;129,5986704;160,2061172;195,6169727;171,4520789;171,0000485;2101,000004;20,00041462;2103,14669;97,08243919;0;
org.apache.tools.ant.taskdefs.LogStreamHandler;0;0;0;0;0;0;0;0;0;1;9;3;6;3;14;0,969074391;0;13;125,0000038;125,6522823;156,4001279;205,7304061;183,4461666;183,0000026;2179;18,00002657;2181,026593;95,70788891;0;
org.apache.tools.ant.taskdefs.MatchingTask;0;0;0;0;0;0;0;0;0;12;18;37;12;6;164;0,336585502;0,020408163;17;121,0018187;121,6715848;147,8715659;171,5400828;149,5458945;149,0014769;2029,000108;15,01466346;2030,779653;86,31338251;0;
org.apache.tools.ant.taskdefs.Mkdir;1;2;0;0;2;0;2;0;0;3;3;14;0;3;84;0,961687865;0,010204082;2;136,0000054;136,5988111;168,8075828;198,9572818;172,4738682;172,0000043;2109;18,00004077;2111,369461;101,6070864;6;23
org.apache.tools.ant.taskdefs.Move;0;2;0;0;2;0;2;0;0;4;6;32;0;6;325;0,883432073;0,06122449;1;137,0000496;137,589731;167,8630394;182,0027472;154,5248656;154,0000441;1868,000004;15,00045293;1870,516774;98,15294188;6;
org.apache.tools.ant.taskdefs.Patch;0;1;0;0;1;0;1;0;0;9;9;29;0;9;168;0,696721981;0,010204082;2;136,0003382;136,5988111;165,3239245;182,9890707;157,5189995;157,0002929;2025,000023;12,00383179;2027,180554;94,76286192;3;
org.apache.tools.ant.taskdefs.Property;1;2;0;0;2;0;0;2;0;27;11;83;2;9;658;0,582620931;0,448979592;4;134,00065;134,5667709;162,5423022;138,1050325;103,7362801;103,0008457;1535,000057;12,00725636;1537,754532;92,77930804;4;11
org.apache.tools.ant.taskdefs.PumpStreamHandler;0;2;1;0;3;0;1;0;0;11;8;17;6;2;93;0,872439737;0,241051828;7;131,0000621;131,599353;161,8208886;193,8710912;169,4650103;169,0000481;2100,000004;19,0004282;2102,147711;96,88137076;9;
org.apache.tools.ant.taskdefs.Rename;1;0;0;0;0;0;0;0;0;5;4;18;0;4;107;0,889840236;0;2;136,0000446;136,5997659;168,2171216;195;168,4858927;168,0000361;2086,000003;17,00035691;2088,347912;100,448992;0;20
org.apache.tools.ant.taskdefs.Replace;1;3;0;0;3;1;1;1;0;19;8;69;2;8;632;0,550566281;0,204487544;3;135,0007481;135,5850599;165,0757402;150,7116452;117,6745872;117,0008632;1561,000065;13,00776655;1563,888103;95,8853482;9;32
org.apache.tools.ant.taskdefs.Rmic;0;5;0;0;5;1;4;0;0;22;16;72;1;16;675;0,238567094;0,112244898;3;135,0021473;135,593651;160,6051058;143,4050208;114,7023896;114,0025429;1518,000191;5,057645704;1520,491039;87,14355972;16;
org.apache.tools.ant.taskdefs.SendEmail;0;1;0;0;1;0;1;0;0;8;4;41;0;4;236;0,910895845;0,081632653;0;138,0000288;138,5836033;169,8381583;175,5733465;145,5555396;145,0000274;1957,000002;17,00023351;1959,502488;100,448992;3;
org.apache.tools.ant.taskdefs.SignJar;0;1;0;0;1;1;0;0;0;14;5;35;0;5;307;0,45236518;0,256589533;3;135,0011108;135,5802349;166,8202626;180,0138884;151,518976;151,0009931;1886,00008;16,00936925;1888,544413;99,2975327;4;
org.apache.tools.ant.taskdefs.SQLExec;0;5;0;0;5;1;4;0;0;23;10;96;1;10;1034;0,582991973;0,300710165;4;134,0006489;134,5804457;163,1103921;129,4179277;90,86196329;90,00096608;1159,000075;11,00790151;1162,725247;93,64827815;16;
org.apache.tools.ant.taskdefs.StreamPumper;0;0;0;0;0;0;0;0;0;2;1;6;1;0;39;0,948350694;0,102040816;1;137,0000097;137,585962;170,8010539;206,8912758;180,4463825;180,0000074;2154,000001;21,00006352;2156,413689;104,1393297;0;
org.apache.tools.ant.taskdefs.Tar;1;2;0;0;2;0;2;0;0;8;12;65;0;12;583;0,67134428;0,102040816;2;136,0003971;136,590252;163,6367929;151,4001321;121,6630468;121,0004463;1610,000034;9,005998811;1612,569688;91,44397192;6;23
org.apache.tools.ant.taskdefs.Taskdef;1;0;0;0;0;0;0;0;0;8;8;25;1;7;157;0,871882808;0,030612245;3;135,0000608;135,6013058;165,0757402;186,9384926;161,5045328;161,000051;2036,000004;14,0005862;2038,215151;96,02603814;0;23
org.apache.tools.ant.taskdefs.TaskOutputStream;0;0;0;0;0;0;0;0;0;3;1;9;0;1;58;0,981932466;0,010204082;1;137,0000012;137,5944592;170,8010539;204,2865634;177,4605173;177,0000009;2135;20,00000816;2137,435145;103,9422917;0;
org.apache.tools.ant.taskdefs.Touch;0;3;0;0;3;0;2;1;0;8;7;32;3;4;300;0,82522551;0,040803311;4;134,000114;134,6048076;164,8393157;181,4717609;154,5265487;154,0000992;1893,000008;17,00089839;1895,432668;97,49358953;8;
org.apache.tools.ant.taskdefs.Transform;0;1;0;0;1;0;1;0;0;9;12;36;0;12;375;0,395803447;0,010204082;3;135,001352;135,6032271;162,8066338;175,4451481;150,543134;150,0012168;1818,0001;9,020257949;1820,276078;91,44397192;3;
org.apache.tools.ant.taskdefs.Tstamp;0;0;0;0;0;0;0;0;0;3;5;17;1;5;91;0,980280219;0;2;136,0000014;136,5997659;167,6305461;195,3586445;169,4830258;169,0000012;2102;16,00001215;2104,283251;99,2975327;0;
org.apache.tools.ant.taskdefs.Untar;0;3;0;0;3;0;3;0;0;4;8;42;0;8;242;0,886505904;0,020408163;2;136,0000474;136,5978571;165,8945448;172,5137676;144,5647763;144,0000447;1951,000003;13,00049541;1953,311547;95,8853482;9;
org.apache.tools.ant.taskdefs.UpToDate;0;1;0;0;1;0;1;0;0;7;11;32;0;11;189;0,765261427;0,041028827;2;136,0002026;136,5959315;164,195006;179,387848;154,5265301;154,0001789;2004,000014;10,00275473;2006,110665;92,54188241;3;
org.apache.tools.ant.taskdefs.War;0;0;0;0;0;0;0;0;0;9;7;33;0;7;163;0,691610197;0;3;135,0003522;135,6041889;165,6532523;180,6239187;153,5333711;153,0003108;2030,000023;14,00339617;2032,268683;97,01546269;0;
org.apache.tools.ant.taskdefs.XSLTLiaison;0;1;0;0;1;1;0;0;0;3;1;3;1;0;3;1;0;1;137;137,595407;170,8010539;209,5065631;183,4461666;183;2190;21;2192,374056;104,1393297;4;
org.apache.tools.ant.taskdefs.XSLTProcess;0;6;0;0;6;1;5;0;0;13;7;55;1;7;590;0,358785208;0,12244898;3;135,0015228;135,5926976;165,6532523;162,4099751;131,6107125;131,0015693;1603,000128;14,01467646;1605,872037;97,01546269;19;
org.apache.tools.ant.taskdefs.Zip;1;7;0;0;7;1;5;1;0;22;15;104;2;13;1180;0,37310558;0,895765891;5;133,0014774;133,5304868;159,4772711;120,2829996;82,85765453;82,00239629;1013,000194;8,024524697;1016,815126;88,36288814;21;23
org.apache.tools.ant.types.Commandline;1;3;0;0;3;0;3;0;0;19;23;46;22;3;448;0,62286593;12,78655705;35;103,0006904;103;130,418557;161,245155;140;140,000508;1745,000041;18,0039504;1746,832848;82;9;59
org.apache.tools.ant.types.CommandlineJava;1;1;0;0;1;0;1;0;0;21;9;47;1;8;277;0,284056646;0,440839076;7;131,0019564;131,5804573;161,2358521;167,8004768;139,5471847;139,0018438;1916,000134;13,01969949;1918,30446;94,89467846;3;42
org.apache.tools.ant.types.DataType;0;0;0;0;0;0;0;0;0;9;8;15;5;3;98;0,892646795;5,792864731;6;132,0000437;132,1851419;162,6314853;195,6169727;171,142957;171,0000337;2095,000003;18,00032013;2097,152832;96,69022701;0;
org.apache.tools.ant.types.EnumeratedAttribute;1;1;0;0;1;0;1;0;0;5;12;11;11;1;59;0,974174782;0,12244898;10;128,0000026;128,6249573;157,0509471;197,2460393;175,4576292;175,0000019;2134;20,00001667;2135,939372;93,17188417;3;51
org.apache.tools.ant.types.Environment;0;0;0;0;0;0;0;0;0;3;5;9;3;2;47;0,948672824;0,520381086;3;135,0000098;135,5561104;166,8202626;202,319055;177,4245165;177,0000074;2146,000001;19,00006933;2148,236486;99,82484661;0;
org.apache.tools.ant.types.FileSet;1;0;0;0;0;0;0;0;0;16;24;56;16;8;353;0,26936373;0,104751212;13;125,0021353;125,6416659;147,8715659;152,1216618;130,6171053;130,0020532;1840,000145;13,02051571;1841,695143;80,0624756;0;150
org.apache.tools.ant.types.Mapper;1;0;0;0;0;0;0;0;0;11;11;37;3;8;285;0,686510381;0,06143699;6;132,0003723;132,6119477;160,8974829;175,1142484;149,5423976;149,0003298;1908,000026;13,00377929;1910,216742;92,91393867;0;110
org.apache.tools.ant.types.Path;1;2;0;0;2;1;1;0;0;24;27;80;20;8;693;0,605948041;2,804661524;40;98,00079223;98,50704664;124,016128;130,4300579;106,4689543;106,0007324;1500,000052;13,00597082;1501,924099;77,1038261;7;224
org.apache.tools.ant.types.PatternSet;1;2;0;0;2;0;2;0;0;17;10;55;5;6;461;0,507831562;5,607636492;3;135,0008971;135,1907427;163,9329131;160,6549097;131,1965583;131,0009245;1732,00007;15,00807215;1734,495027;94,20191081;6;127
org.apache.tools.ant.types.Reference;0;0;0;0;0;0;0;0;0;5;16;12;14;2;55;0,929348304;0,855083997;6;132,0000189;132,5381456;158,0917455;194,537914;174,4086008;174,0000143;2138,000001;19,00013136;2139,76938;89,05054744;0;
org.apache.tools.ant.types.ZipFileSet;0;0;0;0;0;0;0;0;0;9;10;20;3;7;110;0,41427837;0,112244898;12;126,0013614;126,6358487;156,6045976;190,2761152;166,4831469;166,0010333;2083,000082;14,01224714;2085,075059;94,04786016;0;
org.apache.tools.ant.types.ZipScanner;0;0;0;0;0;0;0;0;0;6;3;11;2;1;68;0,881033178;0,853299052;20;118,00006;118,6018661;154,6738504;201,5564437;175,4063928;175,0000404;2125,000003;20,00035382;2127,35164;101,9803903;0;
org.apache.tools.ant.UnknownElement;0;1;0;0;1;0;1;0;0;6;10;33;3;8;198;0,382510947;0,054846939;3;135,0014122;135,5990282;163,9329131;179,0474797;153,5288131;153,001246;1995,000096;13,01465684;1997,166493;93,90420651;3;
org.apache.tools.ant.util.DOMElementWriter;1;1;0;0;1;0;1;0;0;5;1;35;1;0;354;0,717644586;0,448979592;3;135,0002953;135,56259;169,2010638;182,2223916;151,5031875;151,000264;1839,000022;21,00189812;1841,826539;104,1393297;3;35
org.apache.tools.ant.util.FileNameMapper;0;0;0;0;0;0;0;0;0;3;15;3;15;0;3;1;0;1;137;137,595407;162,8281302;203,0591047;183,4461666;183;2190;21;2191,767323;90,47098983;0;
org.apache.tools.ant.util.FlatFileNameMapper;0;0;0;0;0;0;0;0;0;4;2;7;1;1;20;0,969074391;0,030612245;0;138,0000035;138,58829;171,0116955;205,5285868;179,4539332;179,0000027;2173;20,00002391;2175,345949;102,9611577;0;
org.apache.tools.ant.util.GlobPatternMapper;1;1;0;0;1;1;0;0;0;5;3;15;2;1;137;0,938897074;0,301023664;3;135,0000138;135,5761356;168,0029762;198,0934123;171,4552086;171,0000109;2056,000001;20,00009334;2058,43047;101,9803903;4;59
