@relation 'Ant13AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-11,31-32,44-45-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,1-weka.filters.unsupervised.attribute.Remove-R1,32-36-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute Si numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Hbugs_binarized {0,1}

@data
-0.464789,-0.650485,-0.494624,-0.676768,-0.52381,-0.751026,0.621126,-0.915872,-0.855072,0.745898,0.854868,0.68218,0.593036,0.647921,0.750811,0.749407,0.750878,0.422854,0.607907,-0.868191,0.536692,0.725187,0.749184,-0.746616,0.750751,-0.74797,-0.533045,0.533045,0.087813,0
-0.464789,0.514563,-0.752688,0.515152,-0.52381,-0.886001,0.586338,-0.177421,0.492754,0.879924,-0.49471,-0.72607,-0.077578,-0.525676,0.884062,0.885238,0.884209,0.422854,-0.059799,-0.967164,0.563861,0.874398,0.883304,-0.878303,0.885609,-0.878741,-0.778499,0.778499,0.096996,0
-0.887324,-0.883495,-0.83871,-0.919192,-0.809524,-0.925217,0.880586,-0.986934,-0.927536,0.923556,0.927424,0.883003,0.884729,0.882639,0.925126,0.924726,0.925204,0.870707,0.908428,-0.983988,0.856777,0.917322,0.924602,-0.923818,0.925177,-0.924272,-0.853229,0.853229,0.78305,0
-0.859155,-0.864078,-0.784946,-1,-0.333333,-0.930689,0.262173,-0.998404,-1,0.929425,0.999989,0.958527,0.862493,0.863091,0.930544,0.930197,0.930832,0.80682,0.953302,-0.99106,0.834591,0.923394,0.929831,-0.92872,0.930615,-0.929146,-0.863776,0.863776,0.730247,0
-0.943662,-0.92233,-0.978495,-0.939394,-0.809524,-0.998176,1,-1,-0.985507,0.998084,0.985471,0.966444,0.929227,0.921759,0.998012,0.998148,0.998058,0.927326,0.940845,-0.989601,0.96993,0.997984,0.997919,-0.996569,0.99812,-0.99657,-0.996353,0.996353,0.892099,0
-0.915493,-0.84466,-0.806452,-0.979798,-0.333333,-0.879617,0.126498,-1,-1,0.877429,0.999992,0.974824,0.867769,0.843536,0.879541,0.8788,0.879826,0.864366,0.958194,-0.960336,0.84612,0.866885,0.879313,-0.878457,0.879655,-0.879306,-0.766482,0.766482,0.833557,0
-0.943662,-0.84466,-0.817204,-0.979798,-0.333333,-0.911537,0.138096,-1,-1,0.909926,0.999991,0.98312,0.87712,0.843536,0.911392,0.910923,0.911678,0.893165,0.967599,-0.978899,0.854325,0.90219,0.911021,-0.910235,0.911571,-0.910881,-0.826986,0.826986,0.886359,0
-0.943662,-0.825243,-0.752688,-0.979798,-0.238095,-0.813953,-0.210728,-1,-1,0.810587,1,0.98312,0.864208,0.823993,0.813978,0.812713,0.814306,0.887521,0.967599,-0.913458,0.805284,0.794285,0.813874,-0.812643,0.814094,-0.814012,-0.645218,0.645218,0.884064,0
-0.887324,-0.902913,-0.774194,-1,-0.52381,-0.920657,0.631174,-0.996808,-1,0.919211,0.999984,0.966626,0.897905,0.902202,0.920618,0.920114,0.920821,0.848427,0.962456,-0.987151,0.826445,0.912303,0.919816,-0.918749,0.920622,-0.919263,-0.844458,0.844458,0.780754,0
-0.774648,-0.883495,-0.623656,-1,-0.428571,-0.758322,0.872377,-0.98241,-0.971014,0.753834,0.970959,0.900924,0.849134,0.882639,0.758607,0.756742,0.758847,0.727238,0.926419,-0.870176,0.71386,0.732871,0.75792,-0.75631,0.758339,-0.757896,-0.545851,0.545851,0.57643,0
-0.830986,-0.92233,-0.774194,-1,-0.619048,-0.875969,0.783079,-0.995212,-0.971014,0.873592,0.97096,0.916813,0.893389,0.92176,0.876072,0.87515,0.87623,0.798525,0.944244,-0.960202,0.826445,0.862867,0.875522,-0.874612,0.875922,-0.875381,-0.75963,0.75963,0.67974,0
-0.492958,-0.84466,-0.473118,-1,-0.238095,-0.471956,-0.129474,-0.988827,-0.913043,0.462207,0.912928,0.758368,0.739156,0.843548,0.47288,0.468544,0.473222,0.42771,0.843492,-0.583814,0.604384,0.416371,0.473222,-0.469642,0.471978,-0.473038,-0.083343,0.083343,0.127224,0
-0.887324,-0.941748,-0.817204,-1,-0.714286,-0.861377,0.86104,-0.998404,-0.956522,0.858675,0.956448,0.91638,0.924385,0.941319,0.861558,0.860473,0.86167,0.862883,0.962456,-0.946889,0.859105,0.846697,0.861356,-0.860461,0.861404,-0.861383,-0.732366,0.732366,0.782284,0
-0.802817,-0.864078,-0.763441,-1,-0.333333,-0.865937,0.670294,-0.995212,-0.971014,0.863379,0.97096,0.908818,0.844567,0.863081,0.865933,0.865034,0.86622,0.74935,0.935282,-0.95387,0.818312,0.851777,0.865507,-0.864527,0.865872,-0.865361,-0.740861,0.740861,0.629998,0
-0.71831,-0.902913,-0.55914,-0.979798,-0.52381,-0.671683,0.418082,-0.990424,-0.942029,0.665528,0.94194,0.85144,0.845468,0.902206,0.672227,0.66956,0.672367,0.677337,0.895036,-0.788055,0.661191,0.637135,0.671587,-0.669482,0.671732,-0.671634,-0.397268,0.397268,0.479242,0
-0.830986,-0.864078,-0.72043,-0.979798,-0.428571,-0.831281,0.768348,-0.959845,-0.985507,0.828161,0.985471,0.933658,0.853483,0.86308,0.831354,0.830164,0.831596,0.784475,0.930542,-0.92979,0.78094,0.813481,0.830827,-0.829643,0.831281,-0.830753,-0.676797,0.676797,0.677827,0
-0.859155,-0.805825,-0.946237,-0.79798,-1,-0.99544,1,-1,-0.985507,0.995298,0.985471,0.941706,0.823174,0.804398,0.995042,0.995411,0.995058,0.859491,0.818988,-0.9925,0.914495,0.994974,0.994715,-0.990588,0.995302,-0.990583,-0.990889,0.990889,0.735986,0
-0.915493,-0.961165,-0.935484,-1,-0.809524,-0.973552,0.956565,-0.998404,-0.971014,0.972951,0.970959,0.941399,0.946571,0.960879,0.973525,0.973368,0.973606,0.899001,0.971704,-0.991279,0.94991,0.970747,0.973337,-0.973057,0.973492,-0.973183,-0.947454,0.947454,0.838148,0
-0.830986,-0.92233,-0.741935,-1,-0.619048,-0.860465,0.872538,-0.992801,-0.956522,0.857746,0.956448,0.89999,0.893389,0.921759,0.860604,0.859548,0.86076,0.798525,0.944244,-0.951315,0.802087,0.845741,0.859939,-0.858908,0.860434,-0.859791,-0.730666,0.730666,0.678592,0
-0.887324,-0.92233,-0.655914,-1,-0.619048,-0.803922,0.814946,-1,-0.971014,0.800248,0.97096,0.933104,0.911124,0.92176,0.804191,0.802646,0.804342,0.855455,0.962456,-0.910209,0.737744,0.783274,0.803327,-0.801947,0.804011,-0.803304,-0.627068,0.627068,0.776545,0
-0.830986,-0.92233,-0.731183,-1,-0.619048,-0.856817,0.785715,-0.995212,-0.956522,0.854032,0.956448,0.89999,0.893389,0.92176,0.856964,0.855877,0.85712,0.798525,0.944244,-0.949293,0.793994,0.841714,0.856252,-0.855182,0.85679,-0.856092,-0.723885,0.723885,0.678209,0
-0.887324,-0.980583,-0.88172,-1,-0.904762,-0.937984,0.940697,-0.996808,-0.985507,0.936794,0.985471,0.949853,0.95103,0.980439,0.938079,0.937583,0.938113,0.878921,0.962456,-0.985932,0.908462,0.931415,0.937716,-0.937251,0.937932,-0.9376,-0.877892,0.877892,0.78458,0
-0.943662,-0.902913,-0.688172,-1,-0.52381,-0.839489,0.783735,-0.984039,-1,0.83658,0.999983,0.98312,0.916133,0.9022,0.839631,0.838431,0.83983,0.905652,0.981045,-0.938465,0.761764,0.822586,0.838793,-0.837555,0.839601,-0.83872,-0.69186,0.69186,0.881768,0
-0.661972,-0.941748,-0.774194,-0.979798,-0.809524,-0.865937,0.634043,-0.948926,-0.985507,0.863441,0.985472,0.88751,0.856239,0.941322,0.866107,0.865071,0.866176,0.645604,0.877892,-0.9531,0.82158,0.851774,0.865536,-0.864604,0.865735,-0.865266,-0.740862,0.740862,0.395064,0
-0.774648,-0.941748,-0.569892,-1,-0.714286,-0.75285,0.551498,-0.984039,-0.956522,0.748199,0.95645,0.884006,0.889537,0.941323,0.753288,0.751259,0.753388,0.749575,0.926419,-0.867392,0.674372,0.726888,0.752148,-0.750438,0.752873,-0.752043,-0.536243,0.536243,0.574517,0
-0.802817,-0.84466,-0.83871,-0.858586,-0.904762,-0.916097,0.730097,-0.946182,-0.869565,0.914038,0.869378,0.791219,0.831287,0.84352,0.915942,0.915557,0.915981,0.794584,0.839834,-0.979441,0.843116,0.907244,0.915442,-0.914603,0.915982,-0.915032,-0.835713,0.835713,0.632676,0
-0.971831,-0.825243,-0.967742,-0.878788,-0.714286,-0.987232,0.935185,-1,-0.811594,0.98627,0.811331,0.77745,0.873713,0.823958,0.98689,0.987127,0.987018,0.94817,0.910898,-0.990054,0.948454,0.985882,0.986881,-0.98626,0.987216,-0.986354,-0.974545,0.974545,0.944901,0
-0.661972,-0.650485,-0.602151,-0.757576,-0.428571,-0.850433,-0.390379,-0.996808,-0.753623,0.846713,0.753311,0.616106,0.654194,0.647968,0.850017,0.849438,0.850249,0.613066,0.725698,-0.952168,0.637731,0.834897,0.848598,-0.846134,0.850246,-0.846962,-0.712047,0.712047,0.388942,0
-0.859155,-0.92233,-0.806452,-1,-0.619048,-0.902417,0.769127,-1,-0.971014,0.900519,0.97096,0.924909,0.90221,0.92176,0.902461,0.901766,0.90262,0.826977,0.953302,-0.974656,0.850921,0.892104,0.901952,-0.901175,0.902372,-0.90178,-0.809595,0.809595,0.731012,0
-0.943662,-0.980583,-0.935484,-0.979798,-1,-0.964432,0.891754,-0.984039,-0.985507,0.963723,0.985471,0.966444,0.968766,0.980439,0.964468,0.964207,0.964464,0.943691,0.967599,-0.989437,0.945353,0.960659,0.964259,-0.963987,0.964411,-0.964191,-0.929497,0.929497,0.890568,0
-0.774648,-0.84466,-0.731183,-0.979798,-0.333333,-0.856817,0.731493,-0.995212,-0.956522,0.854032,0.956448,0.884006,0.822402,0.84352,0.85679,0.855856,0.857076,0.720645,0.912589,-0.94926,0.789041,0.84172,0.856208,-0.855095,0.856733,-0.85597,-0.723885,0.723885,0.580256,0
-0.915493,-0.980583,-0.903226,-1,-0.904762,-0.947104,0.962133,-0.998404,-0.985507,0.94608,0.985471,0.9581,0.959853,0.980439,0.947179,0.946761,0.947213,0.907104,0.971704,-0.987395,0.925008,0.941497,0.946903,-0.946519,0.947072,-0.946829,-0.895608,0.895608,0.837,0
-0.915493,-0.902913,-0.817204,-0.979798,-0.52381,-0.917009,0.958671,-1,-0.971014,0.915376,0.970959,0.941399,0.906974,0.902199,0.916978,0.916443,0.917138,0.877028,0.958194,-0.981779,0.854325,0.908244,0.916445,-0.915657,0.917007,-0.916222,-0.83746,0.83746,0.833939,0
-0.746479,-0.864078,-0.645161,-1,-0.333333,-0.851345,0.353678,-1,-0.956522,0.848461,0.956453,0.876167,0.827025,0.863088,0.851373,0.850349,0.85166,0.691962,0.917655,-0.95061,0.729767,0.835745,0.850269,-0.84879,0.851238,-0.849683,-0.713737,0.713737,0.529367,0
-0.746479,-0.84466,-0.83871,-0.89899,-0.714286,-0.910625,0.77501,-0.093913,-0.913043,0.908639,0.912913,0.825402,0.813616,0.843519,0.910482,0.910033,0.910601,0.721328,0.848602,-0.976601,0.852186,0.901183,0.910098,-0.909328,0.91046,-0.909757,-0.825244,0.825244,0.536254,0
-0.915493,-0.902913,-0.903226,-0.939394,-0.809524,-0.957136,0.892429,-0.918605,-0.956522,0.956177,0.956448,0.924724,0.906974,0.902199,0.957019,0.956848,0.9571,0.899001,0.931309,-0.990448,0.911269,0.952601,0.956722,-0.956207,0.957093,-0.956456,-0.915191,0.915191,0.837,0
-0.549296,-0.533981,-0.397849,-0.676768,-0.238095,-0.678067,-0.531263,-0.983615,-0.811594,0.671437,0.811362,0.652433,0.53893,0.530622,0.677763,0.675963,0.678064,0.484865,0.634588,-0.799166,0.464001,0.644721,0.676232,-0.673368,0.677937,-0.675343,-0.407953,0.407953,0.207193,0
-0.690141,-0.786408,-0.602151,-0.939394,-0.238095,-0.740082,0.342989,-0.99039,-0.913043,0.735009,0.912918,0.809748,0.755976,0.784848,0.740185,0.738373,0.740511,0.628211,0.858489,-0.853651,0.682424,0.71275,0.739563,-0.7378,0.740031,-0.739446,-0.513946,0.513946,0.434475,0
-0.859155,-0.68932,-0.870968,-0.717172,-0.809524,-0.94984,0.851928,-0.866253,-0.913043,0.948573,0.912913,0.857959,0.74583,0.687038,0.949305,0.949506,0.949395,0.842444,0.766676,-0.990948,0.838123,0.944577,0.948848,-0.947381,0.949748,-0.947639,-0.900938,0.900938,0.733308,0
-0.746479,-0.805825,-0.784946,-0.939394,-0.333333,-0.899681,-0.227553,-0.982443,-0.826087,0.897149,0.825862,0.724507,0.786924,0.804434,0.899479,0.898992,0.899762,0.691962,0.876097,-0.974625,0.820169,0.889104,0.898969,-0.897982,0.899527,-0.89852,-0.804393,0.804393,0.534341,0
-0.830986,-0.941748,-0.88172,-0.959596,-0.904762,-0.937984,0.75067,-0.866532,-0.710145,0.935735,0.70975,0.617977,0.906773,0.94132,0.937993,0.937583,0.938029,0.822659,0.916882,-0.985899,0.899187,0.931419,0.937633,-0.93712,0.937876,-0.937414,-0.877892,0.877892,0.683566,0
-0.915493,-0.708738,-0.967742,-0.69697,-1,-0.997264,1,-1,-0.985507,0.997156,0.985471,0.9581,0.777962,0.706597,0.996675,0.997247,0.996699,0.915588,0.774211,-0.990567,0.911269,0.996993,0.996494,-0.991031,0.99718,-0.991066,-0.994531,0.994531,0.839296,0
-0.887324,-0.961165,-0.924731,-0.979798,-0.904762,-0.98176,0.935185,-0.995212,-1,0.981427,0.999982,0.966626,0.937687,0.960879,0.981715,0.981636,0.981756,0.878921,0.948882,-0.993455,0.937022,0.979832,0.981355,-0.980742,0.981664,-0.98078,-0.963685,0.963685,0.786111,0
-0.887324,-0.961165,-0.946237,-0.979798,-0.904762,-0.985408,0.935185,-0.995212,-1,0.985141,0.999982,0.966626,0.937687,0.960879,0.985355,0.985307,0.985397,0.878921,0.948882,-0.99188,0.953695,0.983863,0.98512,-0.984711,0.985308,-0.98472,-0.970922,0.970922,0.786876,0
-0.887324,-0.92233,-0.946237,-0.939394,-0.904762,-0.978112,0.935185,-0.991206,-0.956522,0.977537,0.956448,0.91638,0.911124,0.921759,0.977991,0.977965,0.978034,0.878921,0.921867,-0.990999,0.944728,0.975794,0.977809,-0.977431,0.978019,-0.977491,-0.956463,0.956463,0.786876,0
-0.859155,-0.864078,-0.817204,-1,-0.333333,-0.931601,0.916093,-0.995212,-0.985507,0.930293,0.985471,0.941706,0.862493,0.863079,0.931455,0.931114,0.931742,0.80682,0.953302,-0.98876,0.859105,0.924383,0.93095,-0.930106,0.931526,-0.930522,-0.865538,0.865538,0.731395,0
-0.859155,-0.92233,-0.860215,-1,-0.619048,-0.94072,0.916093,-0.995212,-0.985507,0.939579,0.985471,0.941706,0.90221,0.921759,0.94068,0.940312,0.940843,0.826977,0.953302,-0.988837,0.891962,0.93445,0.94028,-0.939686,0.940637,-0.940013,-0.883197,0.883197,0.732925,0
-0.887324,-0.902913,-0.956989,-0.919192,-0.904762,-0.996352,1,-1,-0.985507,0.996227,0.985471,0.949853,0.897905,0.902199,0.996151,0.99632,0.996198,0.878921,0.908428,-0.991544,0.948708,0.995971,0.995921,-0.993853,0.996241,-0.993832,-0.992709,0.992709,0.787258,0
-0.915493,-0.941748,-0.903226,-0.979798,-0.809524,-0.960784,0.927714,-0.996808,-0.971014,0.95995,0.970959,0.941399,0.93333,0.941319,0.960743,0.960519,0.960823,0.899001,0.958194,-0.991445,0.920392,0.956632,0.960419,-0.959962,0.960737,-0.960183,-0.922337,0.922337,0.837,0
-0.915493,-0.825243,-0.731183,-0.858586,-0.809524,-0.747378,0.454502,-0.748327,-0.869565,0.742246,0.869381,0.82521,0.854793,0.823965,0.747553,0.745761,0.747611,0.899001,0.878107,-0.854667,0.760101,0.720694,0.747495,-0.74589,0.747563,-0.747674,-0.526673,0.526673,0.830878,0
-0.239437,-0.941748,-0.322581,-0.979798,-0.809524,-0.51938,-1,-0.731582,-0.971014,0.510737,0.971008,0.771387,0.746635,0.941408,0.520438,0.516321,0.520458,0.232413,0.763546,-0.636912,0.492765,0.469157,0.519139,-0.516098,0.519114,-0.518866,-0.154264,0.154264,-0.212168,0
-0.859155,-0.980583,-0.903226,-0.979798,-1,-0.926129,0.83623,-0.931804,-0.971014,0.924662,0.970959,0.924909,0.942299,0.98044,0.92625,0.925661,0.926239,0.859491,0.939664,-0.97909,0.920392,0.918293,0.926076,-0.92561,0.92606,-0.926006,-0.854988,0.854988,0.734456,0
-0.859155,-0.980583,-0.806452,-0.979798,-1,-0.912449,0.850561,-0.853455,-0.985507,0.910794,0.985471,0.941706,0.942299,0.98044,0.912601,0.911894,0.912588,0.859491,0.939664,-0.980248,0.84612,0.903206,0.911852,-0.911062,0.912394,-0.911563,-0.828729,0.828729,0.731012,0
-0.408451,-0.961165,-0.623656,-0.959596,-1,-0.437301,0.419922,-0.870046,-0.956522,0.427204,0.956452,0.790442,0.801739,0.960886,0.438663,0.433747,0.438555,0.417713,0.791519,-0.543974,0.703525,0.377801,0.439959,-0.435654,0.437271,-0.439131,-0.032939,0.032939,0.014349,0
-0.577465,-0.941748,-0.602151,-0.979798,-0.809524,-0.601459,-0.350777,-0.996808,-0.971014,0.59422,0.970981,0.848587,0.832333,0.94136,0.602288,0.598919,0.602319,0.561876,0.85297,-0.715362,0.692781,0.559398,0.602318,-0.599688,0.601434,-0.602174,-0.282348,0.282348,0.256935,0
-0.774648,-0.980583,-0.849462,-0.979798,-1,-0.750114,0.408604,-0.43637,-0.971014,0.74548,0.970963,0.900924,0.916666,0.980447,0.750655,0.748533,0.750612,0.775643,0.912589,-0.851825,0.879013,0.723595,0.751336,-0.74943,0.75014,-0.751015,-0.531462,0.531462,0.584465,0
-0.605634,-0.864078,-0.11828,-1,-0.333333,0.142727,0.839248,-0.943261,-0.985507,-0.160736,0.985471,0.872962,0.784921,0.863079,-0.139217,-0.150012,-0.138863,0.548904,0.875379,0.069234,0.362906,-0.261777,-0.136759,0.146315,-0.141602,0.138005,0.632512,-0.632512,0.282954,1
-0.633803,-0.864078,-0.623656,-1,-0.333333,-0.751026,0.428012,-0.971092,-0.956522,0.746343,0.956451,0.845859,0.793136,0.863086,0.751283,0.749392,0.751568,0.577464,0.883624,-0.863286,0.71386,0.7248,0.75069,-0.74904,0.750907,-0.750544,-0.53305,0.53305,0.34494,1
-0.605634,-0.805825,-0.537634,-1,-0.047619,-0.846785,-0.042557,-1,-0.927536,0.843696,0.927438,0.804209,0.743853,0.804424,0.846696,0.845743,0.84711,0.53002,0.875379,-0.953526,0.650881,0.830836,0.845088,-0.842826,0.846549,-0.843649,-0.705301,0.705301,0.297876,1
-0.915493,-0.84466,-0.827957,-0.979798,-0.333333,-0.886001,0.91101,-0.998404,-0.971014,0.883806,0.970959,0.941399,0.867769,0.843518,0.885911,0.885225,0.886196,0.864366,0.958194,-0.962945,0.862542,0.873935,0.885788,-0.884994,0.886032,-0.885796,-0.778502,0.778502,0.834322,1
-0.943662,-0.825243,-0.795699,-0.979798,-0.238095,-0.890561,-0.038873,-1,-1,0.888571,0.999995,0.98312,0.864208,0.823984,0.89042,0.889808,0.890747,0.887521,0.967599,-0.96825,0.837927,0.878999,0.890086,-0.889216,0.890617,-0.890021,-0.787111,0.787111,0.885594,1
-0.661972,-0.76699,-0.602151,-1,0.142857,-0.717282,0.24516,-0.984039,-0.971014,0.712067,0.970966,0.870384,0.733858,0.765292,0.717393,0.715406,0.717904,0.577956,0.891976,-0.831711,0.698016,0.687502,0.717107,-0.71524,0.717225,-0.717044,-0.474534,0.474534,0.388942,1
-0.774648,-0.883495,-0.731183,-0.89899,-0.904762,-0.845873,0.662443,-0.955214,-0.956522,0.842891,0.956449,0.884006,0.849134,0.882641,0.845957,0.844889,0.845983,0.766547,0.857691,-0.940693,0.769597,0.829637,0.84519,-0.844024,0.8458,-0.844934,-0.703625,0.703625,0.580256,1
-0.605634,-0.883495,-0.645161,-1,-0.428571,-0.631555,0.202552,-0.987231,-0.971014,0.624837,0.970967,0.855745,0.798686,0.882653,0.632152,0.62917,0.632389,0.55615,0.875379,-0.744744,0.729767,0.59262,0.63248,-0.629977,0.631528,-0.632307,-0.330998,0.330998,0.301703,1
-0.380282,-0.669903,-0.172043,-1,0.619048,-0.599635,-0.700207,-0.976694,-0.84058,0.591738,0.840392,0.644223,0.582411,0.667552,0.599793,0.596993,0.600551,0.268744,0.813424,-0.724704,0.397664,0.558237,0.597903,-0.594697,0.599421,-0.59712,-0.279412,0.279412,-0.039602,1
-0.746479,-0.825243,-0.688172,-1,-0.142857,-0.846785,0.364392,-0.998404,-0.971014,0.843881,0.970964,0.893133,0.800248,0.823968,0.846738,0.845748,0.84711,0.679899,0.917655,-0.944299,0.761764,0.830656,0.846025,-0.844762,0.846683,-0.845695,-0.705307,0.705307,0.530897,1
-0.774648,-0.92233,-0.55914,-1,-0.619048,-0.78477,0.813256,-0.987231,-1,0.780883,0.999983,0.934827,0.87603,0.92176,0.785084,0.783372,0.785234,0.741708,0.926419,-0.897854,0.666525,0.76221,0.783724,-0.782002,0.784759,-0.783386,-0.5927,0.5927,0.574134,1
-0.605634,-0.902913,-0.623656,-1,-0.52381,-0.720018,-0.14773,-0.959866,-0.956522,0.714784,0.956464,0.838547,0.812488,0.902229,0.720442,0.718202,0.720634,0.563863,0.875379,-0.833509,0.71386,0.690501,0.719962,-0.718162,0.719902,-0.719847,-0.479237,0.479237,0.300937,1
