Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)","d(WMC, RFC)",#Hbugs,#Mbugs,#Lbugs,#Nbugs,#Severity,#Score,#Risk
org.apache.tools.ant.util.UnPackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.994897959,1,4541.025985,426,442.0407221,511.789019,498,4548.345304,4521.143329,4548.345304,123.3693641,511.789019,0,15,282.6922484,572.3006203,4521.00068,4557.078999,20.14481456,4522.539663,20.19846752,181246.0011,20439723,14206,0,0,0,0,0,0,0
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,13,12,32,10,2,155,0.874744048,11,4405.684056,416.0000189,429.5404521,498.6160848,487.0000161,4412.954226,4386.139647,4413.064695,112.5788612,499.5928342,0,16,299.2943669,551.0716832,4386.064081,4420.483684,156.7981057,4387.304981,157.0798961,1383717.009,19237252,11705,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.War,1,1,1,0,0,0,1,0,0,11,6,34,0,6,195,0.029611503,4,4366.536957,423.0011131,436.8180399,504.9059318,493.000955,4373.872998,4346.11056,4374.439393,113.3225485,509.7891721,3,16,319.416486,559.0348826,4346.028524,4381.80739,195.6589386,4347.366674,195.8525918,1732999.011,18887970,12135,0,1,0,1,1,1,3
org.apache.tools.ant.types.PropertySet,1,0,0,0,0,0,0,0,0,24,21,96,9,13,610,1.03103E-21,7,3953.37337,420.0011905,430.8317537,487.5448697,478.001046,3959.955177,3931.073263,3961.29802,98.95453501,498.3342252,0,17,636.4690773,525.3427453,3931.310866,3965.94831,612.061517,3932.172046,612.4119828,5168016.036,15452953,9408,0,0,0,0,0,0,0
org.apache.tools.ant.filters.ReplaceTokens,1,0,0,0,0,0,0,0,0,14,7,49,1,6,488,0.88703127,1,4075.326367,426.000015,438.9897493,503.2891813,492.000013,4082.753115,4053.118552,4083.358667,110.440029,508.1781184,0,18,540.4732476,551.4798274,4053.066979,4090.347051,488.57228,4054.385897,488.7551244,4193921.028,16427048,11475,0,0,0,0,0,0,0
org.apache.tools.ant.filters.LineContains,1,0,0,0,0,0,0,0,0,10,6,29,1,5,212,0.927687698,1,4349.909999,426.0000061,439.9727264,505.1227574,493.0000053,4356.981753,4329.118271,4357.436173,114.5600279,509.0275042,0,18,333.8671532,560.4373292,4329.023762,4365.126688,212.5012441,4330.397326,212.6721952,1880469.012,18740500,12359,0,0,0,0,0,0,0
org.apache.tools.ant.filters.EscapeUnicode,1,0,0,0,0,0,0,0,0,5,3,19,1,2,107,0.959841712,1,4454.417134,426.0000019,441.2493626,509.1571467,496.0000016,4461.655746,4434.138135,4461.767027,120.2081528,510.1313556,0,18,289.2598291,565.128304,4434.010506,4469.868678,107.4312557,4435.491066,107.5283274,960344.0059,19660625,13494,0,0,0,0,0,0,0
org.apache.tools.ant.filters.StripJavaComments,1,0,0,0,0,0,0,0,0,4,3,7,1,2,161,0.895106584,1,4400.667677,426.0000129,441.5110418,509.3839416,496.0000111,4407.994555,4380.139838,4408.10719,121.1651765,510.3577177,0,18,323.3636293,570.937825,4380.001686,4417.054448,161.0409025,4381.535804,161.0953181,1436288.009,19184681,13737,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.LoadProperties,1,0,0,0,0,0,0,0,0,12,14,58,0,14,303,0.00082569,1,4259.356759,426.0011718,439.4769619,496.879261,485.0010292,4265.661613,4238.062411,4267.159242,110.4219181,509.5762946,0,19,378.7814398,548.5471721,4238.081194,4273.35325,304.2057301,4239.375897,304.3421308,2660095.017,17960874,11894,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.BUnzip2,1,0,0,0,0,0,0,0,0,4,6,29,0,6,164,0.971283035,1,4397.681776,426.000001,441.5110418,506.4632267,493.0000008,4404.676833,4377.109777,4405.239267,120.0708124,511.331595,0,19,305.9575977,561.3243269,4377.020685,4412.846474,164.5761583,4378.536856,164.5993981,1462581.009,19158388,13715,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Delete,1,2,1,0,0,0,2,0,0,46,39,135,2,37,1100,0.071959422,7,3466.537321,420.0010253,426.4692251,465.9141552,460.0009362,3471.610721,3441,3476.563965,74,501.4897806,6,20,1102.223358,519.0616534,3441.451093,3479.929022,1101.544997,3441.795607,1102.19895,8780335.068,11840634,5629,0,2,0,2,1,2,6
org.apache.tools.ant.taskdefs.optional.splash.SplashScreen,1,0,0,0,0,0,0,0,0,12,3,39,1,2,213,0.888775769,2,4348.816966,425.0000146,438.5076966,507.6219065,496.0000125,4356.32873,4328.141518,4356.4427,113.5297318,508.5990562,0,20,326.8132091,555.8866791,4328.041242,4363.55291,213.8297481,4329.347295,214.0734124,1889136.012,18731833,11913,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Rename,1,0,0,0,0,0,0,0,0,6,5,21,0,5,104,0.935866606,1,4457.403392,426.0000048,440.9897958,506.9832344,494.0000042,4464.415415,4437.115392,4464.859796,118.4060809,510.881591,0,20,286.2708228,565.0601738,4437.010648,4472.836013,104.4727002,4438.464261,104.5737875,933733.0058,19687236,13263,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.optional.perforce.P4Change,1,0,0,0,0,0,0,0,0,5,6,17,2,6,94,0.462037883,4,4467.072643,423.0003421,438.3537384,506.2351232,493.0002935,4474.243847,4447.108049,4474.575399,119.1049957,509.1571467,0,21,286.6896776,565.2052724,4447.010309,4482.774364,94.51315375,4448.486709,94.58452192,844889.0052,19776080,13496,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.JakartaRegexpMatcher,1,0,0,0,0,0,0,0,0,10,6,20,1,5,129,0.925848857,2,4432.422475,425.0000065,439.0045558,505.1227574,493.0000056,4439.458638,4412.116046,4439.904616,114.5600279,509.0275042,0,23,297.0897731,564.6529908,4412.011624,4447.985724,129.4157361,4413.371047,129.6105332,1154957.007,19466012,12368,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,8,6,27,0,6,141,1.02525E-20,1,4420.574171,426.0011737,440.4770142,505.5620635,493.0010142,4427.53306,4400.109203,4428.092592,116.211015,510.4390267,0,23,296.1886987,562.2499444,4400.017843,4435.777835,141.5813004,4401.425224,141.7151499,1260708.008,19360261,12805,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Mkdir,1,0,0,0,0,0,0,0,0,4,3,18,0,3,111,0.949392905,2,4450.339875,425.000003,440.5462518,509.3839416,496.0000026,4457.680563,4430.130472,4457.903543,120.8801059,511.331595,0,23,291.6280773,566.4838921,4430.00777,4466.072548,111.3140501,4431.518476,111.3762701,995799.0061,19625170,13726,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.JakartaRegexpRegexp,1,0,0,0,0,0,0,0,0,3,5,16,0,5,95,0.964674453,1,4466.362278,426.0000015,441.7748295,507.6662289,494.0000013,4473.360258,4446.115158,4473.803751,121.2971558,511.5593807,0,23,287.8870066,567.4398647,4446.00606,4482.064703,95.30287144,4447.539207,95.32914109,853781.0052,19767188,13961,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.Equals,1,0,0,0,0,0,0,0,0,6,3,11,1,2,74,0.977248135,0,4487.362031,427.0000006,441.9558802,508.9322155,496.0000005,4494.452692,4467.137115,4494.56316,119.2518344,509.9068542,0,23,286.5992328,568.9797887,4467.003767,4503.090827,74.22480297,4468.454431,74.35747732,666603.0041,19954366,13273,0,0,0,0,0,0,0
org.apache.tools.ant.util.ResourceUtils,1,0,0,0,0,0,0,0,0,14,30,96,8,23,905,3.97981E-10,7,3660.177045,420.0011905,433.1697127,480.8294916,469.0010661,3666.122884,3636.026953,3668.86849,106.9205312,501.3342199,0,24,919.5168873,526.2736931,3636.323548,3673.888948,906.4068086,3637.544776,906.3394784,7400281.055,13220688,11428,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.PathConvert,1,0,0,0,0,0,0,0,0,21,12,61,1,12,507,0.077048362,2,4056.326047,425.0010022,436.3782763,496.960763,487.0008746,4063.289923,4034.077466,4064.500584,102.1077862,506.764245,0,24,552.4112341,546.3863102,4034.09993,4070.834558,507.8518191,4035.214616,508.1645758,4347586.029,16273383,10028,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.condition.IsReference,1,1,1,0,0,0,0,1,0,4,6,14,1,5,68,6.03627E-30,0,4493.334842,427.001171,442.475988,506.4632267,493.0010142,4500.086444,4473.114463,4500.526414,120.3328717,510.3577177,2,24,282.2134725,567.5253298,4473.005884,4508.859501,68.40628181,4474.503883,68.46691509,612966.0038,20008003,13730,0,0,1,1,1,1,2
org.apache.tools.ant.types.Description,1,0,0,0,0,0,0,0,0,5,8,26,1,8,144,3.80689E-30,2,4417.491822,425.0011765,440.2839993,504.2876163,491.0010183,4424.329328,4397.095632,4424.999209,118.6001686,510.1313556,0,25,298.5408019,561.8300455,4397.019072,4432.748809,144.6202879,4398.503609,144.6625377,1287098.008,19333871,13487,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.BZip2,1,0,0,0,0,0,0,0,0,3,6,22,0,6,82,0.985759134,1,4479.303182,426.0000002,441.7748295,506.6932011,493.0000002,4486.170973,4459.107758,4486.723192,121.0371844,511.5593807,0,26,278.1742258,564.5883456,4459.011649,4494.601317,82.65794227,4460.534721,82.6811974,738022.0046,19882947,13955,0,0,0,0,0,0,0
org.apache.tools.ant.types.RedirectorElement,1,0,0,0,0,0,0,0,0,28,13,85,5,8,860,0.000670261,13,3704.208013,414.0012061,424.099045,494.6311757,486.0010274,3712.944519,3681.114233,3713.867257,96.46242792,501.5107177,0,27,878.0381979,533.158513,3681.235311,3719.411109,861.0272527,3682.149508,861.4418899,7071005.052,13549964,8667,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Antlib,1,1,1,0,0,0,1,0,0,7,10,46,1,9,212,5.91692E-31,1,4349.909999,426.0011737,440.7323451,501.8864413,489.0010225,4356.530959,4329.090551,4357.436173,116.4173527,509.684216,3,27,320.8586543,552.7865773,4329.055872,4364.151006,213.1819517,4330.47457,213.2479759,1880486.012,18740483,13011,0,1,0,1,1,1,3
org.apache.tools.ant.util.ClasspathUtils,1,0,0,0,0,0,0,0,0,12,19,33,13,7,261,2.8221E-159,15,4299.784181,412.0012136,425.9201803,492,480.0010417,4306.831782,4280.105139,4307.391902,112.0892502,496.879261,0,28,364.6949542,547.9507277,4280.084094,4314.933371,262.4049925,4281.3624,262.5971169,2302314.015,18318655,11919,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.SignJar,1,1,1,0,0,0,1,0,0,20,9,56,0,9,455,0.854975793,2,4108.043452,425.0000247,436.6062299,500.09999,490.0000215,4115.275932,4086.095936,4116.236145,103.8460399,507.9409414,3,28,507.9567086,549.3887512,4086.078898,4122.768972,455.7468574,4087.223507,456.0691821,3925341.026,16695628,10232,0,1,0,1,1,1,3
org.apache.tools.ant.taskdefs.AbstractCvsTask,1,0,0,0,0,0,0,0,0,42,19,107,4,15,898,0.492225143,5,3667.360495,422.0003055,429.1479931,486.296206,480.0002686,3674.486223,3643.066428,3676.341252,81.04319836,500.1199856,0,29,909.9584682,526.1150064,3643.325042,3680.794208,899.3860721,3643.83493,900.0669686,7349339.054,13271630,6265,0,0,0,0,0,0,0
org.apache.tools.ant.util.StringUtils,1,0,0,0,0,0,0,0,0,9,32,36,32,0,281,0.838290218,13,4280.069626,414.0000316,428.6222113,480.0104166,467.000028,4285.520855,4260.160678,4285.411999,117.0042734,479.0375768,0,29,378.7161689,529.7735365,4260.237746,4292.814927,284.5560731,4261.445881,284.7191882,2473117.017,18147852,12573,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.GUnzip,1,0,0,0,0,0,0,0,0,4,5,26,0,5,129,0.971283035,1,4432.518471,426.000001,441.5110418,507.4366956,494.0000008,4439.569799,4412.116046,4440.016667,120.3328717,511.331595,0,29,291.6395264,562.7148479,4412.016499,4447.7401,129.581818,4413.524669,129.6234105,1154963.007,19466006,13718,0,0,0,0,0,0,0
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,1,0,0,0,0,0,0,0,0,3,8,6,7,1,25,0.987296893,4,4535.7673,423.0000002,438.8826722,504.7474616,491.0000002,4542.613455,4516.143488,4542.613455,122.4132346,504.7474616,0,29,283.1508688,566.2199219,4516.008114,4551.358149,26.41701754,4517.515357,26.49131949,226431.0016,20394538,13971,0,0,0,0,0,0,0
org.apache.tools.ant.util.facade.FacadeTaskHelper,1,0,0,0,0,0,0,0,0,9,5,19,4,1,119,0.935518231,5,4442.090499,422.0000049,436.3542139,506.3170943,494.0000042,4449.507838,4422.146538,4449.507838,116.691902,506.3170943,0,31,293.9881925,562.4917777,4422.017076,4457.63177,119.6212624,4423.392929,119.8241909,1066616.007,19554353,12590,0,0,0,0,0,0,0
org.apache.tools.ant.types.DirSet,1,0,0,0,0,0,0,0,0,7,9,22,4,5,103,1.57084E-05,6,4457.923844,421.0011876,435.901365,502.8608157,490.0010204,4464.968533,4438.115366,4465.409276,117.4436035,506.7593117,0,32,285.1399846,561.0632763,4438.0212,4473.324938,103.9287812,4439.438365,104.0550653,924859.0058,19696110,13035,0,0,0,0,0,0,0
org.apache.tools.zip.ZipShort,1,0,0,0,0,0,0,0,0,10,8,11,8,0,121,0.950135183,4,4440.194703,423.0000029,437.0686445,503.1709451,491.0000025,4447.187988,4420.154862,4447.077692,116.056021,502.1951812,0,32,302.2903183,562.8756523,4420.016033,4455.696242,121.5643785,4421.368566,121.799935,1084292.007,19536677,12377,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.Regexp,1,0,0,0,0,0,0,0,0,1,13,1,11,2,3,1,3,4557.764803,424,440.382788,500.3568726,486,4563.950044,4538.134969,4564.056639,124.040316,501.3282358,0,32,287.0287162,565.2769233,4538.009952,4573.071397,9.966125923,4539.560001,9.973790571,27238.00196,20593731,14448,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.CallTarget,1,0,0,0,0,0,0,0,0,15,9,41,0,9,204,1.8501E-122,2,4357.773973,425.0011765,437.7784828,501.1237372,490.0010204,4364.59265,4337.090384,4365.498024,108.6692229,508.9489169,0,33,319.4735037,555.8893775,4337.041144,4372.480074,204.917162,4338.270854,205.1859413,1811153.011,18809816,11272,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,8,5,39,0,5,274,0.079806296,2,4288.113105,425.0009962,439.5099544,506.5372642,494.000857,4295.500553,4267.119989,4295.962407,116.4817582,510.4390267,0,33,368.8752477,556.7809264,4267.037965,4303.172551,274.6054571,4268.469632,274.7059943,2413431.015,18207538,12793,0,0,0,0,0,0,0
org.apache.tools.zip.ZipLong,1,0,0,0,0,0,0,0,0,10,3,11,3,0,154,0.950135183,4,4407.345913,423.0000029,437.0686445,508.0511785,496.0000025,4414.95017,4387.156026,4414.837936,116.056021,507.0749452,0,34,316.5807533,567.2336379,4387.006492,4423.5193,154.1637035,4388.378858,154.3909966,1374923.009,19246046,12377,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Dirname,1,0,0,0,0,0,0,0,0,4,4,10,0,4,48,0.487380766,1,4513.15023,426.0003084,441.5110418,508.4102674,495.0002654,4520.185173,4493.121187,4520.514683,120.6026534,511.331595,0,34,282.046007,570.3402493,4493.002194,4529.054758,48.21860099,4494.497191,48.29267816,433642.0026,20187327,13734,0,0,0,0,0,0,0
org.apache.tools.ant.types.FlexInteger,1,0,0,0,0,0,0,0,0,3,0,7,0,0,19,0.984771837,0,4542.115476,427.0000003,442.7392009,512.5329258,499.0000002,4549.448868,4522.151369,4549.339293,122.7110427,511.5593807,0,34,281.626686,571.8085344,4522.000977,4558.009324,19.21479228,4523.513347,19.30215141,172204.001,20448765,13970,0,0,0,0,0,0,0
org.apache.tools.ant.TaskContainer,1,0,0,0,0,0,0,0,0,1,14,1,13,1,1,1,1,4559.942543,426,442.3087157,499.3856225,485,4565.832345,4540.142729,4565.832345,124.3261839,499.3856225,0,34,287.0090908,563.5547888,4540.013879,4574.843604,11.26979658,4541.559314,11.2728236,9082.007225,20611887,14448,0,0,0,0,0,0,0
org.apache.tools.ant.AntClassLoader,1,3,1,0,0,1,2,0,0,56,51,169,37,16,1842,0.008817058,17,2729.963553,410.0011981,414.9650588,452.54834,448.0010965,2735.928544,2699.081696,2738.087289,67.35725648,465.4213145,10,35,1833.894373,476.1113315,2700.802968,2740.671998,1844.693905,2699.758693,1845.466198,13336249.13,7284720,4215,1,2,0,2,2,7,10
org.apache.tools.ant.taskdefs.Get,1,0,0,0,0,0,0,0,0,11,9,54,1,8,493,0.815001907,3,4070.144961,424.0000404,437.7864776,501.9770911,490.0000349,4077.548773,4048.103877,4078.395886,112.7918437,508.8123426,0,35,542.7545082,549.3314118,4048.079998,4085.103303,493.6873938,4049.467249,493.7743032,4234431.028,16386538,12115,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,6,4,24,0,4,135,0.921831803,1,4426.546284,426.0000072,440.9897958,507.9576754,495.0000062,4433.718642,4406.12358,4434.054578,118.6802427,510.881591,0,35,296.0889176,563.6488268,4406.014063,4441.906798,135.469453,4407.47456,135.5685334,1207869.007,19413100,13260,0,0,0,0,0,0,0
org.apache.tools.ant.util.LazyFileOutputStream,1,0,0,0,0,0,0,0,0,11,1,23,1,0,136,0.909413056,2,4425.454779,425.0000097,438.755057,509.7891721,498.0000082,4433.060906,4405.155389,4432.94868,115.1086443,508.8123426,0,36,297.4817442,563.2352972,4405.01513,4440.862416,136.4687559,4406.348375,136.7252458,1216679.008,19404290,12146,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher,1,0,0,0,0,0,0,0,0,9,4,19,1,3,130,0.905016016,2,4431.427084,425.0000106,439.2561895,507.2928149,495.0000091,4438.687419,4411.131034,4438.910902,116.090482,509.2445385,0,36,298.4210664,565.128304,4411.010561,4447.054194,130.3616938,4412.396401,130.5462166,1163779.007,19457190,12590,0,0,0,0,0,0,0
org.apache.tools.ant.util.regexp.Jdk14RegexpRegexp,1,0,0,0,0,0,0,0,0,3,4,19,0,4,136,0.960385099,1,4425.550926,426.0000018,441.7748295,508.6393614,495.0000016,4432.724896,4405.123608,4433.060906,121.5647975,511.5593807,0,36,301.0001029,566.0079505,4405.008736,4441.214924,136.2939089,4406.553529,136.3143426,1216675.008,19404294,13958,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.GZip,1,0,0,0,0,0,0,0,0,3,5,20,0,5,71,0.985759134,1,4490.253445,426.0000002,441.7748295,507.6662289,494.0000002,4497.214249,4470.11454,4497.655389,121.2971558,511.5593807,0,38,277.1079094,565.5333766,4470.009565,4505.632919,71.61985818,4471.530946,71.65356476,639801.0039,19981168,13957,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Typedef,1,0,0,0,0,0,0,0,0,1,3,2,2,1,4,1,0,4557.049265,427,443.2719256,510.0754846,496,4564.031661,4537.142823,4564.031661,124.3261839,510.0754846,0,38,286.0291723,572.5486879,4537.000549,4572.983818,4.573725599,4538.560344,4.602448461,36314.0003,20584655,14447,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.ProcessDestroyer,1,0,0,0,0,0,0,0,0,7,2,36,2,1,335,0.967201218,3,4227.317353,424.0000013,438.7994986,509.684216,497.0000011,4235.262093,4206.154063,4235.144862,118.5959527,508.7091507,0,41,417.5814071,556.3452166,4206.040403,4242.635502,335.4877342,4207.517677,335.5743861,2930281.019,17690688,13021,0,0,0,0,0,0,0
org.apache.tools.ant.types.selectors.TypeSelector,1,0,0,0,0,0,0,0,0,6,8,21,5,3,104,0.743614893,13,4456.272546,414.0000794,429.408896,504.0605122,491.0000669,4464.084453,4437.130266,4464.304873,118.9621789,506.0088932,0,42,286.4714492,560.6585414,4437.022474,4472.28208,104.9590334,4438.464261,105.0743779,933733.0059,19687236,13263,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Input,1,0,0,0,0,0,0,0,0,8,8,32,1,8,190,1.83716E-41,1,4371.804776,426.0011737,440.4770142,503.6119538,491.0010183,4378.616448,4351.096643,4379.293322,115.6935608,509.4634432,0,43,318.104166,559.0572421,4351.028411,4386.769426,190.6876047,4352.441269,190.7930161,1689512.011,18931457,12800,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper,1,1,1,0,0,0,0,0,1,4,7,20,4,3,187,1,0,4374.887999,427,442.475988,505.4898614,492,4381.709712,4354.132749,4381.934733,120.8801059,507.4366956,1,43,326.3245585,562.0142347,4354.018717,4390.12255,187.4374103,4355.544972,187.4754965,1663385.01,18957584,13724,0,0,1,1,1,1,1
org.apache.tools.ant.taskdefs.Taskdef,1,0,0,0,0,0,0,0,0,1,1,7,0,1,40,0.989821949,0,4521.208909,427.0000001,443.2719256,512.0205074,498.0000001,4528.466076,4501.143966,4528.466076,124.3261839,512.0205074,0,45,283.7836683,571.8085344,4501.000981,4537.175994,40.10121904,4502.57282,40.12270241,361687.0022,20259282,14442,0,0,0,0,0,0,0
org.apache.tools.ant.taskdefs.Basename,1,0,0,0,0,0,0,0,0,5,4,15,0,4,90,1.04859E-20,1,4471.339508,426.0011737,441.2493626,508.1830379,495.0010101,4478.44013,4451.12233,4478.772711,119.6411301,511.1056642,0,47,287.2478802,567.9198887,4451.005288,4487.085245,90.27364846,4452.485373,90.36075002,809295.005,19811674,13498,0,0,0,0,0,0,0
org.apache.tools.ant.types.Assertions,1,0,0,0,0,0,0,0,0,13,11,40,3,9,289,0.033980612,19,4271.529937,408.0011436,421.7973447,499.5928342,488.0009561,4279.912149,4252.092191,4280.715945,110.6028933,506.4326214,0,51,379.6092497,553.6506118,4252.052503,4287.893772,289.8140132,4253.346095,290.0099839,2541217.016,18079752,11697,0,0,0,0,0,0,0
org.apache.tools.ant.types.EnumeratedAttribute,1,0,0,0,0,0,0,0,0,9,62,22,61,1,130,0.967791635,73,4425.182143,354.0000015,370.9946091,450.8769233,437.0000012,4432.594049,4411.146903,4432.594049,116.691902,450.8769233,0,51,298.5337226,511.5906567,4411.452595,4440.568207,144.5332901,4412.396401,144.7139979,1163782.01,19457187,12587,0,0,0,0,0,0,0
