Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.taskdefs.Mkdir,1,2,1,1,0,0,1,0,0,3,3,14,0,3,82,0.96655368,4,4172.301,293,305.93,209.39,190,4166.335,4162.123,4166.426,93.638,211.206,9,23
org.apache.tools.ant.taskdefs.Concat,1,1,1,1,0,0,0,0,0,12,11,64,0,11,581,0.816799704,4,3674.7,293,303.463,198.406,182,3667.519,3663.079,3668.028,82.565,207.617,6,51
org.apache.tools.ant.taskdefs.AbstractCvsTask,1,1,1,1,0,0,0,0,0,40,17,99,2,15,855,0.393809386,5,3401.556,292.001,296.42,183.24,176.001,3393.567,3389.059,3394.322,54.781,196.726,6,29
org.apache.tools.ant.taskdefs.BUnzip2,1,1,1,1,0,0,0,0,0,3,5,24,0,5,163,0.972455693,0,4091.793,297,309.763,207.576,188,4085.328,4081.11,4085.514,92.973,211.206,6,17
org.apache.tools.ant.taskdefs.Checksum,1,1,1,1,0,0,0,0,0,15,11,72,1,10,683,0.847050663,4,3573.034,293,302.696,197.231,182,3565.648,3561.088,3566.119,80.006,205.565,6,39
org.apache.tools.ant.taskdefs.Parallel,1,1,1,1,0,0,0,0,0,3,6,21,1,6,146,0.98866506,3,4108.533,294,306.888,206.671,187,4102.264,4098.103,4102.449,92.655,210.297,6,43
org.apache.tools.ant.taskdefs.LoadProperties,1,1,1,1,0,0,0,0,0,4,8,39,0,8,200,0.967098417,0,4054.891,297,309.48,204.436,185,4048.229,4044.09,4048.555,91.093,210.791,6,16
org.apache.tools.ant.taskdefs.LoadFile,1,1,1,1,0,0,0,0,0,7,7,36,0,7,261,0.892368018,0,3994.058,297,308.65,204.088,186,3987.341,3983.098,3987.625,88.544,209.571,6,67
org.apache.tools.ant.taskdefs.Move,1,1,1,1,0,0,0,0,0,5,11,46,0,11,587,0.868902251,1,3668.96,296,308.24,201.296,182,3661.526,3657.079,3662.037,89.286,210.381,6,27
org.apache.tools.ant.taskdefs.BZip2,1,1,1,1,0,0,0,0,0,2,5,14,0,5,66,0.993162879,0,4188.543,297,310.048,208.002,188,4182.228,4178.108,4182.409,93.92,211.625,6,24
org.apache.tools.ant.taskdefs.Property,1,4,1,0,1,0,3,0,0,30,12,77,2,10,717,0.057821722,5,3539.067,292.002,298.304,191.003,181.002,3531.641,3527.089,3532.114,65.924,199.552,14,43
org.apache.tools.ant.DirectoryScanner,1,2,1,0,1,0,1,0,0,34,33,67,27,6,1171,0.191052322,25,3085.014,272.001,277.908,169.85,160.002,3077.162,3073.137,3077.427,63.953,174.568,8,99
org.apache.tools.ant.taskdefs.War,1,1,1,0,1,0,0,0,0,9,9,34,0,9,166,0.511234948,4,4088.512,293,304.258,201.445,184.001,4082.149,4078.083,4082.517,86.023,208.777,5,16
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1,1,1,0,1,0,0,0,0,8,8,22,5,3,141,0.888399394,5,4113.377,292,303.567,202.766,185,4107.169,4103.125,4107.259,88.955,204.592,5,97
org.apache.tools.ant.types.CommandlineJava,1,1,1,0,0,1,0,0,0,27,10,60,1,9,401,0.008988287,13,3853.48,284.002,291.122,193.869,183.003,3847.355,3843.088,3847.743,69.08,201.437,4,75
org.apache.tools.ant.taskdefs.Tstamp,1,1,1,0,0,1,0,0,0,4,6,22,1,6,142,0.970704995,5,4112.38,292,304.685,206.247,187,4106.26,4102.103,4106.444,91.706,209.881,4,57
org.apache.tools.ant.AntClassLoader,1,4,1,0,0,0,3,1,0,42,20,115,14,8,1369,0.208178051,22,2888.122,275.001,279.331,179.805,173.002,2880.2,2875.127,2880.505,55.946,184.621,11,35
org.apache.tools.ant.types.AbstractFileSet,1,2,1,0,0,0,2,0,0,41,52,102,26,26,698,0.017387141,17,3557.038,280.002,284.429,149.603,141.003,3548.802,3546.011,3549.883,50.804,173.367,6,196
org.apache.tools.ant.util.FileUtils,1,2,1,0,0,0,2,0,0,29,28,120,25,6,1348,0.489026131,30,2908.282,267,274.104,176.264,165.001,2900.697,2896.145,2900.811,68.447,178.138,6,245
org.apache.tools.ant.taskdefs.Available,1,2,1,0,0,0,2,0,0,20,14,67,1,13,812,0.002835027,4,3444.484,293.002,301.48,192.567,179.003,3436.665,3432.071,3437.311,74.33,203.769,6,109
org.apache.tools.ant.taskdefs.ExecuteJava,1,2,1,0,0,0,2,0,0,10,10,47,1,9,329,0.892833719,2,3926.099,295,305.918,200.125,183,3919.275,3915.086,3919.656,85.071,207.466,6,57
org.apache.tools.ant.IntrospectionHelper,1,2,1,0,0,0,1,1,0,24,25,78,16,21,1203,0.621822276,4,3055.083,293,300.563,180.867,168,3045.637,3041.032,3046.089,68.447,188.322,5,370
org.apache.tools.ant.util.CollectionUtils,1,2,1,0,0,0,1,1,0,3,3,12,3,0,90,0.889577594,3,4164.391,294,306.888,209.39,190,4158.343,4154.147,4158.297,94.705,208.483,5,67
org.apache.tools.ant.types.FilterSet,1,2,1,0,0,0,1,1,0,19,11,61,7,5,503,0.48212159,5,3752.379,292,300.746,195.724,182.001,3745.425,3741.12,3745.572,78,198.517,5,83
org.apache.tools.ant.taskdefs.XmlProperty,1,1,1,0,0,0,1,0,0,9,4,41,0,4,334,0.523742697,4,3920.963,293,304.258,206.022,189.001,3914.565,3910.123,3914.711,87.664,208.777,3,15
org.apache.tools.ant.types.XMLCatalog,1,1,1,0,0,0,1,0,0,21,10,82,1,9,719,0.057508337,3,3537.239,294.002,302.218,195.931,183.002,3529.747,3525.096,3530.171,74.673,203.423,3,277
org.apache.tools.ant.types.PatternSet,1,1,1,0,0,0,1,0,0,21,12,62,7,6,630,0.296945367,3,3625.939,294.001,302.218,194.064,181.001,3618.53,3614.116,3618.732,75.769,197.8,3,152
org.apache.tools.ant.util.JavaEnvUtils,1,1,1,0,0,0,1,0,0,11,15,26,14,2,361,0.893396363,21,3892.797,276,287.36,195.151,178,3887.078,3883.14,3887.078,86.539,195.151,3,89
org.apache.tools.ant.taskdefs.Basename,1,1,1,0,0,0,1,0,0,5,5,13,0,5,71,0.918149939,3,4183.344,294,306.32,206.737,188,4177.233,4173.108,4177.415,91.082,210.381,3,47
org.apache.tools.ant.types.Mapper,1,1,1,0,0,0,1,0,0,11,14,40,5,9,286,0.049913203,8,3968.537,289.002,299.868,196.064,179.003,3962.046,3958.085,3962.415,84.119,203.394,3,117
org.apache.tools.ant.taskdefs.Java,1,1,1,0,0,0,1,0,0,31,20,103,0,20,673,0.013904354,25,3581.344,272.002,278.539,183.109,173.003,3575.188,3571.032,3576.158,61.847,201.157,3,97
org.apache.tools.ant.types.EnumeratedAttribute,1,0,0,0,0,0,0,0,0,8,46,14,45,1,87,0.966365194,45,4164.631,252,265.317,168.814,147,4159.598,4157.139,4159.598,89.694,168.814,0,51
org.apache.tools.zip.ZipShort,1,0,0,0,0,0,0,0,0,7,6,8,6,0,89,0.948159828,4,4165.318,293,304.803,205,187,4159.206,4155.147,4159.161,91,204.088,0,32
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,21,11,56,0,11,715,0.497562166,7,3540.896,290,298.329,194.997,182.001,3533.69,3529.082,3534.219,74,204.362,0,20
org.apache.tools.ant.util.regexp.Regexp,1,0,0,0,0,0,0,0,0,1,5,1,3,2,3,1,1,4251.317,296,309.38,208.432,188,4245.165,4241.128,4245.209,95.859,209.335,0,32
org.apache.tools.ant.util.facade.FacadeTaskHelper,1,0,0,0,0,0,0,0,0,8,3,18,2,1,108,0.919590963,3,4146.436,294,305.491,207.338,190,4140.362,4136.14,4140.362,89.694,207.338,0,31
org.apache.tools.ant.types.Path,1,0,0,0,0,0,0,0,0,28,44,96,32,13,1047,0.006091114,79,3204.424,218.002,226.921,161.771,149.003,3200.47,3197.076,3201.001,66.731,171.956,0,443
org.apache.tools.ant.types.selectors.FilenameSelector,1,0,0,0,0,0,0,0,0,8,9,23,4,5,198,0.780515958,7,4056.38,290,301.644,201.854,184,4050.182,4046.111,4050.365,88.255,205.507,0,65
org.apache.tools.ant.filters.LineContains,1,0,0,0,0,0,0,0,0,8,6,26,1,5,167,0.903853958,1,4087.731,296,307.417,204.592,187,4081.286,4077.11,4081.472,88.255,208.255,0,17
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.992424242,1,4234.359,296,309.091,211.625,192,4228.361,4224.137,4228.361,95.273,211.625,0,15
org.apache.tools.ant.util.regexp.RegexpMatcher,1,0,0,0,0,0,0,0,0,6,7,6,6,1,10,1,4,4244.126,293,305.08,204.502,186,4238.084,4234.137,4238.084,91.548,204.502,0,135
org.apache.tools.zip.AsiExtraField,1,0,0,0,0,0,0,0,0,20,4,42,0,4,376,0.600817058,1,3879.309,296,304.396,201.896,189,3872.615,3868.124,3872.762,77.473,204.707,0,95
org.apache.tools.ant.taskdefs.Sleep,1,0,0,0,0,0,0,0,0,10,2,20,0,2,130,0.912957371,4,4124.421,293,303.99,207.466,191,4118.431,4114.132,4118.478,87.464,208.387,0,66
org.apache.tools.ant.taskdefs.Typedef,1,0,0,0,0,0,0,0,0,2,4,4,0,4,11,0.960957782,0,4243.406,297,310.048,208.907,189,4237.217,4233.114,4237.352,94.244,211.625,0,35
org.apache.tools.ant.types.DirSet,1,0,0,0,0,0,0,0,0,3,7,8,3,4,27,0.23043239,1,4227.376,296.001,308.804,205.767,186.002,4221.1,4217.114,4221.233,93.301,208.483,0,32
org.apache.tools.ant.types.selectors.DependSelector,1,0,0,0,0,0,0,0,0,7,13,25,4,9,201,0.372621625,2,4053.748,295.001,306.726,198.635,180.001,4047.005,4043.084,4047.369,87.932,205.913,0,112
org.apache.tools.ant.util.DOMElementWriter,1,0,0,0,0,0,0,0,0,8,1,40,1,0,464,0.626927072,5,3791.262,292,303.567,209.172,192,3784.873,3780.162,3784.822,90.078,208.255,0,62
org.apache.tools.ant.util.GlobPatternMapper,1,0,0,0,0,0,0,0,0,5,3,15,2,1,137,0.955286348,2,4117.581,295,307.28,208.557,190,4111.393,4107.141,4111.393,92.477,208.557,0,59
org.apache.tools.ant.taskdefs.Javac,1,0,0,0,0,0,0,0,0,72,27,116,11,18,900,3.01801E-05,7,3356.551,290.002,290.622,167.084,166.003,3348.118,3344.043,3348.895,25.495,181.995,0,134
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,3,30,8,26,4,27,0.23043239,8,4226.891,289.001,302.101,185.238,163.002,4220.149,4217.114,4220.266,93.301,187.883,0,8
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,8,7,37,0,7,277,0.95539769,3,3977.879,294,305.491,203.679,186,3971.358,3967.099,3971.644,87.596,209.172,0,33
org.apache.tools.ant.types.selectors.PresentSelector,1,0,0,0,0,0,0,0,0,7,13,25,4,9,199,0.378378469,2,4055.743,295.001,306.726,198.635,180.001,4049.003,4045.084,4049.366,87.932,205.913,0,97
org.apache.tools.ant.taskdefs.condition.Equals,1,0,0,0,0,0,0,0,0,6,3,11,1,2,74,0.966365194,0,4180.563,297,308.924,208.147,190,4174.326,4170.131,4174.372,91.181,209.06,0,23
org.apache.tools.ant.TaskContainer,1,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,1,4253.312,296,309.38,204.832,184,4246.988,4243.136,4246.988,96.208,204.832,0,15
org.apache.tools.ant.taskdefs.Untar,1,0,0,0,0,0,0,0,0,3,8,22,0,8,104,0.985638918,1,4150.568,296,308.804,204.863,185,4144.131,4140.088,4144.45,92.049,211.206,0,51
org.apache.tools.ant.types.selectors.SizeSelector,1,0,0,0,0,0,0,0,0,8,10,28,4,6,365,0.793954727,7,3889.825,290,301.644,200.943,183,3883.314,3879.108,3883.553,87.92,205.507,0,141
org.apache.tools.ant.taskdefs.FixCRLF,1,0,0,0,0,0,0,0,0,18,12,82,1,12,1238,0.104288088,5,3020.149,292.001,300.987,195.167,181.002,3011.444,3006.088,3012.062,76.538,204.475,0,115
org.apache.tools.ant.types.selectors.ContainsSelector,1,0,0,0,0,0,0,0,0,7,9,28,4,5,215,0.817801013,7,4039.423,290,301.921,202.267,184,4033.199,4029.112,4033.384,89.196,205.913,0,58
org.apache.tools.ant.taskdefs.Input,1,0,0,0,0,0,0,0,0,6,8,19,0,8,88,0.84709419,3,4166.386,294,306.041,203.593,185,4160.116,4156.088,4160.433,89.185,209.974,0,43
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,8,2,21,1,1,89,0.96148752,4,4165.318,293,304.529,208.255,191,4159.388,4155.139,4159.388,89.694,208.255,0,16
org.apache.tools.zip.ZipEntry,1,0,0,0,0,0,0,0,0,23,5,68,2,3,462,0.564084289,3,3793.41,294,301.761,199.92,188.001,3786.67,3782.135,3786.77,75.153,201.802,0,48
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,7,7,21,0,7,144,0.892809301,3,4110.527,294,305.765,204.088,186,4104.217,4100.096,4104.493,88.544,209.571,0,23
org.apache.tools.ant.taskdefs.Replace,1,0,0,0,0,0,0,0,0,22,9,92,2,9,837,0.827746326,4,3419.576,293,301.015,196.512,184,3411.965,3407.099,3412.294,73.736,202.141,0,32
org.apache.tools.ant.taskdefs.CVSPass,1,0,0,0,0,0,0,0,0,6,3,30,0,3,1262,0.862854201,1,2996.655,296,307.963,208.147,190,2988.047,2982.172,2988.175,90.824,209.974,0,75
org.apache.tools.ant.util.DateUtils,1,0,0,0,0,0,0,0,0,7,1,20,1,0,197,0.919102972,7,4057.377,290,301.921,209.571,192,4051.552,4047.151,4051.505,91,208.655,0,53
org.apache.tools.ant.types.selectors.DepthSelector,1,0,0,0,0,0,0,0,0,7,8,26,4,4,261,0.820359657,7,3993.543,290,301.921,203.177,185,3987.294,3983.121,3987.434,89.538,205.913,0,101
org.apache.tools.ant.types.FileList,1,0,0,0,0,0,0,0,0,8,9,31,4,5,181,0.408463985,1,4073.768,296.001,307.417,201.854,184.001,4067.164,4063.111,4067.347,88.255,205.507,0,99
org.apache.tools.ant.util.StringUtils,1,0,0,0,0,0,0,0,0,6,14,24,14,0,116,0.947994085,7,4138.174,290,302.2,198.157,179,4131.879,4128.148,4131.836,91.924,197.254,0,29
org.apache.tools.ant.taskdefs.condition.Contains,1,0,0,0,0,0,0,0,0,5,3,9,1,2,64,0.973742028,0,4190.538,297,309.201,208.557,190,4184.316,4180.13,4184.361,92.114,209.468,0,13
org.apache.tools.ant.types.Description,1,0,0,0,0,0,0,0,0,2,3,8,0,3,28,0.984905877,0,4226.448,297,310.048,209.812,190,4220.279,4216.121,4220.37,94.578,211.625,0,25
org.apache.tools.ant.taskdefs.Deltree,1,0,0,0,0,0,0,0,0,4,3,17,0,3,152,0.935319349,4,4102.476,293,305.644,208.971,190,4096.409,4092.125,4096.502,92.698,210.791,0,14
org.apache.tools.ant.taskdefs.Taskdef,1,0,0,0,0,0,0,0,0,2,4,4,0,4,11,0.883743323,0,4243.406,297,310.048,208.907,189,4237.217,4233.114,4237.352,94.244,211.625,0,45
org.apache.tools.zip.ZipLong,1,0,0,0,0,0,0,0,0,7,2,8,2,0,147,0.948159828,3,4107.535,294,305.765,208.655,191,4101.45,4097.149,4101.403,91,207.74,0,34
org.apache.tools.ant.types.selectors.BaseSelector,1,0,0,0,0,0,0,0,0,6,15,8,12,3,39,0.916355335,12,4214.647,285,297.405,197.254,178,4208.766,4205.122,4208.851,90.824,199.06,0,107
org.apache.tools.ant.taskdefs.GZip,1,0,0,0,0,0,0,0,0,2,4,12,0,4,55,0.993162879,0,4199.515,297,310.048,208.907,189,4193.261,4189.115,4193.398,94.244,211.625,0,38
org.apache.tools.ant.taskdefs.GUnzip,1,0,0,0,0,0,0,0,0,3,4,20,0,4,124,0.972455693,0,4130.691,297,309.763,208.483,189,4124.333,4120.117,4124.471,93.301,211.206,0,29
org.apache.tools.ant.taskdefs.Copyfile,1,0,0,0,0,0,0,0,0,6,5,22,0,5,137,0.908098962,3,4117.51,294,306.041,206.323,188,4111.301,4107.11,4111.485,90.139,209.974,0,35
org.apache.tools.ant.types.selectors.DateSelector,1,0,0,0,0,0,0,0,0,11,11,38,4,7,391,0.796204566,7,3863.898,290,300.832,198.806,182,3857.296,3853.102,3857.584,84.758,204.313,0,171
org.apache.tools.ant.taskdefs.Dirname,1,0,0,0,0,0,0,0,0,4,5,9,0,5,48,0.954733503,3,4206.287,294,306.602,207.155,188,4200.21,4196.107,4200.39,92.027,210.791,0,34
org.apache.tools.ant.taskdefs.Rename,1,0,0,0,0,0,0,0,0,5,4,17,0,4,99,0.932106487,3,4155.413,294,306.32,207.646,189,4149.307,4145.116,4149.444,91.417,210.381,0,20
org.apache.tools.ant.util.facade.ImplementationSpecificArgument,1,0,0,0,0,0,0,0,0,3,6,6,5,1,25,0.981175173,2,4229.301,295,307.846,206.671,187,4223.142,4219.137,4223.142,94.34,206.671,0,29
org.apache.tools.ant.types.Commandline,1,0,0,0,0,0,0,0,0,28,31,57,29,4,602,0.477310449,63,3649.51,234.001,242.332,173.819,162.001,3645.601,3642.132,3645.646,70.214,174.751,0,91
org.apache.tools.zip.ExtraFieldUtils,1,0,0,0,0,0,0,0,0,8,4,39,1,3,377,0.877327161,1,3878.312,296,307.417,206.422,189,3871.616,3867.132,3871.714,88.955,208.255,0,71
org.apache.tools.ant.taskdefs.Filter,1,0,0,0,0,0,0,0,0,6,6,16,0,6,95,0.892567169,4,4159.333,293,305.08,205.412,187,4153.212,4149.101,4153.44,89.811,209.974,0,70
org.apache.tools.ant.types.FlexInteger,1,0,0,0,0,0,0,0,0,3,0,7,0,0,19,0.977444469,0,4235.426,297,309.763,212.116,193,4229.406,4225.145,4229.36,94.705,211.206,0,34
org.apache.tools.ant.taskdefs.DependSet,1,0,0,0,0,0,0,0,0,6,10,33,0,10,511,0.923539654,3,3744.559,294,306.041,201.777,183,3737.483,3733.084,3737.934,88.6,209.974,0,30
org.apache.tools.ant.Main,0,4,1,1,0,0,2,1,0,19,12,103,1,12,1720,0.901345272,2,2541.181,295,303.659,194.795,181,2530.482,2524.105,2531.217,75.584,204.12,14,
org.apache.tools.ant.taskdefs.Execute,0,3,1,1,1,0,1,0,0,24,31,85,12,20,708,0.624032564,30,3546.066,267,275.278,175.308,162,3539.709,3536.032,3540.578,68.659,192.065,14,
org.apache.tools.ant.ProjectHelper,0,3,1,1,0,0,1,1,0,13,15,66,10,7,476,0.376337757,8,3779.067,289.001,299.341,194.34,178.001,3772.202,3768.104,3772.393,82.873,198.01,11,
org.apache.tools.ant.taskdefs.Pack,0,2,1,1,0,0,0,1,0,8,5,21,2,3,145,0.916374637,6,4109.316,291,302.605,205.507,188,4103.309,4099.125,4103.401,88.955,207.338,8,
org.apache.tools.ant.taskdefs.ExecTask,0,2,1,1,0,0,1,0,0,27,19,80,4,15,607,0.401066274,11,3648.228,286.001,293.073,185.397,174.001,3641.16,3637.055,3641.856,67.052,198.595,9,
org.apache.tools.ant.taskdefs.Recorder,0,2,1,1,0,0,1,0,0,9,9,34,0,9,214,0.865965148,4,4040.637,293,304.258,201.445,184,4034.198,4030.084,4034.571,86.023,208.777,9,
org.apache.tools.ant.taskdefs.RecorderEntry,0,2,1,1,0,0,1,0,0,16,6,36,1,5,363,0.647423596,2,3892.196,295,304.385,201.48,187,3885.503,3881.116,3885.697,80.777,205.197,9,
org.apache.tools.ant.DefaultLogger,0,2,1,1,0,1,0,0,0,16,13,38,6,7,334,0.845336308,6,3920.814,291,300.51,195,180,3914.141,3910.1,3914.422,80.056,200.552,10,
org.apache.tools.ant.taskdefs.email.EmailAddress,0,1,1,1,0,0,0,0,0,7,3,11,3,0,53,0.940921967,3,4201.299,294,305.765,207.74,190,4195.305,4191.146,4195.259,91,206.826,6,
org.apache.tools.ant.taskdefs.Patch,0,1,1,1,0,0,0,0,0,10,11,36,0,11,236,0.645488677,3,4018.768,294,304.954,199.211,182,4012.13,4008.072,4012.596,84.481,208.387,6,
org.apache.tools.ant.taskdefs.Cvs,0,1,1,1,0,0,0,0,0,1,2,2,1,1,4,0.992424242,0,4250.389,297,310.337,211.142,191,4244.3,4240.136,4244.3,96.208,211.142,6,
org.apache.tools.ant.taskdefs.PathConvert,0,1,1,1,0,0,0,0,0,16,13,48,1,13,480,0.29941714,4,3775.387,293.001,302.447,195,180.001,3768.301,3764.064,3768.843,78.16,205.197,6,
org.apache.tools.ant.taskdefs.email.PlainMailer,0,1,1,1,0,0,0,0,0,3,6,38,1,5,198,0.989400898,0,4056.886,297,309.763,206.671,187,4050.319,4046.111,4050.506,92.973,210.297,6,
org.apache.tools.ant.taskdefs.email.Message,0,1,1,1,0,0,0,0,0,9,5,20,3,2,141,0.909114063,4,4113.448,293,304.258,205.105,188,4107.305,4103.133,4107.351,88.391,206.022,6,
org.apache.tools.ant.taskdefs.ManifestException,0,1,1,1,0,0,0,0,0,1,5,2,5,0,5,0.992424242,2,4249.252,295,308.423,208.432,188,4243.167,4239.144,4243.123,96.566,207.531,6,
org.apache.tools.tar.TarEntry,0,1,1,1,0,0,0,0,0,32,6,69,4,2,771,0.151901813,4,3485.338,293.001,298.881,196.087,187.002,3478.031,3473.157,3478.085,67.602,197.041,6,
org.apache.tools.ant.taskdefs.BuildNumber,0,1,1,1,0,0,0,0,0,6,5,34,0,5,237,0.914912445,4,4017.698,293,305.08,206.323,188,4011.408,4007.112,4011.597,90.139,209.974,6,
org.apache.tools.ant.taskdefs.SendEmail,0,1,1,1,0,0,0,0,0,2,1,5,0,1,10,0.992424242,0,4244.404,297,310.048,211.625,192,4238.351,4234.137,4238.351,95.273,211.625,6,
org.apache.tools.ant.taskdefs.ExecuteOn,0,1,1,1,0,0,0,0,0,16,19,56,2,17,757,0.357519448,3,3499.372,294.001,303.416,189.476,174.001,3491.339,3487.046,3492.173,77.13,204.267,6,
org.apache.tools.ant.filters.StripJavaComments,0,1,1,1,0,0,0,0,0,4,3,7,1,2,130,0.867106069,1,4124.635,296,308.521,208.971,190,4118.385,4114.132,4118.431,93.048,209.881,6,
org.apache.tools.ant.taskdefs.Unpack,0,1,1,1,0,0,0,0,0,10,7,24,2,5,162,0.895617903,4,4092.502,293,303.99,202.872,186,4086.235,4082.11,4086.419,86.377,206.545,6,
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,0,1,1,1,0,0,0,0,0,4,13,23,1,12,195,0.951148432,2,4059.732,295,307.561,199.922,180,4052.999,4049.065,4053.502,89.989,209.881,6,
org.apache.tools.ant.taskdefs.email.Mailer,0,1,1,1,0,0,0,0,0,15,6,29,2,4,190,0.891881278,3,4064.647,294,303.664,201.854,187,4058.311,4054.119,4058.45,82.079,204.636,6,
org.apache.tools.ant.taskdefs.email.EmailTask,0,1,1,1,0,0,0,0,0,23,14,73,1,13,668,0.190789609,2,3588.147,295.001,302.736,191.481,179.002,3580.477,3576.068,3581.097,71.47,202.744,6,
org.apache.tools.ant.taskdefs.Chmod,0,1,1,1,0,0,0,0,0,17,15,57,0,15,298,0.124329949,25,3955.363,272.001,281.887,192.769,178.002,3950.013,3946.051,3950.668,76.655,205.767,6,
org.apache.tools.ant.XmlLogger,0,2,1,0,1,0,1,0,0,15,12,69,0,12,614,0.720474784,1,3642.048,296,305.601,196.308,181,3634.51,3630.073,3635.074,79.404,206.495,8,
org.apache.tools.ant.taskdefs.Ear,0,1,1,0,1,0,0,0,0,7,9,32,0,9,150,0.52702483,4,4104.471,293,304.803,202.267,184.001,4098.133,4094.083,4098.5,87.932,209.571,5,
org.apache.tools.ant.taskdefs.MatchingTask,0,1,1,0,1,0,0,0,0,36,35,84,11,24,302,0.013634869,32,3950.897,265.002,270.647,167.299,158.003,3945.165,3942.015,3946.153,56.089,189.172,5,
org.apache.tools.ant.types.ZipScanner,0,1,1,0,1,0,0,0,0,6,3,11,2,1,68,0.767375545,24,4184.914,273,285.927,208.147,190,4180.32,4176.138,4180.32,91.548,208.147,5,
org.apache.tools.ant.util.SourceFileScanner,0,1,1,0,1,0,0,0,0,3,11,24,7,4,264,0.98302566,8,3990.479,289,302.101,202.158,182,3984.159,3980.121,3984.297,93.301,204.863,5,
org.apache.tools.zip.ZipOutputStream,0,1,1,0,1,0,0,0,0,17,7,81,4,3,1178,0.280651499,3,3080.064,294.001,303.17,200.18,186.001,3071.637,3066.167,3071.758,80.623,202.04,5,
org.apache.tools.ant.UnknownElement,0,3,1,0,0,1,1,1,0,13,12,43,3,10,424,0.219937132,27,3829.53,270.001,281.041,197.091,181.002,3824.286,3820.082,3824.673,81.908,204.463,9,
org.apache.tools.ant.taskdefs.rmic.DefaultRmicAdapter,0,2,1,0,0,1,1,0,0,16,15,56,4,12,375,0.000105021,5,3880.003,292.002,301.478,193.155,178.003,3873.092,3869.068,3873.565,78.447,202.408,7,
