@relation 'ACPLocRfcCa-weka.filters.unsupervised.attribute.Remove-R1-2,5-30,32-weka.filters.unsupervised.attribute.NumericToBinary-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,1'

@attribute #BugsBinary_binarized {0,1}
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #Bugs numeric

@data
0,904.571882,3344.974606,3350.29939,903.699218,0
0,206.901323,4217.059027,4225.242005,35.037314,0
0,327.85303,3967.082815,3975.541347,278.212865,0
0,273.676854,4045.050548,4053.728284,200.069355,0
0,215.086279,4170.007853,4179.256513,74.438922,0
0,212.003763,4243.003412,4252.275744,5.471701,0
0,217.383714,4140.028167,4148.848635,105.155101,0
0,408.937013,3879.064301,3887.957047,365.70258,0
0,1243.110728,3006.493777,3014.909286,1239.238731,0
0,283.53638,4029.061907,4037.624301,216.173531,0
0,212.95081,4156.020796,4164.953301,89.016869,0
0,211.567188,4155.028065,4163.816759,90.29007,0
0,483.725152,3782.2931,3789.544696,464.386211,0
0,239.85475,4100.025872,4108.981382,144.767281,0
0,844.668766,3407.54312,3414.43846,839.237041,0
0,1273.295383,2982.072911,2993.773037,1262.128884,0
0,275.604965,4047.026197,4056.098988,197.514463,0
0,320.927205,3983.054983,3991.81688,261.845369,0
0,256.612884,4063.073449,4071.417075,182.658696,0
0,221.976254,4128.084864,4136.156307,118.962117,0
0,213.770583,4180.005267,4189.331331,64.34116,0
0,206.887327,4216.003235,4225.345548,28.489627,0
0,247.878524,4092.016791,4101.188121,152.454517,0
0,209.28398,4233.000619,4242.50327,11.250291,0
0,252.169048,4097.005293,4106.523347,147.126278,0
0,208.751937,4205.020986,4213.840291,41.20679,0
0,208.350349,4189.007887,4198.212239,55.610871,0
0,229.282321,4120.023304,4128.9845,124.783498,0
0,234.916548,4107.028393,4115.919581,137.867157,0
0,428.072175,3853.111025,3861.551243,392.119034,0
0,209.539078,4196.004221,4205.341365,48.388457,0
0,219.496531,4145.016576,4154.070895,99.703885,0
0,208.517262,4219.006034,4228.21227,25.990037,0
0,622.470077,3642.502023,3648.981913,605.026125,0
0,414.796329,3867.099357,3875.622015,378.013676,0
0,218.627735,4149.014601,4158.109426,95.662312,0
0,206.864337,4225.002388,4234.374216,19.50752,0
0,541.131263,3733.070324,3742.265758,511.558024,0
1,1720.554337,2524.854513,2533.605534,1721.277191,4
1,719.155266,3536.601489,3542.891474,711.094028,3
1,498.046075,3768.360777,3775.255885,478.871642,3
1,240.510831,4099.031133,4107.890578,145.880816,2
1,620.809286,3637.428109,3644.283469,609.632879,2
1,278.747322,4030.069082,4038.539959,215.341181,2
1,403.452944,3881.085031,3889.72634,363.920301,2
1,376.917848,3910.120603,3918.331405,335.436819,2
1,208.835092,4191.010683,4200.11976,53.820576,1
1,294.723886,4008.077697,4016.498102,237.372008,1
1,211.03699,4240.00026,4249.541387,4.259548,1
1,507.007927,3764.150805,3772.453048,481.244977,1
1,264.060882,4046.090396,4054.2844,199.855588,1
1,238.959972,4103.031059,4111.882659,141.896551,1
1,211.062311,4239.002036,4248.365686,6.488429,1
1,783.512647,3473.349642,3481.064349,772.545029,1
1,296.725355,4007.069479,4015.588873,238.187719,1
1,208.23546,4234.001081,4243.451897,10.439798,1
1,772.206934,3487.225092,3495.69993,758.117904,1
1,243.493568,4114.003252,4123.580119,130.098819,1
1,248.818058,4082.040128,4090.787821,163.025951,1
1,272.078991,4049.034381,4057.952932,195.775327,1
1,264.349037,4054.057556,4062.61886,191.233833,1
1,681.684776,3576.339543,3583.832725,669.875755,1
1,335.993193,3946.189848,3953.747083,300.5804,1
1,629.858541,3630.292646,3637.925233,615.783052,2
1,234.91791,4094.060347,4102.494485,151.683378,1
1,328.487514,3942.516723,3948.261136,308.782039,1
1,213.116401,4176.009227,4185.197725,68.554288,1
1,324.64214,3980.058728,3988.777507,264.891447,1
1,1183.874383,3066.518364,3074.593306,1179.309849,1
1,456.419269,3820.133091,3828.448903,425.243762,3
1,406.249465,3869.218929,3876.745284,377.311642,2
1,494.142993,3778.144462,3786.465502,467.16255,2
1,906.307666,3345.648575,3352.24134,901.478546,2
1,225.640363,4132.016628,4141.099371,112.623731,2
1,415.939237,3862.268353,3869.485237,384.715263,2
1,310.352647,3996.044191,4004.930212,248.748011,1
1,243.268619,4095.071966,4103.361183,150.960305,1
1,362.23904,3927.088534,3935.5795,318.161323,1
1,238.173429,4113.014593,4122.192378,131.445178,1
1,485.470666,3784.191565,3792.119328,461.618737,3
1,2194.900014,2047.497271,2053.35092,2201.450736,3
1,262.502629,4054.101614,4062.162724,192.165587,3
1,359.450801,3932.084532,3940.607314,313.04488,2
1,231.000383,4111.036781,4119.772202,134.183922,2
1,888.526496,3363.506565,3370.701114,883.016859,2
1,483.668363,3787.180099,3795.187742,458.535658,3
1,561.32099,3705.19053,3713.325598,540.337964,2
1,281.563156,4028.061336,4036.633374,217.184944,1
1,302.923992,3998.097232,4006.329617,247.636934,1
1,354.408926,3936.088331,3944.559925,309.140676,1
1,312.717537,3990.097629,3993.642573,271.658613,1
1,257.481271,4070.034203,4078.906839,174.792753,1
1,218.627735,4149.014601,4158.109426,95.655249,1
1,298.349737,4013.047446,4021.844602,231.831318,1
1,212.433692,4153.030728,4161.775222,92.404126,1
1,481.043386,3792.150573,3800.384191,453.293561,1
1,208.775587,4184.010882,4193.129738,60.759928,1
1,355.7351,3934.103358,3942.423366,311.369707,1
1,248.365306,4076.069099,4084.434967,169.713134,1
1,203.786913,4200.012543,4209.047636,45.202067,1
1,215.20362,4175.28447,4181.741623,84.462206,1
1,223.230367,4151.006534,4160.347461,93.27199,1
1,330.905011,3956.205054,3963.629776,290.824872,1
0,206.127805,4237.011529,4245.993523,12.107283,0
0,208.069785,4239.01268,4247.957862,11.50371,0
0,470.61198,3807.091324,3815.849316,437.780175,0
0,211.282269,4182.009214,4191.184558,62.624222,0
0,747.933439,3519.058082,3529.029753,725.236131,0
0,225.293949,4131.020887,4140.008092,113.772916,0
0,233.71955,4112.025783,4120.955472,132.840181,0
0,209.612572,4201.040716,4209.514224,46.793059,0
0,239.1661,4098.103998,4106.044447,148.901334,0
0,213.364699,4155.020801,4163.955451,89.985646,0
0,237.73849,4097.043102,4105.710535,148.235434,0
0,232.070341,4118.020953,4127.036467,126.694496,0
0,228.184453,4109.064569,4117.41193,137.043009,0
0,205.702561,4192.020217,4200.884907,53.603516,0
0,210.084249,4238.000585,4247.496321,6.384566,0
0,208.614062,4211.003177,4220.359937,33.409577,0
0,256.541136,4065.053641,4073.642351,180.252426,0
0,209.039056,4240.002191,4249.353127,5.890915,0
0,209.606892,4228.00104,4237.469292,16.279568,0
0,2070.866858,2180.000457,2198.509495,2063.847835,0
0,360.451858,3929.083616,3937.623776,316.089838,0
0,239.572567,4106.016733,4115.156862,138.522777,0
0,212.604889,4169.010987,4178.1606,75.628465,0
0,209.067439,4190.007815,4199.212426,54.59348,0
0,206.639365,4211.005229,4220.262788,33.681619,0
0,215.716905,4140.045991,4148.573851,105.847987,0
0,244.329401,4092.199983,4095.271664,182.276506,0
0,209.651925,4205.004072,4214.32806,39.419384,0
0,205.60204,4185.014475,4194.031235,60.031227,0
0,210.033015,4241.023146,4249.718814,14.325877,0
0,248.583513,4080.043282,4088.746752,165.091141,0
0,212.002354,4243.000235,4252.539594,1.721105,0
0,214.340106,4220,4229.68675,23.983157,0
0,585.111967,3677.286067,3684.838938,568.841286,0
0,220.578302,4147.032737,4155.755286,98.401912,0
0,208.486281,4212.007365,4221.178627,32.938571,0
0,215.078583,4151.023106,4159.918028,94.052353,0
0,209.363775,4197.010425,4206.113883,47.92046,0
0,218.404189,4152.030056,4160.788868,93.335831,0
0,213.91866,4156.025407,4164.862783,89.181217,0
0,213.720977,4177.00534,4186.335151,67.322045,0
0,338.364081,3970.01327,3979.57058,274.16624,0
0,209.156827,4211.422617,4217.083471,68.17525,0
0,213.113293,4237,4246.647972,6.983739,0
0,641.468862,3627.09134,3636.332356,617.496174,0
0,212.005144,4243.008782,4252.062323,8.688574,0
0,209.382412,4220.003024,4229.348059,24.517414,0
0,220.877464,4133.036585,4141.725607,112.342562,0
0,207.089362,4238.00493,4247.215205,8.814188,0
0,248.681631,4081.040105,4089.790459,164.003857,0
0,212.002147,4243.000065,4252.584391,1.239897,0
0,218.04951,4157.010952,4166.188906,87.526857,0
0,406.285084,3875.114057,3883.470999,370.215551,0
0,210.113422,4237.000284,4246.543653,7.154254,0
0,441.786231,3840.068365,3849.008184,404.682608,0
0,242.73529,4094.031185,4102.901169,150.859627,0
0,212.002792,4243.000887,4252.450705,2.916909,0
0,212.003262,4243.001948,4252.362755,4.18718,0
0,212.006371,4243.014772,4251.895812,11.240094,0
0,269.992551,4049.043613,4057.813574,195.948108,0
0,209.433684,4201.003246,4210.378843,43.306769,0
0,220.024269,4140.020876,4148.987828,104.83234,0
0,214.69514,4161.020494,4169.948321,84.018618,0
0,203.029144,4199.01437,4208.002614,46.304389,0
0,246.479131,4088.031231,4096.914205,156.811416,0
0,344.469874,3959.024226,3968.349531,285.343254,0
0,194.9307,4225.02752,4233.672401,24.429569,0
0,331.02173,3962.091865,3970.463953,283.278658,0
0,208.787391,4226.004835,4235.246038,19.115259,0
0,212.002569,4243.000509,4252.495032,2.303164,0
0,223.230097,4137.018647,4146.042209,107.730625,0
0,212.801928,4174.009315,4183.199493,70.558857,0
0,208.020894,4215.003174,4224.351074,29.47179,0
0,277.040512,4048.021256,4057.193611,196.424052,0
0,211.589206,4175.018088,4183.96869,70.07594,0
0,246.216656,4078.064802,4086.47868,167.616274,0
0,210.021385,4241.00099,4250.4448,4.165637,0
0,2017.602057,2230.190294,2244.755889,2014.094853,0
0,243.973262,4092.031201,4100.90551,152.869974,0
0,211.03615,4240.000078,4249.58645,4.074089,0
0,213.132068,4173.009317,4182.201693,71.56584,0
0,209.955369,4174.012684,4183.102198,70.76533,0
0,207.626653,4211.00414,4220.311244,33.530793,0
0,208.020894,4215.003174,4224.351074,29.464433,0
0,209.344291,4190.072431,4198.149592,59.353181,0
0,207.477556,4212.005149,4221.26391,32.661945,0
0,214.153757,4149.028106,4157.829482,96.253038,0
0,210.573373,4178.010897,4187.142821,66.713629,0
0,206.357425,4213.010385,4222.079346,32.394275,0
0,213.909573,4168.010923,4177.164708,76.594399,0
0,305.443068,3994.082256,4002.483729,251.32624,0
0,209.151816,4214.002338,4223.402183,30.309705,0
0,205.691252,4192.018144,4200.92954,53.441097,0
0,211.00904,4242.00026,4251.536899,2.485175,0
0,567.961011,3703.098769,3712.049973,541.656915,0
0,205.370108,4207.012232,4216.040441,38.372016,0
0,335.987922,3970.019477,3979.420686,274.264789,0
0,220.118634,4138.025621,4146.899324,106.975994,0
0,207.202077,4222.01318,4230.982037,24.404933,0
0,4062.809145,31.887781,254.206609,4213.248969,0
0,230.98593,4099.064045,4107.4402,146.84461,0
0,260.725334,4058.053579,4066.659194,187.182592,0
0,206.96231,4224.003167,4233.331194,20.649826,0
0,204.924751,4204.009249,4213.133988,40.974184,0
0,207.272445,4221.003169,4230.337812,23.581323,0
0,682.609745,3575.328603,3582.88836,670.780039,0
0,211.009887,4242.00094,4251.447518,3.460617,0
0,219.556838,4134.046022,4142.586752,111.799543,0
0,207.272445,4221.003169,4230.337812,23.581323,0
0,521.375964,3740.345089,3747.393761,506.634056,0
0,219.445268,4163.005289,4172.369351,81.252607,0
0,224.45345,4146.007898,4155.309976,98.314198,0
0,362.006288,3936.075439,3944.69213,308.952554,0
0,221.95976,4136.023189,4144.950301,108.864818,0
0,255.731411,4076.026011,4085.034394,168.624632,0
0,206.96231,4224.003167,4233.331194,20.641919,0
0,212.005441,4243.010141,4252.020343,9.329657,0
0,213,4244.000052,4253.58731,0.666641,0
0,210.037166,4240.000585,4249.491852,4.563785,0
0,209.039919,4240.002925,4249.308767,6.382915,0
0,205.702561,4192.020217,4200.884907,53.603516,0
0,217.534214,4156.012676,4165.143215,88.623577,0
0,202.268077,4198.01443,4207.003328,47.325953,0
0,240.655981,4100.023418,4109.028231,144.676274,0
0,208.616681,4228.003018,4237.33041,16.770526,0
0,244.925885,4093.025903,4101.996953,151.732879,0
0,248.936168,4065.126556,4072.928922,181.94664,0
0,199.500276,4230.020036,4238.805256,19.106038,0
0,209.944265,4224.000621,4233.523473,20.114065,0
0,225.943775,4135.014592,4144.141648,109.556622,0
0,1099.821921,3162.006859,3174.329693,1081.954641,0
0,222.699347,4133.042523,4141.63772,112.568775,0
