Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)"
org.apache.tools.ant.DirectoryScanner,1,2,1,0,1,0,1,0,0,34,33,67,27,6,1171,0.191052322,25,3085.014263,272.0012029,277.9082582,169.8499338,160.002045,3077.162492,3073.136834,3077.426522,63.95310782,174.5680383,8,99,1179.892285,220.3202215,3073.703831,3080.887859,1172.837264,3073.528591,1173.291994,8568274.08,9443475
org.apache.tools.ant.taskdefs.War,1,1,1,0,1,0,0,0,0,9,9,34,0,9,166,0.511234948,4,4088.512321,293.0004077,304.2581141,201.4447815,184.0006492,4082.148944,4078.082883,4082.517361,86.02325267,208.7773934,5,16,243.9438817,262.497619,4078.068269,4086.439648,167.7137057,4078.82434,167.8184007,1381486.01,16630263
org.apache.tools.ant.taskdefs.ExecuteWatchdog,1,1,1,0,1,0,0,0,0,8,8,22,5,3,141,0.888399394,5,4113.377323,292.0000213,303.567126,202.7658748,185.0000337,4107.168611,4103.124785,4107.259183,88.95504483,204.5922775,5,97,237.4019246,267.3013281,4103.043039,4111.697825,142.2503763,4103.839422,142.3817822,1176949.009,16834800
org.apache.tools.ant.types.CommandlineJava,1,1,1,0,0,1,0,0,0,27,10,60,1,9,401,0.008988287,13,3853.479596,284.0017291,291.1219676,193.8685121,183.0026833,3847.354676,3843.087951,3847.743495,69.07966416,201.4373352,4,75,428.7367598,244.7243347,3843.222669,3850.784206,403.1685012,3843.53288,403.5686546,3242947.025,14768802
org.apache.tools.ant.taskdefs.Tstamp,1,1,1,0,0,1,0,0,0,4,6,22,1,6,142,0.970704995,5,4112.379846,292.0000015,304.6850833,206.2474242,187.0000023,4106.260221,4102.10251,4106.444326,91.70605214,209.8809186,4,57,237.8867676,270.1147904,4102.031125,4110.883847,142.9219081,4102.922495,142.9489559,1185154.009,16826595
org.apache.tools.ant.AntClassLoader,1,4,1,0,0,0,3,1,0,42,20,115,14,8,1369,0.208178051,22,2888.122227,275.00114,279.3313445,179.8054504,173.0018121,2880.20034,2875.12678,2880.50499,55.94640292,184.6212339,11,35,1371.252335,203.1944881,2876.194951,2882.171577,1371.509222,2875.417535,1372.064654,9746026.096,8265723
org.apache.tools.ant.types.AbstractFileSet,1,2,1,0,0,0,2,0,0,41,52,102,26,26,698,0.017387141,17,3557.037531,280.0017242,284.4292531,149.6028075,141.0034238,3548.802192,3546.011421,3549.883378,50.80354318,173.3666635,6,196,707.1338226,199.6922632,3547.052484,3551.618364,703.4433164,3546.352492,703.9456194,5437522.046,12574227
org.apache.tools.ant.util.FileUtils,1,2,1,0,0,0,2,0,0,29,28,120,25,6,1348,0.489026131,30,2908.282139,267.0004889,274.1039949,176.2640065,165.0007912,2900.69664,2896.145197,2900.811093,68.44705983,178.1375873,6,245,1350.645447,191.1491564,2897.55597,2902.301501,1351.322699,2896.663598,1351.650689,9624840.095,8386909
org.apache.tools.ant.taskdefs.Available,1,2,1,0,0,0,2,0,0,20,14,67,1,13,812,0.002835027,4,3444.484432,293.0016968,301.4796842,192.5668715,179.0027775,3436.664808,3432.070512,3437.310722,74.33034374,203.7694776,6,109,823.9781718,240.4100663,3432.304045,3440.410005,813.341812,3432.734333,813.5249055,6232979.053,11778770
org.apache.tools.ant.taskdefs.ExecuteJava,1,2,1,0,0,0,2,0,0,10,10,47,1,9,329,0.892833719,2,3926.098572,295.0000195,305.9182897,200.124961,183.0000314,3919.274678,3915.086334,3919.656362,85.07055895,207.4656598,6,57,368.1445267,253.0553299,3915.139407,3923.169892,330.6965271,3915.837841,330.7917444,2684358.02,15327391
org.apache.tools.ant.IntrospectionHelper,1,2,1,0,0,0,1,1,0,24,25,78,16,21,1203,0.621822276,4,3055.08265,293.0002441,300.5628054,180.8673547,168.0004256,3045.637043,3041.032226,3046.088804,68.44705983,188.3215336,5,370,1209.718475,221.8129843,3041.679322,3049.078877,1204.812124,3041.73799,1204.953362,8763933.083,9247816
org.apache.tools.ant.util.CollectionUtils,1,2,1,0,0,0,1,1,0,3,3,12,3,0,90,0.889577594,3,4164.390952,294.0000207,306.8876016,209.389589,190.0000321,4158.342939,4154.147446,4158.297368,94.70480452,208.4826132,5,67,220.2104541,275.9021566,4154.012504,4163.152411,90.55625438,4154.932009,90.61849687,755832.0054,17255917
org.apache.tools.ant.types.FilterSet,1,2,1,0,0,0,1,1,0,19,11,61,7,5,503,0.48212159,5,3752.378579,292.0004592,300.7457398,195.7242959,182.0007368,3745.424542,3741.120287,3745.571518,78,198.5170018,5,83,525.1576858,239.434751,3741.29097,3748.654425,505.1674773,3741.692799,505.4409954,4016516.032,13995233
org.apache.tools.ant.taskdefs.XmlProperty,1,1,1,0,0,0,1,0,0,9,4,41,0,4,334,0.523742697,4,3920.962764,293.0003871,304.2581141,206.0218435,189.0006001,3914.565238,3910.122888,3914.711228,87.66413178,208.7773934,3,15,375.2768785,257.7750958,3910.102554,3918.487974,335.2038119,3910.859752,335.3137573,2723477.021,15288272
org.apache.tools.ant.types.XMLCatalog,1,1,1,0,0,0,1,0,0,21,10,82,1,9,719,0.057508337,3,3537.239178,294.0015107,302.218464,195.9311103,183.002427,3529.747016,3525.095885,3530.170817,74.67261881,203.4232042,3,277,729.9315407,231.6074265,3525.421085,3532.6006,721.0939177,3525.694967,721.3413306,5585993.046,12425756
org.apache.tools.ant.types.PatternSet,1,1,1,0,0,0,1,0,0,21,12,62,7,6,630,0.296945367,3,3625.938775,294.0008406,302.218464,194.0644223,181.0013654,3618.529674,3614.116351,3618.73196,75.76938696,197.8004044,3,152,647.3755777,238.8011725,3614.309429,3621.881003,631.7845361,3614.677856,632.0694341,4950602.04,13061147
org.apache.tools.ant.util.JavaEnvUtils,1,1,1,0,0,0,1,0,0,11,15,26,14,2,361,0.893396363,21,3892.796553,276.0000206,287.3604009,195.1512234,178.0000319,3887.077694,3883.140224,3887.077694,86.53900855,195.1512234,3,89,406.7125636,258.172423,3883.10039,3891.573204,362.0663267,3883.824018,362.2292504,2933873.022,15077876
org.apache.tools.ant.taskdefs.Basename,1,1,1,0,0,0,1,0,0,5,5,13,0,5,71,0.918149939,3,4183.343758,294.0000114,306.320094,206.7365473,188.0000178,4177.232696,4173.107835,4177.414631,91.08238029,210.3806075,3,47,212.1739424,277.2435752,4173.009386,4182.199541,71.56984676,4173.886079,71.63827736,597620.0043,17414129
org.apache.tools.ant.types.Mapper,1,1,1,0,0,0,1,0,0,11,14,40,5,9,286,0.049913203,8,3968.536884,289.0015617,299.8683044,196.0637651,179.0025214,3962.045558,3958.085396,3962.415046,84.11896338,203.3937069,3,117,334.1124882,254.7508587,3958.124103,3966.189859,287.7550316,3958.808407,287.8784858,2345812.018,15665937
org.apache.tools.ant.taskdefs.Java,1,1,1,0,0,0,1,0,0,31,20,103,0,20,673,0.013904354,25,3581.344021,272.0017875,278.5390457,183.109257,173.0028103,3575.188107,3571.031504,3576.157854,61.84658438,201.1566554,3,97,681.0353206,221.2781056,3571.588183,3577.849214,676.2103547,3571.504025,676.5833128,5259598.043,12752151
org.apache.tools.ant.types.EnumeratedAttribute,1,0,0,0,0,0,0,0,0,8,46,14,45,1,87,0.966365194,45,4164.631196,252.0000022,265.3167918,168.8135066,147.0000038,4159.598298,4157.13904,4159.598298,89.69392399,168.8135066,0,51,217.853827,247.406548,4157.180024,4164.355773,95.20441103,4157.82852,95.34854676,730901.0064,17280848
org.apache.tools.zip.ZipShort,1,0,0,0,0,0,0,0,0,7,6,8,6,0,89,0.948159828,4,4165.317995,293.0000046,304.8032152,205,187.0000072,4159.205934,4155.14741,4159.161093,91,204.0882162,0,32,223.5218105,276.8049855,4155.010384,4164.210129,89.46446911,4155.849011,89.60928645,747519.0054,17264230
org.apache.tools.ant.taskdefs.Delete,1,0,0,0,0,0,0,0,0,21,11,56,0,11,715,0.497562166,7,3540.895508,290.0004352,298.3286778,194.9974359,182.0006935,3533.689998,3529.081609,3534.21915,74,204.3624232,0,20,731.0884959,248.0181445,3529.205406,3537.704623,716.0597509,3529.694179,716.2940519,5557751.046,12453998
org.apache.tools.ant.util.regexp.Regexp,1,0,0,0,0,0,0,0,0,1,5,1,3,2,3,1,1,4251.31709,296,309.3800252,208.4322432,188,4245.164897,4241.128388,4245.2093,95.85927185,209.3346603,0,32,212.0218185,284.0158446,4241.000509,4250.4995,3.649631,4241.954856,3.666693945,25456.00027,17986293
org.apache.tools.ant.util.facade.FacadeTaskHelper,1,0,0,0,0,0,0,0,0,8,3,18,2,1,108,0.919590963,3,4146.43606,294.000011,305.4914074,207.3378885,190.000017,4140.36182,4136.139746,4140.36182,89.69392399,207.3378885,0,31,222.8565929,272.2590678,4136.02314,4144.951266,108.8712231,4136.832726,109.0241987,905058.0065,17106691
org.apache.tools.ant.types.Path,1,0,0,0,0,0,0,0,0,28,44,96,32,13,1047,0.006091114,79,3204.423973,218.0022657,226.920691,161.7714437,149.0033149,3200.470278,3197.075695,3201.00125,66.73080248,171.9563898,0,443,1053.765108,198.2145302,3198.207603,3203.138773,1050.734039,3197.620678,1051.035201,7790823.071,10220926
org.apache.tools.ant.types.selectors.FilenameSelector,1,0,0,0,0,0,0,0,0,8,9,23,4,5,198,0.780515958,7,4056.379667,290.0000831,301.6438297,201.8539076,184.0001309,4050.181724,4046.111219,4050.365416,88.25531145,205.5066909,0,65,274.3331523,267.2901046,4046.043697,4054.819355,198.9079287,4046.851245,199.0146269,1641443.012,16370306
org.apache.tools.ant.filters.LineContains,1,0,0,0,0,0,0,0,0,8,6,26,1,5,167,0.903853958,1,4087.731033,296.0000156,307.4166554,204.5922775,187.0000247,4081.286317,4077.110374,4081.471548,88.25531145,208.2546518,0,17,250.5680817,267.3013281,4077.043313,4085.753174,168.0719066,4077.844774,168.1840033,1389633.01,16622116
org.apache.tools.ant.util.PackageNameMapper,1,0,0,0,0,0,0,0,0,2,1,6,0,1,20,0.992424242,1,4234.358511,296.0000001,309.0906016,211.6246677,192.0000001,4228.361385,4224.136835,4228.361385,95.27329112,211.6246677,0,15,207.9533462,282.3349075,4224.001673,4233.425209,20.34188435,4224.937514,20.38760896,169366.0012,17842383
org.apache.tools.ant.util.regexp.RegexpMatcher,1,0,0,0,0,0,0,0,0,6,7,6,6,1,10,1,4,4244.125941,293,305.0803173,204.5018337,186,4238.083529,4234.136512,4238.083529,91.54780172,204.5018337,0,135,207.2495504,278.2894177,4234.007194,4243.135751,12.67885494,4234.853126,12.78202081,84786.00097,17926963
org.apache.tools.zip.AsiExtraField,1,0,0,0,0,0,0,0,0,20,4,42,0,4,376,0.600817058,1,3879.309217,296.0002692,304.3961235,201.8960128,189.0004216,3872.61475,3868.124222,3872.762322,77.47257579,204.7071078,0,95,412.592654,257.1089263,3868.108602,3876.535696,377.1196376,3868.651574,377.4385445,3050154.023,14961595
org.apache.tools.ant.taskdefs.Sleep,1,0,0,0,0,0,0,0,0,10,2,20,0,2,130,0.912957371,4,4124.420565,293.0000129,303.9901314,207.4656598,191.0000198,4118.431376,4114.132351,4118.477874,87.46427842,208.3866598,0,66,232.5726706,272.2370291,4114.023338,4122.997575,130.732446,4114.797322,130.9136534,1086560.008,16925189
org.apache.tools.ant.taskdefs.Typedef,1,0,0,0,0,0,0,0,0,2,4,4,0,4,11,0.960957782,0,4243.406415,297.0000026,310.0483833,208.9066777,189.000004,4237.217247,4233.113511,4237.352121,94.24436323,211.6246677,0,35,209.2839796,283.8045102,4233.000619,4242.50327,11.25029106,4233.935521,11.2749584,93251.00067,17918498
org.apache.tools.ant.types.DirSet,1,0,0,0,0,0,0,0,0,3,7,8,3,4,27,0.23043239,1,4227.375663,296.0010004,308.804145,205.7668584,186.001592,4221.099975,4217.113942,4221.233232,93.30058949,208.4826132,0,32,206.7727163,278.8296971,4217.006257,4226.208111,27.97411533,4217.918088,28.01569768,228455.0017,17783294
org.apache.tools.ant.types.selectors.DependSelector,1,0,0,0,0,0,0,0,0,7,13,25,4,9,201,0.372621625,2,4053.748142,295.0006671,306.7262623,198.6353443,180.0010933,4047.004942,4043.0836,4047.368651,87.93179175,205.9126028,0,112,275.1321347,265.8721497,4043.050573,4051.732592,202.0591719,4043.872525,202.1171583,1665712.012,16346037
org.apache.tools.ant.util.DOMElementWriter,1,0,0,0,0,0,0,0,0,8,1,40,1,0,464,0.626927072,5,3791.261531,292.0002383,303.567126,209.1721779,192.0003625,3784.873049,3780.162034,3784.822453,90.0777442,208.2546518,0,62,494.6665112,257.7013776,3780.106634,3788.774208,464.8342249,3780.911134,464.9321454,3723176.029,14288573
org.apache.tools.ant.util.GlobPatternMapper,1,0,0,0,0,0,0,0,0,5,3,15,2,1,137,0.955286348,2,4117.581086,295.0000034,307.2800026,208.5569467,190.0000053,4111.392586,4107.140733,4111.392586,92.47702417,208.5569467,0,59,240.6952583,274.415743,4107.016605,4116.157553,137.4844844,4107.900315,137.5717893,1144102.008,16867647
org.apache.tools.ant.taskdefs.Javac,1,0,0,0,0,0,0,0,0,72,27,116,11,18,900,3.01801E-05,7,3356.551206,290.001724,290.6217473,167.0838113,166.0030118,3348.11768,3344.043211,3348.894892,25.49509757,181.9945054,0,134,904.5718822,205.353354,3344.974606,3350.29939,903.6992176,3344.053977,904.5323138,6829316.06,11182433
org.apache.tools.ant.types.FileSet,1,0,0,0,0,0,0,0,0,3,30,8,26,4,27,0.23043239,8,4226.891293,289.0010246,302.1009765,185.2376852,163.0018167,4220.14905,4217.113942,4220.265987,93.30058949,187.8829423,0,8,206.9013226,263.7821071,4217.059027,4225.242005,35.0373135,4217.918088,35.07052216,228455.0028,17783294
org.apache.tools.ant.taskdefs.Copydir,1,0,0,0,0,0,0,0,0,8,7,37,0,7,277,0.95539769,3,3977.87946,294.0000034,305.4914074,203.6786685,186.0000053,3971.35808,3967.098814,3971.643614,87.59566199,209.1721779,0,33,327.8530301,260.4611295,3967.082815,3975.541347,278.2128653,3967.868193,278.2903586,2274484.017,15737265
org.apache.tools.ant.types.selectors.PresentSelector,1,0,0,0,0,0,0,0,0,7,13,25,4,9,199,0.378378469,2,4055.742842,295.0006549,306.7262623,198.6353443,180.0010734,4049.002964,4045.083559,4049.366494,87.93179175,205.9126028,0,97,273.6768545,265.8721497,4045.050548,4053.728284,200.0693545,4045.872094,200.1277231,1649536.012,16362213
org.apache.tools.ant.taskdefs.condition.Equals,1,0,0,0,0,0,0,0,0,6,3,11,1,2,74,0.966365194,0,4180.56324,297.0000019,308.9239389,208.146583,190.000003,4174.326293,4170.130573,4174.371929,91.1811384,209.0598001,0,23,215.0862791,278.0017986,4170.007853,4179.256513,74.43892192,4170.866217,74.54982188,622647.0044,17389102
org.apache.tools.ant.TaskContainer,1,0,0,0,0,0,0,0,0,1,9,1,8,1,1,1,1,4253.312239,296,309.3800252,204.8316382,184,4246.987756,4243.136222,4246.987756,96.20810777,204.8316382,0,15,212.0037632,280.713377,4243.003412,4252.275744,5.471701174,4243.954406,5.477037126,8488.0018,18003261
org.apache.tools.ant.taskdefs.Untar,1,0,0,0,0,0,0,0,0,3,8,22,0,8,104,0.985638918,1,4150.568154,296.0000003,308.804145,204.8633691,185.0000006,4144.131393,4140.088043,4144.449783,92.04890005,211.2060605,0,51,217.3837139,270.8228203,4140.028167,4148.848635,105.1551014,4140.93516,105.1551867,871958.0063,17139791
org.apache.tools.ant.types.selectors.SizeSelector,1,0,0,0,0,0,0,0,0,8,10,28,4,6,365,0.793954727,7,3889.825317,290.0000732,301.6438297,200.9427779,183.000116,3883.314306,3879.108403,3883.553141,87.92041856,205.5066909,0,141,408.9370126,263.75936,3879.064301,3887.957047,365.7025795,3879.887885,365.7701745,2964923.023,15046826
org.apache.tools.ant.taskdefs.FixCRLF,1,0,0,0,0,0,0,0,0,18,12,82,1,12,1238,0.104288088,5,3020.149003,292.0013738,300.9867107,195.1665955,181.0022163,3011.444338,3006.087989,3012.061918,76.53757247,204.4749373,0,115,1243.110728,231.6074265,3006.493777,3014.909286,1239.238731,3006.886263,1239.287613,8975582.085,9036167
org.apache.tools.ant.types.selectors.ContainsSelector,1,0,0,0,0,0,0,0,0,7,9,28,4,5,215,0.817801013,7,4039.42335,290.0000572,301.9205193,202.2671501,184.0000902,4033.19935,4029.111689,4033.383815,89.19641248,205.9126028,0,58,283.5363802,263.75936,4029.061907,4037.624301,216.1735306,4029.875556,216.2564208,1778723.013,16233026
org.apache.tools.ant.taskdefs.Input,1,0,0,0,0,0,0,0,0,6,8,19,0,8,88,0.84709419,3,4166.385964,294.0000398,306.0408469,203.5927307,185.0000632,4160.115503,4156.087704,4160.43267,89.18520057,209.9738079,0,43,212.9508102,272.9468813,4156.020796,4164.953301,89.01686943,4156.869134,89.08192155,739219.0053,17272530
org.apache.tools.ant.util.JAXPUtils,1,0,0,0,0,0,0,0,0,8,2,21,1,1,89,0.96148752,4,4165.317995,293.0000025,304.5291447,208.2546518,191.0000039,4159.387695,4155.139107,4159.387695,89.69392399,208.2546518,0,16,211.5671884,270.8228203,4155.028065,4163.816759,90.29006987,4155.828919,90.44519845,747532.0054,17264217
org.apache.tools.zip.ZipEntry,1,0,0,0,0,0,0,0,0,23,5,68,2,3,462,0.564084289,3,3793.410075,294.0003232,301.7614952,199.919984,188.0005054,3786.669777,3782.135376,3786.7696,75.15317691,201.801883,0,48,483.7251516,239.0083681,3782.2931,3789.544696,464.3862107,3782.611267,464.7556106,3708080.029,14303669
org.apache.tools.ant.taskdefs.Echo,1,0,0,0,0,0,0,0,0,7,7,21,0,7,144,0.892809301,3,4110.52746,294.0000195,305.7646153,204.0882162,186.0000309,4104.216856,4100.095609,4104.493148,88.54377448,209.5709904,0,23,239.8547501,271.529004,4100.025872,4108.981382,144.7672813,4100.860398,144.8492782,1201557.009,16810192
org.apache.tools.ant.taskdefs.Replace,1,0,0,0,0,0,0,0,0,22,9,92,2,9,837,0.827746326,4,3419.575705,293.0000506,301.0149498,196.5120861,184.0000806,3411.964976,3407.099206,3412.293803,73.73601562,202.1410399,0,32,844.6687663,225.2576303,3407.54312,3414.43846,839.2370405,3407.698637,839.4841617,6403979.055,11607770
org.apache.tools.ant.taskdefs.CVSPass,1,0,0,0,0,0,0,0,0,6,3,30,0,3,1262,0.862854201,1,2996.654802,296.0000318,307.9626601,208.146583,190.0000495,2988.046854,2982.171692,2988.174694,90.82400564,209.9738079,0,75,1273.295383,265.2413995,2982.072911,2993.773037,1262.128884,2983.211189,1261.936617,9119242.087,8892507
org.apache.tools.ant.util.DateUtils,1,0,0,0,0,0,0,0,0,7,1,20,1,0,197,0.919102972,7,4057.377108,290.0000113,301.9205193,209.5709904,192.000017,4051.551925,4047.151344,4051.504659,91,208.655218,0,53,275.6049653,271.5326868,4047.026197,4056.098988,197.5144633,4047.871663,197.6410028,1633347.012,16378402
org.apache.tools.ant.types.selectors.DepthSelector,1,0,0,0,0,0,0,0,0,7,8,26,4,4,261,0.820359657,7,3993.543414,290.0000556,301.9205193,203.1772625,185.0000872,3987.29407,3983.120636,3987.434388,89.53770156,205.9126028,0,101,320.9272047,265.1659858,3983.054983,3991.81688,261.8453688,3983.885666,261.9272796,2147273.016,15864476
