@relation 'ImbricationACP-weka.filters.unsupervised.attribute.Remove-R1-2,5-10,30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1'

@attribute #BugsBinary numeric
@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric
@attribute 'd(RFC,d(LOC, Ce))' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute #Bugs numeric

@data
0,7,13,25,4,9,201,0.372622,2,4053.748142,295.000667,306.726262,198.635344,180.001093,4047.004942,4043.0836,4047.368651,87.931792,205.912603,0,275.132135,3787.766246,0
0,8,1,40,1,0,464,0.626927,5,3791.261531,292.000238,303.567126,209.172178,192.000363,3784.873049,3780.162034,3784.822453,90.077744,208.254652,0,494.666511,3568.314288,0
0,5,3,15,2,1,137,0.955286,2,4117.581086,295.000003,307.280003,208.556947,190.000005,4111.392586,4107.140733,4111.392586,92.477024,208.556947,0,240.695258,3822.265109,0
0,72,27,116,11,18,900,0.00003,7,3356.551206,290.001724,290.621747,167.083811,166.003012,3348.11768,3344.043211,3348.894892,25.495098,181.994505,0,904.571882,3158.283016,0
0,3,30,8,26,4,27,0.230432,8,4226.891293,289.001025,302.100977,185.237685,163.001817,4220.14905,4217.113942,4220.265987,93.300589,187.882942,0,206.901323,3856.032434,0
0,8,7,37,0,7,277,0.955398,3,3977.87946,294.000003,305.491407,203.678669,186.000005,3971.35808,3967.098814,3971.643614,87.595662,209.172178,0,327.85303,3735.061068,0
0,7,13,25,4,9,199,0.378378,2,4055.742842,295.000655,306.726262,198.635344,180.001073,4049.002964,4045.083559,4049.366494,87.931792,205.912603,0,273.676855,3789.221492,0
0,6,3,11,1,2,74,0.966365,0,4180.56324,297.000002,308.923939,208.146583,190.000003,4174.326293,4170.130573,4174.371929,91.181138,209.0598,0,215.086279,3847.864376,0
0,1,9,1,8,1,1,1,1,4253.312239,296,309.380025,204.831638,184,4246.987756,4243.136222,4246.987756,96.208108,204.831638,0,212.003763,3850.955477,0
0,3,8,22,0,8,104,0.985639,1,4150.568154,296,308.804145,204.863369,185.000001,4144.131393,4140.088043,4144.449783,92.0489,211.206061,0,217.383714,3845.520218,0
0,8,10,28,4,6,365,0.793955,7,3889.825317,290.000073,301.64383,200.942778,183.000116,3883.314306,3879.108403,3883.553141,87.920419,205.506691,0,408.937013,3653.987214,0
0,18,12,82,1,12,1238,0.104288,5,3020.149003,292.001374,300.986711,195.166596,181.002216,3011.444338,3006.087989,3012.061918,76.537572,204.474937,0,1243.110728,2819.79222,0
0,7,9,28,4,5,215,0.817801,7,4039.42335,290.000057,301.920519,202.26715,184.00009,4033.19935,4029.111689,4033.383815,89.196412,205.912603,0,283.53638,3779.391833,0
0,6,8,19,0,8,88,0.847094,3,4166.385964,294.00004,306.040847,203.592731,185.000063,4160.115503,4156.087704,4160.43267,89.185201,209.973808,0,212.95081,3849.953012,0
0,8,2,21,1,1,89,0.961488,4,4165.317995,293.000003,304.529145,208.254652,191.000004,4159.387695,4155.139107,4159.387695,89.693924,208.254652,0,211.567188,3851.392035,0
0,23,5,68,2,3,462,0.564084,3,3793.410075,294.000323,301.761495,199.919984,188.000505,3786.669777,3782.135376,3786.7696,75.153177,201.801883,0,483.725152,3579.227044,0
0,7,7,21,0,7,144,0.892809,3,4110.52746,294.00002,305.764615,204.088216,186.000031,4104.216856,4100.095609,4104.493148,88.543774,209.57099,0,239.85475,3823.056932,0
0,22,9,92,2,9,837,0.827746,4,3419.575705,293.000051,301.01495,196.512086,184.000081,3411.964976,3407.099206,3412.293803,73.736016,202.14104,0,844.668766,3218.245407,0
0,6,3,30,0,3,1262,0.862854,1,2996.654802,296.000032,307.96266,208.146583,190.00005,2988.046854,2982.171692,2988.174694,90.824006,209.973808,0,1273.295383,2789.6973,0
0,7,1,20,1,0,197,0.919103,7,4057.377108,290.000011,301.920519,209.57099,192.000017,4051.551925,4047.151344,4051.504659,91,208.655218,0,275.604965,3787.365905,0
0,7,8,26,4,4,261,0.82036,7,3993.543414,290.000056,301.920519,203.177263,185.000087,3987.29407,3983.120636,3987.434388,89.537702,205.912603,0,320.927205,3742.010349,0
0,8,9,31,4,5,181,0.408464,1,4073.767912,296.000591,307.416655,201.853908,184.000951,4067.164246,4063.110754,4067.34717,88.255311,205.506691,0,256.612884,3806.314488,0
0,6,14,24,14,0,116,0.947994,7,4138.173993,290.000005,302.200265,198.156504,179.000008,4131.879112,4128.148374,4131.835912,91.923882,197.253644,0,221.976254,3840.992358,0
0,5,3,9,1,2,64,0.973742,0,4190.538032,297.000001,309.200582,208.556947,190.000002,4184.315954,4180.130261,4184.361481,92.11406,209.468375,0,213.770583,3849.180023,0
0,2,3,8,0,3,28,0.984906,0,4226.448272,297,310.048383,209.81182,190.000001,4220.279138,4216.12144,4220.369652,94.57801,211.624668,0,206.887327,3856.054599,0
0,4,3,17,0,3,152,0.935319,4,4102.476447,293.000007,305.643583,208.97129,190.000011,4096.408671,4092.12512,4096.501922,92.698436,210.791366,0,247.878524,3815.064828,0
0,2,4,4,0,4,11,0.883743,0,4243.406415,297.000023,310.048383,208.906678,189.000036,4237.217247,4233.113511,4237.352121,94.244363,211.624668,0,209.28398,3853.649854,0
0,7,2,8,2,0,147,0.94816,3,4107.535149,294.000005,305.764615,208.655218,191.000007,4101.449744,4097.149497,4101.403296,91,207.740222,0,252.169048,3810.800828,0
0,6,15,8,12,3,39,0.916355,12,4214.647079,285.000012,297.405447,197.253644,178.00002,4208.765734,4205.121758,4208.850793,90.824006,199.060292,0,208.751937,3854.190053,0
0,2,4,12,0,4,55,0.993163,0,4199.515448,297,310.048383,208.906678,189,4193.261499,4189.114704,4193.397787,94.244363,211.624668,0,208.350349,3854.583455,0
0,3,4,20,0,4,124,0.972456,0,4130.691104,297.000001,309.762813,208.482613,189.000002,4124.332795,4120.116625,4124.47136,93.300589,211.206061,0,229.282322,3833.652163,0
0,6,5,22,0,5,137,0.908099,3,4117.509563,294.000014,306.040847,206.322563,188.000023,4111.300646,4107.109568,4111.485498,90.138782,209.973808,0,234.916548,3828.010153,0
0,11,11,38,4,7,391,0.796205,7,3863.898161,290.000072,300.832179,198.806439,182.000114,3857.296074,3853.101738,3857.583829,84.75848,204.313485,0,428.072175,3634.844817,0
0,4,5,9,0,5,48,0.954734,3,4206.287199,294.000004,306.602348,207.154532,188.000005,4200.209519,4196.107244,4200.390458,92.02717,210.791366,0,209.539078,3853.386849,0
0,5,4,17,0,4,99,0.932106,3,4155.413457,294.000008,306.320094,207.646334,189.000012,4149.306689,4145.115921,4149.444421,91.416629,210.380608,0,219.496531,3843.437634,0
0,3,6,6,5,1,25,0.981175,2,4229.300888,295.000001,307.845741,206.671237,187.000001,4223.142195,4219.136997,4223.142195,94.339811,206.671237,0,208.517263,3854.441842,0
0,28,31,57,29,4,602,0.47731,63,3649.509556,234.000584,242.332416,173.818871,162.000843,3645.601185,3642.131931,3645.645759,70.213959,174.751252,0,622.470077,3440.478731,0
0,8,4,39,1,3,377,0.877327,1,3878.312133,296.000025,307.416655,206.421898,189.00004,3871.615942,3867.1324,3871.714091,88.955045,208.254652,0,414.796329,3648.153164,0
0,6,6,16,0,6,95,0.892567,4,4159.332879,293.00002,305.080317,205.411782,187.000031,4153.21201,4149.101348,4153.44014,89.810912,209.973808,0,218.627735,3844.290794,0
0,3,0,7,0,0,19,0.977444,0,4235.426071,297.000001,309.762813,212.115535,193.000001,4229.405868,4225.144968,4229.360354,94.704805,211.206061,0,206.864337,3856.10365,0
0,6,10,33,0,10,511,0.92354,3,3744.559387,294.00001,306.040847,201.777105,183.000016,3737.482843,3733.083712,3737.934323,88.600226,209.973808,0,541.131263,3521.766617,0
0,7,9,7,8,1,7,1,1,4247.326806,296,307.688154,202.26715,184,4240.993398,4237.136415,4240.993398,90.620086,202.26715,0,206.127805,3856.831207,0
0,5,11,5,11,0,5,1,2,4249.252405,295,307.280003,201.295802,182,4242.905255,4239.144489,4242.862477,92.84934,200.392116,0,208.069785,3854.898252,0
0,15,3,37,1,2,437,0.466731,2,3818.412497,295.000482,304.632566,204.636263,190.000748,3811.738317,3807.143023,3811.788294,82.855296,205.565075,0,470.61198,3592.34874,0
0,4,5,11,2,3,62,0.94309,5,4192.181771,292.000006,304.685083,207.154532,188.000009,4186.223597,4182.122428,4186.313892,92.698436,208.97129,0,211.282269,3851.659808,0
0,11,3,26,3,0,725,0.347815,4,3531.176858,293.000726,303.725205,206.155281,190.001119,3524.125565,3519.174051,3524.071793,87.321246,205.234013,0,747.933439,3315.060474,0
0,7,5,18,1,4,113,0.926746,1,4141.591119,296.000009,307.688154,205.912603,188.000014,4135.275686,4131.116314,4135.41316,89.537702,208.655218,0,225.293949,3837.640405,0
0,2,9,20,1,8,132,0.033683,0,4122.71185,297.001572,310.048383,204.394227,184.002537,4116.114673,4112.088642,4116.433529,93.005376,210.717821,0,233.719551,3829.184786,0
0,7,20,8,20,0,43,0.955398,0,4211.485486,297.000003,308.650288,192.314846,173.000006,4204.560619,4201.145796,4204.519592,91,191.415778,0,209.612572,3853.355529,0
0,10,22,24,18,4,146,0.881809,20,4107.351093,277.000025,288.600069,189.214164,171.000041,4101.566164,4098.117251,4101.692334,86.729464,191.929675,0,239.1661,3823.768708,0
0,3,5,19,0,5,89,0.954545,0,4165.601277,297.000004,309.762813,207.576492,188.000006,4159.251014,4155.108302,4159.433735,92.973114,211.206061,0,213.364699,3849.561344,0
0,3,9,26,1,8,147,0.001654,1,4107.678785,296.001684,308.804145,203.960781,184.002708,4101.129722,4097.088967,4101.449744,92.0489,210.297408,0,237.73849,3825.165946,0
0,7,5,18,1,4,126,0.926746,1,4128.624468,296.000009,307.688154,205.912603,188.000014,4122.28917,4118.116681,4122.427076,89.537702,208.655218,0,232.070341,3830.864235,0
0,16,22,29,4,18,135,0.858934,1,4119.647679,296.000034,305.353893,186.724396,171.000058,4112.556626,4109.035167,4113.298555,76.902536,202.408004,0,228.184453,3834.662374,0
0,3,6,14,5,2,52,0.488457,5,4202.157541,292.000448,304.97213,206.671237,187.0007,4196.168848,4192.129888,4196.168848,93.984041,206.671237,0,205.702561,3857.247749,0
0,1,1,3,1,0,6,0.992424,1,4248.324376,296,309.380025,212.047165,192,4242.346992,4238.144523,4242.301852,96.56604,211.142132,0,210.084249,3852.883871,0
0,3,4,7,1,3,33,0.988665,0,4221.460648,297,309.762813,208.482613,189,4215.239258,4211.121585,4215.329406,93.637599,210.297408,0,208.614062,3854.327923,0
0,8,9,29,1,8,179,0.903854,1,4075.762628,296.000016,307.416655,201.853908,184.000025,4069.162199,4065.089667,4069.484734,87.281155,208.254652,0,256.541136,3806.363771,0
0,4,6,4,3,4,4,1,1,4250.319517,296,308.520664,206.247424,187,4244.121699,4240.113324,4244.210292,92.357999,208.062491,0,209.039056,3853.89477,0
0,2,4,4,1,3,16,0.972591,2,4238.279014,295.000001,308.133088,208.906678,189.000002,4232.22223,4228.121096,4232.312016,94.57801,210.717821,0,209.606892,3853.335127,0
0,1,2,1,2,0,2064,1,0,2200.138405,297,310.336914,211.142132,191,2188.351206,2180.280945,2188.264152,96.56604,210.23796,0,2070.866858,1992.249752,0
0,8,10,37,0,10,315,0.878285,4,3939.909897,293.000025,304.529145,200.942778,183.000041,3933.259463,3929.079536,3933.688473,86.683332,209.172178,0,360.451858,3702.441691,0
0,7,6,17,0,6,138,0.933862,0,4116.727462,297.000007,308.650288,205,187.000012,4110.256075,4106.10241,4110.486589,88.865066,209.57099,0,239.572567,3823.346562,0
0,6,5,14,0,5,75,0.899803,3,4179.353658,294.000017,306.040847,206.322563,188.000027,4173.236753,4169.107938,4173.418862,90.138782,209.973808,0,212.604889,3850.321131,0
0,6,2,11,1,1,54,0.962705,0,4200.512945,297.000002,308.923939,209.0598,191.000004,4194.351082,4190.137945,4194.351082,91.547802,209.0598,0,209.067439,3853.891687,0
0,2,6,9,1,5,33,0.023657,0,4221.460648,297.001605,310.048383,207.09901,187.002549,4215.150057,4211.106862,4215.329406,93.920179,210.717821,0,206.639365,3856.286475,0
0,9,10,24,4,7,104,0.098299,8,4150.074819,289.001407,300.408056,200.531793,183.002222,4144.042591,4140.094685,4144.266401,86.648716,205.104851,0,215.716905,3847.194134,0
0,14,193,26,192,1,153,0.858608,297,4091,0.141392,77,77,0.141392,4091,4091.141283,4091,84.172442,77,0,244.329401,3818.63111,0
0,5,2,7,2,0,39,0.948049,2,4215.335099,295.000005,307.280003,209.468375,191.000007,4209.335577,4205.145657,4209.29032,92.84934,208.556947,0,209.651925,3853.316178,0
0,4,4,16,0,4,59,0.90379,1,4195.454803,296.000016,308.520664,208.062491,189.000025,4189.265568,4185.114813,4189.401986,92.357999,210.791366,0,205.60204,3857.331675,0
0,3,19,3,19,0,3,1,4,4251.109267,293,305.929731,194.987179,174,4244.56794,4241.144421,4244.527064,94.704805,194.095337,0,210.033015,3852.935103,0
0,8,6,26,1,5,164,0.903854,1,4090.723163,296.000016,307.416655,204.592278,187.000025,4084.283168,4080.110293,4084.468264,88.255311,208.254652,0,248.583513,3814.343609,0
0,1,2,1,2,0,1,1,1,4253.312239,296,309.380025,211.142132,191,4247.296787,4243.144353,4247.251935,96.56604,210.23796,0,212.002354,3850.965845,0
0,0,1,0,1,0,24,1,0,4230.438393,297,310.628395,212.473528,192,4224.365514,4220.14514,4224.320182,97.498718,211.570319,0,214.340106,3848.62819,0
0,29,5,66,2,3,567,0.093028,3,3688.734878,294.001399,300.466304,197.959592,188.002188,3681.802955,3677.139241,3681.905621,69.771054,199.859951,0,585.111967,3477.844399,0
0,11,12,15,9,4,97,0.912785,12,4156.781688,285.000013,296.015202,197.891384,181.000021,4150.948084,4147.115865,4151.035774,85.79627,199.722307,0,220.578302,3842.355899,0
0,5,5,7,5,0,32,0.955342,4,4222.178703,293.000003,305.360443,206.736547,188.000005,4216.193544,4212.145415,4216.149072,92.84934,205.827598,0,208.486281,3854.481773,0
0,3,7,19,1,6,93,0.07476,0,4161.611467,297.001441,309.762813,205.766858,186.002301,4155.165099,4151.1013,4155.391919,92.655275,210.297408,0,215.078583,3847.839846,0
0,3,7,9,5,2,47,0.962522,6,4207.076182,291.000002,304.014802,205.766858,186.000004,4201.119494,4197.129734,4201.163886,93.984041,206.671237,0,209.363775,3853.58667,0
0,7,9,15,8,1,92,0.87766,13,4161.701575,284.000026,296.162118,202.26715,184.000041,4156.075072,4152.139208,4156.075072,90.620086,202.26715,0,218.404189,3844.555302,0
0,9,4,18,3,1,88,0.898902,3,4166.385964,294.000017,305.221231,206.021844,189.000027,4160.295302,4156.139074,4160.295302,88.769364,206.021844,0,213.91866,3849.040655,0
0,3,1,10,0,1,67,0.984079,1,4187.474776,296,308.804145,211.206061,192.000001,4181.410408,4177.138375,4181.410408,94.339811,211.206061,0,213.720977,3849.238331,0
0,8,1,14,1,0,274,0.78713,2,3980.94524,295.000077,306.453912,209.172178,192.000118,3974.640109,3970.154279,3974.591929,90.077744,208.254652,0,338.364081,3724.609514,0
0,5,98,7,98,1,33,0.942057,112,4215.061803,185.000009,204.012255,128.14445,95.000018,4212.071462,4211.137257,4212.049026,92.477024,127.404867,0,209.156827,3853.802303,0
0,0,1,0,1,0,7,1,0,4247.396614,297,310.628395,212.473528,192,4241.348017,4237.144557,4241.302866,97.498718,211.570319,0,213.113293,3849.854952,0
0,21,2,35,2,0,617,0.790635,3,3638.896124,294.000075,302.218464,203.423204,191.000115,3632.025606,3627.168868,3631.973155,78.262379,202.484567,0,641.468862,3421.519302,0
0,1,13,1,13,0,1,1,0,4253.381949,297,310.336914,201.246118,180,4246.816337,4243.144353,4246.77407,96.56604,200.35219,0,212.005144,3850.963055,0
0,4,4,5,3,1,24,0.977444,2,4230.298453,295.000001,307.561376,208.062491,189.000001,4224.230226,4220.136965,4224.230226,93.407708,208.062491,0,209.382412,3853.576726,0
0,7,3,22,3,1,111,0.944513,3,4143.443616,294.000005,305.764615,207.740222,190.000008,4137.364983,4133.139848,4137.31918,90.620086,206.826014,0,220.877464,3842.082123,0
0,6,5,6,4,1,6,1,2,4248.254818,295,307.001629,206.322563,188,4242.167842,4238.136383,4242.167842,91.547802,206.322563,0,207.089362,3855.869687,0
0,8,4,25,1,3,163,0.821803,2,4091.648323,295.000054,306.453912,206.421898,189.000084,4085.374157,4081.125458,4085.46717,88.955045,208.254652,0,248.681631,3814.261749,0
0,1,2,1,1,1,1,1,1,4253.312239,296,309.380025,211.142132,191,4247.296787,4243.136222,4247.296787,96.208108,211.142132,0,212.002147,3850.957093,0
0,4,4,13,1,3,87,0.90756,1,4167.525045,296.000014,308.520664,208.062491,189.000023,4161.29427,4157.123164,4161.385587,92.698436,209.880919,0,218.04951,3844.892801,0
0,10,6,42,1,6,369,0.80006,5,3885.986233,292.000069,303.026402,203.789107,187.000107,3879.509505,3875.108515,3879.70437,86.034877,207.46566,0,406.285085,3656.639059,0
0,2,0,3,0,0,7,0.984906,0,4247.396614,297,310.048383,212.532351,193.000001,4241.393403,4237.144557,4241.348017,95.634722,211.624668,0,210.113422,3852.854699,0
0,14,8,33,0,8,404,0.735026,3,3851.238242,294.000119,303.916107,200.38463,185.00019,3844.453797,3840.094921,3844.797004,81.596569,206.86469,0,441.786231,3621.123575,0
0,7,5,22,1,4,150,0.903854,1,4104.68659,296.000016,307.688154,205.912603,188.000025,4098.314288,4094.117365,4098.453001,89.537702,208.655218,0,242.73529,3820.199636,0
0,1,5,1,4,1,1,1,1,4253.312239,296,309.380025,208.432243,188,4247.162935,4243.136222,4247.162935,96.208108,208.432243,0,212.002792,3850.956449,0
0,1,8,1,6,2,1,1,1,4253.312239,296,309.380025,205.730406,185,4247.031198,4243.128327,4247.074876,95.859272,206.630104,0,212.003262,3850.947279,0
0,1,18,1,17,1,1,1,2,4253.242763,295,308.42341,196.786687,175,4246.607352,4243.136222,4246.607352,96.208108,196.786687,0,212.006371,3850.95287,0
0,4,10,26,1,9,195,0.001987,1,4059.805045,296.001683,308.520664,202.627738,183.002721,4053.133356,4049.083477,4053.502436,90.801982,209.880919,0,269.992551,3792.905709,0
0,6,1,8,0,1,43,0.83638,0,4211.485486,297.000045,308.923939,209.973808,192.00007,4205.385238,4201.137584,4205.385238,91.547802,209.973808,0,209.433684,3853.525457,0
0,3,3,19,0,3,104,0.950389,1,4150.568154,296.000004,308.804145,209.389589,190.000007,4144.35761,4140.12367,4144.449783,93.637599,211.206061,0,220.024269,3842.91811,0
0,4,5,15,4,2,83,0.484757,4,4171.303154,293.000453,305.643583,207.154532,188.000706,4165.244891,4161.130856,4165.244891,93.048375,207.154532,0,214.69514,3848.2555,0
0,6,1,15,1,0,45,0.948105,1,4209.420031,296.000005,307.96266,209.973808,192.000007,4203.387325,4199.145866,4203.341766,91.923882,209.0598,0,203.029144,3859.938685,0
0,12,3,22,1,2,156,0.870517,1,4098.702234,296.000028,306.360898,205.769288,190.000044,4092.41298,4088.133193,4092.459529,85.615419,206.693009,0,246.479131,3816.472688,0
0,7,5,19,1,4,285,0.926746,1,3970.05,296.000009,307.688154,205.912603,188.000014,3963.46124,3959.121367,3963.604673,89.537702,208.655218,0,344.469874,3718.468493,0
0,19,19,19,3,16,19,1,0,4235.426071,297,305.602683,188.308258,174,4228.581441,4225.042722,4229.225225,74.464757,202.249846,0,194.9307,3867.925112,0
0,8,2,39,0,2,282,0.837587,4,3972.819276,293.000045,304.529145,208.254652,191.000069,3966.60119,3962.137428,3966.649468,89.319651,209.172178,0,331.02173,3731.93332,0
0,4,9,5,5,4,18,0.977444,5,4236.076014,292.000001,304.685083,203.531324,184.000001,4230.003783,4226.113699,4230.135341,92.357999,206.247424,0,208.787391,3854.146427,0
0,1,3,1,3,1,1,1,0,4253.381949,297,310.336914,210.23796,190,4247.251935,4243.136222,4247.207318,96.208108,209.33466,0,212.002569,3850.956672,0
0,7,5,17,1,4,107,0.926746,1,4147.575798,296.000009,307.688154,205.912603,188.000014,4141.269491,4137.116145,4141.406766,89.537702,208.655218,0,223.230097,3839.70419,0
0,4,4,12,1,3,70,0.954604,0,4184.553142,297.000004,309.480209,208.062491,189.000006,4178.276798,4174.122662,4178.367744,92.698436,209.880919,0,212.801928,3850.140202,0
0,3,5,7,1,4,29,0.966309,0,4225.450745,297.000002,309.762813,207.576492,188.000003,4219.190562,4215.113996,4219.325302,93.300589,210.297408,0,208.020894,3854.912899,0
0,3,3,17,2,1,196,0.845012,3,4058.662341,294.000041,306.887602,209.389589,190.000063,4052.456539,4048.142784,4052.456539,94.339811,209.389589,0,277.040512,3785.921307,0
0,5,6,13,5,1,69,0.940757,2,4185.40918,295.000006,307.280003,205.827598,187.000009,4179.185806,4175.138441,4179.185806,92.477024,205.827598,0,211.589206,3851.370019,0
0,10,9,31,2,7,166,0.109909,1,4088.728409,296.001338,306.882714,201.039797,184.002153,4082.148944,4078.096124,4082.42379,85.702975,206.545395,0,246.216656,3816.695197,0
0,3,3,3,2,1,3,1,1,4251.31709,296,308.804145,209.389589,190,4245.253938,4241.136286,4245.253938,94.339811,209.389589,0,210.021385,3852.937779,0
0,32,4,40,2,2,2014,0.31679,3,2249.296779,294.000794,299.861635,197.994949,189.001235,2237.994861,2230.244157,2238.079534,67.601775,198.949742,0,2017.602057,2045.473303,0
0,3,8,22,1,7,152,0.073632,0,4102.764068,297.001445,309.762813,204.863369,185.002319,4096.179806,4092.095796,4096.455175,92.347171,210.297408,0,243.973262,3818.938531,0
0,1,1,2,0,1,4,1,0,4250.389276,297,310.336914,212.047165,192,4244.344944,4240.136319,4244.344944,96.208108,212.047165,0,211.03615,3851.923052,0
0,4,6,12,1,5,71,0.942418,2,4183.414156,295.000006,307.561376,206.247424,187.000009,4177.18781,4173.107835,4177.368789,92.02717,209.880919,0,213.132068,3849.793968,0
0,4,4,15,0,4,70,0.911422,2,4184.411667,295.000013,307.561376,208.062491,189.000021,4178.276798,4174.115116,4178.413575,92.357999,210.791366,0,209.955369,3852.978487,0
0,2,3,8,1,3,33,0.970054,0,4221.460648,297.000002,310.048383,209.81182,190.000002,4215.284213,4211.121585,4215.329406,94.57801,210.717821,0,207.626653,3855.315298,0
0,3,4,7,1,3,29,0.988665,0,4225.450745,297,309.762813,208.482613,189,4219.235239,4215.121469,4219.325302,93.637599,210.297408,0,208.020894,3854.921071,0
0,5,28,11,26,2,54,0.948174,18,4199.278629,279.000005,291.953764,186.067192,165.000008,4193.247548,4190.12995,4193.287016,92.11406,186.95454,0,209.344291,3853.606153,0
0,3,3,8,2,1,32,0.969983,3,4222.248216,294.000002,306.887602,209.389589,190.000002,4216.283197,4212.137225,4216.283197,94.339811,209.389589,0,207.477556,3855.481508,0
0,6,8,21,1,7,95,0.86616,2,4159.474246,295.00003,307.001629,203.592731,185.000048,4153.12244,4149.09448,4153.394034,89.493016,209.0598,0,214.153757,3848.757241,0
0,2,7,13,1,6,66,0.021006,0,4188.543064,297.001614,310.048383,206.196508,186.002576,4182.138209,4178.100645,4182.363566,93.605555,210.717821,0,210.573373,3852.344928,0
0,2,9,9,5,4,31,0.92136,23,4221.900638,274.000011,288.091999,204.394227,184.000017,4217.016125,4213.11405,4217.148088,94.244363,207.09901,0,206.357425,3856.576314,0
0,10,3,13,1,2,76,0.930311,2,4178.426618,295.000008,305.91829,206.545395,190.000013,4172.328367,4168.130636,4172.374024,87.464278,207.46566,0,213.909573,3849.041038,0
0,5,5,37,0,5,250,0.904864,2,4004.879649,295.000015,307.280003,206.736547,188.000024,3998.422189,3994.112667,3998.612259,91.08238,210.380608,0,305.443068,3757.485839,0
0,5,1,6,1,0,30,0.97004,1,4224.383032,296.000002,308.240166,210.380608,192.000002,4218.371724,4214.145346,4218.326327,92.84934,209.468375,0,209.151816,3853.816266,0
