@relation 'Ant15-Arrondi5-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,29'

@attribute #Critical numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric

@data
0,4253.31224,296,309.38003,204.83164,184,4246.98776,4243.13622,4246.98776,96.20811,204.83164,0
0,4150.56815,296,308.80415,204.86337,185,4144.13139,4140.08804,4144.44978,92.0489,211.20606,0
0,3889.82532,290.00007,301.64383,200.94278,183.00012,3883.31431,3879.1084,3883.55314,87.92042,205.50669,0
0,3020.149,292.00137,300.98671,195.1666,181.00222,3011.44434,3006.08799,3012.06192,76.53757,204.47494,0
0,4039.42335,290.00006,301.92052,202.26715,184.00009,4033.19935,4029.11169,4033.38382,89.19641,205.9126,0
0,4166.38596,294.00004,306.04085,203.59273,185.00006,4160.1155,4156.0877,4160.43267,89.1852,209.97381,0
0,4165.318,293,304.52914,208.25465,191,4159.3877,4155.13911,4159.3877,89.69392,208.25465,0
0,3793.41008,294.00032,301.7615,199.91998,188.00051,3786.66978,3782.13538,3786.7696,75.15318,201.80188,0
0,4110.52746,294.00002,305.76462,204.08822,186.00003,4104.21686,4100.09561,4104.49315,88.54377,209.57099,0
0,3419.5757,293.00005,301.01495,196.51209,184.00008,3411.96498,3407.09921,3412.2938,73.73602,202.14104,0
0,2996.6548,296.00003,307.96266,208.14658,190.00005,2988.04685,2982.17169,2988.17469,90.82401,209.97381,0
0,4057.37711,290.00001,301.92052,209.57099,192.00002,4051.55192,4047.15134,4051.50466,91,208.65522,0
0,3993.54341,290.00006,301.92052,203.17726,185.00009,3987.29407,3983.12064,3987.43439,89.5377,205.9126,0
0,4073.76791,296.00059,307.41666,201.85391,184.00095,4067.16425,4063.11075,4067.34717,88.25531,205.50669,0
0,4138.17399,290,302.20026,198.1565,179.00001,4131.87911,4128.14837,4131.83591,91.92388,197.25364,0
0,4190.53803,297,309.20058,208.55695,190,4184.31595,4180.13026,4184.36148,92.11406,209.46837,0
0,4226.44827,297,310.04838,209.81182,190,4220.27914,4216.12144,4220.36965,94.57801,211.62467,0
0,4102.47645,293.00001,305.64358,208.97129,190.00001,4096.40867,4092.12512,4096.50192,92.69844,210.79137,0
0,4243.40641,297.00002,310.04838,208.90668,189.00004,4237.21725,4233.11351,4237.35212,94.24436,211.62467,0
0,4107.53515,294,305.76462,208.65522,191.00001,4101.44974,4097.1495,4101.4033,91,207.74022,0
0,4214.64708,285.00001,297.40545,197.25364,178.00002,4208.76573,4205.12176,4208.85079,90.82401,199.06029,0
0,4199.51545,297,310.04838,208.90668,189,4193.2615,4189.1147,4193.39779,94.24436,211.62467,0
0,4130.6911,297,309.76281,208.48261,189,4124.33279,4120.11662,4124.47136,93.30059,211.20606,0
0,4117.50956,294.00001,306.04085,206.32256,188.00002,4111.30065,4107.10957,4111.4855,90.13878,209.97381,0
0,3863.89816,290.00007,300.83218,198.80644,182.00011,3857.29607,3853.10174,3857.58383,84.75848,204.31348,0
0,4206.2872,294,306.60235,207.15453,188.00001,4200.20952,4196.10724,4200.39046,92.02717,210.79137,0
0,4155.41346,294.00001,306.32009,207.64633,189.00001,4149.30669,4145.11592,4149.44442,91.41663,210.38061,0
0,4229.30089,295,307.84574,206.67124,187,4223.1422,4219.137,4223.1422,94.33981,206.67124,0
0,3649.50956,234.00058,242.33242,173.81887,162.00084,3645.60118,3642.13193,3645.64576,70.21396,174.75125,0
0,3878.31213,296.00003,307.41666,206.4219,189.00004,3871.61594,3867.1324,3871.71409,88.95504,208.25465,0
0,4159.33288,293.00002,305.08032,205.41178,187.00003,4153.21201,4149.10135,4153.44014,89.81091,209.97381,0
0,4235.42607,297,309.76281,212.11553,193,4229.40587,4225.14497,4229.36035,94.7048,211.20606,0
0,3744.55939,294.00001,306.04085,201.7771,183.00002,3737.48284,3733.08371,3737.93432,88.60023,209.97381,0
0,2541.18102,295.00002,303.65935,194.79476,181.00003,2530.48157,2524.10479,2531.21651,75.58439,204.12006,14
1,3546.06613,267.00026,275.27804,175.3083,162.00044,3539.70903,3536.03182,3540.57848,68.65858,192.06509,14
0,3779.06668,289.00067,299.34094,194.33991,178.00109,3772.20201,3768.10403,3772.39287,82.8734,198.0101,11
0,4109.31649,291.00001,302.60535,205.50669,188.00002,4103.30903,4099.12491,4103.40115,88.95504,207.33789,8
0,3648.22765,286.00063,293.07337,185.39687,174.00103,3641.15984,3637.05499,3641.85571,67.05222,198.59507,9
0,4040.6372,293.00003,304.25811,201.44478,184.00005,4034.19831,4030.08387,4034.5711,86.02325,208.77739,9
0,3892.19552,295.00021,304.38463,201.47953,187.00033,3885.50254,3881.11595,3885.69711,80.77747,205.19747,9
0,3920.81382,291.00004,300.50957,195,180.00007,3914.14103,3910.10025,3914.42154,80.05623,200.55174,10
0,4201.29944,294.00001,305.76462,207.74022,190.00001,4195.30464,4191.14614,4195.25947,91,206.82601,6
0,4018.76847,294.00021,304.95409,199.21094,182.00035,4012.13011,4008.07186,4012.59617,84.48077,208.38666,6
0,4250.38928,297,310.33691,211.14213,191,4244.29982,4240.13632,4244.29982,96.20811,211.14213,6
0,3775.38674,293.00084,302.44669,195,180.00136,3768.30147,3764.06429,3768.84293,78.16009,205.19747,6
0,4056.88612,297,309.76281,206.67124,187,4050.31912,4046.11122,4050.50577,92.97311,210.29741,6
0,4113.44843,293.00001,304.25811,205.10485,188.00002,4107.30483,4103.13271,4107.35073,88.39118,206.02184,6
0,4249.2524,295,308.42341,208.43224,188,4243.16686,4239.14449,4243.12267,96.56604,207.53072,6
0,3485.33757,293.00123,298.88125,196.08672,187.00192,3478.03076,3473.15678,3478.08467,67.60178,197.0406,6
0,4017.6981,293.00001,305.08032,206.32256,188.00002,4011.40786,4007.1123,4011.59731,90.13878,209.97381,6
0,4244.40396,297,310.04838,211.62467,192,4238.35109,4234.13651,4238.35109,95.27329,211.62467,6
0,3499.37209,294.0007,303.41556,189.47559,174.00119,3491.33857,3487.04646,3492.17253,77.12976,204.26698,6
0,4124.63477,296.00003,308.52066,208.97129,190.00005,4118.38512,4114.13235,4118.43138,93.04837,209.88092,6
0,4092.50205,293.00002,303.99013,202.87188,186.00003,4086.23543,4082.11024,4086.41946,86.37708,206.54539,6
0,4059.73226,295,307.56138,199.92248,180.00001,4052.99901,4049.06532,4053.50244,89.98889,209.88092,6
0,4064.6466,294.00002,303.66429,201.85391,187.00003,4058.31061,4054.11852,4058.44995,82.07923,204.63626,6
0,3588.14729,295.00111,302.73586,191.48107,179.00183,3580.4772,3576.06767,3581.09718,71.47027,202.74368,6
0,3955.36345,272.00141,281.8865,192.76929,178.00215,3950.01266,3946.05068,3950.6683,76.65507,205.76686,6
1,3642.04832,296.00013,305.60105,196.30843,181.00022,3634.50973,3630.07286,3635.07414,79.40403,206.49455,8
1,4104.47134,293.00038,304.80322,202.26715,184.00061,4098.13275,4094.08256,4098.49973,87.93179,209.57099,5
1,3950.89724,265.00184,270.64737,167.29913,158.00308,3945.16514,3942.01535,3946.15319,56.08921,189.17188,5
1,4184.91398,273.0001,285.92656,208.14658,190.00014,4180.32008,4176.13841,4180.32008,91.5478,208.14658,5
1,3990.47879,289,302.10098,202.15835,182,3984.15913,3980.12073,3984.2973,93.30059,204.86337,5
1,3080.06364,294.00088,303.16992,200.17992,186.00139,3071.6367,3066.16699,3071.75845,80.62258,202.0396,5
0,3829.53,270.00113,281.04092,197.09135,181.00168,3824.28568,3820.08181,3824.67267,81.90849,204.46271,9
0,3880.00322,292.00171,301.47803,193.15538,178.00281,3873.09243,3869.06836,3873.5649,78.44743,202.408,7
0,3789.49984,295.00021,305.39483,205.76929,190.00032,3782.77464,3778.13552,3782.825,85.23497,206.69301,7
0,3357.28968,287.00174,295.89356,184.61853,170.00294,3349.31709,3345.05979,3350.05687,74.72617,197.58542,7
0,4142.37528,293.00002,304.52914,206.4219,189.00003,4136.32022,4132.11629,4136.45839,88.60023,209.17218,6
0,3872.42818,284.00008,292.26187,187.18173,174.00013,3865.91774,3862.11652,3866.00828,75.23962,189.04232,7
0,4007.02196,297.00162,310.04838,204.39423,184.00261,4000.23399,3996.09122,4000.56209,93.00538,210.71782,4
0,4104.83629,284.00005,295.32524,194.65354,177.00009,4098.82349,4095.13296,4098.86679,87.46428,195.56329,4
0,3937.91544,293.00059,303.7252,196.06377,179.00096,3931.07746,3927.06162,3931.64215,82.96987,207.07728,4
0,4123.56569,295,307.00163,208.14658,190,4117.38619,4113.14053,4117.38619,91.5478,208.14658,4
0,3795.32673,293.00019,301.95695,197.02284,183.00031,3788.42249,3784.08258,3788.8679,77.16217,205.40935,9
0,2065.88335,293.00171,293.1706,158.31614,158.00316,2051.09459,2045,2053.35092,10,185.27007,9
0,4064.35924,290.00001,300.83218,197.89138,181.00002,4058.03857,4054.11852,4058.12826,85.79627,199.72231,8
0,3942.97603,294,304.69001,205.23401,189,3936.53972,3932.147,3936.53972,86.92526,205.23401,6
0,4121.71445,297.00144,309.20058,201.2958,182.00236,4115.02673,4111.07601,4115.43461,89.56004,209.46837,6
0,3375.48056,290.00169,297.19522,186.68155,175.0028,3367.55015,3363.04297,3368.41951,67.18631,201.75728,6
0,3798.31779,293.00004,304.25811,199.61964,182.00006,3791.37086,3787.08252,3791.81355,85.72631,207.85812,7
0,3716.72571,295.00135,302.07615,195.14354,184.00217,3709.56615,3705.09838,3709.91995,70.38466,201.75728,5
0,4038.71514,294.00014,306.04085,202.68448,184.00023,4032.20039,4028.08391,4032.57337,88.88757,209.97381,3
0,4008.79533,294.00139,304.95409,194.65354,177.0023,4001.91617,3998.06616,4002.41777,84.20214,204.70711,3
0,3947.11439,296.00004,306.3609,203.00246,187.00007,3940.4397,3936.11433,3940.63155,84.50444,206.69301,3
0,3990.54407,111.00152,130.17296,101.98039,76.00222,3989.72393,3989.09827,3989.76252,73.53911,103.47947,3
0,4080.74944,296,308.52066,208.97129,190,4074.43248,4070.13378,4074.47923,93.04837,209.88092,3
0,4159.61657,297.00001,309.48021,207.15453,188.00002,4153.25716,4149.10846,4153.44014,92.02717,210.79137,3
0,4023.537,291.00004,303.16002,204.50183,186.00006,4017.30818,4013.11973,4017.40127,90.47652,206.32256,3
0,4163.39345,294,306.60235,206.24742,187.00001,4157.20796,4153.1157,4157.34398,92.358,208.97129,3
0,3803.30291,293.00145,302.69622,198.15398,183.00232,3796.41318,3792.09612,3796.75704,80.65358,204.63626,3
0,4194.52798,297,309.48021,208.06249,189,4188.26659,4184.12237,4188.35732,92.69844,209.88092,3
0,3944.97047,294.00001,305.22123,196.88829,179.00002,3938.07021,3934.06723,3938.53742,85.16455,206.02184,3
0,4085.60595,280.00166,291.2044,196.97716,180.00258,4079.97255,4076.08292,4080.33332,84.11896,204.31348,3
0,4210.48798,297.00164,310.04838,207.09901,187.00261,4204.16092,4200.10714,4204.34073,93.92018,210.71782,3
0,4185.1988,292,304.40105,150.90394,124.00001,4176.84103,4175.1467,4176.81146,92.84934,150.08331,2
0,4161.32791,293,305.64358,210.79137,192.00001,4155.438,4151.14755,4155.39192,93.77633,209.88092,2
0,3966.83564,293,304.25811,198.70833,181.00001,3960.13851,3956.10629,3960.27676,86.97701,201.44478,2
0,4247.32681,296,307.68815,202.26715,184,4240.9934,4237.13642,4240.9934,90.62009,202.26715,0
0,4249.2524,295,307.28,201.2958,182,4242.90525,4239.14449,4242.86248,92.84934,200.39212,0
0,3818.4125,295.00048,304.63257,204.63626,190.00075,3811.73832,3807.14302,3811.78829,82.8553,205.56507,0
0,4192.18177,292.00001,304.68508,207.15453,188.00001,4186.2236,4182.12243,4186.31389,92.69844,208.97129,0
0,3531.17686,293.00073,303.7252,206.15528,190.00112,3524.12557,3519.17405,3524.07179,87.32125,205.23401,0
0,4141.59112,296.00001,307.68815,205.9126,188.00001,4135.27569,4131.11631,4135.41316,89.5377,208.65522,0
0,4122.71185,297.00157,310.04838,204.39423,184.00254,4116.11467,4112.08864,4116.43353,93.00538,210.71782,0
0,4211.48549,297,308.65029,192.31485,173.00001,4204.56062,4201.1458,4204.51959,91,191.41578,0
0,4107.35109,277.00003,288.60007,189.21416,171.00004,4101.56616,4098.11725,4101.69233,86.72946,191.92967,0
0,4165.60128,297,309.76281,207.57649,188.00001,4159.25101,4155.1083,4159.43374,92.97311,211.20606,0
0,4107.67878,296.00168,308.80415,203.96078,184.00271,4101.12972,4097.08897,4101.44974,92.0489,210.29741,0
0,4128.62447,296.00001,307.68815,205.9126,188.00001,4122.28917,4118.11668,4122.42708,89.5377,208.65522,0
0,4119.64768,296.00003,305.35389,186.7244,171.00006,4112.55663,4109.03517,4113.29855,76.90254,202.408,0
0,4202.15754,292.00045,304.97213,206.67124,187.0007,4196.16885,4192.12989,4196.16885,93.98404,206.67124,0
0,4248.32438,296,309.38003,212.04716,192,4242.34699,4238.14452,4242.30185,96.56604,211.14213,0
0,4221.46065,297,309.76281,208.48261,189,4215.23926,4211.12158,4215.32941,93.6376,210.29741,0
0,4075.76263,296.00002,307.41666,201.85391,184.00003,4069.1622,4065.08967,4069.48473,87.28115,208.25465,0
0,4250.31952,296,308.52066,206.24742,187,4244.1217,4240.11332,4244.21029,92.358,208.06249,0
0,4238.27901,295,308.13309,208.90668,189,4232.22223,4228.1211,4232.31202,94.57801,210.71782,0
0,2200.1384,297,310.33691,211.14213,191,2188.35121,2180.28095,2188.26415,96.56604,210.23796,0
0,3939.9099,293.00003,304.52914,200.94278,183.00004,3933.25946,3929.07954,3933.68847,86.68333,209.17218,0
0,4116.72746,297.00001,308.65029,205,187.00001,4110.25607,4106.10241,4110.48659,88.86507,209.57099,0
0,4179.35366,294.00002,306.04085,206.32256,188.00003,4173.23675,4169.10794,4173.41886,90.13878,209.97381,0
0,4200.51294,297,308.92394,209.0598,191,4194.35108,4190.13795,4194.35108,91.5478,209.0598,0
0,4221.46065,297.0016,310.04838,207.09901,187.00255,4215.15006,4211.10686,4215.32941,93.92018,210.71782,0
0,4150.07482,289.00141,300.40806,200.53179,183.00222,4144.04259,4140.09468,4144.2664,86.64872,205.10485,0
0,4091,0.14139,77,77,0.14139,4091,4091.14128,4091,84.17244,77,0
0,4215.3351,295,307.28,209.46837,191.00001,4209.33558,4205.14566,4209.29032,92.84934,208.55695,0
0,4195.4548,296.00002,308.52066,208.06249,189.00002,4189.26557,4185.11481,4189.40199,92.358,210.79137,0
0,4251.10927,293,305.92973,194.98718,174,4244.56794,4241.14442,4244.52706,94.7048,194.09534,0
0,4090.72316,296.00002,307.41666,204.59228,187.00002,4084.28317,4080.11029,4084.46826,88.25531,208.25465,0
0,4253.31224,296,309.38003,211.14213,191,4247.29679,4243.14435,4247.25194,96.56604,210.23796,0
0,4230.43839,297,310.6284,212.47353,192,4224.36551,4220.14514,4224.32018,97.49872,211.57032,0
0,3688.73488,294.0014,300.4663,197.95959,188.00219,3681.80296,3677.13924,3681.90562,69.77105,199.85995,0
0,4156.78169,285.00001,296.0152,197.89138,181.00002,4150.94808,4147.11587,4151.03577,85.79627,199.72231,0
0,4222.1787,293,305.36044,206.73655,188.00001,4216.19354,4212.14542,4216.14907,92.84934,205.8276,0
0,4161.61147,297.00144,309.76281,205.76686,186.0023,4155.1651,4151.1013,4155.39192,92.65528,210.29741,0
0,4207.07618,291,304.0148,205.76686,186,4201.11949,4197.12973,4201.16389,93.98404,206.67124,0
0,4161.70158,284.00003,296.16212,202.26715,184.00004,4156.07507,4152.13921,4156.07507,90.62009,202.26715,0
0,4166.38596,294.00002,305.22123,206.02184,189.00003,4160.2953,4156.13907,4160.2953,88.76936,206.02184,0
0,4187.47478,296,308.80415,211.20606,192,4181.41041,4177.13837,4181.41041,94.33981,211.20606,0
0,3980.94524,295.00008,306.45391,209.17218,192.00012,3974.64011,3970.15428,3974.59193,90.07774,208.25465,0
0,4215.0618,185.00001,204.01225,128.14445,95.00002,4212.07146,4211.13726,4212.04903,92.47702,127.40487,0
0,4247.39661,297,310.6284,212.47353,192,4241.34802,4237.14456,4241.30287,97.49872,211.57032,0
0,3638.89612,294.00007,302.21846,203.4232,191.00011,3632.02561,3627.16887,3631.97316,78.26238,202.48457,0
0,4253.38195,297,310.33691,201.24612,180,4246.81634,4243.14435,4246.77407,96.56604,200.35219,0
0,4230.29845,295,307.56138,208.06249,189,4224.23023,4220.13696,4224.23023,93.40771,208.06249,0
0,4143.44362,294.00001,305.76462,207.74022,190.00001,4137.36498,4133.13985,4137.31918,90.62009,206.82601,0
0,4248.25482,295,307.00163,206.32256,188,4242.16784,4238.13638,4242.16784,91.5478,206.32256,0
0,4091.64832,295.00005,306.45391,206.4219,189.00008,4085.37416,4081.12546,4085.46717,88.95504,208.25465,0
0,4253.31224,296,309.38003,211.14213,191,4247.29679,4243.13622,4247.29679,96.20811,211.14213,0
0,4167.52504,296.00001,308.52066,208.06249,189.00002,4161.29427,4157.12316,4161.38559,92.69844,209.88092,0
0,3885.98623,292.00007,303.0264,203.78911,187.00011,3879.50951,3875.10851,3879.70437,86.03488,207.46566,0
0,4247.39661,297,310.04838,212.53235,193,4241.3934,4237.14456,4241.34802,95.63472,211.62467,0
0,3851.23824,294.00012,303.91611,200.38463,185.00019,3844.4538,3840.09492,3844.797,81.59657,206.86469,0
0,4104.68659,296.00002,307.68815,205.9126,188.00002,4098.31429,4094.11737,4098.453,89.5377,208.65522,0
0,4253.31224,296,309.38003,208.43224,188,4247.16294,4243.13622,4247.16294,96.20811,208.43224,0
0,4253.31224,296,309.38003,205.73041,185,4247.0312,4243.12833,4247.07488,95.85927,206.6301,0
0,4253.24276,295,308.42341,196.78669,175,4246.60735,4243.13622,4246.60735,96.20811,196.78669,0
0,4059.80504,296.00168,308.52066,202.62774,183.00272,4053.13336,4049.08348,4053.50244,90.80198,209.88092,0
0,4211.48549,297.00005,308.92394,209.97381,192.00007,4205.38524,4201.13758,4205.38524,91.5478,209.97381,0
0,4150.56815,296,308.80415,209.38959,190.00001,4144.35761,4140.12367,4144.44978,93.6376,211.20606,0
0,4171.30315,293.00045,305.64358,207.15453,188.00071,4165.24489,4161.13086,4165.24489,93.04837,207.15453,0
0,4209.42003,296,307.96266,209.97381,192.00001,4203.38732,4199.14587,4203.34177,91.92388,209.0598,0
0,4098.70223,296.00003,306.3609,205.76929,190.00004,4092.41298,4088.13319,4092.45953,85.61542,206.69301,0
0,3970.05,296.00001,307.68815,205.9126,188.00001,3963.46124,3959.12137,3963.60467,89.5377,208.65522,0
0,4235.42607,297,305.60268,188.30826,174,4228.58144,4225.04272,4229.22522,74.46476,202.24985,0
0,3972.81928,293.00005,304.52914,208.25465,191.00007,3966.60119,3962.13743,3966.64947,89.31965,209.17218,0
0,4236.07601,292,304.68508,203.53132,184,4230.00378,4226.1137,4230.13534,92.358,206.24742,0
0,4253.38195,297,310.33691,210.23796,190,4247.25194,4243.13622,4247.20732,96.20811,209.33466,0
0,4147.5758,296.00001,307.68815,205.9126,188.00001,4141.26949,4137.11615,4141.40677,89.5377,208.65522,0
0,4184.55314,297,309.48021,208.06249,189.00001,4178.2768,4174.12266,4178.36774,92.69844,209.88092,0
0,4225.45075,297,309.76281,207.57649,188,4219.19056,4215.114,4219.3253,93.30059,210.29741,0
0,4058.66234,294.00004,306.8876,209.38959,190.00006,4052.45654,4048.14278,4052.45654,94.33981,209.38959,0
0,4185.40918,295.00001,307.28,205.8276,187.00001,4179.18581,4175.13844,4179.18581,92.47702,205.8276,0
0,4088.72841,296.00134,306.88271,201.0398,184.00215,4082.14894,4078.09612,4082.42379,85.70298,206.54539,0
0,4251.31709,296,308.80415,209.38959,190,4245.25394,4241.13629,4245.25394,94.33981,209.38959,0
0,2249.29678,294.00079,299.86163,197.99495,189.00123,2237.99486,2230.24416,2238.07953,67.60178,198.94974,0
