@relation 'Ant16BugsBinaryALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,1-weka.filters.unsupervised.attribute.Remove-R2-7,35-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.98,-0.983539,-0.991903,-0.983471,-1,-0.025956,1,-1,-0.057671,0.999993,0.998418,0.983278,0.983532,-0.026723,0.018881,-0.027561,0.979918,0.982586,-0.023708,0.990448,0.018836,-0.041729,-0.019076,0.011104,-0.011299,0.473704,-0.473704,0
-0.68,-0.893004,-0.40081,-1,-0.257143,-0.70033,0.46381,-0.994832,0.673515,0.994825,0.970278,0.841606,0.892962,0.683412,0.698102,0.683543,0.593075,0.950082,-0.771466,0.67837,0.698289,0.676602,-0.697544,0.695507,-0.694944,-0.445555,0.445555,1
-0.68,-0.893004,-0.40081,-1,-0.257143,-0.70033,0.46381,-0.994832,0.673515,0.994825,0.970278,0.841606,0.892962,0.683412,0.698102,0.683543,0.593075,0.950082,-0.771466,0.67837,0.698289,0.676602,-0.697544,0.695507,-0.694944,-0.445555,0.445555,1
-0.9,-0.975309,-0.894737,-0.991736,-0.885714,-0.957055,0.981152,-0.994832,0.953143,0.994824,0.986066,0.961384,0.975299,0.95469,0.956741,0.954658,0.885475,0.977232,-0.98589,0.937979,0.956746,0.953582,-0.956847,0.956334,-0.956441,-0.915031,0.915031,0
-0.86,-0.975309,-0.821862,-0.975207,-0.942857,-0.947145,0.909914,-0.984496,0.942245,0.984486,0.970704,0.954795,0.975299,0.944228,0.946763,0.94413,0.852516,0.952836,-0.985742,0.886203,0.946775,0.942639,-0.946488,0.946248,-0.945971,-0.895684,0.895684,0
-0.96,-0.99177,-0.951417,-1,-0.942857,-0.990562,0.989796,-0.994832,0.989664,0.994824,0.99069,0.988231,0.991766,0.99012,0.990496,0.990085,0.952789,0.996451,-0.99074,0.975948,0.990493,0.989757,-0.990677,0.990393,-0.990575,-0.981167,0.981167,0
-0.96,-0.958848,-0.983806,-0.958678,-1,-0.999056,1,-1,0.998971,0.999993,0.99685,0.954778,0.958831,0.998975,0.999057,0.998919,0.959858,0.952891,-0.989053,0.971484,0.99905,0.998843,-0.998114,0.999019,-0.998085,-0.998113,0.998113,0
-0.98,-0.975309,-0.991903,-0.975207,-0.942857,-0.999528,1,-1,0.999486,0.999993,0.998418,0.974924,0.975299,0.99953,0.999528,0.999473,0.972912,0.973886,-0.988529,0.985736,0.999525,0.999436,-0.999222,0.99951,-0.999209,-0.999056,0.999056,0
-0.88,-0.99177,-0.902834,-0.991736,-1,-0.970741,0.939552,-0.984496,0.967964,0.984486,0.972207,0.974907,0.991766,0.969196,0.970535,0.969116,0.879858,0.973795,-0.990115,0.94269,0.970531,0.968293,-0.970588,0.970221,-0.970275,-0.941909,0.941909,0
-0.88,-0.99177,-0.935223,-1,-0.942857,-0.979707,0.796302,-1,0.97788,0.999993,0.99073,0.974907,0.991766,0.978662,0.979563,0.978618,0.872523,0.982568,-0.990218,0.966435,0.97956,0.978056,-0.979756,0.979327,-0.979521,-0.95962,0.95962,0
-0.88,-0.884774,-0.805668,-0.884298,-1,-0.945257,0.929504,-0.953488,0.939903,0.95347,0.935187,0.865841,0.884727,0.941923,0.944865,0.941825,0.879858,0.860215,-0.985576,0.823236,0.944896,0.940243,-0.943803,0.944342,-0.943272,-0.89201,0.89201,0
-0.92,-0.893004,-0.854251,-0.950413,-0.6,-0.935347,0.437832,-0.963824,0.929195,0.963809,0.950606,0.881098,0.892963,0.931488,0.934857,0.931579,0.873375,0.937038,-0.977512,0.890222,0.93489,0.930005,-0.934723,0.9343,-0.934165,-0.872782,0.872782,0
-0.84,-0.975309,-0.692308,-1,-0.828571,-0.890042,0.87277,-0.984496,0.880016,0.984486,0.969216,0.951546,0.975299,0.88395,0.889235,0.883896,0.818161,0.975814,-0.953335,0.828862,0.889277,0.881032,-0.888899,0.888249,-0.887909,-0.786127,0.786127,1
-0.96,-0.942387,-0.821862,-0.983471,-0.714286,-0.895234,0.75463,-0.989664,0.885722,0.989655,0.984531,0.938081,0.942364,0.889311,0.894457,0.88932,0.926362,0.979012,-0.951643,0.891126,0.894483,0.886978,-0.894496,0.893588,-0.893628,-0.795953,0.795953,0
-0.9,-0.967078,-0.838057,-1,-0.771429,-0.931571,0.873598,-0.994832,0.925369,0.994824,0.986066,0.952987,0.967065,0.927759,0.931064,0.927765,0.871884,0.985992,-0.976291,0.910221,0.931082,0.926076,-0.931097,0.930455,-0.930488,-0.865482,0.865482,0
-0.94,-1,-0.967611,-1,-1,-0.990562,0.979644,-0.968992,0.98943,0.968978,0.958329,0.993242,1,0.990149,0.9905,0.990085,0.939822,0.992934,-0.989687,0.9855,0.990493,0.989815,-0.990776,0.990382,-0.99066,-0.981167,0.981167,0
-0.9,-0.950617,-0.902834,-0.975207,-0.828571,-0.959415,0.837972,-0.97416,0.955524,0.974147,0.96139,0.936207,0.950597,0.957095,0.959115,0.957093,0.878584,0.959727,-0.986304,0.933037,0.959124,0.956084,-0.95917,0.95873,-0.958786,-0.919652,0.919652,0
-0.88,-0.909465,-0.951417,-0.917355,-0.942857,-0.995281,1,-0.968992,0.994575,0.968978,0.953693,0.890936,0.909429,0.994823,0.99525,0.994791,0.872523,0.895069,-0.991053,0.928589,0.995253,0.994536,-0.993415,0.995142,-0.993313,-0.990572,0.990572,0
-0.92,-0.950617,-0.894737,-0.991736,-0.714286,-0.960831,0.83708,-0.989664,0.95721,0.989655,0.981426,0.939583,0.950597,0.95859,0.960534,0.958646,0.885686,0.980699,-0.987358,0.937979,0.960549,0.957632,-0.960619,0.960179,-0.960265,-0.922427,0.922427,0
-0.98,-0.934156,-0.991903,-0.950413,-0.885714,-0.998584,1,-0.984496,0.998316,0.984486,0.979952,0.933233,0.93413,0.998394,0.998574,0.998392,0.966089,0.947821,-0.988519,0.971662,0.998575,0.998338,-0.99788,0.998551,-0.997855,-0.997169,0.997169,0
-0.96,-0.99177,-0.951417,-1,-0.942857,-0.990562,0.989796,-0.994832,0.989664,0.994824,0.99069,0.988231,0.991766,0.99012,0.990496,0.990085,0.952789,0.996451,-0.99074,0.975948,0.990493,0.989757,-0.990677,0.990393,-0.990575,-0.981167,0.981167,0
-0.92,-0.967078,-0.959514,-0.975207,-0.942857,-0.988674,0.969544,-0.989664,0.98756,0.989655,0.981426,0.956339,0.967065,0.988042,0.988595,0.988005,0.91261,0.96322,-0.990015,0.966435,0.988592,0.987675,-0.988683,0.988454,-0.988544,-0.977412,0.977411,0
-0.84,-0.950617,-0.82996,-0.975207,-0.828571,-0.966966,0.914778,-0.963824,0.963661,0.963809,0.944502,0.926261,0.950597,0.965067,0.96672,0.96507,0.818161,0.949438,-0.993509,0.890838,0.966739,0.963932,-0.966172,0.966366,-0.965815,-0.934475,0.934475,0
-0.92,-0.950617,-0.919028,-0.966942,-0.885714,-0.94101,0.85896,-0.984496,0.935559,0.984486,0.97526,0.939583,0.950597,0.937665,0.940579,0.93762,0.905596,0.954487,-0.976959,0.937738,0.940584,0.936368,-0.940741,0.940051,-0.940214,-0.883759,0.883759,0
-0.82,-1,-0.870445,-1,-1,-0.971685,0.833048,-0.994832,0.969088,0.994824,0.980112,0.973689,1,0.970221,0.971486,0.970142,0.820127,0.972485,-0.992434,0.928791,0.971484,0.969221,-0.971376,0.971148,-0.971039,-0.943769,0.943769,0
-0.8,-0.99177,-0.821862,-0.991736,-1,-0.944785,0.818826,-0.989664,0.939722,0.989655,0.972473,0.962066,0.991766,0.941795,0.94439,0.941695,0.800271,0.960367,-0.984575,0.896058,0.944395,0.940166,-0.944234,0.94382,-0.943664,-0.891093,0.891093,0
-0.96,-1,-0.975709,-1,-1,-0.996697,0.979644,-0.994832,0.996352,0.994824,0.99069,0.996606,1,0.996626,0.99668,0.996567,0.959858,0.996451,-0.989536,0.990291,0.996672,0.996426,-0.996942,0.996623,-0.996887,-0.993398,0.993398,0
-0.96,-0.99177,-0.975709,-0.991736,-1,-0.996697,0.979644,-0.989664,0.996305,0.989655,0.984531,0.988231,0.991766,0.996597,0.99668,0.996538,0.959858,0.987729,-0.989535,0.985539,0.996673,0.996397,-0.996859,0.996623,-0.996804,-0.993398,0.993398,0
-0.74,-0.958848,-0.740891,-0.975207,-0.885714,-0.925437,0.865984,-0.958656,0.918346,0.958639,0.931023,0.918787,0.958831,0.921253,0.924892,0.921196,0.725386,0.932933,-0.977598,0.84046,0.924924,0.919076,-0.924378,0.924139,-0.923623,-0.85365,0.85365,0
-0.78,-0.860082,-0.789474,-0.867769,-0.885714,-0.829165,0.69535,-0.875969,0.812652,0.875932,0.835024,0.823844,0.860027,0.819274,0.827917,0.819113,0.765252,0.825158,-0.894329,0.804132,0.827967,0.815573,-0.827673,0.826394,-0.826148,-0.67292,0.67292,0
-0.92,-0.950617,-0.959514,-0.958678,-0.942857,-0.992449,0.969544,-1,0.991769,0.999993,0.99376,0.939583,0.950597,0.991972,0.992398,0.991938,0.91261,0.94576,-0.990359,0.956962,0.992396,0.991668,-0.992147,0.992288,-0.992038,-0.984927,0.984927,0
-0.9,-0.958848,-0.878543,-0.966942,-0.942857,-0.935347,0.767714,-0.989664,0.929435,0.989655,0.979896,0.944594,0.958831,0.931715,0.934878,0.931637,0.892554,0.950982,-0.976181,0.914035,0.934884,0.930149,-0.934921,0.934289,-0.934331,-0.872782,0.872782,0
-0.92,-0.983539,-0.94332,-0.991736,-0.942857,-0.990562,0.969544,-1,0.989711,0.999993,0.99376,0.973114,0.983532,0.990092,0.990496,0.990056,0.91261,0.980699,-0.991264,0.966395,0.990494,0.989699,-0.990537,0.990371,-0.990413,-0.981167,0.981167,0
-0.26,-0.580247,0.182186,-0.619835,-0.542857,-0.03445,-0.228356,-0.669251,-0.0538,0.669165,0.551179,0.455077,0.580087,-0.020198,0.027383,-0.0208,0.203685,0.476711,-0.037284,0.158365,0.029074,-0.040681,-0.025777,0.019086,-0.017466,0.464969,-0.464969,1
-0.94,-0.8107,-0.975709,-0.809917,-1,-0.998584,1,-0.963824,0.998131,0.963809,0.95217,0.801639,0.810624,0.997992,0.998582,0.997937,0.939822,0.793411,-0.989568,0.883639,0.998591,0.997817,-0.992019,0.998529,-0.991945,-0.997169,0.997169,0
-0.94,-0.950617,-0.951417,-0.958678,-0.942857,-0.988202,0.974594,-0.979328,0.986951,0.979316,0.970648,0.94299,0.950597,0.987488,0.98812,0.98745,0.932688,0.94931,-0.990481,0.952141,0.988119,0.987082,-0.987981,0.987986,-0.987847,-0.976473,0.976473,0
-0.82,-0.975309,-0.846154,-0.983471,-0.942857,-0.943841,0.871036,-0.97416,0.938549,0.974147,0.955377,0.948328,0.975299,0.940741,0.943435,0.940669,0.81258,0.954872,-0.982668,0.905034,0.943442,0.939207,-0.943365,0.942872,-0.942802,-0.889258,0.889258,0
-0.84,-0.99177,-0.659919,-0.991736,-1,-0.771118,0.551054,-0.958656,0.750211,0.95864,0.938326,0.968426,0.991767,0.758497,0.769455,0.758259,0.84001,0.967018,-0.840772,0.80615,0.769497,0.753325,-0.769352,0.767483,-0.767378,-0.568427,0.568427,0
-0.78,-0.975309,-0.708502,-0.975207,-1,-0.851817,0.862124,-0.963824,0.838168,0.963809,0.940085,0.941984,0.975299,0.843602,0.850743,0.843428,0.780445,0.939438,-0.918841,0.822484,0.850775,0.839985,-0.850532,0.849397,-0.849185,-0.71461,0.71461,0
-0.92,-0.975309,-0.894737,-0.975207,-1,-0.959415,0.850552,-0.97416,0.955524,0.974147,0.962931,0.964724,0.975299,0.957181,0.959126,0.957093,0.919809,0.96322,-0.9868,0.928307,0.959125,0.956055,-0.959142,0.958741,-0.958757,-0.919652,0.919652,0
-0.78,-0.934156,-0.781377,-0.983471,-0.6,-0.897121,-0.508392,-0.984496,0.88773,0.984489,0.964842,0.899688,0.93414,0.891275,0.896352,0.891314,0.730755,0.948262,-0.955005,0.868165,0.896392,0.888863,-0.896254,0.895405,-0.895307,-0.799532,0.799532,0
-0.44,-0.786008,-0.279352,-0.859504,-0.2,-0.614441,-0.999976,-0.782946,0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,-0.679178,0.526099,0.611964,0.583536,-0.610429,0.608156,-0.606995,-0.303201,0.303201,1
-0.44,-0.786008,-0.279352,-0.859504,-0.2,-0.614441,-0.999976,-0.782946,0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,-0.679178,0.526099,0.611964,0.583536,-0.610429,0.608156,-0.606995,-0.303201,0.303201,1
-0.44,-0.786008,-0.279352,-0.859504,-0.2,-0.614441,-0.999976,-0.782946,0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,-0.679178,0.526099,0.611964,0.583536,-0.610429,0.608156,-0.606995,-0.303201,0.303201,1
-0.44,-0.786008,-0.279352,-0.859504,-0.2,-0.614441,-0.999976,-0.782946,0.577811,0.782893,0.699546,0.695022,0.785941,0.592359,0.611581,0.592289,0.341166,0.762526,-0.679178,0.526099,0.611964,0.583536,-0.610429,0.608156,-0.606995,-0.303201,0.303201,1
-0.82,-0.942387,-0.595142,-0.983471,-0.714286,-0.835772,0.52146,-0.984496,0.820889,0.984486,0.967743,0.914576,0.942365,0.826545,0.83456,0.826511,0.784337,0.954872,-0.907506,0.766316,0.834644,0.822432,-0.834053,0.833125,-0.832614,-0.685024,0.685024,0
-0.62,-0.884774,-0.635628,-0.966942,-0.428571,-0.78386,-0.990948,-0.912145,0.763631,0.912123,0.86687,0.823937,0.884745,0.77154,0.782253,0.771621,0.549159,0.905294,-0.854375,0.777587,0.782348,0.766813,-0.781992,0.780301,-0.780038,-0.591075,0.591075,1
-0.4,-0.876543,-0.117409,-0.966942,-0.257143,-0.561586,-0.998862,-0.963824,0.522225,0.963815,0.915366,0.784192,0.876512,0.536951,0.558342,0.536933,0.306588,0.873991,-0.623226,0.527315,0.558733,0.526846,-0.557361,0.554459,-0.553469,-0.219265,0.219265,1
-0.92,-0.950617,-0.862348,-0.983471,-0.771429,-0.966966,0.834322,-0.979328,0.963802,0.979316,0.969095,0.939583,0.950597,0.965067,0.966717,0.965099,0.892132,0.971957,-0.991498,0.91436,0.966733,0.964072,-0.966503,0.966409,-0.966193,-0.934475,0.934475,0
-0.88,-0.925926,-0.821862,-0.966942,-0.714286,-0.950448,0.740404,-0.953488,0.945561,0.95347,0.935187,0.907691,0.925896,0.947544,0.950075,0.947591,0.845086,0.947508,-0.987331,0.88129,0.950104,0.946154,-0.949706,0.949613,-0.949241,-0.902122,0.902122,0
-0.84,-0.909465,-0.773279,-0.958678,-0.657143,-0.827277,0.681044,-0.953488,0.811332,0.95347,0.932151,0.884213,0.909429,0.817458,0.826,0.817447,0.798066,0.931878,-0.893368,0.848681,0.826045,0.813824,-0.825982,0.824511,-0.824492,-0.669468,0.669468,0
-0.74,-0.909465,-0.724696,-0.958678,-0.6,-0.906088,-0.846322,-0.958656,0.897258,0.958645,0.931023,0.867957,0.909444,0.900654,0.905384,0.900697,0.690183,0.915251,-0.964551,0.821382,0.905442,0.898203,-0.904871,0.90449,-0.903973,-0.816582,0.816582,0
-0.66,-0.950617,-0.659919,-0.958678,-0.942857,-0.558282,-0.294862,-0.968992,0.518691,0.968981,0.937878,0.898106,0.950605,0.533782,0.555063,0.533411,0.653975,0.90254,-0.613153,0.785643,0.555126,0.525027,-0.555077,0.551248,-0.551262,-0.214119,0.214119,0
-0.94,-0.975309,-0.975709,-0.983471,-0.942857,-0.998584,1,-0.994832,0.99841,0.994824,0.989134,0.968094,0.975299,0.998533,0.998578,0.998504,0.932688,0.975469,-0.989577,0.980798,0.998574,0.998393,-0.998369,0.998529,-0.998329,-0.997169,0.997169,0
-0.52,-0.8107,-0.805668,-0.975207,0.142857,-0.988674,1,-1,0.987654,0.999993,0.966196,0.732282,0.810624,0.987527,0.988542,0.988005,0.393666,0.899521,-1,0.876965,0.98861,0.987144,-0.985968,0.988258,-0.9857,-0.977409,0.977409,0
-0.86,-0.884774,-0.789474,-0.958678,-0.485714,-0.906088,-0.19201,-0.989664,0.89755,0.989657,0.976881,0.862426,0.884734,0.900569,0.905377,0.900697,0.800271,0.935301,-0.961435,0.857871,0.905427,0.89842,-0.905169,0.904554,-0.904343,-0.816583,0.816583,0
-0.94,-0.950617,-0.88664,-0.958678,-0.885714,-0.97546,0.10686,-0.97416,0.973014,0.974149,0.964488,0.94299,0.950601,0.974035,0.975281,0.973988,0.925739,0.94931,-0.99236,0.913933,0.97529,0.973183,-0.974878,0.975046,-0.97464,-0.95122,0.95122,0
-0.94,-0.942387,-0.910931,-0.958678,-0.828571,-0.982539,0.330218,-0.958656,0.980591,0.95864,0.946013,0.934632,0.942366,0.981481,0.982408,0.981467,0.918976,0.94931,-0.992281,0.928185,0.982418,0.980863,-0.982025,0.982235,-0.98185,-0.965229,0.965229,0
-0.94,-0.942387,-0.88664,-0.950413,-0.885714,-0.97546,0.10686,-0.968992,0.972967,0.968979,0.958329,0.934632,0.942367,0.974007,0.975281,0.97396,0.925739,0.940601,-0.992353,0.909121,0.975291,0.973155,-0.974795,0.975046,-0.974557,-0.95122,0.95122,0
-0.76,-0.983539,-0.659919,-0.991736,-0.942857,-0.888627,0.78149,-0.989664,0.878523,0.989655,0.96961,0.947342,0.983533,0.882485,0.887817,0.882371,0.752879,0.953845,-0.953526,0.80615,0.887861,0.879378,-0.887306,0.886768,-0.886254,-0.783451,0.783451,1
-0.64,-0.82716,-0.425101,-0.958678,-0.085714,-0.68806,0.336314,-0.94832,0.659668,0.948302,0.911688,0.767538,0.827093,0.670212,0.685734,0.670421,0.536432,0.899446,-0.757651,0.663007,0.685945,0.663346,-0.685128,0.683024,-0.682413,-0.424768,0.424767,1
