@relation 'Ant16AllModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-47-weka.filters.unsupervised.attribute.Remove-R29,31'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute 'd(WMC, RFC)' numeric
@attribute #Nbugs numeric

@data
8,1,14,1,0,271,0.851981,2,3985.638468,385.000028,395.839614,258.897663,242.000045,3974.374542,3967.154396,3974.313777,98.432718,257.963176,356.996506,335.216348,3967.012298,3981.137903,271.154062,3968.066658,271.292867,2223569.016,15737322,8697,0
15,3,37,1,2,437,0.58527,2,3820.448403,385.000223,394.27148,254.607541,240.000358,3808.569416,3801.143249,3808.632563,91.181138,255.550386,484.080056,319.657629,3801.085111,3814.417649,437.724924,3801.950289,437.968631,3513080.027,14447811,7435,0
16,3,41,1,2,559,0.556086,2,3699.089888,385.000256,394.057102,254.275441,240.00041,3686.819903,3679.147999,3686.885135,90.249654,255.219513,594.721853,317.044161,3679.10693,3692.635644,559.683822,3679.958831,559.923847,4425644.035,13535247,7262,0
35,6,73,4,2,790,0.27761,4,3469.206393,383.000681,388.476512,245.751907,237.001101,3456.135559,3448.157914,3456.204276,72.897188,246.716436,807.554201,294.82198,3448.366468,3460.581454,791.568562,3448.61262,792.163812,6072013.051,11888878,4399,0
0,1,0,1,0,24,1,0,4231.733096,387,399.711146,261.847284,242,4220.943023,4214.145346,4220.885808,105.9481,260.92336,248.154026,345.09419,4214,4228.106668,23.983132,4215.186354,23.993283,202848.0014,17758043,10247,0
21,2,35,2,0,617,0.854042,3,3641.304299,384.000028,392.04209,253.617823,241.000044,3629.01116,3621.169148,3628.944888,86.406018,252.667766,651.31365,320.224921,3621.085401,3635.132047,617.46036,3621.861676,617.8187,4849038.039,13111853,6453,0
5,1,19,1,0,108,0.95965,1,4147.999036,386.000002,397.518553,259.978845,242.000003,4137.083997,4130.148302,4137.025622,101.242284,259.048258,252.184869,331.760456,4130.021524,4143.303634,108.800307,4131.092471,108.906493,903763.0065,17057128,9253,0
5,1,9,1,0,81,0.961085,2,4174.790294,385.000002,396.547601,259.978845,242.000003,4164.038064,4157.147339,4163.980067,101.242284,259.048258,251.344943,338.710791,4157.004901,4170.776187,81.232338,4158.085377,81.34511,680004.0048,17280887,9263,0
31,5,68,2,3,624,0.209682,3,3634.343407,384.000813,390.149971,247.800323,238.001312,3621.828268,3614.141669,3621.960243,76.059187,249.721845,648.041803,299.401069,3614.288846,3626.380703,625.657574,3614.658628,626.190348,4899716.04,13061175,4940,0
1,1,3,1,0,6,0.994898,1,4249.567037,386,398.493413,261.467015,242,4238.91354,4232.144728,4238.856568,105.004762,260.541743,244.072137,342.95335,4232.000541,4245.873408,6.355192,4233.157805,6.391062,50823.00039,17910068,10045,0
7,2,8,2,0,1082,0.964802,3,3179.275389,384.000002,395.101253,258.321505,241.000003,3165.188304,3156.194069,3165.11232,99.368003,257.388811,1105.814344,338.704886,3156.006468,3174.123028,1081.953275,3157.36995,1081.828556,8000316.073,9960575,8888,0
33,6,44,2,4,4238,0.207032,3,384,384.000819,389.801231,246.288449,237.001327,237,31,240,73.824115,249.176644,4009.931882,314.338989,30.755201,314.338989,4207.240891,67,4172.292992,17960688.45,203,4692,0
32,4,40,2,2,2011,0.443,3,2259.863934,384.000404,389.974358,248.485412,239.000649,2239.787936,2227.244486,2239.894864,75.58439,249.447389,2015.553121,316.936902,2227.177998,2249.439486,2011.081118,2228.037926,2011.338812,13001155.15,4959736,4831,0
1,2,1,2,0,2064,1,0,2208.17685,387,399.462138,260.541743,241,2187.317307,2174.28172,2187.207352,105.004762,259.617026,2072.236293,343.680084,2174.00046,2200.997955,2063.847242,2176.252972,2062.92715,13234369.16,4726522,10047,0
16,13,74,0,13,635,0.731905,1,3623.617667,386.000093,395.034176,244.859143,230.000156,3610.333641,3603.067166,3611.117971,86.833173,256.16401,656.863393,297.47773,3603.314631,3615.259603,636.843936,3603.979051,636.98282,4979109.041,12981782,7229,1
5,3,13,1,2,91,0.990576,1,4164.92557,386,397.518553,258.11819,240,4153.938974,4147.131298,4153.99687,100.568385,259.048258,250.996877,335.912191,4147.010165,4160.582411,91.459259,4148.087993,91.553246,763048.0055,17197843,9259,0
7,3,22,3,1,112,0.954957,3,4143.830595,384.000003,395.101253,257.388811,240.000004,4132.974232,4126.140085,4132.916283,99.0202,256.456624,251.278287,328.246858,4126.034395,4139.036361,113.248545,4127.047976,113.39022,936790.0068,17024101,8874,0
2,1,6,0,1,20,0.994898,1,4235.625101,386,398.246155,261.090023,242,4224.936449,4218.13703,4224.936449,103.73042,261.090023,241.816402,341.533307,4218.001503,4231.804461,20.306105,4219.138301,20.355222,169126.0012,17791765,9845,0
2,5,2,5,0,2,1,0,4253.641381,387,399.215481,257.386868,238,4242.680756,4236.144591,4242.624777,104.062481,256.462473,245.009569,340.87241,4236.002104,4249.69293,4.664679,4237.133465,4.691508,16950.00066,17943941,9849,0
1,3,1,3,1,1,1,0,4254.637235,387,399.462138,259.617026,240,4243.791819,4237.136415,4243.735383,104.67569,258.692868,246.002262,342.982507,4237.000526,4250.859443,2.333109,4238.156439,2.346517,8476.000329,17952415,10047,0
6,1,12,1,0,62,0.969776,3,4193.618008,384.000001,395.33783,259.6151,242.000002,4183.006096,4176.146669,4182.948362,100.304536,258.683204,243.000854,336.609566,4176.008619,4189.544367,62.55984,4177.057816,62.698561,521680.0037,17439211,9071,0
6,1,8,0,1,43,0.898151,0,4212.813074,387.000013,398.252432,259.6151,242.000021,4201.974417,4195.137781,4201.974417,99.959992,259.6151,242.804845,340.124977,4195.002943,4208.765852,43.276936,4196.053026,43.411953,362627.0026,17598264,9075,0
6,14,24,14,0,116,0.964752,9,4139.295592,378.000002,389.512516,247.541916,229.000003,4128.35621,4122.14859,4128.300861,100.304536,246.617112,251.592469,318.924756,4122.08307,4134.319412,118.895642,4123.07167,119.020584,969784.0073,16991107,9059,0
4,13,18,6,7,137,0.718916,7,4118.567834,380.000104,391.938771,249.230817,230.000172,4107.444583,4101.095585,4107.784926,100,254.778335,266.854736,328.841907,4101.032204,4114.163098,137.993299,4102.123474,138.016407,1142461.008,16818430,9445,0
8,3,38,0,3,233,0.936385,3,4023.366874,384.000005,394.867066,257.029181,240.000008,4012.184567,4005.127838,4012.304699,97.406365,258.897663,312.618804,319.757721,4005.080141,4017.744392,234.374135,4006.05654,234.495875,1920657.014,16040234,8673,1
2,7,22,2,5,222,0.877315,2,4034.412101,385.00002,397.276981,255.538647,236.000032,4022.928287,4016.11205,4023.164923,102.489024,259.237343,315.82079,328.975683,4016.032346,4029.4517,222.600765,4017.195539,222.56852,1832410.013,16128481,9829,0
5,4,20,0,4,145,0.936799,1,4111.161028,386.000005,397.518553,257.188647,239.000008,4099.971951,4093.117394,4100.147924,99.929975,259.978845,269.166107,331.802652,4093.021581,4106.426914,145.618954,4094.102344,145.684887,1208015.009,16752876,9252,0
3,0,4,0,0,20,0.989822,6,4235.17237,381,393.153914,261.644797,243,4224.993846,4218.145209,4224.936449,103.121288,260.716321,243.809705,342.947518,4218.000546,4231.918832,20.098241,4219.115192,20.178954,169124.0012,17791767,9652,0
5,6,12,3,3,86,0.918986,5,4169.535706,382.000009,393.635618,255.331157,237.000014,4158.758589,4152.123312,4158.873044,100.244701,257.188647,250.21343,335.180548,4152.011835,4165.507172,86.574644,4153.086683,86.661855,721552.0052,17239339,9260,0
6,11,6,10,1,10,1,6,4245.131918,381,392.424515,250.319795,232,4234.3604,4228.136705,4234.3604,99.959992,250.319795,241.225581,334.522047,4228.013218,4241.213152,14.546674,4229.044809,14.645305,84666.0013,17876225,9077,0
4,6,13,1,5,83,0.91854,2,4172.798821,385.000009,396.788357,255.704908,237.000014,4161.753717,4155.108302,4161.983421,100.578328,259.416653,248.219592,335.912191,4155.010145,4168.556345,83.526396,4156.108877,83.576673,696632.005,17264259,9450,0
1,8,1,6,2,3,1,3,4252.373572,384,396.556427,255.001961,235,4241.51506,4235.128569,4241.570582,104.355163,255.923817,246.021068,340.898812,4235.002078,4248.698271,5.157582,4236.156985,5.170844,25420.00055,17935471,10047,0
2,1,6,0,1,20,0.994898,1,4235.625101,386,398.246155,261.090023,242,4224.936449,4218.13703,4224.936449,103.73042,261.090023,241.816402,341.533307,4218.001503,4231.804461,20.306105,4219.138301,20.355222,169126.0012,17791765,9845,0
4,4,5,3,1,24,0.984772,2,4231.550661,385,396.788357,257.559702,239,4220.772086,4214.13716,4220.772086,101.843017,257.559702,243.188961,340.124977,4214.00293,4227.703987,24.50054,4215.093356,24.593537,202853.0015,17758038,9458,0
8,6,21,3,3,70,0.957389,7,4185.286609,380.000002,390.97826,254.230211,237.000004,4174.732686,4168.122839,4174.846704,97.406365,256.095685,236.575771,328.933124,4168.031331,4180.95934,71.846848,4169.015231,72.001555,588441.0044,17372450,8690,0
4,6,10,4,2,125,0.92948,3,4130.886709,384.000006,395.81814,255.704908,237.000011,4119.822569,4113.132383,4119.880217,101.513546,256.632032,267.90205,335.876465,4113.010329,4126.691411,125.335511,4114.120198,125.398684,1043885.008,16917006,9453,0
9,0,16,0,0,60,0.916524,1,4195.793131,386.000009,396.581643,259.48025,243.000014,4185.060693,4178.146599,4185.002748,97.498718,258.544,238.611696,334.551939,4178.0133,4191.373164,60.901272,4178.990907,61.105011,504976.0036,17455915,8512,0
10,1,22,1,0,117,0.909413,2,4138.945035,385.000011,395.379565,258.193726,242.000017,4128.099442,4121.148626,4128.04094,96.56604,257.256681,253.486477,329.70593,4121.028731,4134.168236,117.987645,4121.982654,118.202925,978025.0071,16982866,8325,0
2,0,3,0,0,7,0.989822,1,4248.571172,386,398.246155,262.017175,243,4237.972393,4231.144762,4237.915171,104.062481,261.090023,244.096838,343.656806,4231.000244,4244.933568,7.130103,4232.134804,7.189976,59286.00042,17901605,9848,0
2,1,3,1,0,7,0.989822,2,4248.480434,385,397.276981,261.090023,242,4237.915171,4231.144762,4237.858185,104.062481,260.16341,244.09845,342.95335,4231.000542,4244.876677,7.304484,4232.134804,7.362939,59286.00044,17901605,9848,0
13,5,32,3,2,158,0.932992,8,4097.565253,379.000006,388.8573,253.402841,238.000009,4086.935771,4080.133454,4086.994128,93.048375,254.342289,266.691969,321.474727,4080.068367,4092.645355,159.750765,4080.927468,160.005088,1314276.01,16646615,7784,0
11,17,26,16,2,362,0.847675,24,3892.960955,363.000032,373.751254,242.89298,226.000051,3882.583161,3876.140477,3882.583161,94.92102,242.89298,424.305259,316.096504,3876.108469,3888.86783,363.147599,3877.021666,363.317027,2937294.022,15023597,8142,0
4,6,5,5,1,16,0.984772,0,4239.699636,387,398.729231,255.704908,237,4228.64671,4222.1369,4228.64671,101.843017,255.704908,242.537859,338.7226,4222.004808,4235.565724,17.214173,4223.091285,17.304111,135365.0011,17825526,9458,0
5,5,15,4,1,137,0.883857,2,4119.032168,385.000018,396.547601,256.259634,238.000028,4107.900315,4101.140939,4107.900315,100.900942,256.259634,269.374916,332.367267,4101.019748,4114.446378,137.577471,4102.100194,137.668982,1142458.008,16818433,9257,0
4,2,7,1,1,20,0.984772,0,4235.71635,387,398.729231,259.416653,241,4224.879288,4218.13703,4224.879288,101.843017,259.416653,240.824511,340.119097,4218.002934,4231.690561,20.601203,4219.092319,20.694248,169127.0012,17791764,9456,0
37,51,146,46,8,2046,0.385822,64,2215.669876,323.000584,329.086615,202.071769,192.000982,2200.392692,2192.16628,2200.745328,68.541958,205.876176,2046.538667,220.49263,2195.538556,2203.061733,2049.752879,2192.905151,2050.06459,13155926.16,4804965,4070,0
3,23,3,23,0,3,1,7,4252.014229,380,392.184905,240.435022,220,4240.710436,4235.144626,4240.658675,103.121288,239.520354,244.034976,327.867351,4235.035037,4247.672539,17.483345,4236.110716,17.498064,25422.00617,17935469,9653,0
3,6,6,5,1,25,0.987297,4,4230.37327,383,395.092394,256.082018,237,4219.660887,4213.137192,4219.660887,102.786186,256.082018,242.30659,338.008876,4213.005958,4226.537472,25.97626,4214.116515,26.04538,211281.0016,17749610,9650,0
9,3,19,2,1,119,0.935518,5,4136.675598,382.000005,392.689445,256.672944,240.000009,4125.986064,4119.140323,4125.986064,97.144223,256.672944,257.096144,331.034741,4119.023995,4132.280847,119.815897,4120.005097,120.000997,994502.0072,16966389,8509,0
8,1,42,1,0,485,0.775527,8,3772.088281,379.000067,390.00641,258.897663,242.000104,3760.794198,3753.163199,3760.729982,98.432718,257.963176,525.679857,316.395322,3753.109727,3766.313184,485.813696,3754.127462,485.900441,3875677.03,14085214,8669,0
11,3,36,3,0,314,0.931062,7,3942.356656,380.000006,390.283231,255.970701,240.00001,3931.332598,3924.156088,3931.271677,95.634722,255.033331,377.908555,318.813425,3924.088006,3936.930022,315.070374,3925.009172,315.267759,2562904.019,15397987,8132,0
4,3,13,3,0,86,0.925276,5,4169.535706,382.000007,393.878154,258.487911,240.000012,4158.930632,4152.147517,4158.873044,102.181212,257.559702,249.274469,334.480194,4152.013567,4165.450876,86.633612,4153.109678,86.72194,721553.0052,17239338,9450,0
11,8,27,2,7,218,0.245804,3,4038.298652,384.000741,394.178893,251.288679,235.00121,4026.862923,4020.097511,4027.157807,93.300589,255.970701,309.457375,325.576412,4020.047381,4033.162531,218.902824,4020.985078,219.065765,1800271.013,16160620,8141,0
28,26,89,17,14,817,0.000012,42,3438.352222,345.001449,352.432972,228.632893,217.002304,3427.875435,3421.064454,3428.391168,75,236.239285,831.547599,274.934538,3421.71936,3432.030012,820.070726,3421.757589,820.427438,6257492.054,11703399,5342,3
28,26,89,17,14,817,0.000012,42,3438.352222,345.001449,352.432972,228.632893,217.002304,3427.875435,3421.064454,3428.391168,75,236.239285,831.547599,274.934538,3421.71936,3432.030012,820.070726,3421.757589,820.427438,6257492.054,11703399,5342,3
28,26,89,17,14,817,0.000012,42,3438.352222,345.001449,352.432972,228.632893,217.002304,3427.875435,3421.064454,3428.391168,75,236.239285,831.547599,274.934538,3421.71936,3432.030012,820.070726,3421.757589,820.427438,6257492.054,11703399,5342,3
9,7,50,2,5,348,0.76073,3,3908.907264,384.000074,394.635275,252.936751,236.000121,3897.152294,3890.11568,3897.396567,95.817535,256.672944,399.36368,310.497987,3890.15384,3902.372227,349.728188,3891.06425,349.830273,2828594.022,15132297,8478,0
19,14,45,4,10,458,0.004526,17,3798.065297,370.001339,378.762458,242.903273,229.002164,3786.930287,3780.082671,3787.485181,84.770278,251.406046,499.931892,312.166622,3780.143413,3792.868044,459.227815,3780.867758,459.493204,3672289.029,14288602,6763,0
30,15,109,4,13,929,0.000569,7,3330.747814,380.001314,386.393582,238.503669,228.002191,3316.84564,3309.073133,3317.54804,73.375745,248.080632,937.455096,275.114522,3309.739892,3320.416992,931.687173,3309.740322,932.070059,7011272.062,10949619,5038,1
4,6,17,2,4,70,0.917161,4,4185.560058,383.000009,394.848072,255.704908,237.000014,4174.732686,4168.115282,4174.904071,100.881118,258.487911,240.383181,332.415403,4168.019284,4181.234746,71.151946,4169.10542,71.211991,588437.0043,17372454,9446,0
6,9,22,4,5,105,0.870202,9,4150.249752,378.000022,389.512516,252.174543,234.000036,4139.618944,4133.108878,4139.846978,98.671171,255.890602,248.270183,327.519465,4133.037366,4145.956826,106.479986,4134.068819,106.569954,878977.0064,17081914,9061,0
8,11,28,5,6,366,0.840522,9,3890.407177,378.000034,389.034703,249.57564,232.000055,3878.944186,3872.108599,3879.246447,96.462428,254.230211,426.12586,322.691803,3872.064807,3885.423272,366.704812,3873.092821,366.771624,2968288.023,14992603,8683,0
13,11,34,5,7,199,0.076839,8,4056.742782,379.001124,388.8573,247.776109,232.001837,4045.657549,4039.097053,4045.947355,91.394748,252.463859,291.388889,318.650279,4039.086565,4051.550197,200.78045,4039.936881,200.989942,1647157.012,16313734,7782,0
17,6,42,5,1,936,0.352569,6,3323.908091,381.00055,389.935892,251.11352,237.000884,3310.494374,3302.175041,3310.494374,89.693924,251.11352,956.521681,313.359219,3302.152496,3316.83554,936.491295,3303.042991,936.674399,7057482.062,10903409,7094,0
3,3,3,2,1,3,1,1,4252.554644,386,398.001256,258.860967,240,4241.795021,4235.13648,4241.795021,102.786186,258.860967,244.018383,342.25137,4235.000954,4248.807009,4.127189,4236.110716,4.183289,25422.00034,17935469,9653,0
24,23,24,3,20,24,1,0,4231.733096,387,394.391937,232.757384,220,4219.738854,4214.026697,4220.772086,77.466122,250.792743,224.289703,326.879183,4214.039367,4226.658964,30.210634,4214.685279,30.524746,202872.0022,17758019,5999,0
7,14,26,5,9,199,0.403995,2,4057.307728,385.000461,396.073226,247.163913,229.000776,4045.486621,4039.083683,4045.947355,96.56604,254.593794,297.286872,324.052465,4039.05481,4051.978652,200.153903,4040.070544,200.217845,1647149.012,16313742,8870,0
3,6,14,5,2,52,0.55343,5,4203.393867,382.000261,394.123077,256.082018,237.000421,4192.703782,4186.130074,4192.703782,102.459748,256.082018,238.75091,332.352223,4186.019393,4199.173014,53.536826,4187.123714,53.592694,438062.0033,17522829,9642,0
3,7,11,5,3,37,0.665109,8,4218.061403,379.000148,391.216053,255.156814,236.000238,4207.623676,4201.121874,4207.679883,102.142058,256.082018,238.899931,334.462255,4201.013454,4214.293061,38.503595,4202.119703,38.554854,312254.0024,17648637,9645,0
3,7,14,6,2,52,0.55343,6,4203.303106,381.000262,393.153914,255.156814,236.000423,4192.647374,4186.130074,4192.647374,102.459748,255.156814,238.763222,331.639865,4186.021622,4199.116693,53.710827,4187.123714,53.766514,438062.0033,17522829,9642,0
12,2,42,1,1,236,0.890745,2,4020.476216,385.000016,394.929108,256.563832,241.000025,4009.24993,4002.144425,4009.24993,94.339811,256.563832,312.256669,316.395322,4002.1029,4014.487514,237.722734,4002.967399,237.949252,1944682.014,16016209,7949,0
18,21,71,5,16,661,0.668157,10,3596.8122,377.000146,385.814722,236.660094,222.000248,3583.882392,3577.050461,3584.842814,84.172442,250.784768,683.012867,295.20332,3577.347914,3589.160626,662.957951,3577.93977,663.119342,5165786.042,12795105,6900,0
4,1,13,0,1,45,0.974672,0,4210.821535,387.000001,398.729231,260.345924,242.000001,4199.977738,4193.137847,4199.977738,101.843017,260.345924,238.2523,336.630361,4193.008542,4206.491293,45.779836,4194.09883,45.868459,379408.0027,17581483,9450,0
3,1,5,1,0,24,0.974594,0,4231.733096,387.000001,398.971177,260.716321,242.000001,4220.943023,4214.145346,4220.885808,103.121288,259.788375,243.177756,341.533307,4214.001504,4227.817522,24.246041,4215.11625,24.325429,202853.0014,17758038,9651,0
7,3,25,1,2,211,0.966046,1,4045.457329,386.000001,397.045338,257.388811,240.000002,4034.145387,4027.13521,4034.205002,98.681305,258.321505,305.990414,327.665989,4027.037713,4040.308652,211.711836,4028.073733,211.82409,1743940.013,16216951,8871,0
7,2,7,2,0,7,1,1,4248.571172,386,397.045338,258.321505,241,4237.858185,4231.144762,4237.801435,99.368003,257.388811,240.101735,339.411255,4231.003817,4244.591971,9.003779,4232.021975,9.139359,59290.00068,17901601,8889,0
2,3,2,3,0,2,1,1,4253.550517,386,398.246155,259.237343,240,4242.793419,4236.144591,4242.73697,104.062481,258.311827,245.008604,342.265978,4236.000944,4249.804937,3.454647,4237.133465,3.490788,16950.00036,17943941,9849,0
7,10,23,2,8,139,0.41034,3,4116.947534,384.000453,395.101253,250.874471,233.000746,4105.616884,4099.088923,4106.020092,96.840074,257.388811,263.501704,328.292552,4099.034434,4112.125606,140.051037,4100.054878,140.135627,1158866.008,16802025,8873,0
4,6,15,5,2,83,0.550606,5,4172.523098,382.000264,393.878154,255.704908,237.000426,4161.753717,4155.131045,4161.753717,101.513546,255.704908,246.412379,331.651926,4155.021744,4168.215206,84.078942,4156.108877,84.151326,696634.0051,17264257,9448,0
1,16,1,15,1,1,1,3,4254.365405,384,396.556427,247.648945,227,4243.076478,4237.136415,4243.076478,104.67569,247.648945,246.005969,334.731236,4237.012673,4250.201642,10.410332,4238.156439,10.413345,8476.006508,17952415,10047,0
8,10,23,5,5,198,0.772037,9,4057.64513,378.000069,389.034703,250.505489,233.000112,4046.713358,4040.111385,4046.945638,96.767763,254.230211,298.861971,326.105811,4040.044623,4053.140141,198.925433,4041.047389,199.040063,1639067.012,16321824,8688,0
10,17,36,5,12,253,0.106276,3,4003.45863,384.00104,394.405882,243.261177,226.001767,3991.403387,3985.066373,3992.041332,92.892411,253.513313,329.246108,317.316876,3985.096809,3997.613663,254.582027,3986.016182,254.682772,2080455.016,15880436,8311,0
0,4,0,2,2,0,1,0,4255.63309,387,399.711146,259.077209,239,4244.733796,4238.128478,4244.790219,105.304321,260,247,344.396574,4238.000057,4251.970484,0.697616,4239.179638,0.697616,0.697616,17960891,10247,0
3,7,14,4,3,92,0.987543,0,4164.022694,387,398.971177,255.156814,236,4152.711403,4146.123491,4152.825544,102.142058,257.007782,250.492518,333.066059,4146.017448,4159.356801,92.787896,4147.134553,92.827655,771342.0056,17189549,9642,0
7,9,26,5,4,263,0.859148,9,3992.932381,378.000026,389.272398,251.803495,234.000042,3981.88159,3975.120879,3982.059015,98.030607,254.593794,343.320092,324.052465,3975.055692,3988.186931,263.847971,3976.087776,263.931965,2160045.016,15800846,8870,0
3,9,11,5,4,76,0.954704,0,4179.953708,387.000003,398.971177,253.308113,234.000004,4168.572897,4162.115448,4168.742376,101.833197,256.082018,247.950145,334.462255,4162.01358,4175.417225,76.752973,4163.130193,76.789037,638411.0046,17322480,9645,0
11,12,38,5,7,394,0.794676,9,3862.540615,378.000056,388.336195,247.552015,231.000091,3850.934562,3844.101976,3851.299131,93.300589,253.160028,445.551608,315.990506,3844.110173,3856.965906,395.099873,3845.030169,395.222505,3184346.024,14776545,8130,0
8,11,30,5,6,299,0.842091,9,3957.095526,378.000033,389.034703,249.57564,232.000054,3945.826276,3939.106752,3946.123414,96.462428,254.230211,369.17592,321.337829,3939.071637,3952.085399,299.963928,3940.074238,300.047338,2444953.018,15515938,8681,0
6,14,29,5,9,224,0.83005,9,4031.758921,378.000038,389.512516,247.541916,229.000063,4020.526956,4014.084204,4020.99055,97.529483,254.960781,312.426458,322.013975,4014.066354,4026.895703,225.229956,4015.100497,225.264639,1848477.014,16112414,9054,0
28,23,45,6,23,204,0.550007,18,4050.841518,369.000274,375.958774,231.482181,220.00046,4039.994554,4034.017848,4040.897425,72.99315,246.738728,287.012667,310.644491,4034.147095,4045.943153,206.997418,4034.642487,207.418002,1687533.013,16273358,5386,0
6,18,8,15,3,39,0.942478,15,4215.446003,372.000004,383.692585,243.846263,225.000007,4205.0239,4199.121932,4205.131389,99.297533,245.692898,242.26808,329.620994,4199.028509,4211.917734,41.963442,4200.052023,42.076002,329051.0028,17631840,9075,0
4,12,5,8,4,18,0.984772,7,4237.074462,380,391.938771,250.153953,231,4226.317664,4220.113861,4226.482698,100.881118,252.926867,242.691502,336.630361,4220.008488,4233.405249,19.90384,4221.091802,19.970133,152249.0013,17808642,9458,0
