@relation 'ACPLocRfcCa-weka.filters.unsupervised.attribute.Remove-R1-2,5-30,32-weka.filters.unsupervised.attribute.NumericToBinary-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.879104,0.809702,0.798567,-0.808905,1
-0.977788,0.93259,0.928637,-0.932462,1
-0.391748,0.350537,0.314186,-0.349168,1
-0.391748,0.350537,0.314186,-0.349168,1
-0.391748,0.350537,0.314186,-0.349168,1
-0.391748,0.350537,0.314186,-0.349168,1
-0.73515,0.669075,0.648961,-0.666344,1
-0.73515,0.669075,0.648961,-0.666344,1
-0.402404,0.36068,0.324252,-0.358751,1
-0.402404,0.36068,0.324252,-0.358751,1
-0.674733,0.61459,0.593348,-0.614168,1
-0.674733,0.61459,0.593348,-0.614168,1
-0.910435,0.84385,0.834766,-0.843312,1
-0.910435,0.84385,0.834766,-0.843312,1
-0.475274,0.429113,0.397653,-0.42831,1
-0.475274,0.429113,0.397653,-0.42831,1
-0.986928,0.957272,0.954776,-0.957323,1
-0.986928,0.957272,0.954776,-0.957323,1
-0.829246,0.761303,0.747494,-0.760479,1
-0.829246,0.761303,0.747494,-0.760479,1
-0.906747,0.841458,0.832424,-0.841172,1
-0.723362,0.658804,0.639451,-0.657964,1
-0.76605,0.70101,0.684098,-0.700365,1
-0.890492,0.828637,0.818965,-0.828419,1
-0.991084,0.966292,0.964301,-0.966337,1
-0.928032,0.86426,0.856279,-0.8637,1
-0.748645,0.680725,0.662079,-0.679273,1
-0.988147,0.958776,0.955377,-0.955116,0
-0.985216,0.957746,0.955304,-0.957842,0
-0.722764,0.6606,0.642003,-0.660354,0
-0.991163,0.998576,0.998456,-0.998584,0
-0.98556,0.94873,0.945674,-0.948628,0
-0.555914,0.503436,0.474694,-0.501461,0
-0.958943,0.906006,0.900601,-0.905881,0
-0.971231,0.920725,0.91607,-0.920521,0
-0.993266,0.990504,0.989917,-0.990659,0
-0.99363,0.995255,0.994773,-0.994297,0
-0.887452,0.821519,0.811445,-0.821272,0
-0.980536,0.938284,0.934695,-0.938249,0
-0.992578,0.994777,0.994457,-0.994975,0
-0.993877,0.987183,0.986308,-0.987035,0
-0.958529,0.904585,0.899057,-0.904385,0
-0.845013,0.779734,0.767557,-0.779628,0
-0.976336,0.934957,0.931274,-0.935043,0
-0.633059,0.573124,0.548286,-0.571269,0
-0.99381,0.987208,0.985825,-0.983682,0
-0.931269,0.868514,0.860955,-0.86823,0
-0.959282,0.905535,0.900055,-0.90533,0
-0.989578,0.964867,0.962829,-0.964975,0
-0.991172,0.999527,0.999344,-0.997719,0
-0.98839,0.950632,0.947623,-0.950392,0
-0.889342,0.826721,0.817157,-0.826693,0
-0.458008,0.412406,0.380565,-0.411965,0
-0.954184,0.897943,0.892002,-0.897684,0
-0.990682,0.958226,0.955676,-0.958054,0
-0.991398,0.957754,0.955108,-0.95745,0
-0.85067,0.780772,0.767943,-0.779841,0
-0.976771,0.931638,0.927686,-0.931586,0
-0.664034,0.602833,0.580361,-0.601873,0
-0.4424,0.40081,0.369995,-0.401098,0
-0.958285,0.906473,0.901241,-0.906543,0
-0.93485,0.876098,0.869095,-0.876001,0
-0.968105,0.914092,0.908901,-0.913596,0
-0.986015,0.944961,0.941275,-0.943837,0
-0.990258,0.969614,0.967867,-0.969769,0
-0.993817,0.986707,0.985877,-0.986791,0
-0.972622,0.927835,0.923789,-0.927936,0
-0.992578,0.994777,0.994457,-0.994975,0
-0.970403,0.930204,0.926457,-0.930466,0
-0.992853,0.981492,0.980123,-0.980753,0
-0.993061,0.973889,0.972308,-0.973914,0
-0.982237,0.941133,0.937689,-0.941073,0
-0.979324,0.934963,0.931155,-0.934862,0
-0.879447,0.814398,0.803952,-0.814151,0
-0.992446,0.977211,0.975873,-0.977343,0
-0.987298,0.953001,0.950234,-0.95298,0
-0.992975,0.988132,0.987311,-0.987977,0
-0.778928,0.714396,0.69765,-0.713069,0
-0.886312,0.82104,0.810988,-0.820848,0
-0.987747,0.954899,0.952254,-0.954899,0
-0.993829,0.99098,0.990392,-0.991055,0
-0.820987,0.7574,0.7443,-0.757445,0
-0.211132,0.183713,0.139876,-0.183109,1
-0.211132,0.183713,0.139876,-0.183109,1
-0.211132,0.183713,0.139876,-0.183109,1
-0.211132,0.183713,0.139876,-0.183109,1
-0.728934,0.664112,0.644597,-0.662712,1
-0.728934,0.664112,0.644597,-0.662712,1
-0.728934,0.664112,0.644597,-0.662712,1
-0.843265,0.774156,0.760797,-0.772963,1
-0.843265,0.774156,0.760797,-0.772963,1
-0.843265,0.774156,0.760797,-0.772963,1
-0.976431,0.931166,0.92714,-0.931057,1
-0.976431,0.931166,0.92714,-0.931057,1
-0.779787,0.711987,0.695301,-0.710882,1
-0.779787,0.711987,0.695301,-0.710882,1
-0.95666,0.898421,0.89246,-0.898079,1
-0.95666,0.898421,0.89246,-0.898079,1
-0.892177,0.82768,0.818041,-0.827539,1
-0.892177,0.82768,0.818041,-0.827539,1
-0.905898,0.841467,0.832346,-0.841062,1
-0.905898,0.841467,0.832346,-0.841062,1
-0.99281,0.97484,0.973262,-0.974764,1
-0.948399,0.887979,0.881437,-0.88762,1
-0.991672,0.998101,0.997977,-0.998294,1
-0.838631,0.772157,0.759396,-0.771837,1
-0.964254,0.906028,0.900333,-0.905431,1
-0.977233,0.933065,0.929137,-0.932949,1
-0.991659,0.997627,0.997389,-0.997236,1
-0.695656,0.634079,0.613679,-0.633537,1
-0.947364,0.8875,0.880982,-0.887233,1
-0.99312,0.995252,0.994932,-0.99536,1
-0.701502,0.640667,0.620998,-0.640386,1
-0.974889,0.938275,0.934986,-0.93855,1
-0.972136,0.923098,0.918588,-0.922917,1
-0.960108,0.907426,0.902168,-0.907369,1
-0.964105,0.909811,0.904501,-0.909525,1
-0.74831,0.682981,0.665071,-0.682281,1
-0.92706,0.858593,0.850057,-0.85761,1
-0.775108,0.708599,0.692121,-0.707962,1
-0.775108,0.708599,0.692121,-0.707962,1
-0.979323,0.928805,0.924442,-0.928302,1
-0.930941,0.856849,0.847313,-0.853717,1
-0.990597,0.967717,0.9658,-0.967769,1
-0.932929,0.874675,0.867575,-0.874554,1
-0.488638,0.440907,0.410412,-0.440418,1
-0.86479,0.798739,0.787398,-0.798424,1
-0.86479,0.798739,0.787398,-0.798424,1
-0.86479,0.798739,0.787398,-0.798424,1
-0.890731,0.822046,0.81155,-0.821181,1
-0.890731,0.822046,0.81155,-0.821181,1
-0.845284,0.778802,0.766403,-0.778523,1
-0.845284,0.778802,0.766403,-0.778523,1
-0.632162,0.573444,0.549257,-0.572323,1
-0.632162,0.573444,0.549257,-0.572323,1
-0.984121,0.946828,0.943747,-0.946846,1
-0.984121,0.946828,0.943747,-0.946846,1
-0.885721,0.818746,0.807919,-0.817666,1
-0.885721,0.818746,0.807919,-0.817666,1
-0.940318,0.882265,0.875652,-0.882219,1
-0.975005,0.929286,0.924875,-0.928645,1
-0.913488,0.849524,0.840971,-0.849264,1
-0.97764,0.937805,0.934292,-0.937911,1
-0.849768,0.781673,0.76923,-0.781155,1
-0.849768,0.781673,0.76923,-0.781155,1
-0.849768,0.781673,0.76923,-0.781155,1
0.034143,-0.042946,-0.100289,0.044862,1
0.034143,-0.042946,-0.100289,0.044862,1
0.034143,-0.042946,-0.100289,0.044862,1
-0.96506,0.909832,0.904273,-0.909082,1
-0.96506,0.909832,0.904273,-0.909082,1
-0.96506,0.909832,0.904273,-0.909082,1
-0.91493,0.851896,0.843486,-0.851693,1
-0.91493,0.851896,0.843486,-0.851693,1
-0.981349,0.936866,0.933082,-0.93661,1
-0.981349,0.936866,0.933082,-0.93661,1
-0.641356,0.581923,0.558489,-0.581088,1
-0.641356,0.581923,0.558489,-0.581088,1
-0.8507,0.783092,0.770765,-0.782618,1
-0.8507,0.783092,0.770765,-0.782618,1
-0.8507,0.783092,0.770765,-0.782618,1
-0.810547,0.744162,0.729827,-0.743781,1
-0.810547,0.744162,0.729827,-0.743781,1
-0.955204,0.897468,0.891506,-0.897204,1
-0.944159,0.88324,0.876352,-0.882746,1
-0.917537,0.853797,0.845462,-0.853546,1
-0.939095,0.879442,0.870008,-0.871342,1
-0.967656,0.917397,0.912646,-0.91733,1
-0.987747,0.954899,0.952254,-0.954902,1
-0.946524,0.890339,0.884111,-0.89025,1
-0.99095,0.956806,0.954087,-0.956446,1
-0.852057,0.785452,0.773363,-0.785107,1
-0.992841,0.971516,0.969767,-0.97147,1
-0.916851,0.852854,0.844394,-0.852488,1
-0.97237,0.920263,0.915411,-0.919742,1
-0.995421,0.979114,0.977727,-0.978856,1
-0.989517,0.967372,0.964072,-0.960217,1
-0.985367,0.955845,0.953373,-0.956034,1
-0.92969,0.863349,0.854999,-0.862242,1
-0.99421,0.996682,0.996203,-0.994568,0
-0.993206,0.997632,0.997185,-0.994855,0
-0.857451,0.792546,0.781097,-0.792472,0
-0.991545,0.970565,0.968794,-0.970585,0
-0.714054,0.655782,0.637665,-0.655997,0
-0.9843,0.946355,0.943202,-0.946301,0
-0.979943,0.937336,0.933674,-0.937248,0
-0.992408,0.979602,0.97796,-0.978101,0
-0.977127,0.930725,0.926217,-0.929623,0
-0.990468,0.957751,0.955177,-0.957594,0
-0.977865,0.930222,0.92605,-0.929939,0
-0.980796,0.940182,0.936715,-0.940166,0
-0.982805,0.93593,0.931902,-0.935253,0
-0.99443,0.975319,0.973645,-0.974867,0
-0.992164,0.997151,0.996954,-0.997285,0
-0.992925,0.984332,0.983384,-0.984455,0
-0.968143,0.915032,0.910014,-0.914738,0
-0.992705,0.998102,0.997883,-0.99752,0
-0.992411,0.992403,0.99194,-0.992587,0
-0.029992,0.019969,-0.027698,-0.020467,0
-0.914412,0.850471,0.841994,-0.850247,0
-0.976917,0.934483,0.930774,-0.93455,0
-0.990861,0.964394,0.962281,-0.964411,0
-0.99269,0.974363,0.972808,-0.974397,0
-0.993946,0.984333,0.983335,-0.984326,0
-0.989252,0.95064,0.947485,-0.950063,0
-0.974457,0.927922,0.92083,-0.913777,0
-0.992388,0.981484,0.980367,-0.981601,0
-0.994482,0.971992,0.970217,-0.971816,0
-0.992191,0.998587,0.998065,-0.993515,0
-0.972257,0.92215,0.917567,-0.921936,0
-0.991173,0.999525,0.999476,-0.999499,0
-0.989964,0.988604,0.988048,-0.98893,0
-0.798245,0.730912,0.715582,-0.730249,0
-0.986738,0.953958,0.951076,-0.953598,0
-0.992991,0.984809,0.983793,-0.984678,0
-0.989582,0.955853,0.953158,-0.955663,0
-0.992537,0.977688,0.97626,-0.977565,0
-0.987862,0.956331,0.953594,-0.956004,0
-0.990182,0.958228,0.955631,-0.957976,0
-0.990284,0.968189,0.966369,-0.968354,0
-0.925834,0.869905,0.86297,-0.870151,0
-0.992644,0.984532,0.981745,-0.967949,0
-0.990598,0.996676,0.99653,-0.997001,0
-0.769104,0.707079,0.691325,-0.707149,0
-0.991171,0.999529,0.999237,-0.996191,0
-0.992527,0.988606,0.987878,-0.988676,0
-0.986583,0.947312,0.94406,-0.94698,0
-0.993713,0.997153,0.996813,-0.996132,0
-0.972207,0.922623,0.918089,-0.922453,0
-0.991173,0.999525,0.999498,-0.999728,0
-0.988046,0.958696,0.956294,-0.958762,0
-0.890713,0.824845,0.814913,-0.82455,0
-0.992149,0.996676,0.996478,-0.99692,0
-0.872356,0.808205,0.797679,-0.808186,0
-0.975281,0.928792,0.924645,-0.928693,0
-0.991172,0.999526,0.999432,-0.998932,0
-0.991172,0.999526,0.999388,-0.998329,0
-0.991171,0.999532,0.999154,-0.99498,0
-0.961187,0.907431,0.902098,-0.907287,0
-0.992501,0.979584,0.978392,-0.979756,0
-0.987025,0.950628,0.947692,-0.950545,0
-0.98978,0.9606,0.958174,-0.960427,0
-0.995812,0.97864,0.977204,-0.978333,0
-0.973345,0.925943,0.921651,-0.925867,0
-0.922676,0.864687,0.857359,-0.864845,0
-1,0.990991,0.990041,-0.988718,0
-0.92963,0.866144,0.858416,-0.865825,0
-0.992835,0.991455,0.990828,-0.991241,0
-0.991172,0.999525,0.999454,-0.999223,0
-0.985367,0.949203,0.946219,-0.949169,0
-0.990759,0.966767,0.964801,-0.966817,0
-0.993231,0.986232,0.98538,-0.986324,0
-0.957543,0.906945,0.901788,-0.907061,0
-0.991386,0.967246,0.965185,-0.967047,0
-0.973481,0.92121,0.916433,-0.920738,0
-0.992197,0.998576,0.998429,-0.998339,0
-0.057534,0.043801,-0.004571,-0.044088,0
-0.974641,0.927842,0.923647,-0.927739,0
-0.991672,0.998101,0.997999,-0.998382,0
-0.990588,0.966292,0.964302,-0.966339,0
-0.992231,0.966769,0.964752,-0.966719,0
-0.993435,0.984333,0.983359,-0.984397,0
-0.993231,0.986232,0.98538,-0.986328,0
-0.992547,0.974394,0.972277,-0.972137,0
-0.993512,0.984808,0.983836,-0.98481,0
-0.99006,0.954905,0.952114,-0.954619,0
-0.991911,0.968667,0.966773,-0.968643,0
-0.994091,0.985285,0.984244,-0.984937,0
-0.990186,0.963919,0.961783,-0.963952,0
-0.942856,0.881334,0.874429,-0.880995,0
-0.992647,0.985756,0.984905,-0.985926,0
-0.994436,0.975318,0.973667,-0.974944,0
-0.991686,0.99905,0.998975,-0.999137,0
-0.807114,0.743169,0.729189,-0.743155,0
-0.994602,0.982437,0.981224,-0.982099,0
-0.927062,0.869908,0.862895,-0.870104,0
-0.986976,0.949681,0.946648,-0.949528,0
-0.993655,0.98956,0.988696,-0.98873,0
1,-1,-1,1,0
-0.981357,0.931181,0.926915,-0.930599,0
-0.965979,0.911709,0.906521,-0.911448,0
-0.993779,0.990505,0.98987,-0.990513,0
-0.994832,0.981012,0.97977,-0.980863,0
-0.993618,0.989081,0.988373,-0.989121,0
-0.747831,0.682501,0.664599,-0.681851,0
-0.991686,0.999051,0.99893,-0.998674,0
-0.987266,0.947792,0.944491,-0.947238,0
-0.993618,0.989081,0.988373,-0.989121,0
-0.831202,0.760854,0.746864,-0.759783,0
-0.987324,0.961542,0.959385,-0.96174,0
-0.984734,0.953471,0.950854,-0.95364,0
-0.913609,0.853791,0.845528,-0.853636,0
-0.986024,0.94873,0.945673,-0.948631,0
-0.968561,0.920242,0.91571,-0.920259,0
-0.993779,0.990505,0.98987,-0.990516,0
-0.991171,0.99953,0.999216,-0.995887,0
-0.990657,1,1,-1,0
-0.992189,0.998101,0.997952,-0.99815,0
-0.992704,0.998102,0.99786,-0.997286,0
-0.99443,0.975319,0.973645,-0.974867,0
-0.988312,0.958222,0.955771,-0.958241,0
-0.996206,0.978165,0.976704,-0.977848,0
-0.976356,0.931637,0.927709,-0.931629,0
-0.992923,0.992404,0.99187,-0.992354,0
-0.974149,0.928314,0.924193,-0.928279,0
-0.972075,0.915067,0.909657,-0.913934,0
-0.997637,0.993362,0.992608,-0.991246,0
-0.992237,0.990504,0.989967,-0.990767,0
-0.983964,0.948251,0.945269,-0.948303,0
-0.532099,0.486247,0.460288,-0.486639,0
-0.985641,0.947315,0.944017,-0.946872,0
