@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,35-37-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute #Normal_binarized {0,1}

@data
-0.956044,-0.948187,-0.868545,-1,-0.714286,-0.968897,0.986326,-1,0.966752,0.999989,0.995035,0.948679,0.948149,0.967508,0.96866,0.96756,0.918204,0.994972,-0.99241,0.920925,0.968667,0.966772,-0.968644,0.96846,-0.968445,-0.938277,0.938277,0
-0.340659,-0.875648,-0.276995,-0.979167,-0.428571,-0.662111,-0.884356,-0.96633,0.638766,0.966313,0.894492,0.756082,0.875582,0.647117,0.659616,0.647158,0.278286,0.85129,-0.723877,0.566789,0.659738,0.640516,-0.65898,0.657295,-0.656655,-0.3813,0.3813,1
-0.252747,-0.658031,-0.370892,-0.71875,-0.657143,-0.448162,-0.617896,-0.83165,0.409468,0.831568,0.719896,0.516435,0.657802,0.423302,0.444123,0.423133,0.233232,0.553945,-0.490697,0.456598,0.444319,0.413559,-0.443491,0.440433,-0.439797,-0.048582,0.048582,1
-0.802198,-0.906736,-0.680751,-1,-0.485714,-0.921772,0.02247,-0.973064,0.916237,0.973043,0.945467,0.874385,0.906674,0.918223,0.921177,0.918343,0.7377,0.961085,-0.974656,0.805052,0.921212,0.916413,-0.920691,0.920634,-0.920146,-0.8466,0.8466,0
-0.824176,-0.917098,-0.793427,-0.947917,-0.828571,-0.933553,0.776798,-0.96633,0.928794,0.966303,0.939551,0.889352,0.917038,0.930544,0.933065,0.930533,0.804713,0.911276,-0.978039,0.844739,0.933071,0.929044,-0.932781,0.932583,-0.932298,-0.869312,0.869312,0
-0.406593,-0.896373,-0.43662,-0.989583,-0.485714,-0.811027,-0.982024,-0.912458,0.797545,0.912417,0.833013,0.78855,0.896325,0.802595,0.809623,0.802669,0.350412,0.873728,-0.879104,0.658216,0.809702,0.798567,-0.808905,0.808242,-0.80752,-0.639904,0.639904,0
-0.912088,-0.937824,-0.793427,-0.989583,-0.657143,-0.933082,0.94141,-0.96633,0.92829,0.966303,0.949122,0.928796,0.937778,0.930097,0.932579,0.930132,0.867594,0.974219,-0.977788,0.867982,0.93259,0.928637,-0.932462,0.932145,-0.932027,-0.868401,0.868401,0
-0.076923,-0.792746,0.079812,-0.854167,-0.542857,-0.354854,-0.583644,-0.851852,0.310037,0.851779,0.732078,0.629225,0.792613,0.326306,0.350126,0.326109,0.050219,0.673592,-0.391748,0.315112,0.350537,0.314186,-0.349168,0.345801,-0.344837,0.082196,-0.082196,1
-0.098901,-0.46114,-0.042254,-0.729167,0.485714,-0.671065,-0.965226,-0.885522,0.647841,0.885469,0.77572,0.287048,0.46078,0.655568,0.668599,0.655913,-0.067334,0.539647,-0.73515,0.286178,0.669075,0.648961,-0.666344,0.666288,-0.66402,-0.396219,0.396219,1
-0.362637,-0.709845,0.126761,-0.739583,-0.657143,-0.36475,-0.021948,-0.79798,0.320218,0.797877,0.687329,0.589103,0.70964,0.336399,0.360103,0.336114,0.335952,0.596428,-0.402404,0.215598,0.36068,0.324252,-0.358751,0.355949,-0.354589,0.068739,-0.068739,1
-0.56044,-0.854922,-0.370892,-0.989583,-0.257143,-0.617342,-0.99433,-0.973064,0.591001,0.973052,0.921682,0.773804,0.854845,0.600345,0.614511,0.600448,0.470429,0.901484,-0.674733,0.622573,0.61459,0.593348,-0.614168,0.612015,-0.61167,-0.307892,0.307892,1
-0.78022,-0.896373,-0.558685,-0.989583,-0.485714,-0.844958,0.785668,-0.986532,0.834217,0.986515,0.959679,0.859432,0.896297,0.838013,0.843802,0.838101,0.715924,0.945474,-0.910435,0.727044,0.84385,0.834766,-0.843312,0.84278,-0.842288,-0.70193,0.70193,1
-0.472527,-0.740933,-0.267606,-0.833333,0.2,-0.433082,0.243644,-0.973064,0.394353,0.973042,0.913832,0.641256,0.740747,0.407777,0.428882,0.407693,0.335952,0.717631,-0.475274,0.468931,0.429113,0.397653,-0.42831,0.425247,-0.424671,-0.026856,0.026856,1
-0.934066,-0.968912,-0.887324,-0.96875,-1,-0.957587,0.779156,-0.979798,0.954556,0.979778,0.967977,0.964394,0.968889,0.955745,0.957285,0.95568,0.936138,0.957577,-0.986928,0.915796,0.957272,0.954776,-0.957323,0.956989,-0.957027,-0.916073,0.916073,1
-0.582418,-0.88601,-0.42723,-0.927083,-0.714286,-0.762959,-0.035756,-0.96633,0.746488,0.966306,0.915399,0.809575,0.885934,0.752398,0.761219,0.752329,0.554308,0.838972,-0.829246,0.614515,0.761303,0.747494,-0.760479,0.759596,-0.758852,-0.554007,0.554007,1
-0.802198,-0.958549,-0.615023,-1,-0.771429,-0.842601,0.047486,-0.973064,0.831624,0.973043,0.945467,0.92624,0.958525,0.835694,0.841445,0.835664,0.775206,0.961085,-0.906747,0.766037,0.841458,0.832424,-0.841172,0.840402,-0.840128,-0.697586,0.697586,1
-0.538462,-0.896373,-0.230047,-0.989583,-0.485714,-0.661169,-0.884984,-0.979798,0.637843,0.979788,0.928006,0.811918,0.896322,0.646184,0.658671,0.646201,0.478253,0.897363,-0.723362,0.549849,0.658804,0.639451,-0.657964,0.65642,-0.655709,-0.379733,0.379733,1
-0.538462,-0.875648,-0.41784,-0.927083,-0.657143,-0.70311,-0.40611,-0.979798,0.682636,0.979783,0.928006,0.79077,0.875571,0.689907,0.700929,0.689835,0.503322,0.830443,-0.76605,0.609281,0.70101,0.684098,-0.700365,0.698925,-0.698357,-0.450287,0.450287,1
-0.758242,-0.84456,-0.755869,-0.854167,-0.885714,-0.829877,0.786792,-0.858586,0.8174,0.858508,0.800812,0.803083,0.844446,0.822157,0.828637,0.822049,0.749489,0.798914,-0.890492,0.769319,0.828637,0.818965,-0.828419,0.827488,-0.827269,-0.674224,0.674224,1
-0.89011,-0.948187,-0.877934,-1,-0.714286,-0.966541,0.8363,-0.979798,0.964127,0.979777,0.963118,0.934337,0.948149,0.965048,0.966286,0.965099,0.853339,0.980166,-0.991084,0.926878,0.966292,0.964301,-0.966337,0.966043,-0.966094,-0.933641,0.93364,1
-0.758242,-0.854922,-0.624413,-0.947917,-0.485714,-0.865221,-0.900174,-0.946128,0.855649,0.946102,0.907887,0.813421,0.854842,0.859076,0.864214,0.859168,0.694173,0.897012,-0.928032,0.741051,0.86426,0.856279,-0.8637,0.863306,-0.862789,-0.739522,0.739522,1
-0.318681,-0.792746,-0.032864,-1,0.142857,-0.682846,-0.972192,-0.83165,0.660116,0.831572,0.725296,0.666655,0.792623,0.668562,0.680476,0.668859,0.185082,0.870387,-0.748645,0.464512,0.680725,0.662079,-0.679273,0.678302,-0.677092,-0.415976,0.415976,1
-0.824176,-0.523316,-0.868545,-0.53125,-0.942857,-0.959001,0.93273,-0.69697,0.954677,0.696816,0.612105,0.504693,0.522967,0.956364,0.958706,0.956321,0.821602,0.485458,-0.988147,0.680375,0.958776,0.955377,-0.955116,0.958372,-0.954767,-0.918841,0.918841,0
-0.846154,-0.937824,-0.924883,-0.9375,-1,-0.958058,0.89632,-0.973064,0.955024,0.97304,0.950133,0.914663,0.937778,0.95617,0.95776,0.956105,0.851456,0.905277,-0.985216,0.923254,0.957746,0.955304,-0.957842,0.957427,-0.957509,-0.916996,0.916996,0
-0.538462,-0.88601,-0.474178,-1,-0.371429,-0.663054,-0.004876,-0.952862,0.639689,0.952832,0.894707,0.80134,0.885934,0.648126,0.660563,0.648195,0.462879,0.908541,-0.722764,0.685428,0.6606,0.642003,-0.660354,0.65833,-0.65812,-0.382869,0.382869,0
-0.978022,-0.948187,-0.99061,-0.96875,-0.885714,-0.998586,1,-0.993266,0.998453,0.993252,0.989313,0.953548,0.948149,0.998502,0.998576,0.998501,0.962526,0.967717,-0.991163,0.982828,0.998576,0.998456,-0.998584,0.998557,-0.998567,-0.997173,0.997173,0
-0.824176,-0.968912,-0.830986,-0.979167,-0.942857,-0.949105,0.839182,-0.979798,0.945488,0.979777,0.956024,0.94115,0.968889,0.94689,0.948737,0.946843,0.821602,0.943953,-0.98556,0.885698,0.94873,0.945674,-0.948628,0.948343,-0.948234,-0.899503,0.899503,0
-0.384615,-0.544041,-0.098592,-0.666667,-0.257143,-0.506598,-0.987818,-0.468013,0.46977,0.467767,0.283412,0.424911,0.543742,0.484027,0.502957,0.484018,0.296723,0.522863,-0.555914,0.273969,0.503436,0.474694,-0.501461,0.499708,-0.498203,-0.13491,0.134909,0
-0.824176,-0.906736,-0.784038,-0.958333,-0.714286,-0.906692,0.561032,-0.952862,0.90001,0.952829,0.923087,0.87902,0.906669,0.90248,0.906,0.902501,0.788719,0.922159,-0.958943,0.844646,0.906006,0.900601,-0.905881,0.905362,-0.905242,-0.817735,0.817735,0
-0.824176,-0.937824,-0.755869,-0.989583,-0.714286,-0.921301,0.807708,-0.993266,0.915842,0.993252,0.972506,0.910044,0.937778,0.917798,0.920715,0.917828,0.788719,0.954864,-0.971231,0.844739,0.920725,0.91607,-0.920521,0.920166,-0.919971,-0.845696,0.845696,0
-0.956044,-0.989637,-0.943662,-1,-0.942857,-0.990575,0.984848,-0.993266,0.989889,0.993252,0.986836,0.989717,0.98963,0.990227,0.99051,0.9902,0.949132,0.994972,-0.993266,0.968941,0.990504,0.989917,-0.990659,0.990428,-0.990579,-0.981194,0.981194,0
-0.868132,-0.927461,-0.943662,-0.9375,-0.942857,-0.995287,1,-0.973064,0.994822,0.97304,0.952505,0.909019,0.927408,0.995015,0.995257,0.994991,0.863977,0.9102,-0.99363,0.935518,0.995255,0.994773,-0.994297,0.995165,-0.994212,-0.990585,0.990585,0
-0.56044,-0.958549,-0.605634,-1,-0.771429,-0.822809,0.201634,-0.993266,0.810589,0.993254,0.946648,0.879497,0.958523,0.815034,0.821508,0.814996,0.542253,0.912643,-0.887452,0.760533,0.821519,0.811445,-0.821272,0.820241,-0.820003,-0.661312,0.661312,0
-0.78022,-0.979275,-0.812207,-1,-0.885714,-0.938737,0.825914,-0.973064,0.93437,0.97304,0.943172,0.942598,0.97926,0.93609,0.93829,0.936061,0.770638,0.956435,-0.980536,0.885516,0.938284,0.934695,-0.938249,0.937818,-0.937777,-0.879349,0.879349,0
-0.956044,-0.958549,-0.962441,-1,-0.771429,-0.994816,0.921916,-1,0.994459,0.999989,0.995035,0.958923,0.958519,0.994588,0.994771,0.99463,0.925614,0.994972,-0.992578,0.981082,0.994777,0.994457,-0.994975,0.994727,-0.994932,-0.989646,0.989645,0
-0.934066,-0.927461,-0.924883,-0.96875,-0.771429,-0.987276,-0.539136,-0.993266,0.986363,0.993259,0.984383,0.923351,0.927424,0.986651,0.987176,0.986688,0.904041,0.957577,-0.993877,0.939982,0.987183,0.986308,-0.987035,0.987075,-0.986934,-0.974633,0.974632,0
-0.846154,-0.865285,-0.765258,-0.958333,-0.485714,-0.905278,-0.254756,-0.986532,0.898681,0.986519,0.966595,0.842556,0.865198,0.900915,0.904563,0.901025,0.781324,0.92699,-0.958529,0.832931,0.904585,0.899057,-0.904385,0.903939,-0.90376,-0.81504,0.81504,0
-0.824176,-0.989637,-0.624413,-0.989583,-1,-0.781338,0.253854,-0.96633,0.766124,0.966305,0.939551,0.961931,0.989633,0.771825,0.779752,0.771668,0.830375,0.954864,-0.845013,0.765427,0.779734,0.767557,-0.779628,0.77833,-0.778205,-0.58658,0.58658,0
-0.89011,-0.968912,-0.859155,-0.979167,-0.942857,-0.935438,0.910572,-0.986532,0.930917,0.986515,0.971336,0.954961,0.968889,0.932624,0.934971,0.93257,0.885217,0.958461,-0.976336,0.903515,0.934957,0.931274,-0.935043,0.934523,-0.934596,-0.872959,0.872959,0
0.582418,-0.720207,0.089202,-0.885417,0.028571,-0.575872,-0.99994,-0.952862,0.546595,0.95284,0.828731,0.485097,0.720033,0.556738,0.572724,0.556886,-0.645821,0.642331,-0.633059,0.332948,0.573124,0.548286,-0.571269,0.569655,-0.568193,-0.241675,0.241675,0
-0.934066,-0.689119,-0.924883,-0.729167,-0.771429,-0.987276,-0.539136,-0.946128,0.986118,0.946098,0.927,0.690769,0.68891,0.986183,0.987176,0.986212,0.904041,0.712411,-0.99381,0.815664,0.987208,0.985825,-0.983682,0.987075,-0.983564,-0.974633,0.974632,0
-0.824176,-0.927461,-0.652582,-1,-0.6,-0.869463,0.910796,-0.979798,0.860367,0.979777,0.956024,0.899693,0.927408,0.863662,0.868492,0.863715,0.773641,0.965784,-0.931269,0.788228,0.868514,0.860955,-0.86823,0.867634,-0.86737,-0.747442,0.747442,0
-0.846154,-0.865285,-0.765258,-0.958333,-0.485714,-0.906221,-0.243244,-0.986532,0.899688,0.986519,0.966595,0.842556,0.865197,0.901899,0.905512,0.902009,0.781324,0.92699,-0.959282,0.832931,0.905535,0.900055,-0.90533,0.904894,-0.904711,-0.816836,0.816836,0
-0.868132,-0.968912,-0.896714,-0.989583,-0.885714,-0.965127,0.93273,-1,0.962723,0.999989,0.985409,0.950312,0.968889,0.963617,0.964873,0.9636,0.855596,0.964446,-0.989578,0.933142,0.964867,0.962829,-0.964975,0.9646,-0.964703,-0.930862,0.930861,0
-0.978022,-0.906736,-0.99061,-0.916667,-0.942857,-0.999529,1,-0.993266,0.999461,0.993252,0.989313,0.912756,0.906667,0.9994,0.999529,0.999378,0.9705,0.914125,-0.991172,0.955544,0.999527,0.999344,-0.997719,0.999512,-0.997702,-0.999058,0.999057,0
-0.934066,-0.917098,-0.793427,-1,-0.542857,-0.95099,0.971278,-0.993266,0.947575,0.993252,0.984383,0.913115,0.917038,0.948747,0.950611,0.948857,0.875431,0.98999,-0.98839,0.873832,0.950632,0.947623,-0.950392,0.950303,-0.950082,-0.903178,0.903178,0
-0.824176,-0.896373,-0.737089,-0.958333,-0.657143,-0.827992,0.58791,-0.952862,0.815899,0.952829,0.923087,0.868697,0.896298,0.820304,0.826723,0.820313,0.781064,0.922159,-0.889342,0.815476,0.826721,0.817157,-0.826693,0.825608,-0.825578,-0.670776,0.670776,0
-0.604396,-0.875648,-0.230047,-0.989583,-0.314286,-0.416588,-0.791424,-0.96633,0.376711,0.966312,0.917461,0.803257,0.875579,0.390939,0.412294,0.390928,0.520881,0.90988,-0.458008,0.549849,0.412406,0.380565,-0.411965,0.4086,-0.408269,-0.003354,0.003354,0
-0.846154,-0.906736,-0.737089,-0.958333,-0.714286,-0.89868,0.635602,-0.952862,0.891447,0.952829,0.925455,0.883702,0.906668,0.894117,0.89793,0.894135,0.81023,0.92699,-0.954184,0.815476,0.897943,0.892002,-0.897684,0.897253,-0.897005,-0.802491,0.802491,0
-0.868132,-0.917098,-0.821596,-1,-0.542857,-0.95853,0.694188,-0.979798,0.955563,0.979778,0.960728,0.89872,0.917038,0.956618,0.958207,0.956732,0.809974,0.975324,-0.990682,0.89138,0.958226,0.955676,-0.958054,0.957914,-0.957761,-0.917917,0.917917,0
-0.824176,-0.979275,-0.802817,-0.989583,-0.942857,-0.958058,0.922976,-0.973064,0.955024,0.97304,0.947787,0.951536,0.979259,0.95626,0.957756,0.956217,0.821602,0.954864,-0.991398,0.873832,0.957754,0.955108,-0.95745,0.957417,-0.95711,-0.916994,0.916994,0
-0.494505,-0.948187,-0.361502,-0.979167,-0.828571,-0.782281,0.128168,-0.979798,0.767209,0.97978,0.924094,0.85711,0.948154,0.77271,0.780689,0.772627,0.489237,0.878067,-0.85067,0.610993,0.780772,0.767943,-0.779841,0.779142,-0.778289,-0.588256,0.588256,0
-0.846154,-0.927461,-0.802817,-1,-0.6,-0.932139,0.785618,-0.979798,0.927354,0.979778,0.958363,0.904333,0.927408,0.92909,0.931627,0.92917,0.795313,0.97053,-0.976771,0.879666,0.931638,0.927686,-0.931586,0.93116,-0.931119,-0.86658,0.866579,0
-0.516484,-0.906736,-0.13615,-0.979167,-0.485714,-0.605561,0.655492,-0.973064,0.578422,0.973041,0.917703,0.818501,0.906668,0.588181,0.602657,0.588122,0.456845,0.882103,-0.664034,0.497389,0.602833,0.580361,-0.601873,0.600056,-0.599268,-0.288904,0.288904,0
-0.868132,-0.968912,-0.71831,-1,-0.828571,-0.405278,0.725708,-0.993266,0.364846,0.993252,0.97718,0.950312,0.96889,0.379416,0.400941,0.379158,0.847433,0.975324,-0.4424,0.82772,0.40081,0.369995,-0.401098,0.397291,-0.397448,0.012598,-0.012598,0
-0.846154,-0.989637,-0.812207,-0.989583,-1,-0.907163,0.838206,-0.952862,0.900513,0.952829,0.925455,0.96645,0.98963,0.903155,0.906494,0.903063,0.851456,0.959631,-0.958285,0.879697,0.906473,0.901241,-0.906543,0.905849,-0.905899,-0.818634,0.818634,0
-0.846154,-0.917098,-0.755869,-0.958333,-0.771429,-0.877003,0.64072,-0.952862,0.868277,0.952829,0.925455,0.894013,0.917039,0.87151,0.876098,0.871495,0.818031,0.92699,-0.93485,0.827097,0.876098,0.869095,-0.876001,0.875285,-0.875187,-0.761568,0.761567,0
-0.824176,-0.906736,-0.70892,-0.958333,-0.714286,-0.914703,-0.183072,-0.993266,0.908791,0.993256,0.972506,0.87902,0.906677,0.910843,0.91407,0.910868,0.788719,0.922159,-0.968105,0.798164,0.914092,0.908901,-0.913596,0.91348,-0.913004,-0.833041,0.833041,0
-0.868132,-0.854922,-0.774648,-0.854167,-1,-0.945335,0.895988,-0.952862,0.941316,0.952829,0.92785,0.837131,0.854816,0.942713,0.944944,0.942642,0.872573,0.823936,-0.986015,0.781317,0.944961,0.941275,-0.943837,0.944542,-0.94343,-0.892161,0.892161,0
-0.89011,-0.968912,-0.915493,-0.989583,-0.885714,-0.96984,0.947484,-1,0.96776,0.999989,0.987777,0.954961,0.968889,0.968536,0.96962,0.968522,0.87692,0.969309,-0.990258,0.945176,0.969614,0.967867,-0.969769,0.969386,-0.969536,-0.940134,0.940134,0
-0.956044,-0.968912,-0.924883,-1,-0.828571,-0.986805,0.969812,-1,0.985895,0.999989,0.995035,0.969178,0.968889,0.986247,0.986705,0.986263,0.93324,0.994972,-0.993817,0.956853,0.986707,0.985877,-0.986791,0.986608,-0.986694,-0.973696,0.973696,0
-0.912088,-0.968912,-0.840376,-1,-0.828571,-0.928369,0.870638,-0.973064,0.923289,0.97304,0.957327,0.959655,0.968889,0.925245,0.927843,0.925233,0.890278,0.985054,-0.972622,0.903154,0.927835,0.923789,-0.927936,0.92737,-0.927463,-0.859303,0.859303,0
-0.956044,-0.958549,-0.962441,-1,-0.771429,-0.994816,0.767486,-1,0.994459,0.999989,0.995035,0.958923,0.958519,0.994588,0.994771,0.99463,0.925614,0.994972,-0.992578,0.981082,0.994777,0.994457,-0.994975,0.994727,-0.994932,-0.989646,0.989645,0
-0.846154,-0.979275,-0.924883,-0.979167,-1,-0.930726,0.89632,-0.979798,0.925843,0.979777,0.958363,0.956075,0.979259,0.927728,0.930228,0.927648,0.851456,0.948741,-0.970403,0.94559,0.930204,0.926457,-0.930466,0.929728,-0.929967,-0.86385,0.86385,0
